nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-06-16
0.9999,0.9999,0.9999,-0.0001,2025-06-17
0.9998,0.9998,0.9998,-0.00010001,2025-06-18
0.9998,0.9998,0.9998,0.0,2025-06-19
0.9997,0.9997,0.9997,-0.00010002,2025-06-20
0.9994,0.9994,0.9994,-0.00030009,2025-06-23
0.9994,0.9994,0.9994,0.0,2025-06-24
0.9993,0.9993,0.9993,-0.00010006,2025-06-25
1.0026,1.0026,1.0026,0.0033023116,2025-06-26
1.0141,1.0141,1.0141,0.0114701775,2025-06-27
1.0083,1.0083,1.0083,-0.0057193571,2025-06-30
0.9791,0.9791,0.9791,-0.028959635,2025-07-01
0.923,0.923,0.923,-0.0572975181,2025-07-02
0.9318,0.9318,0.9318,0.0095341278,2025-07-03
0.9645,0.9645,0.9645,0.0350933677,2025-07-04
0.9353,0.9353,0.9353,-0.0302747538,2025-07-07
0.9349,0.9349,0.9349,-0.0004276703,2025-07-08
0.9538,0.9538,0.9538,0.0202160659,2025-07-09
0.9933,0.9933,0.9933,0.0414132942,2025-07-10
1.0486,1.0486,1.0486,0.0556730092,2025-07-11
1.0507,1.0507,1.0507,0.0020026702,2025-07-14
1.0214,1.0214,1.0214,-0.0278861711,2025-07-15
1.0281,1.0281,1.0281,0.006559624,2025-07-16
1.0479,1.0479,1.0479,0.019258827,2025-07-17
1.1031,1.1031,1.1031,0.0526767821,2025-07-18
1.2161,1.2161,1.2161,0.1024385822,2025-07-21
1.3499,1.3499,1.3499,0.1100238467,2025-07-22
1.3713,1.3713,1.3713,0.0158530262,2025-07-23
1.3424,1.3424,1.3424,-0.0210748924,2025-07-24
1.3497,1.3497,1.3497,0.0054380215,2025-07-25
1.2881,1.2881,1.2881,-0.0456397718,2025-07-28
1.296,1.296,1.296,0.0061330642,2025-07-29
1.3344,1.3344,1.3344,0.0296296296,2025-07-30
1.2113,1.2113,1.2113,-0.092251199,2025-07-31
1.1993,1.1993,1.1993,-0.0099067118,2025-08-01
1.2191,1.2191,1.2191,0.0165096306,2025-08-04
1.2443,1.2443,1.2443,0.0206709868,2025-08-05
1.2808,1.2808,1.2808,0.029333762,2025-08-06
1.2707,1.2707,1.2707,-0.0078856964,2025-08-07
1.2653,1.2653,1.2653,-0.0042496262,2025-08-08
1.3293,1.3293,1.3293,0.0505808899,2025-08-11
1.3602,1.3602,1.3602,0.0232453171,2025-08-12
1.4353,1.4353,1.4353,0.0552124688,2025-08-13
1.3705,1.3705,1.3705,-0.045147356,2025-08-14
1.4143,1.4143,1.4143,0.031959139,2025-08-15
