nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2016-03-07
1.0,1.0,1.0,0.0,2016-03-08
1.0,1.0,1.0,0.0,2016-03-09
1.0,1.0,1.0,0.0,2016-03-10
1.0,1.0,1.0,0.0,2016-03-11
1.0,1.0,1.0,0.0,2016-03-14
1.0,1.0,1.0,0.0,2016-03-15
1.0,1.0,1.0,0.0,2016-03-16
1.0,1.0,1.0,0.0,2016-03-17
1.0,1.0,1.0,0.0,2016-03-18
0.998,0.998,0.998,-0.002,2016-03-21
0.994,0.994,0.994,-0.004008016,2016-03-22
0.989,0.989,0.989,-0.0050301811,2016-03-23
0.989,0.989,0.989,0.0,2016-03-24
0.99,0.99,0.99,0.0010111223,2016-03-25
0.987,0.987,0.987,-0.003030303,2016-03-28
0.986,0.986,0.986,-0.0010131712,2016-03-29
0.99,0.99,0.99,0.0040567951,2016-03-30
0.99,0.99,0.99,0.0,2016-03-31
0.992,0.992,0.992,0.002020202,2016-04-01
0.999,0.999,0.999,0.0070564516,2016-04-05
0.996,0.996,0.996,-0.003003003,2016-04-06
0.99,0.99,0.99,-0.0060240964,2016-04-07
0.984,0.984,0.984,-0.0060606061,2016-04-08
0.989,0.989,0.989,0.0050813008,2016-04-11
0.989,0.989,0.989,0.0,2016-04-12
0.994,0.994,0.994,0.0050556117,2016-04-13
0.996,0.996,0.996,0.0020120724,2016-04-14
0.995,0.995,0.995,-0.0010040161,2016-04-15
0.987,0.987,0.987,-0.008040201,2016-04-18
0.988,0.988,0.988,0.0010131712,2016-04-19
0.986,0.986,0.986,-0.0020242915,2016-04-20
0.985,0.985,0.985,-0.0010141988,2016-04-21
0.985,0.985,0.985,0.0,2016-04-22
0.984,0.984,0.984,-0.0010152284,2016-04-25
0.984,0.984,0.984,0.0,2016-04-26
0.984,0.984,0.984,0.0,2016-04-27
0.985,0.985,0.985,0.0010162602,2016-04-28
0.985,0.985,0.985,0.0,2016-04-29
0.988,0.988,0.988,0.0030456853,2016-05-03
0.99,0.99,0.99,0.0020242915,2016-05-04
0.987,0.987,0.987,-0.003030303,2016-05-05
0.972,0.972,0.972,-0.0151975684,2016-05-06
0.97,0.97,0.97,-0.0020576132,2016-05-09
0.969,0.969,0.969,-0.0010309278,2016-05-10
0.972,0.972,0.972,0.0030959752,2016-05-11
0.974,0.974,0.974,0.0020576132,2016-05-12
0.971,0.971,0.971,-0.0030800821,2016-05-13
0.97,0.97,0.97,-0.0010298661,2016-05-16
0.969,0.969,0.969,-0.0010309278,2016-05-17
0.968,0.968,0.968,-0.0010319917,2016-05-18
0.968,0.968,0.968,0.0,2016-05-19
0.968,0.968,0.968,0.0,2016-05-20
0.969,0.969,0.969,0.0010330579,2016-05-23
0.969,0.969,0.969,0.0,2016-05-24
0.969,0.969,0.969,0.0,2016-05-25
0.968,0.968,0.968,-0.0010319917,2016-05-26
0.968,0.968,0.968,0.0,2016-05-27
0.968,0.968,0.968,0.0,2016-05-30
0.969,0.969,0.969,0.0010330579,2016-05-31
0.969,0.969,0.969,0.0,2016-06-01
0.97,0.97,0.97,0.0010319917,2016-06-02
0.974,0.974,0.974,0.0041237113,2016-06-03
0.974,0.974,0.974,0.0,2016-06-06
0.974,0.974,0.974,0.0,2016-06-07
0.973,0.973,0.973,-0.001026694,2016-06-08
0.973,0.973,0.973,0.0,2016-06-10
0.966,0.966,0.966,-0.0071942446,2016-06-13
0.966,0.966,0.966,0.0,2016-06-14
0.968,0.968,0.968,0.0020703934,2016-06-15
0.967,0.967,0.967,-0.0010330579,2016-06-16
0.969,0.969,0.969,0.0020682523,2016-06-17
0.971,0.971,0.971,0.0020639835,2016-06-20
0.971,0.971,0.971,0.0,2016-06-21
0.977,0.977,0.977,0.0061791967,2016-06-22
0.976,0.976,0.976,-0.0010235415,2016-06-23
0.972,0.972,0.972,-0.0040983607,2016-06-24
0.977,0.977,0.977,0.0051440329,2016-06-27
0.977,0.977,0.977,0.0,2016-06-28
0.98,0.98,0.98,0.0030706244,2016-06-29
0.984,0.984,0.984,0.0040816327,2016-06-30
0.987,0.987,0.987,0.0030487805,2016-07-01
0.994,0.994,0.994,0.0070921986,2016-07-04
0.995,0.995,0.995,0.0010060362,2016-07-05
1.004,1.004,1.004,0.0090452261,2016-07-06
1.001,1.001,1.001,-0.0029880478,2016-07-07
0.999,0.999,0.999,-0.001998002,2016-07-08
1.002,1.002,1.002,0.003003003,2016-07-11
1.02,1.02,1.02,0.0179640719,2016-07-12
1.02,1.02,1.02,0.0,2016-07-13
1.018,1.018,1.018,-0.0019607843,2016-07-14
1.021,1.021,1.021,0.0029469548,2016-07-15
1.023,1.023,1.023,0.0019588639,2016-07-18
1.019,1.019,1.019,-0.0039100684,2016-07-19
1.02,1.02,1.02,0.0009813543,2016-07-20
1.027,1.027,1.027,0.0068627451,2016-07-21
1.019,1.019,1.019,-0.0077896787,2016-07-22
1.021,1.021,1.021,0.0019627085,2016-07-25
1.032,1.032,1.032,0.0107737512,2016-07-26
1.033,1.033,1.033,0.0009689922,2016-07-27
1.047,1.047,1.047,0.013552759,2016-07-28
1.044,1.044,1.044,-0.0028653295,2016-07-29
1.045,1.045,1.045,0.0009578544,2016-08-01
1.043,1.043,1.043,-0.0019138756,2016-08-02
1.042,1.042,1.042,-0.0009587728,2016-08-03
1.043,1.043,1.043,0.0009596929,2016-08-04
1.044,1.044,1.044,0.0009587728,2016-08-05
1.052,1.052,1.052,0.0076628352,2016-08-08
1.062,1.062,1.062,0.0095057034,2016-08-09
1.061,1.061,1.061,-0.0009416196,2016-08-10
1.057,1.057,1.057,-0.0037700283,2016-08-11
1.077,1.077,1.077,0.0189214759,2016-08-12
1.093,1.093,1.093,0.0148560817,2016-08-15
1.091,1.091,1.091,-0.0018298262,2016-08-16
1.098,1.098,1.098,0.006416132,2016-08-17
1.089,1.089,1.089,-0.0081967213,2016-08-18
1.087,1.087,1.087,-0.0018365473,2016-08-19
1.082,1.082,1.082,-0.004599816,2016-08-22
1.078,1.078,1.078,-0.0036968577,2016-08-23
1.076,1.076,1.076,-0.0018552876,2016-08-24
1.066,1.066,1.066,-0.0092936803,2016-08-25
1.068,1.068,1.068,0.0018761726,2016-08-26
1.068,1.068,1.068,0.0,2016-08-29
1.071,1.071,1.071,0.0028089888,2016-08-30
1.071,1.071,1.071,0.0,2016-08-31
1.066,1.066,1.066,-0.0046685341,2016-09-01
1.066,1.066,1.066,0.0,2016-09-02
1.067,1.067,1.067,0.0009380863,2016-09-05
1.069,1.069,1.069,0.0018744142,2016-09-06
1.072,1.072,1.072,0.0028063611,2016-09-07
1.07,1.07,1.07,-0.0018656716,2016-09-08
1.065,1.065,1.065,-0.0046728972,2016-09-09
1.053,1.053,1.053,-0.0112676056,2016-09-12
1.051,1.051,1.051,-0.0018993352,2016-09-13
1.051,1.051,1.051,0.0,2016-09-14
1.051,1.051,1.051,0.0,2016-09-16
1.052,1.052,1.052,0.0009514748,2016-09-19
1.052,1.052,1.052,0.0,2016-09-20
1.052,1.052,1.052,0.0,2016-09-21
1.054,1.054,1.054,0.0019011407,2016-09-22
1.054,1.054,1.054,0.0,2016-09-23
1.052,1.052,1.052,-0.0018975332,2016-09-26
1.052,1.052,1.052,0.0,2016-09-27
1.052,1.052,1.052,0.0,2016-09-28
1.054,1.054,1.054,0.0019011407,2016-09-29
1.055,1.055,1.055,0.0009487666,2016-09-30
1.055,1.055,1.055,0.0,2016-10-07
1.059,1.059,1.059,0.0037914692,2016-10-10
1.063,1.063,1.063,0.0037771483,2016-10-11
1.067,1.067,1.067,0.0037629351,2016-10-12
