nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.092,1.092,1.092,0.0,2024-02-02
1.093,1.093,1.093,0.0009157509,2024-02-08
1.093,1.093,1.093,0.0,2024-02-23
1.0,1.0,1.0,-0.0850869167,2024-02-29
1.0,1.0,1.0,0.0,2024-03-01
1.007,1.007,1.007,0.007,2024-03-08
1.011,1.011,1.011,0.0039721946,2024-03-15
1.011,1.011,1.011,0.0,2024-03-22
1.026,1.026,1.026,0.0148367953,2024-03-29
1.042,1.042,1.042,0.0155945419,2024-04-03
1.066,1.066,1.066,0.0230326296,2024-04-12
1.076,1.076,1.076,0.009380863,2024-04-19
1.081,1.081,1.081,0.0046468401,2024-04-26
1.089,1.089,1.089,0.007400555,2024-04-30
1.131,1.131,1.131,0.0385674931,2024-05-10
1.126,1.126,1.126,-0.0044208665,2024-05-17
1.109,1.109,1.109,-0.0150976909,2024-05-24
1.115,1.115,1.115,0.0054102795,2024-05-31
1.132,1.132,1.132,0.0152466368,2024-06-07
1.11,1.11,1.11,-0.019434629,2024-06-14
1.099,1.099,1.099,-0.0099099099,2024-06-21
1.0743,1.0743,1.0743,-0.0224749773,2024-06-28
1.0668,1.0668,1.0668,-0.0069812901,2024-07-05
1.0597,1.0597,1.0597,-0.0066554181,2024-07-12
1.0258,1.0258,1.0258,-0.0319901859,2024-07-19
1.0037,1.0037,1.0037,-0.0215441607,2024-07-26
1.0022,1.0022,1.0022,-0.0014944705,2024-07-31
0.9982,0.9982,0.9982,-0.0039912193,2024-08-02
0.9936,0.9936,0.9936,-0.0046082949,2024-08-09
1.0031,1.0031,1.0031,0.0095611916,2024-08-16
0.9818,0.9818,0.9818,-0.0212341741,2024-08-23
0.9848,0.9848,0.9848,0.0030556121,2024-08-30
0.9688,0.9688,0.9688,-0.0162469537,2024-09-06
0.9408,0.9408,0.9408,-0.0289017341,2024-09-13
0.959,0.959,0.959,0.0193452381,2024-09-20
1.0402,1.0402,1.0402,0.0846715328,2024-09-27
1.0858,1.0858,1.0858,0.0438377235,2024-09-30
1.0641,1.0641,1.0641,-0.0199852643,2024-10-11
1.0813,1.0813,1.0813,0.0161638944,2024-10-18
1.0928,1.0928,1.0928,0.0106353463,2024-10-25
1.0821,1.0821,1.0821,-0.0097913616,2024-10-31
1.0799,1.0799,1.0799,-0.0020330838,2024-11-01
1.1095,1.1095,1.1095,0.0274099454,2024-11-08
1.1178,1.1178,1.1178,0.0074808472,2024-11-15
1.1006,1.1006,1.1006,-0.015387368,2024-11-22
1.1014,1.1014,1.1014,0.0007268762,2024-11-29
1.1195,1.1195,1.1195,0.0164336299,2024-12-06
1.118,1.118,1.118,-0.0013398839,2024-12-13
1.127,1.127,1.127,0.0080500894,2024-12-20
1.1258,1.1258,1.1258,-0.0010647737,2024-12-27
1.1166,1.1166,1.1166,-0.0081719666,2024-12-31
1.0887,1.0887,1.0887,-0.0249865664,2025-01-03
1.0597,1.0597,1.0597,-0.0266372738,2025-01-10
1.0976,1.0976,1.0976,0.0357648391,2025-01-17
1.1018,1.1018,1.1018,0.0038265306,2025-01-24
1.1053,1.1053,1.1053,0.0031766201,2025-01-27
1.1356,1.1356,1.1356,0.0274133719,2025-02-07
1.1261,1.1261,1.1261,-0.0083656217,2025-02-14
1.1752,1.1752,1.1752,0.0436018116,2025-02-21
1.1525,1.1525,1.1525,-0.0193158611,2025-02-28
1.2339,1.2339,1.2339,0.0706290672,2025-03-07
1.252,1.252,1.252,0.0146689359,2025-03-14
1.2364,1.2364,1.2364,-0.0124600639,2025-03-21
1.2308,1.2308,1.2308,-0.0045292786,2025-03-28
1.2224,1.2224,1.2224,-0.0068248294,2025-03-31
1.2167,1.2167,1.2167,-0.0046629581,2025-04-03
1.1303,1.1303,1.1303,-0.0710117531,2025-04-11
1.1462,1.1462,1.1462,0.0140670618,2025-04-18
1.1716,1.1716,1.1716,0.0221601815,2025-04-25
1.1728,1.1728,1.1728,0.0010242404,2025-04-30
1.1973,1.1973,1.1973,0.0208901774,2025-05-09
1.2144,1.2144,1.2144,0.0142821348,2025-05-16
1.233,1.233,1.233,0.0153162055,2025-05-23
1.2327,1.2327,1.2327,-0.000243309,2025-05-30
1.2567,1.2567,1.2567,0.0194694573,2025-06-06
1.2782,1.2782,1.2782,0.0171082995,2025-06-13
1.266,1.266,1.266,-0.0095446722,2025-06-20
1.2982,1.2982,1.2982,0.0254344392,2025-06-27
1.3045,1.3045,1.3045,0.0048528732,2025-06-30
1.3299,1.3299,1.3299,0.0194710617,2025-07-04
1.3506,1.3506,1.3506,0.0155650801,2025-07-11
1.3602,1.3602,1.3602,0.007107952,2025-07-18
1.415,1.415,1.415,0.0402881929,2025-07-25
1.3913,1.3913,1.3913,-0.0167491166,2025-07-31
1.3979,1.3979,1.3979,0.0047437648,2025-08-01
1.4559,1.4559,1.4559,0.0414908076,2025-08-08
1.4937,1.4937,1.4937,0.0259633217,2025-08-15
1.524,1.524,1.524,0.0202851978,2025-08-22
1.5727,1.5727,1.5727,0.0319553806,2025-08-29
1.5969,1.5969,1.5969,0.0153875501,2025-09-05
1.6531,1.6531,1.6531,0.0351931868,2025-09-12
1.6794,1.6794,1.6794,0.0159095034,2025-09-19
1.7028,1.7028,1.7028,0.0139335477,2025-09-26
1.7277,1.7277,1.7277,0.0146229739,2025-09-30
1.759,1.759,1.759,0.0181165712,2025-10-10
1.6844,1.6844,1.6844,-0.0424104605,2025-10-17
1.7611,1.7611,1.7611,0.0455355023,2025-10-24
1.7573,1.7573,1.7573,-0.0021577423,2025-10-31
1.7938,1.7938,1.7938,0.0207705002,2025-11-07
1.7754,1.7754,1.7754,-0.0102575538,2025-11-14
1.6952,1.6952,1.6952,-0.0451729188,2025-11-21
1.746,1.746,1.746,0.0299669655,2025-11-28
1.7612,1.7612,1.7612,0.0087056128,2025-12-05
1.7547,1.7547,1.7547,-0.0036906655,2025-12-12
1.7904,1.7904,1.7904,0.0203453582,2025-12-19
1.9134,1.9134,1.9134,0.0686997319,2025-12-26
1.9272,1.9272,1.9272,0.0072122923,2025-12-31
1.9732,1.9732,1.9732,0.0238688252,2026-01-09
1.975,1.975,1.975,0.0009122238,2026-01-16
