nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2023-01-10
1.0,1.0,1.0,-9.999e-05,2023-01-13
1.0003,1.0003,1.0003,0.0003,2023-01-20
1.0008,1.0008,1.0008,0.00049985,2023-01-31
1.0009,1.0009,1.0009,9.99201e-05,2023-02-03
1.0013,1.0013,1.0013,0.0003996403,2023-02-10
1.0016,1.0016,1.0016,0.0002996105,2023-02-17
1.0019,1.0019,1.0019,0.0002995208,2023-02-24
1.0021,1.0021,1.0021,0.0001996207,2023-02-28
1.0022,1.0022,1.0022,9.97904e-05,2023-03-03
1.0025,1.0025,1.0025,0.0002993414,2023-03-10
1.0028,1.0028,1.0028,0.0002992519,2023-03-17
1.0031,1.0031,1.0031,0.0002991623,2023-03-24
1.0034,1.0034,1.0034,0.0002990729,2023-03-31
1.0037,1.0037,1.0037,0.0002989835,2023-04-07
1.0041,1.0041,1.0041,0.0003985255,2023-04-14
1.0044,1.0044,1.0044,0.000298775,2023-04-21
1.0047,1.0047,1.0047,0.0002986858,2023-04-28
1.005,1.005,1.005,0.0002985966,2023-05-05
1.0053,1.0053,1.0053,0.0002985075,2023-05-12
1.0056,1.0056,1.0056,0.0002984184,2023-05-19
1.006,1.006,1.006,0.0003977725,2023-05-26
1.0062,1.0062,1.0062,0.0001988072,2023-05-31
1.0063,1.0063,1.0063,9.93838e-05,2023-06-02
1.0066,1.0066,1.0066,0.0002981218,2023-06-09
1.0069,1.0069,1.0069,0.000298033,2023-06-16
1.0071,1.0071,1.0071,0.0001986295,2023-06-21
1.0075,1.0075,1.0075,0.00039718,2023-06-30
1.0079,1.0079,1.0079,0.0003970223,2023-07-07
1.0082,1.0082,1.0082,0.0002976486,2023-07-14
1.0085,1.0085,1.0085,0.00029756,2023-07-21
1.0088,1.0088,1.0088,0.0002974715,2023-07-28
1.0089,1.0089,1.0089,9.91277e-05,2023-07-31
1.0091,1.0091,1.0091,0.0001982357,2023-08-04
1.0094,1.0094,1.0094,0.0002972946,2023-08-11
1.0097,1.0097,1.0097,0.0002972063,2023-08-18
1.0101,1.0101,1.0101,0.0003961573,2023-08-25
1.0103,1.0103,1.0103,0.0001980002,2023-08-31
1.0104,1.0104,1.0104,9.89805e-05,2023-09-01
1.0107,1.0107,1.0107,0.0002969121,2023-09-08
1.011,1.011,1.011,0.000296824,2023-09-15
1.0114,1.0114,1.0114,0.0003956479,2023-09-22
1.0116,1.0116,1.0116,0.0001977457,2023-09-28
1.0123,1.0123,1.0123,0.0006919731,2023-10-13
1.0126,1.0126,1.0126,0.0002963548,2023-10-20
1.0129,1.0129,1.0129,0.000296267,2023-10-27
0.9729,0.9729,0.9729,-0.0394905716,2023-10-31
0.973,0.973,0.973,0.0001027855,2023-11-03
0.9732,0.9732,0.9732,0.0002055498,2023-11-10
0.9739,0.9739,0.9739,0.0007192766,2023-11-17
0.9725,0.9725,0.9725,-0.0014375193,2023-11-24
0.9734,0.9734,0.9734,0.0009254499,2023-11-30
0.9732,0.9732,0.9732,-0.0002054654,2023-12-01
0.9755,0.9755,0.9755,0.0023633374,2023-12-08
0.9805,0.9805,0.9805,0.0051255766,2023-12-15
0.9786,0.9786,0.9786,-0.0019377868,2023-12-22
