nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-11-24
1.0,1.0,1.0,0.0,2023-11-30
1.0,1.0,1.0,0.0,2023-12-01
0.9998,0.9998,0.9998,-0.0002,2023-12-08
1.0021,1.0021,1.0021,0.0023004601,2023-12-15
1.0009,1.0009,1.0009,-0.0011974853,2023-12-22
0.9874,0.9874,0.9874,-0.0134878609,2023-12-29
1.0081,1.0081,1.0081,0.0209641483,2024-01-05
1.0044,1.0044,1.0044,-0.0036702708,2024-01-12
0.9978,0.9978,0.9978,-0.0065710872,2024-01-19
0.9976,0.9976,0.9976,-0.000200441,2024-01-26
1.0044,1.0044,1.0044,0.0068163593,2024-01-31
1.0013,1.0013,1.0013,-0.0030864198,2024-02-02
0.9986,0.9986,0.9986,-0.0026964946,2024-02-08
1.0334,1.0334,1.0334,0.0348487883,2024-02-23
1.0462,1.0462,1.0462,0.0123862977,2024-02-29
1.0468,1.0468,1.0468,0.0005735041,2024-03-01
1.0627,1.0627,1.0627,0.0151891479,2024-03-08
1.067,1.067,1.067,0.0040462972,2024-03-15
1.0736,1.0736,1.0736,0.006185567,2024-03-22
1.0654,1.0654,1.0654,-0.0076378539,2024-03-29
1.062,1.062,1.062,-0.0031912897,2024-04-03
1.0826,1.0826,1.0826,0.0193973635,2024-04-12
1.0746,1.0746,1.0746,-0.0073896176,2024-04-19
1.072,1.072,1.072,-0.0024195049,2024-04-26
1.0481,1.0481,1.0481,-0.0222947761,2024-04-30
1.0589,1.0589,1.0589,0.0103043603,2024-05-10
1.0606,1.0606,1.0606,0.0016054396,2024-05-17
1.0683,1.0683,1.0683,0.0072600415,2024-05-24
1.0706,1.0706,1.0706,0.0021529533,2024-05-31
1.0696,1.0696,1.0696,-0.0009340557,2024-06-07
1.0703,1.0703,1.0703,0.0006544503,2024-06-14
1.0677,1.0677,1.0677,-0.0024292255,2024-06-21
1.0693,1.0693,1.0693,0.0014985483,2024-06-28
1.0705,1.0705,1.0705,0.0011222295,2024-07-05
1.0765,1.0765,1.0765,0.0056048575,2024-07-12
1.0872,1.0872,1.0872,0.0099396191,2024-07-19
1.087,1.087,1.087,-0.0001839588,2024-07-26
1.0881,1.0881,1.0881,0.0010119595,2024-07-31
1.0827,1.0827,1.0827,-0.0049627792,2024-08-02
1.0766,1.0766,1.0766,-0.005634063,2024-08-09
1.0774,1.0774,1.0774,0.0007430801,2024-08-16
1.0787,1.0787,1.0787,0.0012066085,2024-08-23
1.0722,1.0722,1.0722,-0.0060257718,2024-08-30
1.0666,1.0666,1.0666,-0.0052229062,2024-09-06
1.0674,1.0674,1.0674,0.0007500469,2024-09-13
1.0643,1.0643,1.0643,-0.0029042533,2024-09-20
1.0358,1.0358,1.0358,-0.0267781641,2024-09-27
1.018,1.018,1.018,-0.0171847847,2024-09-30
1.0174,1.0174,1.0174,-0.000589391,2024-10-11
1.0159,1.0159,1.0159,-0.0014743464,2024-10-18
1.0154,1.0154,1.0154,-0.0004921744,2024-10-25
1.0143,1.0143,1.0143,-0.0010833169,2024-10-31
1.0144,1.0144,1.0144,9.85902e-05,2024-11-01
1.015,1.015,1.015,0.0005914826,2024-11-08
1.0162,1.0162,1.0162,0.001182266,2024-11-15
1.0173,1.0173,1.0173,0.0010824641,2024-11-22
1.0172,1.0172,1.0172,-9.82994e-05,2024-11-29
1.018,1.018,1.018,0.0007864727,2024-12-06
1.0168,1.0168,1.0168,-0.0011787819,2024-12-13
1.0181,1.0181,1.0181,0.0012785208,2024-12-20
1.0187,1.0187,1.0187,0.0005893331,2024-12-27
1.0193,1.0193,1.0193,0.000588986,2024-12-31
1.0189,1.0189,1.0189,-0.0003924262,2025-01-03
1.0204,1.0204,1.0204,0.0014721759,2025-01-10
1.0208,1.0208,1.0208,0.0003920031,2025-01-17
1.0205,1.0205,1.0205,-0.0002938871,2025-01-24
1.0211,1.0211,1.0211,0.0005879471,2025-01-27
1.0221,1.0221,1.0221,0.000979336,2025-02-07
1.024,1.024,1.024,0.0018589179,2025-02-14
1.0238,1.0238,1.0238,-0.0001953125,2025-02-21
1.0237,1.0237,1.0237,-9.76753e-05,2025-02-28
1.033,1.033,1.033,0.0090846928,2025-03-07
1.0288,1.0288,1.0288,-0.0040658277,2025-03-14
1.0413,1.0413,1.0413,0.0121500778,2025-03-21
1.0409,1.0409,1.0409,-0.0003841352,2025-03-28
1.0397,1.0397,1.0397,-0.0011528485,2025-03-31
1.043,1.043,1.043,0.0031739925,2025-04-03
1.0389,1.0389,1.0389,-0.0039309684,2025-04-11
1.0455,1.0455,1.0455,0.0063528732,2025-04-18
1.0469,1.0469,1.0469,0.0013390722,2025-04-25
1.0464,1.0464,1.0464,-0.0004776005,2025-04-30
1.0532,1.0532,1.0532,0.0064984709,2025-05-09
1.0529,1.0529,1.0529,-0.0002848462,2025-05-16
1.0551,1.0551,1.0551,0.0020894672,2025-05-23
1.0541,1.0541,1.0541,-0.0009477775,2025-05-30
1.0554,1.0554,1.0554,0.0012332796,2025-06-06
1.0568,1.0568,1.0568,0.0013265113,2025-06-13
1.0579,1.0579,1.0579,0.0010408781,2025-06-20
1.0539,1.0539,1.0539,-0.0037810757,2025-06-27
1.0558,1.0558,1.0558,0.0018028276,2025-06-30
1.0572,1.0572,1.0572,0.0013260087,2025-07-04
1.0495,1.0495,1.0495,-0.0072833901,2025-07-11
1.0552,1.0552,1.0552,0.0054311577,2025-07-18
1.0599,1.0599,1.0599,0.0044541319,2025-07-25
1.0647,1.0647,1.0647,0.0045287291,2025-07-31
1.0684,1.0684,1.0684,0.0034751573,2025-08-01
1.074,1.074,1.074,0.0052414826,2025-08-08
1.0658,1.0658,1.0658,-0.0076350093,2025-08-15
1.0689,1.0689,1.0689,0.0029086132,2025-08-22
1.0694,1.0694,1.0694,0.0004677706,2025-08-29
1.0785,1.0785,1.0785,0.0085094445,2025-09-05
1.0887,1.0887,1.0887,0.00945758,2025-09-12
1.0901,1.0901,1.0901,0.0012859374,2025-09-19
1.0987,1.0987,1.0987,0.0078891845,2025-09-26
1.101,1.101,1.101,0.0020933831,2025-09-30
1.1123,1.1123,1.1123,0.0102633969,2025-10-10
1.1149,1.1149,1.1149,0.0023374989,2025-10-17
1.1162,1.1162,1.1162,0.0011660239,2025-10-24
1.1182,1.1182,1.1182,0.0017917936,2025-10-31
1.1244,1.1244,1.1244,0.0055446253,2025-11-07
1.1242,1.1242,1.1242,-0.0001778726,2025-11-14
1.123,1.123,1.123,-0.0010674257,2025-11-21
1.0685,1.1285,1.1285,0.0048975957,2025-11-27
1.0683,1.1283,1.12828877,-0.0001871783,2025-11-28
1.0704,1.1304,1.13050669,0.00196574,2025-12-05
1.0711,1.1311,1.131246,0.0006539611,2025-12-12
1.073,1.133,1.13325269,0.0017738773,2025-12-19
1.0736,1.1336,1.13388638,0.0005591799,2025-12-26
1.0755,1.1355,1.13589307,0.0017697466,2025-12-31
1.0698,1.1298,1.129873,-0.0052998605,2026-01-09
1.071,1.131,1.13114038,0.001121705,2026-01-16
1.0729,1.1329,1.13314708,0.001774043,2026-01-23
1.0677,1.1277,1.12765508,-0.0048466772,2026-01-30
1.0797,1.1397,1.14032892,0.0112391121,2026-02-06
1.0855,1.1455,1.14645461,0.0053718626,2026-02-13
1.0897,1.1497,1.15089045,0.0038691847,2026-02-27
1.0886,1.1486,1.14972869,-0.0010094521,2026-03-06
1.089,1.149,1.15015115,0.0003674444,2026-03-13
1.0869,1.1469,1.14793322,-0.0019283747,2026-03-20
1.0874,1.1474,1.1484613,0.0004600239,2026-03-27
1.0871,1.1471,1.14814445,-0.0002758874,2026-03-31
1.0866,1.1466,1.14761638,-0.0004599393,2026-04-03
1.0895,1.1495,1.15067922,0.0026688754,2026-04-10
1.0907,1.1507,1.15194661,0.0011014227,2026-04-17
