nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-06-04
1.0,1.0,1.0,0.0,2025-06-06
1.0001,1.0001,1.0001,0.0001,2025-06-13
0.995,0.995,0.995,-0.0050994901,2025-06-20
1.0087,1.0087,1.0087,0.0137688442,2025-06-27
1.0095,1.0095,1.0095,0.0007931,2025-06-30
1.0093,1.0093,1.0093,-0.0001981179,2025-07-04
1.0019,1.0019,1.0019,-0.0073318141,2025-07-11
1.0003,1.0003,1.0003,-0.0015969658,2025-07-18
1.0094,1.0094,1.0094,0.0090972708,2025-07-25
1.0119,1.0119,1.0119,0.0024767188,2025-07-31
1.0201,1.0201,1.0201,0.0081035675,2025-08-01
1.0473,1.0473,1.0473,0.0266640525,2025-08-08
1.0638,1.0638,1.0638,0.0157547981,2025-08-15
1.0991,1.0991,1.0991,0.0331829291,2025-08-22
1.0985,1.0985,1.0985,-0.0005459012,2025-08-29
1.0852,1.0852,1.0852,-0.0121074192,2025-09-05
1.1102,1.1102,1.1102,0.0230372282,2025-09-12
1.0988,1.0988,1.0988,-0.0102684201,2025-09-19
1.1102,1.1102,1.1102,0.0103749545,2025-09-26
1.121,1.121,1.121,0.0097279769,2025-09-30
1.1377,1.1377,1.1377,0.014897413,2025-10-10
1.072,1.072,1.072,-0.0577480882,2025-10-17
1.0906,1.0906,1.0906,0.0173507463,2025-10-24
1.1833,1.1833,1.1833,0.0849990831,2025-10-31
1.3108,1.3108,1.3108,0.1077495141,2025-11-07
1.2846,1.2846,1.2846,-0.0199877937,2025-11-14
1.2185,1.2185,1.2185,-0.0514557061,2025-11-21
1.2472,1.2472,1.2472,0.0235535494,2025-11-28
1.2366,1.2366,1.2366,-0.0084990378,2025-12-05
1.2332,1.2332,1.2332,-0.0027494744,2025-12-12
1.2339,1.2339,1.2339,0.0005676289,2025-12-19
1.2461,1.2461,1.2461,0.0098873491,2025-12-26
1.2432,1.2432,1.2432,-0.0023272611,2025-12-31
1.2603,1.2603,1.2603,0.0137548263,2026-01-09
1.2629,1.2629,1.2629,0.0020630009,2026-01-16
1.3007,1.3007,1.3007,0.0299311109,2026-01-23
1.3184,1.3184,1.3184,0.0136080572,2026-01-30
1.3183,1.3183,1.3183,-7.58495e-05,2026-02-06
1.3291,1.3291,1.3291,0.008192369,2026-02-13
1.3365,1.3365,1.3365,0.0055676774,2026-02-27
1.3333,1.3333,1.3333,-0.0023943135,2026-03-06
1.3447,1.3447,1.3447,0.0085502138,2026-03-13
1.3328,1.3328,1.3328,-0.0088495575,2026-03-20
1.3202,1.3202,1.3202,-0.0094537815,2026-03-27
1.3061,1.3061,1.3061,-0.0106802,2026-04-03
1.3298,1.3298,1.3298,0.0181456244,2026-04-10
1.3438,1.3438,1.3438,0.0105278989,2026-04-17
1.3276,1.3276,1.3276,-0.0120553654,2026-04-24
1.3425,1.3425,1.3425,0.01122326,2026-04-30
1.3799,1.3799,1.3799,0.027858473,2026-05-08
1.3591,1.3591,1.3591,-0.0150735561,2026-05-15
1.3429,1.3429,1.3429,-0.0119196527,2026-05-22
