nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-06-20
1.0,1.0,1.0,0.0,2024-06-21
1.0003,1.0003,1.0003,0.0003,2024-06-28
1.0006,1.0006,1.0006,0.00029991,2024-07-05
1.0006,1.0006,1.0006,0.0,2024-07-12
0.9977,0.9977,0.9977,-0.002898261,2024-07-19
0.9939,0.9939,0.9939,-0.0038087601,2024-07-26
0.9953,0.9953,0.9953,0.0014085924,2024-07-31
0.9963,0.9963,0.9963,0.0010047222,2024-08-02
0.9997,0.9997,0.9997,0.0034126267,2024-08-09
1.0005,1.0005,1.0005,0.0008002401,2024-08-16
1.0011,1.0011,1.0011,0.0005997001,2024-08-23
1.0057,1.0057,1.0057,0.0045949456,2024-08-30
1.0147,1.0147,1.0147,0.0089489908,2024-09-06
1.0259,1.0259,1.0259,0.0110377451,2024-09-13
1.0441,1.0441,1.0441,0.0177405205,2024-09-20
1.0722,1.0722,1.0722,0.0269131309,2024-09-27
1.0743,1.0743,1.0743,0.0019585898,2024-09-30
1.1081,1.1081,1.1081,0.0314623476,2024-10-11
1.0895,1.0895,1.0895,-0.0167854887,2024-10-18
1.0978,1.0978,1.0978,0.0076181735,2024-10-25
1.0901,1.0901,1.0901,-0.0070140281,2024-10-31
1.0952,1.0952,1.0952,0.0046784699,2024-11-01
1.0912,1.0912,1.0912,-0.0036523009,2024-11-08
1.0779,1.0779,1.0779,-0.0121884164,2024-11-15
1.0749,1.0749,1.0749,-0.0027831895,2024-11-22
1.0773,1.0773,1.0773,0.0022327658,2024-11-29
1.071,1.071,1.071,-0.0058479532,2024-12-06
1.0737,1.0737,1.0737,0.0025210084,2024-12-13
1.0746,1.0746,1.0746,0.000838223,2024-12-20
1.0717,1.0717,1.0717,-0.0026986786,2024-12-27
1.0729,1.0729,1.0729,0.0011197163,2024-12-31
1.0743,1.0743,1.0743,0.0013048746,2025-01-03
1.0642,1.0642,1.0642,-0.0094014707,2025-01-10
1.0687,1.0687,1.0687,0.0042285285,2025-01-17
1.0771,1.0771,1.0771,0.0078600168,2025-01-24
1.0756,1.0756,1.0756,-0.0013926284,2025-01-27
1.0899,1.0899,1.0899,0.0132949052,2025-02-07
1.1133,1.1133,1.1133,0.0214698596,2025-02-14
1.1183,1.1183,1.1183,0.0044911524,2025-02-21
1.1196,1.1196,1.1196,0.0011624788,2025-02-28
1.1273,1.1273,1.1273,0.0068774562,2025-03-07
1.1299,1.1299,1.1299,0.0023063958,2025-03-14
1.1171,1.1171,1.1171,-0.0113284361,2025-03-21
1.1207,1.1207,1.1207,0.00322263,2025-03-28
1.1193,1.1193,1.1193,-0.0012492192,2025-03-31
1.1179,1.1179,1.1179,-0.0012507817,2025-04-03
1.0883,1.0883,1.0883,-0.0264782181,2025-04-11
1.1055,1.1055,1.1055,0.0158044657,2025-04-18
1.1151,1.1151,1.1151,0.0086838535,2025-04-25
1.1208,1.1208,1.1208,0.0051116492,2025-04-30
1.1238,1.1238,1.1238,0.0026766595,2025-05-09
1.1244,1.1244,1.1244,0.0005339028,2025-05-16
1.1281,1.1281,1.1281,0.0032906439,2025-05-23
1.1272,1.1272,1.1272,-0.0007978016,2025-05-30
1.1359,1.1359,1.1359,0.0077182399,2025-06-06
1.1486,1.1486,1.1486,0.0111805617,2025-06-13
1.1436,1.1436,1.1436,-0.0043531255,2025-06-20
1.1441,1.1441,1.1441,0.0004372158,2025-06-27
1.1398,1.1398,1.1398,-0.0037584127,2025-06-30
1.1444,1.1444,1.1444,0.0040357958,2025-07-04
1.1455,1.1455,1.1455,0.0009612024,2025-07-11
1.156,1.156,1.156,0.0091663029,2025-07-18
1.1617,1.1617,1.1617,0.0049307958,2025-07-25
1.1673,1.1673,1.1673,0.0048205216,2025-07-31
1.1623,1.1623,1.1623,-0.004283389,2025-08-01
1.1767,1.1767,1.1767,0.0123892283,2025-08-08
1.2033,1.2033,1.2033,0.0226055919,2025-08-15
1.2052,1.2052,1.2052,0.0015789911,2025-08-22
1.2001,1.2001,1.2001,-0.0042316628,2025-08-29
1.2097,1.2097,1.2097,0.0079993334,2025-09-05
1.2175,1.2175,1.2175,0.0064478796,2025-09-12
1.2088,1.2088,1.2088,-0.0071457906,2025-09-19
1.214,1.214,1.214,0.0043017869,2025-09-26
1.2275,1.2275,1.2275,0.0111202636,2025-09-30
1.2152,1.2152,1.2152,-0.0100203666,2025-10-10
1.2036,1.2036,1.2036,-0.0095457538,2025-10-17
1.2071,1.2071,1.2071,0.0029079428,2025-10-24
1.2081,1.2081,1.2081,0.0008284318,2025-10-31
1.2106,1.2106,1.2106,0.0020693651,2025-11-07
1.2185,1.2185,1.2185,0.0065256897,2025-11-14
1.208,1.208,1.208,-0.0086171522,2025-11-21
1.2191,1.2191,1.2191,0.0091887417,2025-11-28
1.2311,1.2311,1.2311,0.009843327,2025-12-05
1.2307,1.2307,1.2307,-0.0003249127,2025-12-12
1.2284,1.2284,1.2284,-0.0018688551,2025-12-19
1.235,1.235,1.235,0.0053728427,2025-12-26
1.2341,1.2341,1.2341,-0.0007287449,2025-12-31
1.2502,1.2502,1.2502,0.0130459444,2026-01-09
1.2613,1.2613,1.2613,0.0088785794,2026-01-16
1.2852,1.2852,1.2852,0.0189487037,2026-01-23
1.2844,1.2844,1.2844,-0.0006224712,2026-01-30
1.2857,1.2857,1.2857,0.0010121457,2026-02-06
1.2863,1.2863,1.2863,0.0004666719,2026-02-13
1.2857,1.2857,1.2857,-0.0004664542,2026-02-27
1.2765,1.2765,1.2765,-0.0071556351,2026-03-06
1.2741,1.2741,1.2741,-0.001880141,2026-03-13
1.262,1.262,1.262,-0.0094968998,2026-03-20
1.2608,1.2608,1.2608,-0.0009508716,2026-03-27
1.2598,1.2598,1.2598,-0.0007931472,2026-04-03
1.2627,1.2627,1.2627,0.0023019527,2026-04-10
1.2733,1.2733,1.2733,0.0083947097,2026-04-17
1.2717,1.2717,1.2717,-0.0012565774,2026-04-24
1.2729,1.2729,1.2729,0.0009436188,2026-04-30
1.281,1.281,1.281,0.0063634221,2026-05-08
1.2711,1.2711,1.2711,-0.0077283372,2026-05-15
1.2658,1.2658,1.2658,-0.0041696169,2026-05-22
