nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-06-11
1.0,1.0,1.0,0.0,2021-06-18
1.0,1.0,1.0,0.0,2021-06-25
1.0,1.0,1.0,0.0,2021-06-30
0.993,0.993,0.993,-0.007,2021-07-02
1.014,1.014,1.014,0.0211480363,2021-07-09
1.021,1.021,1.021,0.0069033531,2021-07-16
1.067,1.067,1.067,0.0450538688,2021-07-23
1.059,1.059,1.059,-0.007497657,2021-07-30
1.064,1.064,1.064,0.0047214353,2021-08-06
1.054,1.054,1.054,-0.0093984962,2021-08-13
1.033,1.033,1.033,-0.0199240987,2021-08-20
1.052,1.052,1.052,0.01839303,2021-08-27
1.069,1.069,1.069,0.0161596958,2021-08-31
1.029,1.029,1.029,-0.0374181478,2021-09-03
1.015,1.015,1.015,-0.0136054422,2021-09-10
0.974,0.974,0.974,-0.0403940887,2021-09-17
0.99,0.99,0.99,0.0164271047,2021-09-24
0.973,0.973,0.973,-0.0171717172,2021-09-30
0.964,0.964,0.964,-0.0092497431,2021-10-08
0.964,0.964,0.964,0.0,2021-10-15
0.978,0.978,0.978,0.0145228216,2021-10-22
1.0,1.0,1.0,0.0224948875,2021-10-25
1.019,1.019,1.019,0.019,2021-10-29
1.001,1.001,1.001,-0.0176643768,2021-11-05
1.008,1.008,1.008,0.006993007,2021-11-08
1.036,1.036,1.036,0.0277777778,2021-11-12
1.058,1.058,1.058,0.0212355212,2021-11-19
1.047,1.047,1.047,-0.0103969754,2021-11-23
1.005,1.005,1.005,-0.0401146132,2021-11-26
1.014,1.014,1.014,0.0089552239,2021-11-30
1.002,1.002,1.002,-0.0118343195,2021-12-03
1.015,1.015,1.015,0.0129740519,2021-12-08
1.022,1.022,1.022,0.0068965517,2021-12-10
0.991,0.991,0.991,-0.030332681,2021-12-17
0.989,0.989,0.989,-0.0020181635,2021-12-23
0.989,0.989,0.989,0.0,2021-12-24
1.001,1.001,1.001,0.0121334681,2021-12-31
0.966,0.966,0.966,-0.034965035,2022-01-07
0.963,0.963,0.963,-0.0031055901,2022-01-10
0.951,0.951,0.951,-0.0124610592,2022-01-14
0.955,0.955,0.955,0.0042060988,2022-01-21
0.956,0.956,0.956,0.0010471204,2022-01-24
0.933,0.933,0.933,-0.0240585774,2022-01-28
0.92,0.92,0.92,-0.0139335477,2022-02-08
0.909,0.909,0.909,-0.0119565217,2022-02-11
0.912,0.912,0.912,0.00330033,2022-02-18
0.917,0.917,0.917,0.0054824561,2022-02-23
0.914,0.914,0.914,-0.0032715376,2022-02-25
0.916,0.916,0.916,0.0021881838,2022-02-28
0.918,0.918,0.918,0.0021834061,2022-03-04
0.889,0.889,0.889,-0.0315904139,2022-03-08
0.899,0.899,0.899,0.0112485939,2022-03-11
0.894,0.894,0.894,-0.0055617353,2022-03-18
0.896,0.896,0.896,0.0022371365,2022-03-23
0.881,0.881,0.881,-0.0167410714,2022-03-25
0.88,0.88,0.88,-0.0011350738,2022-03-31
0.881,0.881,0.881,0.0011363636,2022-04-01
0.866,0.866,0.866,-0.0170261067,2022-04-08
0.876,0.876,0.876,0.0115473441,2022-04-15
0.843,0.843,0.843,-0.0376712329,2022-04-22
0.819,0.819,0.819,-0.0284697509,2022-04-25
0.863,0.863,0.863,0.0537240537,2022-04-29
0.839,0.839,0.839,-0.0278099652,2022-05-06
0.848,0.848,0.848,0.010727056,2022-05-09
0.868,0.868,0.868,0.0235849057,2022-05-13
0.888,0.888,0.888,0.0230414747,2022-05-20
0.872,0.872,0.872,-0.018018018,2022-05-23
0.86,0.86,0.86,-0.0137614679,2022-05-27
0.879,0.879,0.879,0.0220930233,2022-05-31
0.874,0.874,0.874,-0.0056882821,2022-06-02
0.886,0.886,0.886,0.0137299771,2022-06-08
0.884,0.884,0.884,-0.0022573363,2022-06-10
0.889,0.889,0.889,0.0056561086,2022-06-17
0.912,0.912,0.912,0.025871766,2022-06-23
0.936,0.936,0.936,0.0263157895,2022-06-24
0.95,0.95,0.95,0.014957265,2022-06-30
0.94,0.94,0.94,-0.0105263158,2022-07-01
0.915,0.915,0.915,-0.0265957447,2022-07-08
0.915,0.915,0.915,0.0,2022-07-15
0.912,0.912,0.912,-0.0032786885,2022-07-22
0.901,0.901,0.901,-0.0120614035,2022-07-25
0.927,0.927,0.927,0.0288568257,2022-07-29
0.908,0.908,0.908,-0.0204962244,2022-08-05
0.913,0.913,0.913,0.0055066079,2022-08-08
0.923,0.923,0.923,0.0109529025,2022-08-12
0.924,0.924,0.924,0.0010834236,2022-08-19
0.929,0.929,0.929,0.0054112554,2022-08-23
0.917,0.917,0.917,-0.0129171152,2022-08-26
0.943,0.943,0.943,0.0283533261,2022-08-31
0.965,0.965,0.965,0.0233297985,2022-09-02
0.976,0.976,0.976,0.0113989637,2022-09-08
0.97,0.97,0.97,-0.006147541,2022-09-09
0.942,0.942,0.942,-0.0288659794,2022-09-16
0.926,0.926,0.926,-0.016985138,2022-09-23
0.936,0.936,0.936,0.0107991361,2022-09-30
0.931,0.931,0.931,-0.0053418803,2022-10-10
0.944,0.944,0.944,0.0139634801,2022-10-14
0.975,0.975,0.975,0.0328389831,2022-10-21
0.944,0.944,0.944,-0.0317948718,2022-10-24
0.985,0.985,0.985,0.0434322034,2022-10-28
0.989,0.989,0.989,0.0040609137,2022-10-31
1.024,1.024,1.024,0.0353892821,2022-11-04
1.014,1.014,1.014,-0.009765625,2022-11-08
1.0,1.0,1.0,-0.0138067061,2022-11-11
1.011,1.011,1.011,0.011,2022-11-18
0.974,0.974,0.974,-0.0365974283,2022-11-23
0.968,0.968,0.968,-0.0061601643,2022-11-25
1.007,1.007,1.007,0.0402892562,2022-11-30
0.996,0.996,0.996,-0.0109235353,2022-12-02
1.041,1.041,1.041,0.0451807229,2022-12-08
1.044,1.044,1.044,0.0028818444,2022-12-09
1.017,1.017,1.017,-0.025862069,2022-12-16
1.072,1.072,1.072,0.0540806293,2022-12-23
1.074,1.074,1.074,0.0018656716,2022-12-26
1.074,1.074,1.074,0.0,2022-12-27
1.058,1.058,1.058,-0.0148975791,2022-12-28
1.048,1.048,1.048,-0.0094517958,2022-12-29
1.066,1.066,1.066,0.0171755725,2022-12-30
1.053,1.059,1.059,-0.0065666041,2023-01-03
1.09,1.096,1.09621083,0.0351377018,2023-01-06
1.125,1.131,1.13141026,0.0321100917,2023-01-09
1.144,1.15,1.15051852,0.0168888889,2023-01-13
1.166,1.172,1.17264387,0.0192307692,2023-01-20
1.139,1.145,1.14549003,-0.0231560892,2023-01-30
1.117,1.123,1.12336467,-0.0193151888,2023-01-31
1.121,1.127,1.12738746,0.0035810206,2023-02-03
1.09,1.096,1.09621083,-0.0276538805,2023-02-08
1.105,1.111,1.1112963,0.0137614679,2023-02-10
1.082,1.088,1.08816524,-0.0208144796,2023-02-17
1.07,1.076,1.07609687,-0.011090573,2023-02-23
1.068,1.074,1.07408547,-0.0018691589,2023-02-24
1.072,1.078,1.07810826,0.0037453184,2023-02-28
1.102,1.108,1.1082792,0.0279850746,2023-03-03
1.074,1.08,1.08011966,-0.0254083485,2023-03-08
1.049,1.055,1.05497721,-0.0232774674,2023-03-10
1.05,1.056,1.05598291,0.0009532888,2023-03-17
1.05,1.056,1.05598291,0.0,2023-03-23
1.036,1.042,1.04190313,-0.0133333333,2023-03-24
1.05,1.056,1.05598291,0.0135135135,2023-03-31
1.062,1.068,1.06805128,0.0114285714,2023-04-07
1.034,1.04,1.03989174,-0.0263653484,2023-04-10
1.001,1.007,1.0067037,-0.0319148936,2023-04-14
0.976,0.982,0.98156125,-0.024975025,2023-04-21
0.982,0.988,0.98759544,0.006147541,2023-04-24
0.968,0.974,0.97351567,-0.0142566191,2023-04-28
0.951,0.957,0.9564188,-0.0175619835,2023-05-05
0.946,0.952,0.95139031,-0.0052576236,2023-05-08
0.911,0.917,0.91619088,-0.0369978858,2023-05-12
0.907,0.913,0.91216809,-0.0043907794,2023-05-19
0.899,0.905,0.90412251,-0.0088202867,2023-05-23
0.891,0.897,0.89607692,-0.0088987764,2023-05-26
0.876,0.882,0.88099145,-0.0168350168,2023-05-31
0.898,0.904,0.90311681,0.0251141553,2023-06-02
0.892,0.898,0.89708262,-0.0066815145,2023-06-08
0.905,0.911,0.9101567,0.014573991,2023-06-09
0.902,0.908,0.9071396,-0.0033149171,2023-06-12
0.902,0.908,0.9071396,0.0,2023-06-13
0.904,0.91,0.909151,0.0022172949,2023-06-14
0.91,0.916,0.91518519,0.0066371681,2023-06-15
0.913,0.919,0.91820228,0.0032967033,2023-06-16
0.901,0.907,0.9061339,-0.013143483,2023-06-19
0.89,0.896,0.89507123,-0.012208657,2023-06-20
0.876,0.882,0.88099145,-0.0157303371,2023-06-21
0.865,0.871,0.86992877,-0.0125570776,2023-06-26
0.877,0.883,0.88199715,0.0138728324,2023-06-27
0.874,0.88,0.87898006,-0.0034207526,2023-06-28
0.871,0.877,0.87596296,-0.0034324943,2023-06-29
0.877,0.883,0.88199715,0.0068886338,2023-06-30
0.881,0.887,0.88601994,0.0045610034,2023-07-03
0.887,0.893,0.89205413,0.0068104427,2023-07-04
0.88,0.886,0.88501425,-0.00789177,2023-07-05
0.875,0.881,0.87998575,-0.0056818182,2023-07-06
0.872,0.878,0.87696866,-0.0034285714,2023-07-07
0.868,0.874,0.87294587,-0.004587156,2023-07-10
0.871,0.877,0.87596296,0.0034562212,2023-07-14
0.856,0.862,0.86087749,-0.0172215844,2023-07-21
0.856,0.862,0.86087749,0.0,2023-07-24
0.864,0.87,0.86892308,0.0093457944,2023-07-25
0.86,0.866,0.86490028,-0.0046296296,2023-07-26
0.859,0.865,0.86389459,-0.0011627907,2023-07-27
0.874,0.88,0.87898006,0.0174621653,2023-07-28
0.877,0.883,0.88199715,0.0034324943,2023-07-31
0.878,0.884,0.88300285,0.0011402509,2023-08-01
0.872,0.878,0.87696866,-0.006833713,2023-08-02
0.876,0.882,0.88099145,0.004587156,2023-08-03
0.878,0.884,0.88300285,0.002283105,2023-08-04
0.867,0.873,0.87194017,-0.0125284738,2023-08-07
0.862,0.868,0.86691168,-0.0057670127,2023-08-08
0.861,0.867,0.86590598,-0.0011600928,2023-08-09
0.86,0.866,0.86490028,-0.0011614402,2023-08-10
0.847,0.853,0.85182621,-0.0151162791,2023-08-11
0.845,0.851,0.84981481,-0.0023612751,2023-08-14
0.841,0.847,0.84579202,-0.0047337278,2023-08-15
0.836,0.842,0.84076353,-0.0059453032,2023-08-16
0.849,0.855,0.85383761,0.0155502392,2023-08-17
0.836,0.842,0.84076353,-0.0153121319,2023-08-18
0.839,0.845,0.84378063,0.0035885167,2023-08-21
0.841,0.847,0.84579202,0.0023837902,2023-08-22
0.833,0.839,0.83774644,-0.0095124851,2023-08-23
0.846,0.852,0.85082051,0.0156062425,2023-08-24
0.842,0.848,0.84679772,-0.0047281324,2023-08-25
0.848,0.854,0.85283191,0.0071258907,2023-08-28
0.851,0.857,0.855849,0.0035377358,2023-08-29
0.857,0.863,0.86188319,0.0070505288,2023-08-30
0.856,0.862,0.86087749,-0.0011668611,2023-08-31
0.857,0.863,0.86188319,0.0011682243,2023-09-01
0.858,0.864,0.86288889,0.0011668611,2023-09-04
0.857,0.863,0.86188319,-0.0011655012,2023-09-05
0.856,0.862,0.86087749,-0.0011668611,2023-09-06
