nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-07-17
1.0,1.0,1.0,0.0,2020-07-20
1.0,1.0,1.0,0.0,2020-07-21
1.0,1.0,1.0,0.0,2020-07-22
1.0,1.0,1.0,0.0,2020-07-23
1.0,1.0,1.0,0.0,2020-07-24
0.999,0.999,0.999,-0.001,2020-07-27
0.999,0.999,0.999,0.0,2020-07-28
0.999,0.999,0.999,0.0,2020-07-29
0.999,0.999,0.999,0.0,2020-07-30
0.999,0.999,0.999,0.0,2020-07-31
0.999,0.999,0.999,0.0,2020-08-03
0.999,0.999,0.999,0.0,2020-08-04
0.998,0.998,0.998,-0.001001001,2020-08-05
0.997,0.997,0.997,-0.001002004,2020-08-06
0.993,0.993,0.993,-0.0040120361,2020-08-07
0.997,0.997,0.997,0.0040281974,2020-08-10
0.976,0.976,0.976,-0.0210631896,2020-08-11
0.98,0.98,0.98,0.0040983607,2020-08-12
0.976,0.976,0.976,-0.0040816327,2020-08-13
0.985,0.985,0.985,0.0092213115,2020-08-14
1.004,1.004,1.004,0.0192893401,2020-08-17
0.991,0.991,0.991,-0.0129482072,2020-08-18
0.971,0.971,0.971,-0.0201816347,2020-08-19
0.941,0.941,0.941,-0.0308959835,2020-08-20
0.962,0.962,0.962,0.0223166844,2020-08-21
0.991,0.991,0.991,0.0301455301,2020-08-24
0.981,0.981,0.981,-0.0100908174,2020-08-25
0.942,0.942,0.942,-0.0397553517,2020-08-26
1.003,1.003,1.003,0.0647558386,2020-08-27
1.007,1.007,1.007,0.0039880359,2020-08-28
1.105,1.105,1.105,0.0973187686,2020-08-31
1.258,1.258,1.258,0.1384615385,2020-09-01
1.323,1.323,1.323,0.0516693164,2020-09-02
1.231,1.231,1.231,-0.0695389267,2020-09-03
1.228,1.228,1.228,-0.0024370431,2020-09-04
1.205,1.205,1.205,-0.0187296417,2020-09-07
1.152,1.152,1.152,-0.0439834025,2020-09-08
1.13,1.13,1.13,-0.0190972222,2020-09-09
1.034,1.034,1.034,-0.0849557522,2020-09-10
1.071,1.071,1.071,0.0357833656,2020-09-11
1.074,1.074,1.074,0.0028011204,2020-09-14
1.048,1.048,1.048,-0.0242085661,2020-09-15
1.03,1.03,1.03,-0.0171755725,2020-09-16
1.023,1.023,1.023,-0.0067961165,2020-09-17
1.033,1.033,1.033,0.0097751711,2020-09-18
1.11,1.11,1.11,0.0745401742,2020-09-21
1.058,1.058,1.058,-0.0468468468,2020-09-22
1.05,1.05,1.05,-0.0075614367,2020-09-23
1.009,1.009,1.009,-0.039047619,2020-09-24
0.971,0.971,0.971,-0.0376610505,2020-09-25
0.914,0.914,0.914,-0.0587023687,2020-09-28
0.969,0.969,0.969,0.0601750547,2020-09-29
0.96,0.96,0.96,-0.0092879257,2020-09-30
1.063,1.063,1.063,0.1072916667,2020-10-09
1.142,1.142,1.142,0.074317968,2020-10-12
1.169,1.169,1.169,0.023642732,2020-10-13
1.137,1.137,1.137,-0.0273738238,2020-10-14
1.09,1.09,1.09,-0.0413368514,2020-10-15
1.086,1.086,1.086,-0.0036697248,2020-10-16
1.108,1.108,1.108,0.0202578269,2020-10-19
1.169,1.169,1.169,0.0550541516,2020-10-20
1.118,1.118,1.118,-0.0436270317,2020-10-21
1.104,1.104,1.104,-0.0125223614,2020-10-22
1.097,1.097,1.097,-0.0063405797,2020-10-23
1.112,1.112,1.112,0.0136736554,2020-10-26
1.114,1.114,1.114,0.0017985612,2020-10-27
1.105,1.105,1.105,-0.0080789946,2020-10-28
1.065,1.065,1.065,-0.036199095,2020-10-29
