nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-12-17
1.0001,1.0001,1.0001,0.0001,2020-12-18
1.0002,1.0002,1.0002,9.999e-05,2020-12-21
1.0002,1.0002,1.0002,0.0,2020-12-22
1.0002,1.0002,1.0002,0.0,2020-12-23
1.0003,1.0003,1.0003,9.998e-05,2020-12-24
1.0003,1.0003,1.0003,0.0,2020-12-25
1.0004,1.0004,1.0004,9.997e-05,2020-12-28
1.0001,1.0001,1.0001,-0.00029988,2020-12-29
0.9996,0.9996,0.9996,-0.00049995,2020-12-30
1.0028,1.0028,1.0028,0.0032012805,2020-12-31
1.0189,1.0189,1.0189,0.0160550459,2021-01-04
1.0299,1.0299,1.0299,0.0107959564,2021-01-05
1.0195,1.0195,1.0195,-0.0100980678,2021-01-06
1.0058,1.0058,1.0058,-0.0134379598,2021-01-07
1.0066,1.0066,1.0066,0.0007953868,2021-01-08
0.9935,0.9935,0.9935,-0.0130141069,2021-01-11
0.9983,0.9983,0.9983,0.0048314041,2021-01-12
0.9809,0.9809,0.9809,-0.0174296304,2021-01-13
0.9889,0.9889,0.9889,0.0081557753,2021-01-14
0.9932,0.9932,0.9932,0.0043482657,2021-01-15
0.9982,0.9982,0.9982,0.0050342328,2021-01-18
1.0027,1.0027,1.0027,0.0045081146,2021-01-19
1.0029,1.0029,1.0029,0.0001994615,2021-01-20
1.0207,1.0207,1.0207,0.0177485293,2021-01-21
1.0263,1.0263,1.0263,0.0054864309,2021-01-22
1.0364,1.0364,1.0364,0.009841177,2021-01-25
1.0541,1.0541,1.0541,0.0170783481,2021-01-26
1.0615,1.0615,1.0615,0.0070202068,2021-01-27
1.0539,1.0539,1.0539,-0.0071596797,2021-01-28
1.0259,1.0259,1.0259,-0.0265679856,2021-01-29
1.0269,1.0269,1.0269,0.0009747539,2021-02-01
1.0263,1.0263,1.0263,-0.0005842828,2021-02-02
1.0197,1.0197,1.0197,-0.0064308682,2021-02-03
1.0054,1.0054,1.0054,-0.0140237325,2021-02-04
0.9977,0.9977,0.9977,-0.0076586433,2021-02-05
0.9981,0.9981,0.9981,0.0004009221,2021-02-08
1.012,1.012,1.012,0.0139264603,2021-02-09
1.0173,1.0173,1.0173,0.0052371542,2021-02-10
1.0248,1.0248,1.0248,0.0073724565,2021-02-18
1.0418,1.0418,1.0418,0.0165886027,2021-02-19
1.0462,1.0462,1.0462,0.0042234594,2021-02-22
1.0413,1.0413,1.0413,-0.0046836169,2021-02-23
1.0329,1.0329,1.0329,-0.0080668395,2021-02-24
1.0222,1.0222,1.0222,-0.0103591829,2021-02-25
1.0117,1.0117,1.0117,-0.0102719624,2021-02-26
1.022,1.022,1.022,0.0101808837,2021-03-01
1.0187,1.0187,1.0187,-0.0032289628,2021-03-02
1.0322,1.0322,1.0322,0.0132521842,2021-03-03
1.0214,1.0214,1.0214,-0.0104630885,2021-03-04
1.0271,1.0271,1.0271,0.0055805757,2021-03-05
1.0239,1.0239,1.0239,-0.0031155681,2021-03-08
1.0083,1.0083,1.0083,-0.0152358629,2021-03-09
1.0224,1.0224,1.0224,0.0139839334,2021-03-10
1.044,1.044,1.044,0.0211267606,2021-03-11
1.0366,1.0366,1.0366,-0.0070881226,2021-03-12
1.0348,1.0348,1.0348,-0.0017364461,2021-03-15
1.0411,1.0411,1.0411,0.006088133,2021-03-16
1.0409,1.0409,1.0409,-0.0001921045,2021-03-17
1.0404,1.0404,1.0404,-0.0004803535,2021-03-18
1.0376,1.0376,1.0376,-0.0026912726,2021-03-19
1.0512,1.0512,1.0512,0.0131071704,2021-03-22
1.0394,1.0394,1.0394,-0.0112252664,2021-03-23
1.0274,1.0274,1.0274,-0.0115451222,2021-03-24
1.0215,1.0215,1.0215,-0.0057426514,2021-03-25
1.0322,1.0322,1.0322,0.010474792,2021-03-26
1.0372,1.0372,1.0372,0.0048440225,2021-03-29
1.0369,1.0369,1.0369,-0.0002892403,2021-03-30
1.0286,1.0286,1.0286,-0.0080046292,2021-03-31
1.0372,1.0372,1.0372,0.0083608789,2021-04-01
1.0426,1.0426,1.0426,0.0052063247,2021-04-02
1.0494,1.0494,1.0494,0.0065221561,2021-04-06
1.0591,1.0591,1.0591,0.0092433772,2021-04-07
1.0586,1.0586,1.0586,-0.000472099,2021-04-08
1.0594,1.0594,1.0594,0.0007557151,2021-04-09
1.0514,1.0514,1.0514,-0.0075514442,2021-04-12
1.0456,1.0456,1.0456,-0.0055164543,2021-04-13
1.0528,1.0528,1.0528,0.0068859985,2021-04-14
1.0478,1.0478,1.0478,-0.0047492401,2021-04-15
1.0523,1.0523,1.0523,0.0042947127,2021-04-16
1.0613,1.0613,1.0613,0.0085526941,2021-04-19
1.0622,1.0622,1.0622,0.0008480166,2021-04-20
1.058,1.058,1.058,-0.0039540576,2021-04-21
1.0656,1.0656,1.0656,0.0071833648,2021-04-22
1.0649,1.0649,1.0649,-0.0006569069,2021-04-23
1.0587,1.0587,1.0587,-0.0058221429,2021-04-26
1.0545,1.0545,1.0545,-0.0039671295,2021-04-27
1.052,1.052,1.052,-0.0023707918,2021-04-28
1.0505,1.0505,1.0505,-0.0014258555,2021-04-29
1.0505,1.0505,1.0505,0.0,2021-04-30
1.0712,1.0712,1.0712,0.0197049024,2021-05-06
1.0746,1.0746,1.0746,0.0031740105,2021-05-07
1.1101,1.1101,1.1101,0.0330355481,2021-05-10
1.1252,1.1252,1.1252,0.0136023782,2021-05-11
