nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-07-24
1.0,1.0,1.0,0.0,2020-07-27
1.0,1.0,1.0,0.0,2020-07-28
1.0,1.0,1.0,0.0,2020-07-29
1.0,1.0,1.0,0.0,2020-07-30
1.0,1.0,1.0,0.0,2020-07-31
1.0,1.0,1.0,0.0,2020-08-03
0.999,0.999,0.999,-0.001,2020-08-04
0.999,0.999,0.999,0.0,2020-08-05
0.999,0.999,0.999,0.0,2020-08-06
0.999,0.999,0.999,0.0,2020-08-07
0.999,0.999,0.999,0.0,2020-08-10
0.999,0.999,0.999,0.0,2020-08-11
1.016,1.016,1.016,0.017017017,2020-08-12
1.015,1.015,1.015,-0.000984252,2020-08-13
1.021,1.021,1.021,0.00591133,2020-08-14
1.038,1.038,1.038,0.0166503428,2020-08-17
1.046,1.046,1.046,0.0077071291,2020-08-18
1.03,1.03,1.03,-0.0152963671,2020-08-19
1.023,1.023,1.023,-0.0067961165,2020-08-20
1.028,1.028,1.028,0.0048875855,2020-08-21
1.034,1.034,1.034,0.0058365759,2020-08-24
1.034,1.034,1.034,0.0,2020-08-25
1.014,1.014,1.014,-0.0193423598,2020-08-26
1.031,1.031,1.031,0.016765286,2020-08-27
1.034,1.034,1.034,0.0029097963,2020-08-28
1.034,1.034,1.034,0.0,2020-08-31
1.044,1.044,1.044,0.0096711799,2020-09-01
1.057,1.057,1.057,0.0124521073,2020-09-02
1.044,1.044,1.044,-0.0122989593,2020-09-03
1.049,1.049,1.049,0.004789272,2020-09-04
1.052,1.052,1.052,0.0028598665,2020-09-07
1.068,1.068,1.068,0.0152091255,2020-09-08
1.045,1.045,1.045,-0.0215355805,2020-09-09
0.995,0.995,0.995,-0.04784689,2020-09-10
1.003,1.003,1.003,0.008040201,2020-09-11
1.027,1.027,1.027,0.0239282154,2020-09-14
1.023,1.023,1.023,-0.0038948393,2020-09-15
1.015,1.015,1.015,-0.0078201369,2020-09-16
1.015,1.015,1.015,0.0,2020-09-17
1.029,1.029,1.029,0.0137931034,2020-09-18
1.022,1.022,1.022,-0.0068027211,2020-09-21
1.004,1.004,1.004,-0.0176125245,2020-09-22
1.011,1.011,1.011,0.0069721116,2020-09-23
0.982,0.982,0.982,-0.0286844708,2020-09-24
0.975,0.975,0.975,-0.0071283096,2020-09-25
0.956,0.956,0.956,-0.0194871795,2020-09-28
0.962,0.962,0.962,0.0062761506,2020-09-29
0.956,0.956,0.956,-0.0062370062,2020-09-30
0.983,0.983,0.983,0.0282426778,2020-10-09
1.01,1.01,1.01,0.0274669379,2020-10-12
1.011,1.011,1.011,0.000990099,2020-10-13
1.005,1.005,1.005,-0.0059347181,2020-10-14
1.002,1.002,1.002,-0.0029850746,2020-10-15
1.005,1.005,1.005,0.002994012,2020-10-16
1.001,1.001,1.001,-0.0039800995,2020-10-19
1.014,1.014,1.014,0.012987013,2020-10-20
1.003,1.003,1.003,-0.0108481262,2020-10-21
1.004,1.004,1.004,0.000997009,2020-10-22
0.995,0.995,0.995,-0.0089641434,2020-10-23
0.996,0.996,0.996,0.0010050251,2020-10-26
0.992,0.992,0.992,-0.0040160643,2020-10-27
1.002,1.002,1.002,0.0100806452,2020-10-28
1.008,1.008,1.008,0.005988024,2020-10-29
0.973,0.973,0.973,-0.0347222222,2020-10-30
0.975,0.975,0.975,0.0020554985,2020-11-02
0.997,0.997,0.997,0.0225641026,2020-11-03
0.995,0.995,0.995,-0.0020060181,2020-11-04
1.009,1.009,1.009,0.0140703518,2020-11-05
0.999,0.999,0.999,-0.0099108028,2020-11-06
1.015,1.015,1.015,0.016016016,2020-11-09
1.006,1.006,1.006,-0.0088669951,2020-11-10
0.998,0.998,0.998,-0.0079522863,2020-11-11
1.0,1.0,1.0,0.002004008,2020-11-12
1.001,1.001,1.001,0.001,2020-11-13
1.015,1.015,1.015,0.013986014,2020-11-16
1.011,1.011,1.011,-0.0039408867,2020-11-17
1.017,1.017,1.017,0.0059347181,2020-11-18
1.022,1.022,1.022,0.0049164208,2020-11-19
1.034,1.034,1.034,0.011741683,2020-11-20
1.035,1.035,1.035,0.000967118,2020-11-23
1.042,1.042,1.042,0.006763285,2020-11-24
1.026,1.026,1.026,-0.0153550864,2020-11-25
1.018,1.018,1.018,-0.007797271,2020-11-26
1.019,1.019,1.019,0.0009823183,2020-11-27
1.021,1.021,1.021,0.0019627085,2020-11-30
1.03,1.03,1.03,0.0088148874,2020-12-01
1.03,1.03,1.03,0.0,2020-12-02
1.028,1.028,1.028,-0.0019417476,2020-12-03
1.031,1.031,1.031,0.0029182879,2020-12-04
1.026,1.026,1.026,-0.0048496605,2020-12-07
1.028,1.028,1.028,0.0019493177,2020-12-08
1.005,1.005,1.005,-0.0223735409,2020-12-09
1.001,1.001,1.001,-0.0039800995,2020-12-10
0.98,0.98,0.98,-0.020979021,2020-12-11
0.986,0.986,0.986,0.006122449,2020-12-14
0.989,0.989,0.989,0.0030425963,2020-12-15
0.976,0.976,0.976,-0.0131445905,2020-12-16
0.99,0.99,0.99,0.0143442623,2020-12-17
0.984,0.984,0.984,-0.0060606061,2020-12-18
0.998,0.998,0.998,0.0142276423,2020-12-21
0.981,0.981,0.981,-0.0170340681,2020-12-22
0.989,0.989,0.989,0.0081549439,2020-12-23
0.966,0.966,0.966,-0.023255814,2020-12-24
0.97,0.97,0.97,0.0041407867,2020-12-25
0.959,0.959,0.959,-0.0113402062,2020-12-28
0.959,0.959,0.959,0.0,2020-12-29
0.961,0.961,0.961,0.0020855057,2020-12-30
0.973,0.973,0.973,0.0124869927,2020-12-31
0.988,0.988,0.988,0.0154162384,2021-01-04
0.98,0.98,0.98,-0.008097166,2021-01-05
0.967,0.967,0.967,-0.0132653061,2021-01-06
0.931,0.931,0.931,-0.0372285419,2021-01-07
0.933,0.933,0.933,0.0021482277,2021-01-08
0.918,0.918,0.918,-0.0160771704,2021-01-11
0.923,0.923,0.923,0.0054466231,2021-01-12
0.914,0.914,0.914,-0.0097508126,2021-01-13
0.918,0.918,0.918,0.0043763676,2021-01-14
0.934,0.934,0.934,0.0174291939,2021-01-15
0.944,0.944,0.944,0.0107066381,2021-01-18
0.954,0.954,0.954,0.0105932203,2021-01-19
0.951,0.951,0.951,-0.0031446541,2021-01-20
0.953,0.953,0.953,0.0021030494,2021-01-21
0.943,0.943,0.943,-0.0104931794,2021-01-22
0.921,0.921,0.921,-0.0233297985,2021-01-25
0.918,0.918,0.918,-0.003257329,2021-01-26
0.922,0.922,0.922,0.0043572985,2021-01-27
0.914,0.914,0.914,-0.0086767896,2021-01-28
0.895,0.895,0.895,-0.0207877462,2021-01-29
0.894,0.894,0.894,-0.0011173184,2021-02-01
0.891,0.891,0.891,-0.0033557047,2021-02-02
0.878,0.878,0.878,-0.0145903479,2021-02-03
0.863,0.863,0.863,-0.0170842825,2021-02-04
0.858,0.858,0.858,-0.0057937428,2021-02-05
0.859,0.859,0.859,0.0011655012,2021-02-08
0.88,0.88,0.88,0.0244470314,2021-02-09
0.88,0.88,0.88,0.0,2021-02-10
0.898,0.898,0.898,0.0204545455,2021-02-18
0.925,0.925,0.925,0.0300668151,2021-02-19
0.936,0.936,0.936,0.0118918919,2021-02-22
0.929,0.929,0.929,-0.0074786325,2021-02-23
0.935,0.935,0.935,0.0064585576,2021-02-24
0.925,0.925,0.925,-0.0106951872,2021-02-25
0.925,0.925,0.925,0.0,2021-02-26
0.941,0.941,0.941,0.0172972973,2021-03-01
0.934,0.934,0.934,-0.0074388948,2021-03-02
0.944,0.944,0.944,0.0107066381,2021-03-03
0.94,0.94,0.94,-0.0042372881,2021-03-04
0.954,0.954,0.954,0.014893617,2021-03-05
0.945,0.945,0.945,-0.0094339623,2021-03-08
0.938,0.938,0.938,-0.0074074074,2021-03-09
0.923,0.923,0.923,-0.0159914712,2021-03-10
0.942,0.942,0.942,0.0205850488,2021-03-11
0.939,0.939,0.939,-0.0031847134,2021-03-12
0.945,0.945,0.945,0.0063897764,2021-03-15
0.958,0.958,0.958,0.0137566138,2021-03-16
0.967,0.967,0.967,0.009394572,2021-03-17
0.961,0.961,0.961,-0.006204757,2021-03-18
0.958,0.958,0.958,-0.0031217482,2021-03-19
0.972,0.972,0.972,0.0146137787,2021-03-22
0.965,0.965,0.965,-0.0072016461,2021-03-23
0.965,0.965,0.965,0.0,2021-03-24
0.965,0.965,0.965,0.0,2021-03-25
0.966,0.966,0.966,0.0010362694,2021-03-26
0.964,0.964,0.964,-0.0020703934,2021-03-29
0.953,0.953,0.953,-0.0114107884,2021-03-30
0.954,0.954,0.954,0.0010493179,2021-03-31
0.953,0.953,0.953,-0.001048218,2021-04-01
0.956,0.956,0.956,0.0031479538,2021-04-02
0.975,0.975,0.975,0.019874477,2021-04-06
0.982,0.982,0.982,0.0071794872,2021-04-07
0.973,0.973,0.973,-0.0091649695,2021-04-08
0.973,0.973,0.973,0.0,2021-04-09
0.972,0.972,0.972,-0.0010277492,2021-04-12
0.972,0.972,0.972,0.0,2021-04-13
0.972,0.972,0.972,0.0,2021-04-14
0.973,0.973,0.973,0.0010288066,2021-04-15
0.997,0.997,0.997,0.0246659815,2021-04-16
1.01,1.01,1.01,0.0130391174,2021-04-19
1.01,1.01,1.01,0.0,2021-04-20
1.01,1.01,1.01,0.0,2021-04-21
1.01,1.01,1.01,0.0,2021-04-22
1.01,1.01,1.01,0.0,2021-04-23
1.009,1.009,1.009,-0.000990099,2021-04-26
1.009,1.009,1.009,0.0,2021-04-27
1.009,1.009,1.009,0.0,2021-04-28
1.009,1.009,1.009,0.0,2021-04-29
1.009,1.009,1.009,0.0,2021-04-30
1.009,1.009,1.009,0.0,2021-05-06
1.001,1.001,1.001,-0.0079286422,2021-05-07
1.006,1.006,1.006,0.004995005,2021-05-10
1.02,1.02,1.02,0.013916501,2021-05-11
1.027,1.027,1.027,0.0068627451,2021-05-12
1.03,1.03,1.03,0.0029211295,2021-05-13
1.039,1.039,1.039,0.0087378641,2021-05-14
1.025,1.025,1.025,-0.0134744947,2021-05-17
1.022,1.022,1.022,-0.0029268293,2021-05-18
1.023,1.023,1.023,0.0009784736,2021-05-19
1.022,1.022,1.022,-0.0009775171,2021-05-20
1.019,1.019,1.019,-0.0029354207,2021-05-21
1.024,1.024,1.024,0.0049067713,2021-05-24
1.021,1.021,1.021,-0.0029296875,2021-05-25
1.025,1.025,1.025,0.0039177277,2021-05-26
1.03,1.03,1.03,0.0048780488,2021-05-27
1.021,1.021,1.021,-0.0087378641,2021-05-28
1.029,1.029,1.029,0.0078354554,2021-05-31
1.035,1.035,1.035,0.0058309038,2021-06-01
1.032,1.032,1.032,-0.0028985507,2021-06-02
1.032,1.032,1.032,0.0,2021-06-03
1.037,1.037,1.037,0.0048449612,2021-06-04
1.037,1.037,1.037,0.0,2021-06-07
1.036,1.036,1.036,-0.0009643202,2021-06-08
1.046,1.046,1.046,0.0096525097,2021-06-09
1.061,1.061,1.061,0.0143403442,2021-06-10
1.056,1.056,1.056,-0.0047125353,2021-06-11
1.044,1.044,1.044,-0.0113636364,2021-06-15
1.043,1.043,1.043,-0.0009578544,2021-06-16
1.043,1.043,1.043,0.0,2021-06-17
1.047,1.047,1.047,0.0038350911,2021-06-18
1.059,1.059,1.059,0.0114613181,2021-06-21
1.067,1.067,1.067,0.0075542965,2021-06-22
1.072,1.072,1.072,0.0046860356,2021-06-23
1.069,1.069,1.069,-0.0027985075,2021-06-24
1.066,1.066,1.066,-0.0028063611,2021-06-25
1.069,1.069,1.069,0.0028142589,2021-06-28
1.056,1.056,1.056,-0.012160898,2021-06-29
1.056,1.056,1.056,0.0,2021-06-30
1.056,1.056,1.056,0.0,2021-07-01
1.055,1.055,1.055,-0.0009469697,2021-07-02
1.056,1.056,1.056,0.0009478673,2021-07-05
1.055,1.055,1.055,-0.0009469697,2021-07-06
1.059,1.059,1.059,0.0037914692,2021-07-07
1.053,1.053,1.053,-0.0056657224,2021-07-08
1.068,1.068,1.068,0.0142450142,2021-07-09
1.077,1.077,1.077,0.0084269663,2021-07-12
1.083,1.083,1.083,0.0055710306,2021-07-13
1.079,1.079,1.079,-0.0036934441,2021-07-14
1.063,1.063,1.063,-0.0148285449,2021-07-15
1.062,1.062,1.062,-0.0009407338,2021-07-16
1.062,1.062,1.062,0.0,2021-07-19
1.062,1.062,1.062,0.0,2021-07-20
1.061,1.061,1.061,-0.0009416196,2021-07-21
1.065,1.065,1.065,0.0037700283,2021-07-22
1.05,1.05,1.05,-0.014084507,2021-07-23
1.041,1.041,1.041,-0.0085714286,2021-07-26
1.041,1.041,1.041,0.0,2021-07-27
1.041,1.041,1.041,0.0,2021-07-28
1.041,1.041,1.041,0.0,2021-07-29
1.045,1.045,1.045,0.0038424592,2021-07-30
1.064,1.064,1.064,0.0181818182,2021-08-02
1.063,1.063,1.063,-0.0009398496,2021-08-03
1.069,1.069,1.069,0.0056444026,2021-08-04
1.063,1.063,1.063,-0.0056127222,2021-08-05
1.059,1.059,1.059,-0.0037629351,2021-08-06
1.061,1.061,1.061,0.0018885741,2021-08-09
1.07,1.07,1.07,0.0084825636,2021-08-10
1.081,1.081,1.081,0.0102803738,2021-08-11
1.077,1.077,1.077,-0.0037002775,2021-08-12
1.08,1.08,1.08,0.0027855153,2021-08-13
1.083,1.083,1.083,0.0027777778,2021-08-16
1.078,1.078,1.078,-0.0046168052,2021-08-17
1.078,1.078,1.078,0.0,2021-08-18
1.078,1.078,1.078,0.0,2021-08-19
1.078,1.078,1.078,0.0,2021-08-20
1.08,1.08,1.08,0.0018552876,2021-08-23
1.085,1.085,1.085,0.0046296296,2021-08-24
1.094,1.094,1.094,0.0082949309,2021-08-25
1.093,1.093,1.093,-0.0009140768,2021-08-26
1.083,1.083,1.083,-0.0091491308,2021-08-27
1.083,1.083,1.083,0.0,2021-08-30
1.083,1.083,1.083,0.0,2021-08-31
1.082,1.082,1.082,-0.000923361,2021-09-01
1.084,1.084,1.084,0.0018484288,2021-09-02
1.092,1.092,1.092,0.0073800738,2021-09-03
1.097,1.097,1.097,0.0045787546,2021-09-06
1.114,1.114,1.114,0.0154968095,2021-09-07
1.138,1.138,1.138,0.0215439856,2021-09-08
1.132,1.132,1.132,-0.0052724077,2021-09-09
1.121,1.121,1.121,-0.0097173145,2021-09-10
1.121,1.121,1.121,0.0,2021-09-13
1.121,1.121,1.121,0.0,2021-09-14
1.121,1.121,1.121,0.0,2021-09-15
1.121,1.121,1.121,0.0,2021-09-16
1.121,1.121,1.121,0.0,2021-09-17
1.121,1.121,1.121,0.0,2021-09-22
1.12,1.12,1.12,-0.0008920607,2021-09-23
1.1,1.1,1.1,-0.0178571429,2021-09-24
