nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-09-22
1.0,1.0,1.0,0.0,2021-09-24
1.0,1.0,1.0,0.0,2021-09-30
1.103,1.103,1.103,0.103,2021-10-08
1.023,1.023,1.023,-0.0725294651,2021-10-15
1.023,1.023,1.023,0.0,2021-10-22
1.014,1.014,1.014,-0.008797654,2021-10-29
1.002,1.002,1.002,-0.0118343195,2021-11-04
0.984,0.984,0.984,-0.0179640719,2021-11-05
1.033,1.033,1.033,0.049796748,2021-11-12
1.029,1.029,1.029,-0.0038722168,2021-11-19
1.032,1.032,1.032,0.0029154519,2021-11-26
1.028,1.028,1.028,-0.003875969,2021-11-30
1.019,1.019,1.019,-0.0087548638,2021-12-03
1.035,1.035,1.035,0.0157016683,2021-12-10
1.02,1.02,1.02,-0.0144927536,2021-12-17
1.017,1.017,1.017,-0.0029411765,2021-12-24
1.028,1.028,1.028,0.0108161259,2021-12-31
0.982,0.982,0.982,-0.0447470817,2022-01-07
0.997,0.997,0.997,0.0152749491,2022-01-14
0.984,0.984,0.984,-0.0130391174,2022-01-21
0.975,0.975,0.975,-0.0091463415,2022-01-28
0.959,0.959,0.959,-0.0164102564,2022-02-11
0.977,0.977,0.977,0.0187695516,2022-02-18
0.996,0.996,0.996,0.0194472876,2022-02-25
0.993,0.993,0.993,-0.0030120482,2022-02-28
0.972,0.972,0.972,-0.0211480363,2022-03-04
0.969,0.969,0.969,-0.0030864198,2022-03-11
0.96,0.96,0.96,-0.0092879257,2022-03-18
0.963,0.963,0.963,0.003125,2022-03-25
0.962,0.962,0.962,-0.0010384216,2022-03-31
0.966,0.966,0.966,0.0041580042,2022-04-01
0.966,0.966,0.966,0.0,2022-04-08
0.964,0.964,0.964,-0.0020703934,2022-04-15
0.957,0.957,0.957,-0.0072614108,2022-04-22
0.979,0.979,0.979,0.0229885057,2022-04-29
0.979,0.979,0.979,0.0,2022-05-06
0.983,0.983,0.983,0.0040858018,2022-05-13
0.989,0.989,0.989,0.006103764,2022-05-20
1.006,1.006,1.006,0.0171890799,2022-05-27
0.998,0.998,0.998,-0.0079522863,2022-05-31
0.996,0.996,0.996,-0.002004008,2022-06-02
1.009,1.009,1.009,0.0130522088,2022-06-10
1.001,1.001,1.001,-0.0079286422,2022-06-17
1.0,1.0,1.0,-0.000999001,2022-06-24
1.0,1.0,1.0,0.0,2022-06-30
0.998,0.998,0.998,-0.002,2022-07-01
0.997,0.997,0.997,-0.001002004,2022-07-08
1.004,1.004,1.004,0.0070210632,2022-07-15
1.009,1.009,1.009,0.0049800797,2022-07-22
1.015,1.015,1.015,0.0059464817,2022-07-29
1.014,1.014,1.014,-0.0009852217,2022-08-05
1.015,1.015,1.015,0.0009861933,2022-08-12
1.031,1.031,1.031,0.0157635468,2022-08-19
1.018,1.018,1.018,-0.0126091174,2022-08-26
1.01,1.01,1.01,-0.0078585462,2022-08-31
1.003,1.003,1.003,-0.0069306931,2022-09-02
1.008,1.008,1.008,0.0049850449,2022-09-09
0.999,0.999,0.999,-0.0089285714,2022-09-16
0.993,0.993,0.993,-0.006006006,2022-09-23
0.98,0.98,0.98,-0.0130916415,2022-09-30
1.001,1.001,1.001,0.0214285714,2022-10-14
1.001,1.001,1.001,0.0,2022-10-21
0.993,0.993,0.993,-0.007992008,2022-10-28
0.986,0.986,0.986,-0.0070493454,2022-10-31
1.012,1.012,1.012,0.0263691684,2022-11-04
1.001,1.001,1.001,-0.0108695652,2022-11-11
0.989,0.989,0.989,-0.011988012,2022-11-18
0.983,0.983,0.983,-0.0060667341,2022-11-25
0.976,0.976,0.976,-0.007121058,2022-11-30
0.986,0.986,0.986,0.0102459016,2022-12-02
