nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-08-26
1.0,1.0,1.0,0.0,2021-08-27
1.0,1.0,1.0,0.0,2021-08-30
1.0001,1.0001,1.0001,0.0001,2021-08-31
1.0001,1.0001,1.0001,0.0,2021-09-01
1.0001,1.0001,1.0001,0.0,2021-09-02
0.9997,0.9997,0.9997,-0.00039996,2021-09-03
0.9997,0.9997,0.9997,0.0,2021-09-06
0.9997,0.9997,0.9997,0.0,2021-09-07
0.9997,0.9997,0.9997,0.0,2021-09-08
0.9997,0.9997,0.9997,0.0,2021-09-09
0.9997,0.9997,0.9997,0.0,2021-09-10
0.9998,0.9998,0.9998,0.00010003,2021-09-13
0.9989,0.9989,0.9989,-0.00090018,2021-09-14
0.9984,0.9984,0.9984,-0.0005005506,2021-09-15
0.9973,0.9973,0.9973,-0.0011017628,2021-09-16
0.9964,0.9964,0.9964,-0.0009024366,2021-09-17
0.996,0.996,0.996,-0.0004014452,2021-09-22
0.9979,0.9979,0.9979,0.0019076305,2021-09-23
0.9984,0.9984,0.9984,0.0005010522,2021-09-24
0.997,0.997,0.997,-0.0014022436,2021-09-27
0.9975,0.9975,0.9975,0.0005015045,2021-09-28
0.9973,0.9973,0.9973,-0.0002005013,2021-09-29
0.9986,0.9986,0.9986,0.0013035195,2021-09-30
0.9998,0.9998,0.9998,0.0012016824,2021-10-08
0.9997,0.9997,0.9997,-0.00010002,2021-10-11
0.9985,0.9985,0.9985,-0.0012003601,2021-10-12
0.9978,0.9978,0.9978,-0.0007010516,2021-10-13
0.9975,0.9975,0.9975,-0.0003006615,2021-10-14
0.9969,0.9969,0.9969,-0.0006015038,2021-10-15
0.9972,0.9972,0.9972,0.0003009329,2021-10-18
0.998,0.998,0.998,0.0008022463,2021-10-19
0.9988,0.9988,0.9988,0.0008016032,2021-10-20
0.999,0.999,0.999,0.0002002403,2021-10-21
0.9996,0.9996,0.9996,0.0006006006,2021-10-22
1.0,1.0,1.0,0.0004001601,2021-10-25
0.9991,0.9991,0.9991,-0.0009,2021-10-26
0.9967,0.9967,0.9967,-0.0024021619,2021-10-27
0.9938,0.9938,0.9938,-0.0029096017,2021-10-28
0.9976,0.9976,0.9976,0.003823707,2021-10-29
1.0042,1.0042,1.0042,0.0066158781,2021-11-01
1.0034,1.0034,1.0034,-0.0007966541,2021-11-02
1.0079,1.0079,1.0079,0.0044847518,2021-11-03
1.0148,1.0148,1.0148,0.0068459173,2021-11-04
1.0155,1.0155,1.0155,0.0006897911,2021-11-05
1.022,1.022,1.022,0.0064007878,2021-11-08
1.0222,1.0222,1.0222,0.0001956947,2021-11-09
1.024,1.024,1.024,0.0017609078,2021-11-10
1.0265,1.0265,1.0265,0.0024414063,2021-11-11
1.0296,1.0296,1.0296,0.0030199708,2021-11-12
1.0378,1.0378,1.0378,0.007964258,2021-11-15
1.0335,1.0335,1.0335,-0.0041433802,2021-11-16
1.0348,1.0348,1.0348,0.0012578616,2021-11-17
1.0328,1.0328,1.0328,-0.0019327406,2021-11-18
1.0355,1.0355,1.0355,0.0026142525,2021-11-19
1.0381,1.0381,1.0381,0.0025108643,2021-11-22
1.0401,1.0401,1.0401,0.0019265967,2021-11-23
1.0402,1.0402,1.0402,9.61446e-05,2021-11-24
