nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-12-04
1.0,1.0,1.0,0.0,2024-12-06
1.0,1.0,1.0,0.0,2024-12-13
1.001,1.001,1.001,0.001,2024-12-20
1.001,1.001,1.001,0.0,2024-12-27
1.001,1.001,1.001,0.0,2024-12-31
1.001,1.001,1.001,0.0,2025-01-03
1.001,1.001,1.001,0.0,2025-01-10
1.003,1.003,1.003,0.001998002,2025-01-17
1.008,1.008,1.008,0.0049850449,2025-01-24
1.006,1.006,1.006,-0.001984127,2025-01-27
1.045,1.045,1.045,0.0387673956,2025-02-07
1.059,1.059,1.059,0.0133971292,2025-02-14
1.088,1.088,1.088,0.0273843248,2025-02-21
1.081,1.081,1.081,-0.0064338235,2025-02-28
1.12,1.12,1.12,0.0360777058,2025-03-07
1.158,1.158,1.158,0.0339285714,2025-03-14
1.158,1.158,1.158,0.0,2025-03-21
1.14,1.14,1.14,-0.0155440415,2025-03-28
1.141,1.141,1.141,0.000877193,2025-03-31
1.153,1.153,1.153,0.0105170903,2025-04-03
1.129,1.129,1.129,-0.0208152645,2025-04-11
1.142,1.142,1.142,0.0115146147,2025-04-18
1.163,1.163,1.163,0.0183887916,2025-04-25
1.18,1.18,1.18,0.0146173689,2025-04-30
1.226,1.226,1.226,0.0389830508,2025-05-09
1.239,1.239,1.239,0.0106035889,2025-05-16
1.243,1.243,1.243,0.00322841,2025-05-23
1.263,1.263,1.263,0.0160901046,2025-05-30
1.291,1.291,1.291,0.0221694378,2025-06-06
1.289,1.289,1.289,-0.0015491867,2025-06-13
1.27,1.27,1.27,-0.0147401086,2025-06-20
1.288,1.288,1.288,0.0141732283,2025-06-27
1.294,1.294,1.294,0.0046583851,2025-06-30
1.288,1.288,1.288,-0.0046367852,2025-07-04
1.313,1.313,1.313,0.0194099379,2025-07-11
1.339,1.339,1.339,0.0198019802,2025-07-18
1.379,1.379,1.379,0.0298730396,2025-07-25
1.368,1.368,1.368,-0.0079767948,2025-07-31
1.393,1.393,1.393,0.0182748538,2025-08-01
1.454,1.454,1.454,0.0437903805,2025-08-08
1.443,1.443,1.443,-0.007565337,2025-08-15
1.472,1.472,1.472,0.0200970201,2025-08-22
1.41,1.41,1.41,-0.0421195652,2025-08-29
1.415,1.415,1.415,0.0035460993,2025-09-05
1.451,1.451,1.451,0.0254416961,2025-09-12
1.432,1.432,1.432,-0.0130944176,2025-09-19
1.416,1.416,1.416,-0.0111731844,2025-09-26
1.435,1.435,1.435,0.0134180791,2025-09-30
1.444,1.444,1.444,0.006271777,2025-10-10
1.419,1.419,1.419,-0.0173130194,2025-10-17
1.51,1.51,1.51,0.0641296688,2025-10-24
1.517,1.517,1.517,0.0046357616,2025-10-31
1.564,1.564,1.564,0.0309822017,2025-11-07
1.613,1.613,1.613,0.0313299233,2025-11-14
1.502,1.502,1.502,-0.068815871,2025-11-21
1.563,1.563,1.563,0.0406125166,2025-11-28
1.549,1.549,1.549,-0.0089571337,2025-12-05
1.488,1.488,1.488,-0.0393802453,2025-12-12
1.48,1.48,1.48,-0.0053763441,2025-12-19
1.487,1.487,1.487,0.0047297297,2025-12-26
1.484,1.484,1.484,-0.0020174849,2025-12-31
1.532,1.532,1.532,0.0323450135,2026-01-09
1.566,1.566,1.566,0.0221932115,2026-01-16
1.642,1.642,1.642,0.0485312899,2026-01-23
1.627,1.627,1.627,-0.009135201,2026-01-30
1.648,1.648,1.648,0.0129071911,2026-02-06
1.666,1.666,1.666,0.0109223301,2026-02-13
1.712,1.712,1.712,0.0276110444,2026-02-27
1.68,1.68,1.68,-0.0186915888,2026-03-06
1.661,1.661,1.661,-0.0113095238,2026-03-13
1.603,1.603,1.603,-0.0349187237,2026-03-20
1.622,1.622,1.622,0.011852776,2026-03-27
1.594,1.594,1.594,-0.0172626387,2026-04-03
1.642,1.642,1.642,0.0301129235,2026-04-10
1.673,1.673,1.673,0.0188794153,2026-04-17
1.679,1.679,1.679,0.0035863718,2026-04-24
1.747,1.747,1.747,0.0405002978,2026-04-30
1.779,1.779,1.779,0.0183171151,2026-05-08
1.742,1.742,1.742,-0.0207982012,2026-05-15
1.724,1.724,1.724,-0.0103329506,2026-05-22
