nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-07-15
0.9999,0.9999,0.9999,-0.0001,2025-07-18
0.9998,0.9998,0.9998,-0.00010001,2025-07-25
0.9995,0.9995,0.9995,-0.00030006,2025-07-31
0.9995,0.9995,0.9995,0.0,2025-08-01
0.9993,0.9993,0.9993,-0.0002001001,2025-08-08
1.0,1.0,1.0,0.0007004903,2025-08-15
1.0249,1.0249,1.0249,0.0249,2025-08-22
0.9934,0.9934,0.9934,-0.0307347058,2025-08-29
0.9927,0.9927,0.9927,-0.0007046507,2025-09-05
0.9927,0.9927,0.9927,0.0,2025-09-12
0.9909,0.9909,0.9909,-0.0018132366,2025-09-19
0.9915,0.9915,0.9915,0.0006055101,2025-09-26
1.0029,1.0029,1.0029,0.0114977307,2025-09-30
0.9911,0.9911,0.9911,-0.011765879,2025-10-10
0.9569,0.9569,0.9569,-0.0345071133,2025-10-17
0.9801,0.9801,0.9801,0.0242449577,2025-10-24
0.9797,0.9797,0.9797,-0.0004081216,2025-10-31
0.9747,0.9747,0.9747,-0.0051036031,2025-11-07
0.973,0.973,0.973,-0.0017441264,2025-11-14
0.9635,0.9635,0.9635,-0.0097636177,2025-11-21
0.9724,0.9724,0.9724,0.0092371562,2025-11-28
0.9692,0.9692,0.9692,-0.0032908268,2025-12-05
0.9653,0.9653,0.9653,-0.0040239373,2025-12-12
0.9682,0.9682,0.9682,0.0030042474,2025-12-19
0.9708,0.9708,0.9708,0.0026853956,2025-12-26
0.9697,0.9697,0.9697,-0.0011330861,2025-12-31
1.0066,1.0066,1.0066,0.0380530061,2026-01-09
1.0288,1.0288,1.0288,0.0220544407,2026-01-16
1.0721,1.0721,1.0721,0.0420878694,2026-01-23
1.0665,1.0665,1.0665,-0.0052233933,2026-01-30
1.0489,1.0489,1.0489,-0.0165025785,2026-02-06
1.0672,1.0672,1.0672,0.0174468491,2026-02-13
1.0974,1.0974,1.0974,0.0282983508,2026-02-27
1.0653,1.0653,1.0653,-0.0292509568,2026-03-06
1.0551,1.0551,1.0551,-0.0095747677,2026-03-13
0.9847,0.9847,0.9847,-0.0667235333,2026-03-20
0.9794,0.9794,0.9794,-0.00538235,2026-03-27
0.9563,0.9563,0.9563,-0.0235858689,2026-04-03
1.0,1.0,1.0,0.045696957,2026-04-10
1.0155,1.0155,1.0155,0.0155,2026-04-17
1.0081,1.0081,1.0081,-0.0072870507,2026-04-24
1.0168,1.0168,1.0168,0.0086300962,2026-04-30
1.0476,1.0476,1.0476,0.0302911094,2026-05-08
1.0361,1.0361,1.0361,-0.0109774723,2026-05-15
1.0301,1.0301,1.0301,-0.0057909468,2026-05-22
