nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2014-12-30
1.0,1.0,1.0,0.0,2014-12-31
0.999,0.999,0.999,-0.001,2015-01-08
0.997,0.997,0.997,-0.002002002,2015-01-09
1.0,1.0,1.0,0.0030090271,2015-01-12
1.002,1.002,1.002,0.002,2015-01-13
1.02,1.02,1.02,0.0179640719,2015-01-14
1.021,1.021,1.021,0.0009803922,2015-01-15
1.023,1.023,1.023,0.0019588639,2015-01-16
1.008,1.008,1.008,-0.0146627566,2015-01-19
1.013,1.013,1.013,0.0049603175,2015-01-20
1.017,1.017,1.017,0.0039486673,2015-01-21
1.031,1.031,1.031,0.0137659784,2015-01-22
1.036,1.036,1.036,0.0048496605,2015-01-23
1.044,1.044,1.044,0.0077220077,2015-01-26
1.024,1.024,1.024,-0.0191570881,2015-01-27
1.026,1.026,1.026,0.001953125,2015-01-28
1.029,1.029,1.029,0.0029239766,2015-01-29
1.023,1.023,1.023,-0.0058309038,2015-01-30
1.032,1.032,1.032,0.008797654,2015-02-02
1.017,1.017,1.017,-0.0145348837,2015-02-03
1.014,1.014,1.014,-0.0029498525,2015-02-04
1.004,1.004,1.004,-0.0098619329,2015-02-05
1.014,1.014,1.014,0.0099601594,2015-02-06
1.009,1.009,1.009,-0.0049309665,2015-02-09
1.004,1.004,1.004,-0.0049554014,2015-02-10
1.0,1.0,1.0,-0.0039840637,2015-02-11
0.999,0.999,0.999,-0.001,2015-02-12
1.01,1.01,1.01,0.011011011,2015-02-13
1.037,1.037,1.037,0.0267326733,2015-02-16
1.036,1.036,1.036,-0.0009643202,2015-02-17
1.02,1.02,1.02,-0.0154440154,2015-02-25
1.033,1.033,1.033,0.012745098,2015-02-26
1.042,1.042,1.042,0.0087124879,2015-02-27
1.059,1.059,1.059,0.0163147793,2015-03-02
1.046,1.046,1.046,-0.0122757318,2015-03-03
1.039,1.039,1.039,-0.0066921606,2015-03-04
1.026,1.026,1.026,-0.0125120308,2015-03-05
1.027,1.027,1.027,0.0009746589,2015-03-06
1.03,1.03,1.03,0.0029211295,2015-03-09
1.031,1.031,1.031,0.0009708738,2015-03-10
1.037,1.037,1.037,0.0058195926,2015-03-11
1.043,1.043,1.043,0.0057859209,2015-03-12
1.036,1.036,1.036,-0.0067114094,2015-03-13
1.044,1.044,1.044,0.0077220077,2015-03-16
1.04,1.04,1.04,-0.0038314176,2015-03-17
1.061,1.061,1.061,0.0201923077,2015-03-18
1.059,1.059,1.059,-0.0018850141,2015-03-19
1.066,1.066,1.066,0.0066100094,2015-03-20
1.056,1.056,1.056,-0.009380863,2015-03-23
1.058,1.058,1.058,0.0018939394,2015-03-24
1.044,1.044,1.044,-0.0132325142,2015-03-25
1.043,1.043,1.043,-0.0009578544,2015-03-26
1.047,1.047,1.047,0.0038350911,2015-03-27
1.082,1.082,1.082,0.0334288443,2015-03-30
1.076,1.076,1.076,-0.0055452865,2015-03-31
1.083,1.083,1.083,0.0065055762,2015-04-01
1.084,1.084,1.084,0.000923361,2015-04-02
1.083,1.083,1.083,-0.0009225092,2015-04-03
1.08,1.08,1.08,-0.0027700831,2015-04-07
1.082,1.082,1.082,0.0018518519,2015-04-08
1.068,1.068,1.068,-0.0129390018,2015-04-09
1.089,1.089,1.089,0.0196629213,2015-04-10
1.081,1.081,1.081,-0.0073461892,2015-04-13
1.072,1.072,1.072,-0.0083256244,2015-04-14
1.042,1.042,1.042,-0.0279850746,2015-04-15
1.047,1.047,1.047,0.0047984645,2015-04-16
1.065,1.065,1.065,0.0171919771,2015-04-17
1.062,1.062,1.062,-0.0028169014,2015-04-20
1.073,1.073,1.073,0.0103578154,2015-04-21
1.087,1.087,1.087,0.0130475303,2015-04-22
1.08,1.08,1.08,-0.0064397424,2015-04-23
1.066,1.066,1.066,-0.012962963,2015-04-24
1.083,1.083,1.083,0.0159474672,2015-04-27
1.091,1.091,1.091,0.0073868883,2015-04-28
1.075,1.075,1.075,-0.0146654445,2015-04-29
1.073,1.073,1.073,-0.0018604651,2015-04-30
1.087,1.087,1.087,0.0130475303,2015-05-04
1.107,1.107,1.107,0.018399264,2015-05-05
1.131,1.131,1.131,0.0216802168,2015-05-06
1.121,1.121,1.121,-0.008841733,2015-05-07
1.093,1.093,1.093,-0.0249776985,2015-05-08
1.088,1.088,1.088,-0.0045745654,2015-05-11
1.081,1.081,1.081,-0.0064338235,2015-05-12
1.074,1.074,1.074,-0.0064754857,2015-05-13
1.064,1.064,1.064,-0.009310987,2015-05-14
1.074,1.074,1.074,0.0093984962,2015-05-15
1.083,1.083,1.083,0.0083798883,2015-05-18
1.093,1.093,1.093,0.0092336103,2015-05-19
1.104,1.104,1.104,0.0100640439,2015-05-20
1.103,1.103,1.103,-0.0009057971,2015-05-21
1.11,1.11,1.11,0.0063463282,2015-05-22
1.14,1.14,1.14,0.027027027,2015-05-25
1.118,1.118,1.118,-0.0192982456,2015-05-26
1.107,1.107,1.107,-0.0098389982,2015-05-27
1.117,1.117,1.117,0.0090334237,2015-05-28
1.109,1.109,1.109,-0.0071620412,2015-05-29
1.14,1.14,1.14,0.0279531109,2015-06-01
1.13,1.13,1.13,-0.0087719298,2015-06-02
1.112,1.112,1.112,-0.0159292035,2015-06-03
1.089,1.089,1.089,-0.0206834532,2015-06-04
1.086,1.086,1.086,-0.0027548209,2015-06-05
1.091,1.091,1.091,0.0046040516,2015-06-08
1.076,1.076,1.076,-0.0137488543,2015-06-09
1.072,1.072,1.072,-0.0037174721,2015-06-10
1.054,1.054,1.054,-0.0167910448,2015-06-11
1.049,1.049,1.049,-0.004743833,2015-06-12
1.058,1.058,1.058,0.0085795996,2015-06-15
1.059,1.059,1.059,0.0009451796,2015-06-16
1.065,1.065,1.065,0.0056657224,2015-06-17
1.069,1.069,1.069,0.0037558685,2015-06-18
1.11,1.11,1.11,0.0383536015,2015-06-19
1.104,1.104,1.104,-0.0054054054,2015-06-23
1.099,1.099,1.099,-0.0045289855,2015-06-24
1.107,1.107,1.107,0.0072793449,2015-06-25
1.187,1.187,1.187,0.0722673893,2015-06-26
1.181,1.181,1.181,-0.0050547599,2015-06-29
1.177,1.177,1.177,-0.0033869602,2015-06-30
1.188,1.188,1.188,0.0093457944,2015-07-01
1.211,1.211,1.211,0.0193602694,2015-07-02
1.194,1.194,1.194,-0.0140379851,2015-07-03
1.226,1.226,1.226,0.02680067,2015-07-06
1.275,1.275,1.275,0.0399673736,2015-07-07
1.37,1.37,1.37,0.0745098039,2015-07-09
1.33,1.33,1.33,-0.0291970803,2015-07-10
1.349,1.349,1.349,0.0142857143,2015-07-13
1.366,1.366,1.366,0.0126019274,2015-07-14
1.392,1.392,1.392,0.019033675,2015-07-15
1.408,1.408,1.408,0.0114942529,2015-07-16
1.391,1.391,1.391,-0.0120738636,2015-07-17
1.387,1.387,1.387,-0.002875629,2015-07-20
1.375,1.375,1.375,-0.0086517664,2015-07-21
1.37,1.37,1.37,-0.0036363636,2015-07-22
1.396,1.396,1.396,0.0189781022,2015-07-23
1.385,1.385,1.385,-0.0078796562,2015-07-24
1.427,1.427,1.427,0.0303249097,2015-07-27
1.453,1.453,1.453,0.018220042,2015-07-28
1.411,1.411,1.411,-0.0289057123,2015-07-29
1.412,1.412,1.412,0.0007087172,2015-07-30
1.404,1.404,1.404,-0.0056657224,2015-07-31
1.404,1.404,1.404,0.0,2015-08-03
1.411,1.411,1.411,0.004985755,2015-08-04
1.408,1.408,1.408,-0.0021261517,2015-08-05
1.405,1.405,1.405,-0.0021306818,2015-08-06
1.414,1.414,1.414,0.006405694,2015-08-07
1.426,1.426,1.426,0.0084865629,2015-08-10
1.42,1.42,1.42,-0.0042075736,2015-08-11
1.415,1.415,1.415,-0.0035211268,2015-08-12
1.404,1.404,1.404,-0.0077738516,2015-08-13
1.404,1.404,1.404,0.0,2015-08-14
1.398,1.398,1.398,-0.0042735043,2015-08-17
1.413,1.413,1.413,0.0107296137,2015-08-18
1.416,1.416,1.416,0.0021231423,2015-08-19
1.412,1.412,1.412,-0.0028248588,2015-08-20
1.432,1.432,1.432,0.0141643059,2015-08-21
1.485,1.485,1.485,0.0370111732,2015-08-24
1.55,1.55,1.55,0.0437710438,2015-08-25
1.525,1.525,1.525,-0.0161290323,2015-08-26
1.526,1.526,1.526,0.0006557377,2015-08-27
1.518,1.518,1.518,-0.005242464,2015-08-28
1.503,1.503,1.503,-0.0098814229,2015-08-31
1.503,1.503,1.503,0.0,2015-09-01
1.501,1.501,1.501,-0.001330672,2015-09-02
1.505,1.505,1.505,0.0026648901,2015-09-07
1.503,1.503,1.503,-0.0013289037,2015-09-08
1.496,1.496,1.496,-0.004657352,2015-09-09
1.499,1.499,1.499,0.0020053476,2015-09-10
1.502,1.502,1.502,0.0020013342,2015-09-11
1.504,1.504,1.504,0.0013315579,2015-09-14
1.498,1.498,1.498,-0.0039893617,2015-09-15
1.487,1.487,1.487,-0.0073431242,2015-09-16
1.48,1.48,1.48,-0.0047074647,2015-09-17
1.477,1.477,1.477,-0.002027027,2015-09-18
1.472,1.472,1.472,-0.0033852404,2015-09-21
1.468,1.468,1.468,-0.0027173913,2015-09-22
1.463,1.463,1.463,-0.0034059946,2015-09-23
1.461,1.461,1.461,-0.001367054,2015-09-24
1.45,1.45,1.45,-0.0075290897,2015-09-25
1.451,1.451,1.451,0.0006896552,2015-09-28
1.464,1.464,1.464,0.0089593384,2015-09-29
1.46,1.46,1.46,-0.0027322404,2015-09-30
1.426,1.426,1.426,-0.0232876712,2015-10-08
1.419,1.419,1.419,-0.0049088359,2015-10-09
1.438,1.438,1.438,0.0133897111,2015-10-12
1.432,1.432,1.432,-0.0041724618,2015-10-13
1.435,1.435,1.435,0.0020949721,2015-10-14
1.438,1.438,1.438,0.0020905923,2015-10-15
1.432,1.432,1.432,-0.0041724618,2015-10-16
1.426,1.426,1.426,-0.0041899441,2015-10-19
1.434,1.434,1.434,0.0056100982,2015-10-20
1.432,1.432,1.432,-0.0013947001,2015-10-21
1.435,1.435,1.435,0.0020949721,2015-10-22
1.435,1.435,1.435,0.0,2015-10-23
1.434,1.434,1.434,-0.0006968641,2015-10-26
1.443,1.443,1.443,0.0062761506,2015-10-27
