nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-06-13
1.0,1.0,1.0,0.0,2025-06-20
1.0,1.0,1.0,0.0,2025-06-27
0.9999,0.9999,0.9999,-0.0001,2025-06-30
1.002,1.002,1.002,0.00210021,2025-07-04
1.0189,1.0189,1.0189,0.0168662675,2025-07-11
1.0339,1.0339,1.0339,0.0147217588,2025-07-18
1.0557,1.0557,1.0557,0.0210852113,2025-07-25
1.0577,1.0577,1.0577,0.0018944776,2025-07-31
1.0524,1.0524,1.0524,-0.0050108726,2025-08-01
1.0529,1.0529,1.0529,0.0004751045,2025-08-08
1.0935,1.0935,1.0935,0.0385601672,2025-08-15
1.1418,1.1418,1.1418,0.044170096,2025-08-22
1.2379,1.2379,1.2379,0.084165353,2025-08-29
1.2285,1.2285,1.2285,-0.0075935051,2025-09-05
1.2571,1.2571,1.2571,0.0232804233,2025-09-12
1.2988,1.2988,1.2988,0.0331715854,2025-09-19
1.3182,1.3182,1.3182,0.0149368648,2025-09-26
1.3374,1.3374,1.3374,0.0145653163,2025-09-30
1.2898,1.2898,1.2898,-0.0355914461,2025-10-10
1.2168,1.2168,1.2168,-0.0565979222,2025-10-17
1.2542,1.2542,1.2542,0.0307363577,2025-10-24
1.2538,1.2538,1.2538,-0.0003189284,2025-10-31
1.2586,1.2586,1.2586,0.0038283618,2025-11-07
1.2325,1.2325,1.2325,-0.0207373272,2025-11-14
1.1464,1.1464,1.1464,-0.0698580122,2025-11-21
1.1977,1.1977,1.1977,0.0447487788,2025-11-28
1.2225,1.2225,1.2225,0.0207063538,2025-12-05
1.2596,1.2596,1.2596,0.0303476483,2025-12-12
1.2717,1.2717,1.2717,0.0096062242,2025-12-19
1.332,1.332,1.332,0.0474168436,2025-12-26
1.334,1.334,1.334,0.0015015015,2025-12-31
1.5349,1.5349,1.5349,0.1505997001,2026-01-09
1.5886,1.5886,1.5886,0.0349859926,2026-01-16
1.6401,1.6401,1.6401,0.0324184817,2026-01-23
1.5647,1.5647,1.5647,-0.0459728065,2026-01-30
1.537,1.537,1.537,-0.0177030741,2026-02-06
1.5935,1.5935,1.5935,0.0367599219,2026-02-13
1.6649,1.6649,1.6649,0.0448070286,2026-02-27
1.6074,1.6074,1.6074,-0.0345366088,2026-03-06
1.6241,1.6241,1.6241,0.0103894488,2026-03-13
1.5368,1.5368,1.5368,-0.0537528477,2026-03-20
1.5455,1.5455,1.5455,0.005661114,2026-03-27
1.5207,1.5207,1.5207,-0.0160465869,2026-04-03
1.6306,1.6306,1.6306,0.0722693496,2026-04-10
1.6928,1.6928,1.6928,0.0381454679,2026-04-17
1.729,1.729,1.729,0.0213846881,2026-04-24
1.7602,1.7602,1.7602,0.0180451128,2026-04-30
1.8543,1.8543,1.8543,0.0534598341,2026-05-08
1.8478,1.8478,1.8478,-0.0035053659,2026-05-15
1.9326,1.9326,1.9326,0.0458924126,2026-05-22
