nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
5.0382,5.0382,5.0382,0.0,2025-01-24
5.0316,5.0316,5.0316,-0.0013099917,2025-01-27
5.0718,5.0718,5.0718,0.0079895063,2025-02-07
5.0652,5.0652,5.0652,-0.0013013131,2025-02-14
5.2891,5.2891,5.2891,0.0442035852,2025-02-21
5.567,5.567,5.567,0.0525420204,2025-05-30
5.62,5.62,5.62,0.009520388,2025-06-06
5.627,5.627,5.627,0.0012455516,2025-06-13
5.583,5.583,5.583,-0.007819442,2025-06-20
5.653,5.653,5.653,0.012538062,2025-06-27
5.667,5.667,5.667,0.0024765611,2025-06-30
5.643,5.643,5.643,-0.004235045,2025-07-04
5.695,5.695,5.695,0.0092149566,2025-07-11
5.679,5.679,5.679,-0.002809482,2025-07-18
5.685,5.685,5.685,0.001056524,2025-07-25
5.65,5.65,5.65,-0.0061565523,2025-07-31
5.671,5.671,5.671,0.0037168142,2025-08-01
5.79,5.79,5.79,0.0209839534,2025-08-08
5.866,5.866,5.866,0.0131260794,2025-08-15
6.037,6.037,6.037,0.0291510399,2025-08-22
6.141,6.141,6.141,0.0172270996,2025-08-29
6.055,6.055,6.055,-0.0140042338,2025-09-05
6.469,6.469,6.469,0.0683732453,2025-09-12
6.39,6.39,6.39,-0.0122120884,2025-09-19
6.238,6.238,6.238,-0.0237871674,2025-09-26
6.319,6.319,6.319,0.0129849311,2025-09-30
6.302,6.302,6.302,-0.0026902991,2025-10-10
6.345,6.345,6.345,0.0068232307,2025-10-17
6.38,6.38,6.38,0.0055161545,2025-10-24
6.355,6.355,6.355,-0.0039184953,2025-10-31
6.337,6.337,6.337,-0.0028324154,2025-11-07
6.368,6.368,6.368,0.0048919047,2025-11-14
6.32,6.32,6.32,-0.0075376884,2025-11-21
6.316,6.316,6.316,-0.0006329114,2025-11-28
6.3,6.3,6.3,-0.0025332489,2025-12-05
6.274,6.274,6.274,-0.0041269841,2025-12-12
6.27,6.27,6.27,-0.0006375518,2025-12-19
6.302,6.302,6.302,0.0051036683,2025-12-26
6.334,6.334,6.334,0.0050777531,2025-12-31
6.428,6.428,6.428,0.0148405431,2026-01-09
6.6,6.6,6.6,0.026757934,2026-01-16
6.613,6.613,6.613,0.001969697,2026-01-23
6.524,6.524,6.524,-0.0134583396,2026-01-30
6.522,6.522,6.522,-0.0003065604,2026-02-06
6.541,6.541,6.541,0.0029132168,2026-02-13
6.613,6.613,6.613,0.0110074912,2026-02-27
6.588,6.588,6.588,-0.0037804325,2026-03-06
6.689,6.689,6.689,0.0153309047,2026-03-13
6.706,6.706,6.706,0.002541486,2026-03-20
6.704,6.704,6.704,-0.0002982404,2026-03-27
6.687,6.687,6.687,-0.0025357995,2026-04-03
6.72,6.72,6.72,0.0049349484,2026-04-10
6.749,6.749,6.749,0.0043154762,2026-04-17
6.794,6.794,6.794,0.0066676545,2026-04-24
6.785,6.785,6.785,-0.0013246983,2026-04-30
6.93,6.93,6.93,0.0213706706,2026-05-08
6.871,6.871,6.871,-0.0085137085,2026-05-15
6.96,6.96,6.96,0.0129529908,2026-05-22
