nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-11-10
1.0001,1.0001,1.0001,0.0001,2020-11-13
1.0049,1.0049,1.0049,0.00479952,2020-11-20
1.0106,1.0106,1.0106,0.0056722062,2020-11-27
1.0223,1.0223,1.0223,0.0115772808,2020-11-30
1.021,1.021,1.021,-0.0012716424,2020-12-04
1.1299,1.1299,1.1299,0.1066601371,2020-12-11
1.1134,1.1134,1.1134,-0.0146030622,2020-12-18
1.124,1.124,1.124,0.009520388,2020-12-25
1.1226,1.1226,1.1226,-0.0012455516,2020-12-31
1.1693,1.1693,1.1693,0.0415998575,2021-01-08
1.1735,1.1735,1.1735,0.0035918926,2021-01-15
1.13,1.13,1.13,-0.0370685982,2021-01-22
1.1061,1.1061,1.1061,-0.0211504425,2021-01-29
1.0652,1.0652,1.0652,-0.0369767652,2021-02-05
1.0801,1.0801,1.0801,0.0139879835,2021-02-10
1.1602,1.1602,1.1602,0.0741598,2021-02-19
1.1944,1.1944,1.1944,0.0294776763,2021-02-26
1.217,1.217,1.217,0.0189216343,2021-03-05
1.2144,1.2144,1.2144,-0.002136401,2021-03-12
1.1751,1.1751,1.1751,-0.0323616601,2021-03-19
1.1814,1.1814,1.1814,0.0053612459,2021-03-26
1.2007,1.2007,1.2007,0.0163365499,2021-03-31
1.1838,1.1838,1.1838,-0.0140751228,2021-04-02
1.1502,1.1502,1.1502,-0.0283831728,2021-04-09
1.1303,1.1303,1.1303,-0.0173013389,2021-04-16
1.1509,1.1509,1.1509,0.0182252499,2021-04-23
1.134,1.134,1.134,-0.0146841602,2021-04-30
1.1696,1.1696,1.1696,0.0313932981,2021-05-07
1.2307,1.2307,1.2307,0.0522400821,2021-05-14
1.1598,1.1598,1.1598,-0.0576094905,2021-05-21
1.1577,1.1577,1.1577,-0.001810657,2021-05-28
1.1552,1.1552,1.1552,-0.0021594541,2021-05-31
1.1315,1.1315,1.1315,-0.020515928,2021-06-04
1.1331,1.1331,1.1331,0.0014140521,2021-06-11
1.1374,1.1374,1.1374,0.0037948989,2021-06-18
1.125,1.125,1.125,-0.0109020573,2021-06-25
1.0933,1.0933,1.0933,-0.0281777778,2021-06-30
1.0789,1.0789,1.0789,-0.0131711333,2021-07-02
1.0454,1.0454,1.0454,-0.0310501437,2021-07-09
1.0954,1.0954,1.0954,0.0478285824,2021-07-16
1.1032,1.1032,1.1032,0.0071206865,2021-07-23
1.1302,1.1302,1.1302,0.0244742567,2021-07-30
1.0768,1.0768,1.0768,-0.0472482746,2021-08-06
1.1011,1.1011,1.1011,0.0225668648,2021-08-13
1.0907,1.0907,1.0907,-0.0094451004,2021-08-20
1.1185,1.1185,1.1185,0.0254882186,2021-08-27
1.128,1.128,1.128,0.0084935181,2021-08-31
1.1237,1.1237,1.1237,-0.0038120567,2021-09-03
1.2191,1.2191,1.2191,0.0848981045,2021-09-10
1.1985,1.1985,1.1985,-0.0168977114,2021-09-17
1.2536,1.2536,1.2536,0.0459741343,2021-09-24
1.2954,1.2954,1.2954,0.0333439694,2021-09-30
1.3325,1.3325,1.3325,0.0286398024,2021-10-08
1.3601,1.3601,1.3601,0.0207129456,2021-10-15
1.3541,1.3541,1.3541,-0.0044114403,2021-10-22
1.3275,1.3275,1.3275,-0.019644044,2021-10-29
1.3563,1.3563,1.3563,0.0216949153,2021-11-05
1.3084,1.3084,1.3084,-0.0353166704,2021-11-12
1.3269,1.3269,1.3269,0.0141394069,2021-11-19
1.2551,1.2551,1.2551,-0.054111086,2021-11-26
1.2513,1.2513,1.2513,-0.0030276472,2021-11-30
