nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-07-08
1.0,1.0,1.0,0.0,2022-07-11
1.0,1.0,1.0,0.0,2022-07-12
1.0,1.0,1.0,0.0,2022-07-13
1.0,1.0,1.0,0.0,2022-07-14
1.0,1.0,1.0,0.0,2022-07-15
1.0,1.0,1.0,0.0,2022-07-18
1.0,1.0,1.0,0.0,2022-07-19
1.0,1.0,1.0,0.0,2022-07-20
1.0,1.0,1.0,0.0,2022-07-21
0.998,0.998,0.998,-0.002,2022-07-22
0.992,0.992,0.992,-0.006012024,2022-07-25
1.004,1.004,1.004,0.0120967742,2022-07-26
1.023,1.023,1.023,0.0189243028,2022-07-27
1.051,1.051,1.051,0.027370479,2022-07-28
1.051,1.051,1.051,0.0,2022-07-29
1.082,1.082,1.082,0.0294957184,2022-08-01
1.069,1.069,1.069,-0.0120147874,2022-08-02
1.069,1.069,1.069,0.0,2022-08-03
1.069,1.069,1.069,0.0,2022-08-04
1.067,1.067,1.067,-0.0018709074,2022-08-05
1.103,1.103,1.103,0.0337394564,2022-08-08
1.101,1.101,1.101,-0.0018132366,2022-08-09
1.088,1.088,1.088,-0.0118074478,2022-08-10
1.091,1.091,1.091,0.0027573529,2022-08-11
1.078,1.078,1.078,-0.0119156737,2022-08-12
1.092,1.092,1.092,0.012987013,2022-08-15
1.106,1.106,1.106,0.0128205128,2022-08-16
1.092,1.092,1.092,-0.0126582278,2022-08-17
1.116,1.116,1.116,0.021978022,2022-08-18
1.098,1.098,1.098,-0.0161290323,2022-08-19
1.098,1.098,1.098,0.0,2022-08-22
1.126,1.126,1.126,0.0255009107,2022-08-23
1.099,1.099,1.099,-0.0239786856,2022-08-24
1.07,1.07,1.07,-0.0263876251,2022-08-25
1.056,1.056,1.056,-0.0130841121,2022-08-26
1.07,1.07,1.07,0.0132575758,2022-08-29
1.054,1.054,1.054,-0.014953271,2022-08-30
1.008,1.008,1.008,-0.0436432638,2022-08-31
0.996,0.996,0.996,-0.0119047619,2022-09-01
1.009,1.009,1.009,0.0130522088,2022-09-02
1.024,1.024,1.024,0.0148662042,2022-09-05
1.057,1.057,1.057,0.0322265625,2022-09-06
1.079,1.079,1.079,0.0208136235,2022-09-07
1.077,1.077,1.077,-0.0018535681,2022-09-08
1.066,1.066,1.066,-0.0102135562,2022-09-09
1.085,1.085,1.085,0.0178236398,2022-09-13
1.059,1.059,1.059,-0.0239631336,2022-09-14
1.022,1.022,1.022,-0.0349386213,2022-09-15
1.01,1.01,1.01,-0.011741683,2022-09-16
1.0,1.0,1.0,-0.0099009901,2022-09-19
1.038,1.038,1.038,0.038,2022-09-20
1.031,1.031,1.031,-0.006743738,2022-09-21
1.034,1.034,1.034,0.0029097963,2022-09-22
1.01,1.01,1.01,-0.0232108317,2022-09-23
1.015,1.015,1.015,0.004950495,2022-09-26
1.017,1.017,1.017,0.0019704433,2022-09-27
0.989,0.989,0.989,-0.0275319567,2022-09-28
0.998,0.998,0.998,0.0091001011,2022-09-29
0.972,0.972,0.972,-0.0260521042,2022-09-30
0.944,0.944,0.944,-0.0288065844,2022-10-10
0.974,0.974,0.974,0.031779661,2022-10-11
1.013,1.013,1.013,0.0400410678,2022-10-12
1.028,1.028,1.028,0.0148075025,2022-10-13
1.049,1.049,1.049,0.0204280156,2022-10-14
1.058,1.058,1.058,0.0085795996,2022-10-17
1.077,1.077,1.077,0.0179584121,2022-10-18
1.078,1.078,1.078,0.0009285051,2022-10-19
1.058,1.058,1.058,-0.0185528757,2022-10-20
1.06,1.06,1.06,0.0018903592,2022-10-21
1.064,1.064,1.064,0.0037735849,2022-10-24
1.08,1.08,1.08,0.015037594,2022-10-25
1.098,1.098,1.098,0.0166666667,2022-10-26
1.059,1.059,1.059,-0.0355191257,2022-10-27
1.017,1.017,1.017,-0.0396600567,2022-10-28
1.027,1.027,1.027,0.0098328417,2022-10-31
1.063,1.063,1.063,0.035053554,2022-11-01
1.092,1.092,1.092,0.0272812794,2022-11-02
1.1,1.1,1.1,0.0073260073,2022-11-03
1.134,1.134,1.134,0.0309090909,2022-11-04
1.128,1.128,1.128,-0.0052910053,2022-11-07
1.12,1.12,1.12,-0.0070921986,2022-11-08
1.111,1.111,1.111,-0.0080357143,2022-11-09
1.092,1.092,1.092,-0.0171017102,2022-11-10
1.097,1.097,1.097,0.0045787546,2022-11-11
1.077,1.077,1.077,-0.0182315406,2022-11-14
1.111,1.111,1.111,0.0315691736,2022-11-15
1.101,1.101,1.101,-0.0090009001,2022-11-16
1.096,1.096,1.096,-0.0045413261,2022-11-17
1.092,1.092,1.092,-0.003649635,2022-11-18
1.109,1.109,1.109,0.0155677656,2022-11-21
1.094,1.094,1.094,-0.0135256988,2022-11-22
1.1,1.1,1.1,0.0054844607,2022-11-23
1.102,1.102,1.102,0.0018181818,2022-11-24
1.077,1.077,1.077,-0.0226860254,2022-11-25
1.07,1.07,1.07,-0.0064995357,2022-11-28
1.083,1.083,1.083,0.0121495327,2022-11-29
1.099,1.099,1.099,0.0147737765,2022-11-30
1.106,1.106,1.106,0.0063694268,2022-12-01
1.108,1.108,1.108,0.0018083183,2022-12-02
1.117,1.117,1.117,0.0081227437,2022-12-05
1.114,1.114,1.114,-0.0026857654,2022-12-06
1.116,1.116,1.116,0.0017953321,2022-12-07
1.119,1.119,1.119,0.002688172,2022-12-08
1.118,1.118,1.118,-0.000893655,2022-12-09
1.115,1.115,1.115,-0.0026833631,2022-12-12
1.093,1.093,1.093,-0.0197309417,2022-12-13
1.096,1.096,1.096,0.0027447392,2022-12-14
1.128,1.128,1.128,0.0291970803,2022-12-15
1.101,1.101,1.101,-0.0239361702,2022-12-16
1.088,1.088,1.088,-0.0118074478,2022-12-19
1.092,1.092,1.092,0.0036764706,2022-12-20
1.075,1.075,1.075,-0.0155677656,2022-12-21
1.058,1.058,1.058,-0.0158139535,2022-12-22
1.048,1.048,1.048,-0.0094517958,2022-12-23
1.075,1.075,1.075,0.0257633588,2022-12-26
1.073,1.073,1.073,-0.0018604651,2022-12-27
1.065,1.065,1.065,-0.0074557316,2022-12-28
1.062,1.062,1.062,-0.0028169014,2022-12-29
1.067,1.067,1.067,0.0047080979,2022-12-30
1.092,1.092,1.092,0.0234301781,2023-01-03
1.102,1.102,1.102,0.0091575092,2023-01-04
1.153,1.153,1.153,0.0462794918,2023-01-05
1.161,1.161,1.161,0.0069384215,2023-01-06
1.188,1.188,1.188,0.023255814,2023-01-09
1.188,1.188,1.188,0.0,2023-01-10
1.187,1.187,1.187,-0.0008417508,2023-01-11
1.2,1.2,1.2,0.0109519798,2023-01-12
1.188,1.188,1.188,-0.01,2023-01-13
1.186,1.186,1.186,-0.0016835017,2023-01-16
1.19,1.19,1.19,0.0033726813,2023-01-17
1.19,1.19,1.19,0.0,2023-01-18
1.188,1.188,1.188,-0.0016806723,2023-01-19
1.188,1.188,1.188,0.0,2023-01-20
1.222,1.222,1.222,0.0286195286,2023-02-03
1.243,1.243,1.243,0.0171849427,2023-02-10
1.221,1.221,1.221,-0.017699115,2023-02-17
1.224,1.224,1.224,0.0024570025,2023-02-24
1.214,1.214,1.214,-0.0081699346,2023-03-03
1.169,1.169,1.169,-0.0370675453,2023-03-10
1.145,1.145,1.145,-0.0205303678,2023-03-17
1.172,1.172,1.172,0.023580786,2023-03-24
1.19,1.19,1.19,0.0153583618,2023-03-31
1.159,1.159,1.159,-0.0260504202,2023-04-07
1.154,1.154,1.154,-0.0043140638,2023-04-14
1.141,1.141,1.141,-0.0112651646,2023-04-21
1.153,1.153,1.153,0.0105170903,2023-04-28
1.147,1.147,1.147,-0.0052038161,2023-05-05
1.164,1.164,1.164,0.0148212729,2023-05-12
1.208,1.208,1.208,0.0378006873,2023-05-19
1.205,1.205,1.205,-0.0024834437,2023-05-26
1.21,1.21,1.21,0.0041493776,2023-06-02
1.196,1.196,1.196,-0.0115702479,2023-06-09
1.217,1.217,1.217,0.0175585284,2023-06-16
1.2,1.2,1.2,-0.0139687757,2023-06-21
1.235,1.235,1.235,0.0291666667,2023-06-30
1.217,1.217,1.217,-0.0145748988,2023-07-07
1.225,1.225,1.225,0.0065735415,2023-07-14
1.187,1.187,1.187,-0.0310204082,2023-07-21
1.207,1.207,1.207,0.0168491997,2023-07-28
1.22,1.22,1.22,0.0107705054,2023-08-04
1.154,1.154,1.154,-0.0540983607,2023-08-11
1.132,1.132,1.132,-0.0190641248,2023-08-18
1.089,1.089,1.089,-0.0379858657,2023-08-25
1.139,1.139,1.139,0.0459136823,2023-09-01
1.15,1.15,1.15,0.0096575944,2023-09-08
1.149,1.149,1.149,-0.0008695652,2023-09-15
1.143,1.143,1.143,-0.0052219321,2023-09-22
1.155,1.155,1.155,0.0104986877,2023-09-28
1.169,1.169,1.169,0.0121212121,2023-10-13
1.12,1.12,1.12,-0.0419161677,2023-10-20
1.142,1.142,1.142,0.0196428571,2023-10-27
1.149,1.149,1.149,0.0061295972,2023-11-03
1.193,1.193,1.193,0.0382941688,2023-11-10
1.218,1.218,1.218,0.0209555742,2023-11-17
1.191,1.191,1.191,-0.0221674877,2023-11-24
1.2,1.2,1.2,0.0075566751,2023-11-30
1.192,1.192,1.192,-0.0066666667,2023-12-01
1.149,1.149,1.149,-0.0360738255,2023-12-08
1.14,1.14,1.14,-0.0078328982,2023-12-15
1.131,1.131,1.131,-0.0078947368,2023-12-22
1.175,1.175,1.175,0.0389036251,2023-12-29
1.144,1.144,1.144,-0.0263829787,2024-01-05
1.109,1.109,1.109,-0.0305944056,2024-01-12
1.076,1.076,1.076,-0.0297565374,2024-01-19
1.02,1.02,1.02,-0.0520446097,2024-01-26
0.926,0.926,0.926,-0.0921568627,2024-01-31
0.894,0.894,0.894,-0.0345572354,2024-02-02
0.957,0.957,0.957,0.0704697987,2024-02-08
1.022,1.022,1.022,0.0679205852,2024-02-23
1.039,1.039,1.039,0.0166340509,2024-02-29
1.063,1.063,1.063,0.0230991338,2024-03-01
1.073,1.073,1.073,0.0094073377,2024-03-08
1.154,1.154,1.154,0.0754892824,2024-03-15
1.179,1.179,1.179,0.0216637782,2024-03-22
1.209,1.209,1.209,0.0254452926,2024-03-29
1.238,1.238,1.238,0.0239867659,2024-04-03
1.2,1.2,1.2,-0.0306946688,2024-04-12
1.192,1.192,1.192,-0.0066666667,2024-04-19
1.246,1.246,1.246,0.0453020134,2024-04-26
1.253,1.253,1.253,0.0056179775,2024-04-30
1.269,1.269,1.269,0.0127693536,2024-05-10
1.319,1.319,1.319,0.0394011032,2024-05-17
1.299,1.299,1.299,-0.0151630023,2024-05-24
1.332,1.332,1.332,0.025404157,2024-05-31
1.292,1.292,1.292,-0.03003003,2024-06-07
0.99,1.314,1.314,0.0170278638,2024-06-14
0.983,1.307,1.30470909,-0.0070707071,2024-06-21
0.973,1.297,1.29143636,-0.01017294,2024-06-28
0.959,1.283,1.27285455,-0.0143884892,2024-07-05
0.974,1.298,1.29276364,0.015641293,2024-07-12
0.974,1.298,1.29276364,0.0,2024-07-19
0.972,1.296,1.29010909,-0.0020533881,2024-07-26
0.997,1.321,1.32329091,0.0257201646,2024-07-31
0.98,1.304,1.30072727,-0.0170511535,2024-08-02
0.963,1.287,1.27816364,-0.0173469388,2024-08-09
0.984,1.308,1.30603636,0.0218068536,2024-08-16
0.952,1.276,1.26356364,-0.0325203252,2024-08-23
0.999,1.323,1.32594545,0.0493697479,2024-08-30
0.976,1.3,1.29541818,-0.023023023,2024-09-06
0.96,1.284,1.27418182,-0.0163934426,2024-09-13
0.971,1.295,1.28878182,0.0114583333,2024-09-20
1.092,1.416,1.44938182,0.1246138002,2024-09-27
1.187,1.511,1.57547273,0.086996337,2024-09-30
1.129,1.453,1.49849091,-0.048862679,2024-10-11
1.162,1.486,1.54229091,0.0292294066,2024-10-18
1.202,1.526,1.59538182,0.0344234079,2024-10-25
1.207,1.531,1.60201818,0.0041597338,2024-10-31
1.187,1.511,1.57547273,-0.0165700083,2024-11-01
1.263,1.587,1.67634545,0.0640269587,2024-11-08
1.245,1.569,1.65245455,-0.0142517815,2024-11-15
1.226,1.55,1.62723636,-0.0152610442,2024-11-22
1.247,1.571,1.65510909,0.0171288744,2024-11-29
1.277,1.601,1.69492727,0.0240577386,2024-12-06
1.287,1.611,1.7082,0.0078308536,2024-12-13
1.271,1.595,1.68696364,-0.0124320124,2024-12-20
1.26,1.584,1.67236364,-0.0086546027,2024-12-27
1.236,1.56,1.64050909,-0.019047619,2024-12-31
1.208,1.532,1.60334545,-0.0226537217,2025-01-03
1.186,1.51,1.57414545,-0.0182119205,2025-01-10
1.234,1.558,1.63785455,0.0404721754,2025-01-17
1.0,1.577,1.66307273,0.0153970827,2025-01-23
1.034,1.611,1.7196172,0.034,2025-01-24
1.051,1.628,1.74788944,0.0164410058,2025-01-27
1.184,1.761,1.96907811,0.1265461465,2025-02-07
1.0,1.897,2.195256,0.1148648649,2025-02-14
1.038,1.935,2.27867573,0.038,2025-02-21
1.026,1.923,2.25233266,-0.0115606936,2025-02-28
1.041,1.938,2.2852615,0.014619883,2025-03-07
1.047,1.944,2.29843303,0.0057636888,2025-03-14
1.032,1.929,2.26550419,-0.0143266476,2025-03-21
1.016,1.913,2.2303801,-0.015503876,2025-03-28
1.013,1.91,2.22379433,-0.0029527559,2025-03-31
1.013,1.91,2.22379433,0.0,2025-04-03
0.973,1.87,2.13598409,-0.0394866732,2025-04-11
0.981,1.878,2.15354614,0.0082219938,2025-04-18
0.99,1.887,2.17330344,0.0091743119,2025-04-25
0.997,1.894,2.18867023,0.0070707071,2025-04-30
1.01,1.907,2.21720856,0.0130391174,2025-05-09
1.012,1.909,2.22159907,0.001980198,2025-05-16
0.995,1.892,2.18427972,-0.016798419,2025-05-23
0.999,1.896,2.19306074,0.0040201005,2025-05-30
1.038,1.935,2.27867573,0.039039039,2025-06-06
1.021,1.918,2.24135638,-0.0163776493,2025-06-13
1.032,1.929,2.26550419,0.0107737512,2025-06-20
1.073,1.97,2.35550969,0.0397286822,2025-06-27
1.088,1.985,2.38843853,0.0139794967,2025-06-30
1.087,1.984,2.38624327,-0.0009191176,2025-07-04
1.086,1.983,2.38404802,-0.0009199632,2025-07-11
1.105,2.002,2.42575788,0.0174953959,2025-07-18
1.139,2.036,2.50039658,0.0307692308,2025-07-25
1.136,2.033,2.49381082,-0.0026338894,2025-07-31
1.133,2.03,2.48722505,-0.0026408451,2025-08-01
1.156,2.053,2.53771594,0.0203000883,2025-08-08
1.206,2.103,2.64747874,0.0432525952,2025-08-15
1.24,2.137,2.72211744,0.0281923715,2025-08-22
1.237,2.134,2.71553167,-0.0024193548,2025-08-29
1.251,2.148,2.74626526,0.0113177041,2025-09-05
1.308,2.205,2.87139485,0.0455635492,2025-09-12
1.358,2.255,2.98115765,0.0382262997,2025-09-19
1.381,2.278,3.03164854,0.0169366716,2025-09-26
1.411,2.308,3.09750622,0.0217233888,2025-09-30
1.39,2.287,3.05140584,-0.0148830617,2025-10-10
1.355,2.252,2.97457188,-0.0251798561,2025-10-17
1.429,2.326,3.13702082,0.0546125461,2025-10-24
1.429,2.326,3.13702082,0.0,2025-10-31
1.423,2.32,3.12384929,-0.0041987404,2025-11-07
1.435,2.332,3.15019236,0.0084328883,2025-11-14
1.364,2.261,2.99432918,-0.0494773519,2025-11-21
1.393,2.29,3.05799161,0.0212609971,2025-11-28
1.404,2.301,3.08213942,0.007896626,2025-12-05
1.394,2.291,3.06018686,-0.0071225071,2025-12-12
1.387,2.284,3.04482007,-0.0050215208,2025-12-19
1.425,2.322,3.1282398,0.0273972603,2025-12-26
1.422,2.319,3.12165403,-0.0021052632,2025-12-31
1.523,2.42,3.34337489,0.0710267229,2026-01-09
1.576,2.473,3.45972346,0.0347997374,2026-01-16
1.683,2.58,3.69461585,0.067893401,2026-01-23
1.644,2.541,3.60900086,-0.0231729055,2026-01-30
1.622,2.519,3.56070523,-0.0133819951,2026-02-06
1.659,2.556,3.6419297,0.022811344,2026-02-13
1.707,2.604,3.74730199,0.0289330922,2026-02-27
1.637,2.534,3.59363407,-0.0410076157,2026-03-06
1.632,2.529,3.58265779,-0.0030543677,2026-03-13
1.597,2.494,3.50582383,-0.0214460784,2026-03-20
1.58,2.477,3.46850448,-0.0106449593,2026-03-27
1.542,2.439,3.38508475,-0.0240506329,2026-04-03
1.623,2.52,3.56290049,0.0525291829,2026-04-10
1.665,2.562,3.65510124,0.0258780037,2026-04-17
1.667,2.564,3.65949175,0.0012012012,2026-04-24
1.734,2.631,3.8065739,0.0401919616,2026-04-30
1.797,2.694,3.94487503,0.0363321799,2026-05-08
1.842,2.739,4.04366155,0.0250417362,2026-05-15
1.945,2.842,4.26977292,0.055917481,2026-05-22
