nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-07-08
0.9999,0.9999,0.9999,-0.0001,2020-07-10
0.9995,0.9995,0.9995,-0.00040004,2020-07-17
0.999,0.999,0.999,-0.0005002501,2020-07-24
0.9989,0.9989,0.9989,-0.0001001001,2020-07-31
0.999,0.999,0.999,0.0001001101,2020-08-07
0.9989,0.9989,0.9989,-0.0001001001,2020-08-14
0.9992,0.9992,0.9992,0.0003003304,2020-08-21
0.9991,0.9991,0.9991,-0.0001000801,2020-08-28
0.9993,0.9993,0.9993,0.0002001802,2020-09-04
0.9993,0.9993,0.9993,0.0,2020-09-11
0.9992,0.9992,0.9992,-0.00010007,2020-09-18
0.9991,0.9991,0.9991,-0.0001000801,2020-09-25
0.999,0.999,0.999,-0.0001000901,2020-09-30
0.9987,0.9987,0.9987,-0.0003003003,2020-10-09
0.9985,0.9985,0.9985,-0.0002002603,2020-10-16
0.9983,0.9983,0.9983,-0.0002003005,2020-10-23
0.9981,0.9981,0.9981,-0.0002003406,2020-10-30
1.2168,1.2168,1.2168,0.219116321,2020-11-06
1.174,1.174,1.174,-0.0351742275,2020-11-13
1.1722,1.1722,1.1722,-0.0015332198,2020-11-19
1.1895,1.1895,1.1895,0.0147585736,2020-11-20
1.1342,1.1342,1.1342,-0.0464901219,2020-11-26
1.1357,1.1357,1.1357,0.0013225181,2020-11-27
1.2717,1.2717,1.2717,0.119749934,2020-12-03
1.2473,1.2473,1.2473,-0.0191869152,2020-12-04
1.078,1.078,1.078,-0.1357331837,2020-12-10
1.0667,1.0667,1.0667,-0.0104823748,2020-12-11
1.0367,1.0367,1.0367,-0.0281241211,2020-12-17
1.0278,1.0278,1.0278,-0.008584933,2020-12-18
1.0502,1.0502,1.0502,0.0217941234,2020-12-24
1.0429,1.0429,1.0429,-0.0069510569,2020-12-25
1.0403,1.0403,1.0403,-0.0024930482,2020-12-31
0.9307,0.9307,0.9307,-0.1053542247,2021-01-07
0.9291,0.9291,0.9291,-0.0017191361,2021-01-08
0.9256,0.9256,0.9256,-0.0037670864,2021-01-14
0.9541,0.9541,0.9541,0.0307908384,2021-01-15
0.9938,0.9938,0.9938,0.0416098941,2021-01-22
0.9301,0.9301,0.9301,-0.0640974039,2021-01-28
0.9431,0.9431,0.9431,0.0139769917,2021-01-29
0.96,0.96,0.96,0.0179196268,2021-02-04
0.9592,0.9592,0.9592,-0.0008333333,2021-02-05
0.9289,0.9289,0.9289,-0.031588824,2021-02-10
0.9857,0.9857,0.9857,0.0611475939,2021-02-19
0.9798,0.9798,0.9798,-0.005985594,2021-02-25
0.9976,0.9976,0.9976,0.0181669729,2021-02-26
1.0208,1.0208,1.0208,0.023255814,2021-03-04
1.0505,1.0505,1.0505,0.0290948276,2021-03-05
1.0995,1.0995,1.0995,0.046644455,2021-03-11
1.0906,1.0906,1.0906,-0.0080945884,2021-03-12
1.11,1.11,1.11,0.0177883734,2021-03-18
