nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-02-04
1.0,1.0,1.0,0.0,2021-02-05
1.0,1.0,1.0,0.0,2021-02-08
1.0,1.0,1.0,0.0,2021-02-09
1.0,1.0,1.0,0.0,2021-02-10
1.0,1.0,1.0,0.0,2021-02-18
1.0,1.0,1.0,0.0,2021-02-19
1.001,1.001,1.001,0.001,2021-02-22
1.001,1.001,1.001,0.0,2021-02-23
1.001,1.001,1.001,0.0,2021-02-24
1.001,1.001,1.001,0.0,2021-02-25
1.001,1.001,1.001,0.0,2021-02-26
1.001,1.001,1.001,0.0,2021-03-01
1.001,1.001,1.001,0.0,2021-03-02
1.001,1.001,1.001,0.0,2021-03-03
1.001,1.001,1.001,0.0,2021-03-04
0.97,0.97,0.97,-0.030969031,2021-03-05
0.96,0.96,0.96,-0.0103092784,2021-03-08
0.938,0.938,0.938,-0.0229166667,2021-03-09
0.908,0.908,0.908,-0.0319829424,2021-03-10
0.913,0.913,0.913,0.0055066079,2021-03-11
0.93,0.93,0.93,0.0186199343,2021-03-12
0.936,0.936,0.936,0.0064516129,2021-03-15
0.917,0.917,0.917,-0.0202991453,2021-03-16
0.913,0.913,0.913,-0.0043620502,2021-03-17
0.925,0.925,0.925,0.013143483,2021-03-18
0.928,0.928,0.928,0.0032432432,2021-03-19
0.914,0.914,0.914,-0.0150862069,2021-03-22
0.923,0.923,0.923,0.0098468271,2021-03-23
0.919,0.919,0.919,-0.0043336945,2021-03-24
0.897,0.897,0.897,-0.0239390642,2021-03-25
0.9,0.9,0.9,0.0033444816,2021-03-26
0.923,0.923,0.923,0.0255555556,2021-03-29
0.921,0.921,0.921,-0.0021668472,2021-03-30
0.929,0.929,0.929,0.0086862106,2021-03-31
0.926,0.926,0.926,-0.0032292788,2021-04-01
0.937,0.937,0.937,0.0118790497,2021-04-02
0.945,0.945,0.945,0.0085378869,2021-04-06
0.946,0.946,0.946,0.0010582011,2021-04-07
0.943,0.943,0.943,-0.0031712474,2021-04-08
0.943,0.943,0.943,0.0,2021-04-09
0.938,0.938,0.938,-0.0053022269,2021-04-12
0.922,0.922,0.922,-0.0170575693,2021-04-13
0.922,0.922,0.922,0.0,2021-04-14
0.932,0.932,0.932,0.010845987,2021-04-15
0.932,0.932,0.932,0.0,2021-04-16
0.934,0.934,0.934,0.0021459227,2021-04-19
0.953,0.953,0.953,0.0203426124,2021-04-20
0.949,0.949,0.949,-0.0041972718,2021-04-21
0.953,0.953,0.953,0.0042149631,2021-04-22
0.959,0.959,0.959,0.0062959077,2021-04-23
0.965,0.965,0.965,0.0062565172,2021-04-26
0.964,0.964,0.964,-0.0010362694,2021-04-27
0.968,0.968,0.968,0.0041493776,2021-04-28
0.971,0.971,0.971,0.0030991736,2021-04-29
0.969,0.969,0.969,-0.0020597322,2021-04-30
0.966,0.966,0.966,-0.0030959752,2021-05-06
0.959,0.959,0.959,-0.0072463768,2021-05-07
0.94,0.94,0.94,-0.0198123045,2021-05-10
0.934,0.934,0.934,-0.0063829787,2021-05-11
0.932,0.932,0.932,-0.0021413276,2021-05-12
0.936,0.936,0.936,0.0042918455,2021-05-13
0.928,0.928,0.928,-0.0085470085,2021-05-14
0.941,0.941,0.941,0.0140086207,2021-05-17
0.952,0.952,0.952,0.0116896918,2021-05-18
0.956,0.956,0.956,0.0042016807,2021-05-19
0.96,0.96,0.96,0.0041841004,2021-05-20
0.963,0.963,0.963,0.003125,2021-05-21
0.961,0.961,0.961,-0.0020768432,2021-05-24
0.971,0.971,0.971,0.0104058273,2021-05-25
0.984,0.984,0.984,0.0133882595,2021-05-26
0.982,0.982,0.982,-0.0020325203,2021-05-27
0.992,0.992,0.992,0.0101832994,2021-05-28
0.994,0.994,0.994,0.002016129,2021-05-31
1.011,1.011,1.011,0.0171026157,2021-06-01
1.019,1.019,1.019,0.0079129575,2021-06-02
1.011,1.011,1.011,-0.0078508342,2021-06-03
