nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.046,1.046,1.046,0.0,2023-04-17
1.0098,1.0098,1.0098,-0.0346080306,2023-04-21
1.0245,1.0245,1.0245,0.0145573381,2023-04-28
1.0365,1.0365,1.0365,0.0117130307,2023-05-05
1.034,1.034,1.034,-0.0024119633,2023-05-12
1.0491,1.0491,1.0491,0.0146034816,2023-05-19
1.0538,1.0538,1.0538,0.0044800305,2023-05-26
1.0527,1.0527,1.0527,-0.0010438413,2023-05-31
1.0598,1.0598,1.0598,0.0067445616,2023-06-02
1.0549,1.0549,1.0549,-0.0046235139,2023-06-09
1.0803,1.0803,1.0803,0.0240781117,2023-06-16
1.0711,1.0711,1.0711,-0.0085161529,2023-06-21
1.1011,1.1011,1.1011,0.0280085893,2023-06-30
1.0995,1.0995,1.0995,-0.0014530924,2023-07-07
1.1099,1.1099,1.1099,0.0094588449,2023-07-14
1.1028,1.1028,1.1028,-0.0063969727,2023-07-21
1.1267,1.1267,1.1267,0.0216721074,2023-07-28
1.137,1.137,1.137,0.0091417414,2023-07-31
1.1248,1.1248,1.1248,-0.0107299912,2023-08-04
1.0911,1.0911,1.0911,-0.0299608819,2023-08-11
1.0814,1.0814,1.0814,-0.0088901109,2023-08-18
1.0338,1.0338,1.0338,-0.044017015,2023-08-25
1.0832,1.0832,1.0832,0.0477848713,2023-08-31
1.0868,1.0868,1.0868,0.003323486,2023-09-01
1.0842,1.0842,1.0842,-0.0023923445,2023-09-08
1.0747,1.0747,1.0747,-0.008762221,2023-09-15
1.0741,1.0741,1.0741,-0.0005582953,2023-09-22
1.0826,1.0826,1.0826,0.0079136021,2023-09-28
1.0764,1.0764,1.0764,-0.0057269536,2023-10-13
1.0271,1.0271,1.0271,-0.0458008175,2023-10-20
1.0574,1.0574,1.0574,0.0295005355,2023-10-27
1.0665,1.0665,1.0665,0.0086060148,2023-10-31
1.0671,1.0671,1.0671,0.0005625879,2023-11-03
1.081,1.081,1.081,0.0130259582,2023-11-10
1.1048,1.1048,1.1048,0.0220166512,2023-11-17
1.0989,1.0989,1.0989,-0.0053403331,2023-11-24
1.1018,1.1018,1.1018,0.0026390026,2023-11-30
1.1036,1.1036,1.1036,0.0016336903,2023-12-01
1.0763,1.0763,1.0763,-0.0247372236,2023-12-08
1.0831,1.0831,1.0831,0.0063179411,2023-12-15
