nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2017-12-28
1.0,1.0,1.0,0.0,2017-12-29
1.0,1.0,1.0,0.0,2018-01-05
1.0,1.0,1.0,0.0,2018-01-12
1.0,1.0,1.0,0.0,2018-01-19
1.003,1.003,1.003,0.003,2018-01-26
0.969,0.969,0.969,-0.0338983051,2018-01-31
0.944,0.944,0.944,-0.0257997936,2018-02-02
0.866,0.866,0.866,-0.0826271186,2018-02-09
0.887,0.887,0.887,0.0242494226,2018-02-14
0.908,0.908,0.908,0.02367531,2018-02-23
0.909,0.909,0.909,0.0011013216,2018-02-28
0.923,0.923,0.923,0.0154015402,2018-03-02
0.986,0.986,0.986,0.068255688,2018-03-09
0.966,0.966,0.966,-0.0202839757,2018-03-16
0.994,0.994,0.994,0.0289855072,2018-03-23
1.012,1.012,1.012,0.0181086519,2018-03-30
1.002,1.002,1.002,-0.0098814229,2018-04-04
1.023,1.023,1.023,0.0209580838,2018-04-13
0.998,0.998,0.998,-0.0244379277,2018-04-20
1.061,1.061,1.061,0.0631262525,2018-04-27
1.132,1.132,1.132,0.0669180019,2018-05-04
1.166,1.166,1.166,0.0300353357,2018-05-11
1.223,1.223,1.223,0.0488850772,2018-05-18
1.323,1.323,1.323,0.0817661488,2018-05-25
1.255,1.255,1.255,-0.0513983371,2018-05-31
1.203,1.203,1.203,-0.0414342629,2018-06-01
1.248,1.248,1.248,0.0374064838,2018-06-08
1.163,1.163,1.163,-0.0681089744,2018-06-15
1.184,1.184,1.184,0.0180567498,2018-06-22
1.187,1.187,1.187,0.0025337838,2018-06-29
1.161,1.161,1.161,-0.0219039596,2018-07-06
1.304,1.304,1.304,0.1231696813,2018-07-13
1.273,1.273,1.273,-0.0237730061,2018-07-20
1.241,1.241,1.241,-0.0251374705,2018-07-27
1.212,1.212,1.212,-0.0233682514,2018-07-31
1.143,1.143,1.143,-0.0569306931,2018-08-03
1.155,1.155,1.155,0.0104986877,2018-08-10
1.078,1.078,1.078,-0.0666666667,2018-08-17
1.082,1.082,1.082,0.0037105751,2018-08-24
1.087,1.087,1.087,0.0046210721,2018-08-31
1.069,1.069,1.069,-0.0165593376,2018-09-07
0.986,0.986,0.986,-0.0776426567,2018-09-14
1.023,1.023,1.023,0.037525355,2018-09-21
1.045,1.045,1.045,0.0215053763,2018-09-28
0.933,0.933,0.933,-0.1071770335,2018-10-12
0.881,0.881,0.881,-0.0557341908,2018-10-19
0.864,0.864,0.864,-0.0192962543,2018-10-26
0.864,0.864,0.864,0.0,2018-10-31
0.907,0.907,0.907,0.0497685185,2018-11-02
0.88,0.88,0.88,-0.0297684675,2018-11-09
0.909,0.909,0.909,0.0329545455,2018-11-16
0.894,0.894,0.894,-0.0165016502,2018-11-23
0.88,0.88,0.88,-0.0156599553,2018-11-30
0.917,0.917,0.917,0.0420454545,2018-12-07
0.928,0.928,0.928,0.0119956379,2018-12-14
0.879,0.879,0.879,-0.0528017241,2018-12-21
0.883,0.883,0.883,0.0045506257,2018-12-28
0.86,0.86,0.86,-0.0260475651,2019-01-04
0.878,0.878,0.878,0.0209302326,2019-01-11
0.917,0.917,0.917,0.0444191344,2019-01-18
0.897,0.897,0.897,-0.0218102508,2019-01-25
0.9,0.9,0.9,0.0033444816,2019-01-31
0.931,0.931,0.931,0.0344444444,2019-02-01
0.978,0.978,0.978,0.0504833512,2019-02-15
1.008,1.008,1.008,0.0306748466,2019-02-22
1.045,1.045,1.045,0.0367063492,2019-02-28
1.053,1.053,1.053,0.0076555024,2019-03-01
1.013,1.013,1.013,-0.0379867047,2019-03-08
1.038,1.038,1.038,0.0246791708,2019-03-15
1.098,1.098,1.098,0.0578034682,2019-03-22
1.121,1.121,1.121,0.0209471767,2019-03-29
1.166,1.166,1.166,0.0401427297,2019-04-04
1.171,1.171,1.171,0.0042881647,2019-04-12
1.164,1.164,1.164,-0.0059777968,2019-04-19
1.096,1.096,1.096,-0.058419244,2019-04-26
1.122,1.122,1.122,0.0237226277,2019-04-30
