nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-03-27
0.9999,0.9999,0.9999,-0.0001,2023-03-31
0.9997,0.9997,0.9997,-0.00020002,2023-04-07
0.9994,0.9994,0.9994,-0.00030009,2023-04-14
0.997,0.997,0.997,-0.0024014409,2023-04-21
0.9991,0.9991,0.9991,0.002106319,2023-04-28
0.9926,0.9926,0.9926,-0.0065058553,2023-05-05
0.9965,0.9965,0.9965,0.0039290752,2023-05-12
1.0009,1.0009,1.0009,0.0044154541,2023-05-19
0.9923,0.9923,0.9923,-0.008592267,2023-05-26
0.9791,0.9791,0.9791,-0.0133024287,2023-05-31
0.9975,0.9975,0.9975,0.0187927689,2023-06-02
0.9939,0.9939,0.9939,-0.0036090226,2023-06-09
1.03,1.03,1.03,0.0363215615,2023-06-16
1.0135,1.0135,1.0135,-0.0160194175,2023-06-21
1.016,1.016,1.016,0.0024666996,2023-06-30
0.9887,0.9887,0.9887,-0.0268700787,2023-07-07
1.0032,1.0032,1.0032,0.0146657227,2023-07-14
0.979,0.979,0.979,-0.024122807,2023-07-21
1.0014,1.0014,1.0014,0.0228804903,2023-07-28
1.0092,1.0092,1.0092,0.0077890953,2023-07-31
1.0015,1.0015,1.0015,-0.0076298058,2023-08-04
0.9754,0.9754,0.9754,-0.0260609086,2023-08-11
0.9459,0.9459,0.9459,-0.0302440025,2023-08-18
0.9141,0.9141,0.9141,-0.0336187758,2023-08-25
0.9383,0.9383,0.9383,0.0264741276,2023-08-31
0.9404,0.9404,0.9404,0.0022380902,2023-09-01
0.9238,0.9238,0.9238,-0.017652063,2023-09-08
0.9078,0.9078,0.9078,-0.0173197662,2023-09-15
0.9056,0.9056,0.9056,-0.0024234413,2023-09-22
0.9002,0.9002,0.9002,-0.0059628975,2023-09-28
0.8858,0.8858,0.8858,-0.0159964452,2023-10-13
0.8554,0.8554,0.8554,-0.0343192594,2023-10-20
0.8628,0.8628,0.8628,0.0086509235,2023-10-27
0.8574,0.8574,0.8574,-0.0062586926,2023-10-31
0.8598,0.8598,0.8598,0.0027991603,2023-11-03
0.8606,0.8606,0.8606,0.0009304489,2023-11-10
0.862,0.862,0.862,0.001626772,2023-11-17
0.8517,0.8517,0.8517,-0.0119489559,2023-11-24
0.8295,0.8295,0.8295,-0.026065516,2023-11-30
0.8236,0.8236,0.8236,-0.0071127185,2023-12-01
0.8093,0.8093,0.8093,-0.0173627975,2023-12-08
0.804,0.804,0.804,-0.0065488694,2023-12-15
0.795,0.795,0.795,-0.0111940299,2023-12-22
0.8181,0.8181,0.8181,0.0290566038,2023-12-29
0.8007,0.8007,0.8007,-0.0212687935,2024-01-05
0.8001,0.8001,0.8001,-0.0007493443,2024-01-12
0.7808,0.7808,0.7808,-0.0241219848,2024-01-19
0.7866,0.7866,0.7866,0.0074282787,2024-01-26
0.7632,0.7632,0.7632,-0.0297482838,2024-01-31
0.7584,0.7584,0.7584,-0.0062893082,2024-02-02
0.7963,0.7963,0.7963,0.0499736287,2024-02-08
0.8097,0.8097,0.8097,0.0168278287,2024-02-23
0.8117,0.8117,0.8117,0.0024700506,2024-02-29
0.8152,0.8152,0.8152,0.0043119379,2024-03-01
0.8173,0.8173,0.8173,0.002576055,2024-03-08
0.8389,0.8389,0.8389,0.026428484,2024-03-15
0.8346,0.8346,0.8346,-0.0051257599,2024-03-22
0.8314,0.8314,0.8314,-0.0038341721,2024-03-29
0.8519,0.8519,0.8519,0.0246572047,2024-04-03
0.8379,0.8379,0.8379,-0.0164338537,2024-04-12
0.8281,0.8281,0.8281,-0.0116959064,2024-04-19
0.8648,0.8648,0.8648,0.044318319,2024-04-26
0.867,0.867,0.867,0.0025439408,2024-04-30
0.9122,0.9122,0.9122,0.0521337947,2024-05-10
0.9206,0.9206,0.9206,0.0092085069,2024-05-17
