nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-07-14
0.9999,0.9999,0.9999,-0.0001,2025-07-16
0.9998,0.9998,0.9998,-0.00010001,2025-07-17
0.9998,0.9998,0.9998,0.0,2025-07-18
0.9995,0.9995,0.9995,-0.00030006,2025-07-24
0.9994,0.9994,0.9994,-0.00010005,2025-07-25
0.9992,0.9992,0.9992,-0.0002001201,2025-07-31
0.9991,0.9991,0.9991,-0.0001000801,2025-08-01
1.0093,1.0093,1.0093,0.0102091883,2025-08-07
1.0113,1.0113,1.0113,0.0019815714,2025-08-08
1.0064,1.0064,1.0064,-0.0048452487,2025-08-14
1.0252,1.0252,1.0252,0.0186804452,2025-08-15
1.0576,1.0576,1.0576,0.0316035895,2025-08-21
1.0633,1.0633,1.0633,0.0053895613,2025-08-22
1.052,1.052,1.052,-0.0106272924,2025-08-28
1.0463,1.0463,1.0463,-0.005418251,2025-08-29
1.0036,1.0036,1.0036,-0.040810475,2025-09-04
1.0329,1.0329,1.0329,0.0291948984,2025-09-05
1.0561,1.0561,1.0561,0.022461032,2025-09-11
1.0574,1.0574,1.0574,0.001230944,2025-09-12
1.0594,1.0594,1.0594,0.0018914318,2025-09-18
1.0525,1.0525,1.0525,-0.0065131206,2025-09-19
1.0567,1.0567,1.0567,0.0039904988,2025-09-25
1.0493,1.0493,1.0493,-0.0070029337,2025-09-26
1.0654,1.0654,1.0654,0.0153435624,2025-09-30
1.072,1.072,1.072,0.0061948564,2025-10-09
1.0663,1.0663,1.0663,-0.0053171642,2025-10-10
1.0536,1.0536,1.0536,-0.0119103442,2025-10-16
1.0295,1.0295,1.0295,-0.022873956,2025-10-17
1.072,1.072,1.072,0.0412821758,2025-10-23
1.0769,1.0769,1.0769,0.0045708955,2025-10-24
1.0764,1.0764,1.0764,-0.0004642957,2025-10-30
1.085,1.085,1.085,0.0079895949,2025-10-31
1.1111,1.1111,1.1111,0.0240552995,2025-11-06
1.1114,1.1114,1.1114,0.0002700027,2025-11-07
1.1323,1.1323,1.1323,0.0188051107,2025-11-13
1.1337,1.1337,1.1337,0.0012364214,2025-11-14
1.1055,1.1055,1.1055,-0.0248743054,2025-11-20
1.0551,1.0551,1.0551,-0.0455902307,2025-11-21
1.0932,1.0932,1.0932,0.0361103213,2025-11-27
1.1101,1.1101,1.1101,0.0154592023,2025-11-28
1.0928,1.0928,1.0928,-0.0155841816,2025-12-04
1.1098,1.1098,1.1098,0.015556369,2025-12-05
1.0903,1.0903,1.0903,-0.0175707335,2025-12-11
1.0918,1.0918,1.0918,0.0013757681,2025-12-12
1.084,1.084,1.084,-0.0071441656,2025-12-18
1.101,1.101,1.101,0.0156826568,2025-12-19
1.1353,1.1353,1.1353,0.0311534968,2025-12-25
1.1338,1.1338,1.1338,-0.0013212367,2025-12-26
1.1318,1.1318,1.1318,-0.0017639795,2025-12-31
1.1745,1.1745,1.1745,0.0377275137,2026-01-08
1.1919,1.1919,1.1919,0.0148148148,2026-01-09
1.2165,1.2165,1.2165,0.0206393154,2026-01-15
1.2138,1.2138,1.2138,-0.0022194821,2026-01-16
1.249,1.249,1.249,0.0289998352,2026-01-22
1.2689,1.2689,1.2689,0.0159327462,2026-01-23
1.2353,1.2353,1.2353,-0.026479628,2026-01-29
1.2395,1.2395,1.2395,0.0033999838,2026-01-30
1.2338,1.2338,1.2338,-0.0045986285,2026-02-05
1.2418,1.2418,1.2418,0.0064840331,2026-02-06
1.2658,1.2658,1.2658,0.0193267837,2026-02-12
1.2562,1.2562,1.2562,-0.0075841365,2026-02-13
1.2982,1.2982,1.2982,0.0334341665,2026-02-26
1.3092,1.3092,1.3092,0.0084732707,2026-02-27
1.2567,1.2567,1.2567,-0.0401008249,2026-03-05
1.2818,1.2818,1.2818,0.019972945,2026-03-06
1.2818,1.2818,1.2818,0.0,2026-03-12
1.2749,1.2749,1.2749,-0.0053830551,2026-03-13
1.2273,1.2273,1.2273,-0.0373362617,2026-03-19
1.1973,1.1973,1.1973,-0.0244439012,2026-03-20
1.18,1.18,1.18,-0.0144491773,2026-03-26
1.1988,1.1988,1.1988,0.0159322034,2026-03-27
1.1891,1.1891,1.1891,-0.0080914248,2026-03-31
1.1874,1.1874,1.1874,-0.0014296527,2026-04-02
1.159,1.159,1.159,-0.0239178036,2026-04-03
1.2113,1.2113,1.2113,0.0451251079,2026-04-09
1.2258,1.2258,1.2258,0.0119706101,2026-04-10
1.2538,1.2538,1.2538,0.0228422255,2026-04-16
1.2546,1.2546,1.2546,0.0006380603,2026-04-17
1.2507,1.2507,1.2507,-0.0031085605,2026-04-23
1.2518,1.2518,1.2518,0.0008795075,2026-04-24
1.2839,1.2839,1.2839,0.025643074,2026-04-30
1.3293,1.3293,1.3293,0.0353610094,2026-05-07
1.3438,1.3438,1.3438,0.0109079967,2026-05-08
1.3433,1.3433,1.3433,-0.0003720792,2026-05-14
1.3339,1.3339,1.3339,-0.0069976923,2026-05-15
1.3085,1.3085,1.3085,-0.0190419072,2026-05-21
1.3448,1.3448,1.3448,0.027741689,2026-05-22
