nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.084,1.084,1.084,0.0,2025-07-31
1.0846,1.0846,1.0846,0.0005535055,2025-08-01
1.123,1.123,1.123,0.0354047575,2025-08-08
1.1638,1.1638,1.1638,0.0363312556,2025-08-15
1.2132,1.2132,1.2132,0.0424471559,2025-08-22
1.2327,1.2327,1.2327,0.0160731949,2025-08-29
1.2248,1.2248,1.2248,-0.0064086964,2025-09-05
1.2621,1.2621,1.2621,0.0304539517,2025-09-12
1.2739,1.2739,1.2739,0.0093494969,2025-09-19
1.2707,1.2707,1.2707,-0.0025119711,2025-09-26
1.3,1.3,1.3,0.0230581569,2025-09-30
1.2797,1.2797,1.2797,-0.0156153846,2025-10-10
1.2207,1.2207,1.2207,-0.0461045558,2025-10-17
1.2768,1.2768,1.2768,0.0459572377,2025-10-24
1.3347,1.3347,1.3347,0.0453477444,2025-12-05
1.343,1.343,1.343,0.0062186259,2025-12-12
1.3388,1.3388,1.3388,-0.0031273269,2025-12-19
1.4024,1.4024,1.4024,0.0475052286,2025-12-26
1.4036,1.4036,1.4036,0.000855676,2025-12-31
1.4778,1.5066,1.5066,0.0733827301,2026-01-09
1.5095,1.5383,1.53891778,0.0214508053,2026-01-16
1.5862,1.615,1.61711255,0.050811527,2026-01-23
1.5585,1.5873,1.58887272,-0.0174631194,2026-01-30
1.5583,1.5871,1.58866882,-0.0001283285,2026-02-06
1.5909,1.6197,1.62190414,0.0209202336,2026-02-13
1.6713,1.7001,1.70387101,0.0505374316,2026-02-27
1.6359,1.6647,1.66778112,-0.0211811165,2026-03-06
1.6153,1.6441,1.64677966,-0.0125924568,2026-03-13
1.5405,1.5693,1.57052192,-0.0463071875,2026-03-20
1.5617,1.5905,1.59213508,0.0137617657,2026-03-27
1.5078,1.5366,1.53718465,-0.034513671,2026-04-03
1.6065,1.6353,1.63780816,0.06545961,2026-04-10
1.6906,1.7194,1.72354714,0.0523498288,2026-04-17
1.6849,1.7137,1.71773605,-0.0033715841,2026-04-24
1.7451,1.7739,1.77910926,0.0357291234,2026-04-30
1.8414,1.8702,1.87728599,0.0551830841,2026-05-08
1.854,1.8828,1.89013155,0.0068426197,2026-05-15
1.8639,1.8927,1.90022448,0.0053398058,2026-05-22
