nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-12-06
1.0,1.0,1.0,0.0,2019-12-13
1.0,1.0,1.0,0.0,2019-12-16
0.999,0.999,0.999,-0.001,2019-12-17
0.999,0.999,0.999,0.0,2019-12-18
0.999,0.999,0.999,0.0,2019-12-19
0.999,0.999,0.999,0.0,2019-12-20
0.997,0.997,0.997,-0.002002002,2019-12-27
1.003,1.003,1.003,0.0060180542,2019-12-31
1.006,1.006,1.006,0.0029910269,2020-01-03
1.09,1.09,1.09,0.083499006,2020-01-10
1.129,1.129,1.129,0.0357798165,2020-01-17
1.127,1.127,1.127,-0.0017714792,2020-01-23
1.23,1.23,1.23,0.091393079,2020-02-07
1.284,1.284,1.284,0.043902439,2020-02-14
1.38,1.38,1.38,0.0747663551,2020-02-21
1.269,1.269,1.269,-0.0804347826,2020-02-28
1.296,1.296,1.296,0.0212765957,2020-03-06
1.2,1.2,1.2,-0.0740740741,2020-03-13
1.165,1.165,1.165,-0.0291666667,2020-03-20
1.172,1.172,1.172,0.0060085837,2020-03-27
1.167,1.167,1.167,-0.0042662116,2020-03-31
1.16,1.16,1.16,-0.0059982862,2020-04-03
1.181,1.181,1.181,0.0181034483,2020-04-10
1.191,1.191,1.191,0.0084674005,2020-04-17
1.198,1.198,1.198,0.0058774139,2020-04-24
1.219,1.219,1.219,0.0175292154,2020-04-30
1.251,1.251,1.251,0.0262510254,2020-05-08
1.29,1.29,1.29,0.03117506,2020-05-15
1.29,1.29,1.29,0.0,2020-05-22
1.367,1.367,1.367,0.0596899225,2020-05-29
1.443,1.443,1.443,0.055596196,2020-06-05
1.551,1.551,1.551,0.0748440748,2020-06-12
1.284,1.6214,1.6214,0.0453900709,2020-06-19
1.341,1.6784,1.69337804,0.0443925234,2020-06-24
1.432,1.7694,1.80829034,0.0678598061,2020-06-30
1.588,1.9254,2.00528287,0.1089385475,2020-07-03
1.794,2.1314,2.26541402,0.1297229219,2020-07-10
1.571,1.9084,1.98381573,-0.124303233,2020-07-17
1.53,1.8674,1.93204206,-0.0260980267,2020-07-24
1.649,1.9864,2.08231199,0.0777777778,2020-07-31
1.699,2.0364,2.14545062,0.0303214069,2020-08-07
1.648,1.9854,2.08104922,-0.0300176574,2020-08-14
1.632,1.9694,2.06084486,-0.0097087379,2020-08-21
1.631,1.9684,2.05958209,-0.0006127451,2020-08-28
1.621,1.9584,2.04695436,-0.0061312078,2020-08-31
1.63,1.9674,2.05831931,0.0055521283,2020-09-04
1.544,1.8814,1.94972087,-0.0527607362,2020-09-11
1.618,1.9554,2.04316604,0.0479274611,2020-09-18
1.514,1.8514,1.91183769,-0.064276885,2020-09-25
1.545,1.8824,1.95098364,0.0204755614,2020-09-30
1.606,1.9434,2.02801277,0.0394822006,2020-10-09
1.581,1.9184,1.99644346,-0.0155666252,2020-10-16
1.493,1.8304,1.88531947,-0.0556609741,2020-10-23
1.516,1.8534,1.91436324,0.0154052244,2020-10-30
1.591,1.9284,2.00907118,0.0494722955,2020-11-06
1.579,1.9164,1.99391791,-0.0075424261,2020-11-13
1.631,1.9684,2.05958209,0.0329322356,2020-11-20
1.587,1.9244,2.00402009,-0.0269773145,2020-11-27
1.578,1.9154,1.99265514,-0.0056710775,2020-11-30
1.598,1.9354,2.01791059,0.0126742712,2020-12-04
1.545,1.8824,1.95098364,-0.0331664581,2020-12-11
1.592,1.9294,2.01033396,0.030420712,2020-12-18
1.672,2.0094,2.11135576,0.0502512563,2020-12-25
1.735,2.0724,2.19091044,0.0376794258,2020-12-31
1.879,2.2164,2.37274969,0.0829971182,2021-01-08
1.829,2.1664,2.30961106,-0.0266098989,2021-01-15
1.962,2.2994,2.47755981,0.0727173319,2021-01-22
1.828,2.1654,2.30834829,-0.0682976555,2021-01-29
1.861,2.1984,2.35001978,0.0180525164,2021-02-05
2.021,2.3584,2.5520634,0.0859752821,2021-02-10
2.033,2.3704,2.56721667,0.0059376546,2021-02-19
1.815,2.1524,2.29193224,-0.1072306936,2021-02-26
1.759,2.0964,2.22121698,-0.0308539945,2021-03-05
1.707,2.0444,2.1555528,-0.0295622513,2021-03-12
1.685,2.0224,2.12777181,-0.0128881078,2021-03-19
1.63,1.9674,2.05831931,-0.0326409496,2021-03-26
1.631,1.9684,2.05958209,0.0006134969,2021-03-31
1.643,1.9804,2.07473536,0.0073574494,2021-04-02
1.626,1.9634,2.05326822,-0.0103469264,2021-04-09
1.646,1.9834,2.07852368,0.012300123,2021-04-16
1.699,2.0364,2.14545062,0.032199271,2021-04-23
1.761,2.0984,2.22374252,0.0364920541,2021-04-30
1.749,2.0864,2.20858925,-0.0068143101,2021-05-07
1.786,2.1234,2.25531184,0.0211549457,2021-05-14
1.772,2.1094,2.23763302,-0.0078387458,2021-05-21
1.832,2.1694,2.31339938,0.0338600451,2021-05-28
1.863,2.2004,2.35254533,0.0169213974,2021-05-31
1.872,2.2094,2.36391028,0.0048309179,2021-06-04
1.855,2.1924,2.34244315,-0.0090811966,2021-06-11
1.841,2.1784,2.32476433,-0.0075471698,2021-06-18
1.891,2.2284,2.38790296,0.0271591526,2021-06-25
1.975,2.3124,2.49397586,0.0444209413,2021-06-30
1.929,2.2664,2.43588832,-0.0232911392,2021-07-02
2.021,2.3584,2.5520634,0.0476931052,2021-07-09
2.059,2.3964,2.60004875,0.018802573,2021-07-16
2.206,2.5434,2.78567632,0.0713938805,2021-07-23
2.226,2.5634,2.81093178,0.0090661831,2021-07-30
2.362,2.6994,2.98266885,0.0610961366,2021-08-06
2.362,2.6994,2.98266885,0.0,2021-08-13
2.314,2.6514,2.92205576,-0.0203217612,2021-08-20
2.466,2.8034,3.1139972,0.0656871219,2021-08-27
2.508,2.8454,3.16703364,0.0170316302,2021-08-31
