nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-04-17
1.0,1.0,1.0,0.0,2019-04-19
0.999,0.999,0.999,-0.001,2019-04-26
0.999,0.999,0.999,0.0,2019-04-30
0.998,0.998,0.998,-0.001001001,2019-05-10
0.997,0.997,0.997,-0.001002004,2019-05-17
0.985,0.985,0.985,-0.0120361083,2019-05-24
0.998,0.998,0.998,0.0131979695,2019-05-31
0.97,0.97,0.97,-0.0280561122,2019-06-06
0.978,0.978,0.978,0.0082474227,2019-06-14
1.031,1.031,1.031,0.054192229,2019-06-21
1.035,1.035,1.035,0.0038797284,2019-06-28
1.072,1.072,1.072,0.0357487923,2019-07-05
1.022,1.022,1.022,-0.046641791,2019-07-12
1.032,1.032,1.032,0.0097847358,2019-07-19
1.083,1.083,1.083,0.0494186047,2019-07-26
1.08,1.08,1.08,-0.0027700831,2019-07-31
1.075,1.075,1.075,-0.0046296296,2019-08-02
1.03,1.03,1.03,-0.0418604651,2019-08-09
1.082,1.082,1.082,0.0504854369,2019-08-16
1.091,1.091,1.091,0.0083179298,2019-08-23
1.111,1.111,1.111,0.0183318057,2019-08-30
1.212,1.212,1.212,0.0909090909,2019-09-06
1.265,1.265,1.265,0.0437293729,2019-09-12
1.12,1.296,1.296,0.0245059289,2019-09-20
1.093,1.269,1.26475714,-0.0241071429,2019-09-27
1.08,1.256,1.24971429,-0.0118938701,2019-09-30
1.09,1.266,1.26128571,0.0092592593,2019-10-11
1.069,1.245,1.23698571,-0.019266055,2019-10-18
1.092,1.268,1.2636,0.021515435,2019-10-25
1.087,1.263,1.25781429,-0.0045787546,2019-10-31
1.093,1.269,1.26475714,0.0055197792,2019-11-01
1.102,1.278,1.27517143,0.0082342177,2019-11-08
1.08,1.256,1.24971429,-0.0199637024,2019-11-15
1.085,1.261,1.2555,0.0046296296,2019-11-22
1.075,1.251,1.24392857,-0.0092165899,2019-11-29
1.123,1.299,1.29947143,0.0446511628,2019-12-06
1.139,1.315,1.31798571,0.0142475512,2019-12-13
1.175,1.351,1.35964286,0.0316066725,2019-12-20
1.162,1.338,1.3446,-0.0110638298,2019-12-27
1.191,1.367,1.37815714,0.0249569707,2019-12-31
1.238,1.414,1.43254286,0.0394626364,2020-01-03
1.311,1.487,1.51701429,0.0589660743,2020-01-10
1.346,1.522,1.55751429,0.0266971777,2020-01-17
1.341,1.517,1.55172857,-0.0037147103,2020-01-23
1.378,1.554,1.59454286,0.0275913497,2020-02-07
1.395,1.571,1.61421429,0.0123367199,2020-02-14
1.579,1.755,1.82712857,0.1318996416,2020-02-21
1.484,1.66,1.7172,-0.0601646612,2020-02-28
1.537,1.713,1.77852857,0.0357142857,2020-03-06
1.42,1.596,1.64314286,-0.0761223162,2020-03-13
1.333,1.509,1.54247143,-0.0612676056,2020-03-20
1.278,1.454,1.47882857,-0.0412603151,2020-03-27
1.23,1.406,1.42328571,-0.0375586854,2020-03-31
1.231,1.407,1.42444286,0.0008130081,2020-04-03
1.228,1.404,1.42097143,-0.0024370431,2020-04-10
1.24,1.416,1.43485714,0.009771987,2020-04-17
1.243,1.419,1.43832857,0.0024193548,2020-04-24
1.276,1.452,1.47651429,0.0265486726,2020-04-30
1.321,1.497,1.52858571,0.0352664577,2020-05-08
1.312,1.488,1.51817143,-0.0068130204,2020-05-15
1.265,1.441,1.46378571,-0.0358231707,2020-05-22
1.314,1.49,1.52048571,0.0387351779,2020-05-29
1.412,1.588,1.63388571,0.0745814307,2020-06-05
1.471,1.647,1.70215714,0.0417847025,2020-06-12
1.544,1.72,1.78662857,0.0496261047,2020-06-19
1.647,1.823,1.90581429,0.0667098446,2020-06-24
1.722,1.898,1.9926,0.0455373406,2020-06-30
1.893,2.069,2.19047143,0.0993031359,2020-07-03
2.122,2.298,2.45545714,0.1209720021,2020-07-10
1.964,2.14,2.27262857,-0.0744580584,2020-07-17
1.983,2.159,2.29461429,0.0096741344,2020-07-24
2.069,2.245,2.39412857,0.0433686334,2020-07-31
2.191,2.367,2.5353,0.0589656839,2020-08-07
1.603,2.279,2.43347143,-0.0401643085,2020-08-14
1.567,2.243,2.37882079,-0.0224578915,2020-08-21
1.672,2.348,2.53821848,0.0670070198,2020-08-28
1.667,2.343,2.53062812,-0.0029904306,2020-08-31
1.667,2.343,2.53062812,0.0,2020-09-04
1.598,2.274,2.42588106,-0.0413917217,2020-09-11
1.642,2.318,2.49267629,0.027534418,2020-09-18
1.549,2.225,2.35149547,-0.056638246,2020-09-25
1.563,2.239,2.3727485,0.0090380891,2020-09-30
1.608,2.284,2.44106179,0.0287907869,2020-10-09
1.474,2.15,2.23763998,-0.0833333333,2020-10-16
1.395,2.071,2.11771219,-0.0535956581,2020-10-23
1.424,2.1,2.16173632,0.0207885305,2020-10-30
1.504,2.18,2.28318218,0.0561797753,2020-11-06
1.507,2.183,2.2877364,0.0019946809,2020-11-13
1.534,2.21,2.32872437,0.0179163902,2020-11-20
1.468,2.144,2.22853154,-0.0430247718,2020-11-27
1.463,2.139,2.22094117,-0.0034059946,2020-11-30
1.456,2.132,2.21031466,-0.004784689,2020-12-04
1.397,2.073,2.12074834,-0.040521978,2020-12-11
1.463,2.139,2.22094117,0.0472440945,2020-12-18
1.581,2.257,2.40007382,0.0806561859,2020-12-25
1.644,2.32,2.49571243,0.0398481973,2020-12-31
1.811,2.487,2.74923067,0.1015815085,2021-01-08
1.784,2.46,2.70824269,-0.0149088901,2021-01-15
1.95,2.626,2.96024285,0.0930493274,2021-01-22
1.763,2.439,2.67636315,-0.0958974359,2021-01-29
1.756,2.432,2.66573664,-0.0039705048,2021-02-05
1.9,2.576,2.88433919,0.0820045558,2021-02-10
1.825,2.501,2.77048369,-0.0394736842,2021-02-19
1.614,2.29,2.45017023,-0.1156164384,2021-02-26
1.599,2.275,2.42739914,-0.0092936803,2021-03-05
1.567,2.243,2.37882079,-0.0200125078,2021-03-12
1.541,2.217,2.33935089,-0.0165922144,2021-03-19
1.482,2.158,2.24978456,-0.0382868267,2021-03-26
1.5,2.176,2.27710988,0.012145749,2021-03-31
1.529,2.205,2.32113401,0.0193333333,2021-04-02
1.495,2.171,2.26951952,-0.022236756,2021-04-09
1.459,2.135,2.21486888,-0.0240802676,2021-04-16
1.51,2.186,2.29229062,0.0349554489,2021-04-23
1.517,2.193,2.30291713,0.0046357616,2021-04-30
1.437,2.113,2.18147127,-0.0527356625,2021-05-07
1.432,2.108,2.1738809,-0.0034794711,2021-05-14
