nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.299,1.299,1.299,0.0,2025-07-15
1.3,1.3,1.3,0.0007698229,2025-07-18
1.296,1.296,1.296,-0.0030769231,2025-07-25
1.296,1.296,1.296,0.0,2025-07-31
1.296,1.296,1.296,0.0,2025-08-01
1.297,1.297,1.297,0.0007716049,2025-08-08
1.294,1.294,1.294,-0.0023130301,2025-08-15
1.304,1.304,1.304,0.0077279753,2025-08-22
1.3,1.3,1.3,-0.0030674847,2025-08-29
1.293,1.293,1.293,-0.0053846154,2025-09-05
1.302,1.302,1.302,0.0069605568,2025-09-12
1.29,1.29,1.29,-0.0092165899,2025-09-19
1.288,1.288,1.288,-0.0015503876,2025-09-26
1.295,1.295,1.295,0.0054347826,2025-09-30
1.304,1.304,1.304,0.0069498069,2025-10-10
1.273,1.273,1.273,-0.0237730061,2025-10-17
1.314,1.314,1.314,0.0322073841,2025-10-24
1.321,1.321,1.321,0.0053272451,2025-10-31
1.372,1.372,1.372,0.0386071158,2025-11-07
1.401,1.401,1.401,0.0211370262,2025-11-14
1.323,1.323,1.323,-0.0556745182,2025-11-21
1.364,1.364,1.364,0.0309901738,2025-11-28
1.358,1.358,1.358,-0.004398827,2025-12-05
1.352,1.352,1.352,-0.0044182622,2025-12-12
1.353,1.353,1.353,0.000739645,2025-12-19
1.353,1.353,1.353,0.0,2025-12-26
1.352,1.352,1.352,-0.0007390983,2025-12-31
1.402,1.402,1.402,0.0369822485,2026-01-09
1.435,1.435,1.435,0.0235378031,2026-01-16
1.492,1.492,1.492,0.0397212544,2026-01-23
1.46,1.46,1.46,-0.0214477212,2026-01-30
1.459,1.459,1.459,-0.0006849315,2026-02-06
1.441,1.441,1.441,-0.0123372173,2026-02-13
1.458,1.458,1.458,0.0117973629,2026-02-27
1.406,1.406,1.406,-0.0356652949,2026-03-06
1.343,1.343,1.343,-0.0448079659,2026-03-13
1.316,1.316,1.316,-0.0201042442,2026-03-20
1.316,1.316,1.316,0.0,2026-03-27
1.314,1.314,1.314,-0.0015197568,2026-03-31
1.313,1.313,1.313,-0.000761035,2026-04-03
1.323,1.323,1.323,0.0076161462,2026-04-10
1.329,1.329,1.329,0.0045351474,2026-04-17
1.317,1.317,1.317,-0.0090293454,2026-04-24
1.324,1.324,1.324,0.0053151101,2026-04-30
1.343,1.343,1.343,0.0143504532,2026-05-08
1.37,1.37,1.37,0.0201042442,2026-05-15
1.422,1.422,1.422,0.0379562044,2026-05-22
