nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.9994,0.9994,0.9994,0.0,2022-04-29
0.976,0.976,0.976,-0.0234140484,2022-05-06
1.0142,1.0142,1.0142,0.0391393443,2022-05-13
1.0325,1.0325,1.0325,0.0180437783,2022-05-20
1.0271,1.0271,1.0271,-0.0052300242,2022-05-27
1.0498,1.0498,1.0498,0.0221010612,2022-05-31
1.0609,1.0609,1.0609,0.0105734426,2022-06-02
1.0913,1.0913,1.0913,0.0286549156,2022-06-10
1.1035,1.1035,1.1035,0.0111793274,2022-06-17
1.1164,1.1164,1.1164,0.011690077,2022-06-24
1.1303,1.1303,1.1303,0.0124507345,2022-06-30
1.1271,1.1271,1.1271,-0.0028311068,2022-07-01
1.1291,1.1291,1.1291,0.0017744654,2022-07-08
1.1035,1.1035,1.1035,-0.0226729253,2022-07-15
1.1168,1.1168,1.1168,0.01205256,2022-07-22
1.1397,1.1397,1.1397,0.0205050143,2022-07-29
1.1362,1.1362,1.1362,-0.0030709836,2022-08-05
1.1647,1.1647,1.1647,0.025083612,2022-08-12
1.1708,1.1708,1.1708,0.0052374002,2022-08-19
1.1315,1.1315,1.1315,-0.0335667919,2022-08-26
1.1012,1.1012,1.1012,-0.0267786125,2022-08-31
1.098,1.098,1.098,-0.0029059208,2022-09-02
1.1352,1.1352,1.1352,0.0338797814,2022-09-09
1.0552,1.0552,1.0552,-0.0704721635,2022-09-16
1.0558,1.0558,1.0558,0.0005686126,2022-09-23
1.0257,1.0257,1.0257,-0.0285091873,2022-09-30
1.0665,1.0665,1.0665,0.0397777128,2022-10-14
1.0627,1.0627,1.0627,-0.0035630567,2022-10-21
1.0329,1.0329,1.0329,-0.0280417804,2022-10-28
1.0356,1.0356,1.0356,0.0026139994,2022-10-31
1.1119,1.1119,1.1119,0.0736770954,2022-11-04
1.1067,1.1067,1.1067,-0.0046766796,2022-11-11
1.1057,1.1057,1.1057,-0.0009035872,2022-11-18
1.083,1.083,1.083,-0.020529981,2022-11-25
1.086,1.086,1.086,0.0027700831,2022-11-30
1.1109,1.1109,1.1109,0.0229281768,2022-12-02
1.1072,1.1072,1.1072,-0.0033306328,2022-12-09
1.0935,1.0935,1.0935,-0.0123735549,2022-12-16
1.0398,1.0398,1.0398,-0.0491083676,2022-12-23
1.0673,1.0673,1.0673,0.0264473937,2022-12-30
1.1003,1.1003,1.1003,0.0309191418,2023-01-06
1.105,1.105,1.105,0.0042715623,2023-01-13
1.1484,1.1484,1.1484,0.0392760181,2023-01-20
1.1603,1.1603,1.1603,0.0103622431,2023-01-31
1.1723,1.1723,1.1723,0.0103421529,2023-02-03
1.1853,1.1853,1.1853,0.0110893116,2023-02-10
1.1715,1.1715,1.1715,-0.0116426221,2023-02-17
1.1776,1.1776,1.1776,0.0052069996,2023-02-24
1.1829,1.1829,1.1829,0.0045006793,2023-02-28
1.188,1.188,1.188,0.004311438,2023-03-03
1.1542,1.1542,1.1542,-0.0284511785,2023-03-10
1.1487,1.1487,1.1487,-0.0047652053,2023-03-17
1.1793,1.1793,1.1793,0.0266388091,2023-03-24
1.1881,1.1881,1.1881,0.0074620538,2023-03-31
1.2208,1.2208,1.2208,0.0275229358,2023-04-07
1.2256,1.2256,1.2256,0.003931848,2023-04-14
