nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-08-16
1.0001,1.0001,1.0001,0.0001,2022-08-19
0.9997,0.9997,0.9997,-0.00039996,2022-08-26
0.9944,0.9944,0.9944,-0.0053015905,2022-09-02
0.9958,0.9958,0.9958,0.0014078842,2022-09-09
1.0052,1.0052,1.0052,0.0094396465,2022-09-16
0.9997,0.9997,0.9997,-0.005471548,2022-09-23
0.9942,0.9942,0.9942,-0.0055016505,2022-09-30
1.0272,1.0272,1.0272,0.033296449,2022-10-14
1.0308,1.0308,1.0308,0.0035046729,2022-10-21
0.9989,0.9989,0.9989,-0.0309468374,2022-10-28
1.0291,1.0291,1.0291,0.0302332566,2022-11-04
1.0555,1.0555,1.0555,0.0256534836,2022-11-11
1.0608,1.0608,1.0608,0.0050213169,2022-11-18
1.1018,1.1018,1.1018,0.0386500754,2022-11-25
1.1092,1.1092,1.1092,0.0067162824,2022-12-02
1.0975,1.0975,1.0975,-0.0105481428,2022-12-09
1.0774,1.0774,1.0774,-0.0183143508,2022-12-16
1.0969,1.0969,1.0969,0.0180991275,2022-12-23
1.0905,1.0905,1.0905,-0.0058346249,2022-12-30
1.1038,1.1038,1.1038,0.0121962403,2023-01-06
1.0976,1.0976,1.0976,-0.0056169596,2023-01-13
1.095,1.095,1.095,-0.0023688047,2023-01-20
1.1098,1.1098,1.1098,0.0136085487,2023-02-03
1.117,1.117,1.117,0.0064876554,2023-02-10
1.1237,1.1237,1.1237,0.0059982095,2023-02-17
1.1298,1.1298,1.1298,0.0054284951,2023-02-24
1.1427,1.1427,1.1427,0.0114179501,2023-03-03
1.1442,1.1442,1.1442,0.0013126805,2023-03-10
1.1234,1.1234,1.1234,-0.0181786401,2023-03-17
1.1213,1.1213,1.1213,-0.0018693253,2023-03-24
1.1292,1.1292,1.1292,0.0070453937,2023-03-31
1.1458,1.1458,1.1458,0.014700673,2023-04-07
1.1615,1.1615,1.1615,0.0137022168,2023-04-14
1.1644,1.1644,1.1644,0.0024967714,2023-04-21
1.1767,1.1767,1.1767,0.0105633803,2023-04-28
1.1834,1.1834,1.1834,0.0056938897,2023-05-05
1.1955,1.1955,1.1955,0.0102247761,2023-05-12
1.1996,1.1996,1.1996,0.0034295274,2023-05-19
1.2123,1.2123,1.2123,0.0105868623,2023-05-26
1.2079,1.2079,1.2079,-0.0036294647,2023-05-31
1.2096,1.2096,1.2096,0.0014074013,2023-06-02
1.2098,1.2098,1.2098,0.0001653439,2023-06-09
1.2069,1.2069,1.2069,-0.0023970904,2023-06-16
1.1984,1.1984,1.1984,-0.007042837,2023-06-21
1.2003,1.2003,1.2003,0.0015854473,2023-06-30
1.2087,1.2087,1.2087,0.0069982504,2023-07-07
1.218,1.218,1.218,0.0076942169,2023-07-14
1.2107,1.2107,1.2107,-0.0059934319,2023-07-21
1.2118,1.2118,1.2118,0.0009085653,2023-07-28
1.2172,1.2172,1.2172,0.0044561809,2023-07-31
1.2128,1.2128,1.2128,-0.0036148538,2023-08-04
1.2165,1.2165,1.2165,0.0030507916,2023-08-11
1.2173,1.2173,1.2173,0.0006576243,2023-08-18
1.237,1.237,1.237,0.0161833566,2023-08-25
1.2617,1.2617,1.2617,0.0199676637,2023-09-01
1.2807,1.2807,1.2807,0.0150590473,2023-09-08
1.2824,1.2824,1.2824,0.0013273991,2023-09-15
1.2686,1.2686,1.2686,-0.010761073,2023-09-22
1.2694,1.2694,1.2694,0.0006306164,2023-09-28
1.2845,1.2845,1.2845,0.0118953836,2023-10-13
1.2803,1.2803,1.2803,-0.0032697548,2023-10-20
1.283,1.283,1.283,0.0021088807,2023-10-27
