nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-06-24
0.9999,0.9999,0.9999,-0.0001,2022-06-30
0.9999,0.9999,0.9999,0.0,2022-07-01
0.9993,0.9993,0.9993,-0.00060006,2022-07-08
0.9992,0.9992,0.9992,-0.00010007,2022-07-15
0.9991,0.9991,0.9991,-0.0001000801,2022-07-22
0.9989,0.9989,0.9989,-0.0002001802,2022-07-29
1.0049,1.0049,1.0049,0.0060066073,2022-08-05
1.0125,1.0125,1.0125,0.0075629416,2022-08-12
1.0084,1.0084,1.0084,-0.0040493827,2022-08-19
0.9824,0.9824,0.9824,-0.0257834193,2022-08-26
0.9663,0.9663,0.9663,-0.0163884365,2022-08-31
0.9969,0.9969,0.9969,0.0316671841,2022-09-02
1.0136,1.0136,1.0136,0.016751931,2022-09-09
0.9636,0.9636,0.9636,-0.0493291239,2022-09-16
0.9345,0.9345,0.9345,-0.0301992528,2022-09-23
0.9151,0.9151,0.9151,-0.0207597646,2022-09-30
0.9465,0.9465,0.9465,0.0343131898,2022-10-14
0.9441,0.9441,0.9441,-0.0025356577,2022-10-21
0.9351,0.9351,0.9351,-0.0095328885,2022-10-28
0.9527,0.9527,0.9527,0.0188215164,2022-10-31
1.0042,1.0042,1.0042,0.0540568909,2022-11-04
0.9866,0.9866,0.9866,-0.0175263892,2022-11-11
1.0043,1.0043,1.0043,0.0179404014,2022-11-18
0.9786,0.9786,0.9786,-0.0255899632,2022-11-25
0.984,0.984,0.984,0.0055180871,2022-11-30
0.999,0.999,0.999,0.0152439024,2022-12-02
0.9906,0.9906,0.9906,-0.0084084084,2022-12-09
0.9563,0.9563,0.9563,-0.0346254795,2022-12-16
0.9056,0.9056,0.9056,-0.0530168357,2022-12-23
0.9119,0.9119,0.9119,0.0069567138,2022-12-30
0.9681,0.9681,0.9681,0.0616295646,2023-01-06
0.9713,0.9713,0.9713,0.0033054437,2023-01-13
1.0032,1.0032,1.0032,0.0328425821,2023-01-20
1.0093,1.0093,1.0093,0.0060805423,2023-01-31
1.0259,1.0259,1.0259,0.0164470425,2023-02-03
1.0498,1.0498,1.0498,0.0232966176,2023-02-10
1.0309,1.0309,1.0309,-0.0180034292,2023-02-17
1.0357,1.0357,1.0357,0.0046561257,2023-02-24
1.0386,1.0386,1.0386,0.0028000386,2023-02-28
1.0426,1.0426,1.0426,0.0038513383,2023-03-03
1.0159,1.0159,1.0159,-0.0256090543,2023-03-10
0.9956,0.9956,0.9956,-0.0199822817,2023-03-17
1.0456,1.0456,1.0456,0.0502209723,2023-03-24
1.0384,1.0384,1.0384,-0.0068859985,2023-03-31
1.0327,1.0327,1.0327,-0.0054892142,2023-04-07
1.0349,1.0349,1.0349,0.0021303379,2023-04-14
1.0273,1.0273,1.0273,-0.0073437047,2023-04-21
1.0382,1.0382,1.0382,0.0106103378,2023-04-28
1.0505,1.0505,1.0505,0.0118474282,2023-05-05
1.0252,1.0252,1.0252,-0.0240837696,2023-05-12
1.0398,1.0398,1.0398,0.0142411237,2023-05-19
1.0263,1.0263,1.0263,-0.012983266,2023-05-26
1.0135,1.0135,1.0135,-0.0124719867,2023-05-31
1.018,1.018,1.018,0.0044400592,2023-06-02
0.9949,0.9949,0.9949,-0.0226915521,2023-06-09
1.0151,1.0151,1.0151,0.0203035481,2023-06-16
0.9972,0.9972,0.9972,-0.0176337307,2023-06-21
1.0152,1.0152,1.0152,0.0180505415,2023-06-30
1.004,1.004,1.004,-0.0110323089,2023-07-07
1.0084,1.0084,1.0084,0.0043824701,2023-07-14
1.0013,1.0013,1.0013,-0.0070408568,2023-07-21
0.9971,0.9971,0.9971,-0.0041945471,2023-07-28
1.0079,1.0079,1.0079,0.0108314111,2023-07-31
0.9979,0.9979,0.9979,-0.0099216192,2023-08-04
0.9604,0.9604,0.9604,-0.0375789157,2023-08-11
0.9581,0.9581,0.9581,-0.0023948355,2023-08-18
0.9108,0.9108,0.9108,-0.0493685419,2023-08-25
0.9752,0.9752,0.9752,0.0707070707,2023-08-31
0.9869,0.9869,0.9869,0.011997539,2023-09-01
0.9795,0.9795,0.9795,-0.0074982268,2023-09-08
0.9693,0.9693,0.9693,-0.0104134763,2023-09-15
0.9749,0.9749,0.9749,0.0057773651,2023-09-22
0.9826,0.9826,0.9826,0.007898246,2023-09-28
0.9646,0.9646,0.9646,-0.0183187462,2023-10-13
0.9306,0.9306,0.9306,-0.0352477711,2023-10-20
0.9507,0.9507,0.9507,0.0215989684,2023-10-27
0.9526,0.9526,0.9526,0.0019985274,2023-10-31
0.9529,0.9529,0.9529,0.0003149276,2023-11-03
0.975,0.975,0.975,0.0231923602,2023-11-10
0.9927,0.9927,0.9927,0.0181538462,2023-11-17
0.9956,0.9956,0.9956,0.0029213257,2023-11-24
1.0004,1.0004,1.0004,0.0048212133,2023-11-30
1.0055,1.0055,1.0055,0.0050979608,2023-12-01
0.9853,0.9853,0.9853,-0.0200895077,2023-12-08
1.0001,1.0001,1.0001,0.0150208058,2023-12-15
0.9745,0.9745,0.9745,-0.0255974403,2023-12-22
0.9965,0.9965,0.9965,0.0225756798,2023-12-29
0.9835,0.9835,0.9835,-0.0130456598,2024-01-05
0.9719,0.9719,0.9719,-0.0117946111,2024-01-12
0.9283,0.9283,0.9283,-0.0448605824,2024-01-19
0.9051,0.9051,0.9051,-0.0249919207,2024-01-26
0.8313,0.8313,0.8313,-0.0815379516,2024-01-31
0.7991,0.7991,0.7991,-0.0387345122,2024-02-02
0.7922,0.7922,0.7922,-0.0086347141,2024-02-08
0.8288,0.8288,0.8288,0.0462004544,2024-02-23
0.8286,0.8286,0.8286,-0.0002413127,2024-02-29
0.832,0.832,0.832,0.0041033068,2024-03-01
0.8303,0.8303,0.8303,-0.0020432692,2024-03-08
0.8588,0.8588,0.8588,0.0343249428,2024-03-15
0.866,0.866,0.866,0.0083837913,2024-03-22
0.8629,0.8629,0.8629,-0.0035796767,2024-03-29
0.8916,0.8916,0.8916,0.0332599374,2024-04-03
0.8726,0.8726,0.8726,-0.0213100045,2024-04-12
0.8546,0.8546,0.8546,-0.0206280083,2024-04-19
0.8895,0.8895,0.8895,0.0408378189,2024-04-26
0.9163,0.9163,0.9163,0.0301292861,2024-04-30
0.9458,0.9458,0.9458,0.0321946961,2024-05-10
0.9497,0.9497,0.9497,0.0041234933,2024-05-17
0.9166,0.9166,0.9166,-0.0348531115,2024-05-24
0.9177,0.9177,0.9177,0.0012000873,2024-05-31
0.875,0.875,0.875,-0.0465293669,2024-06-07
0.8859,0.8859,0.8859,0.0124571429,2024-06-14
0.8829,0.8829,0.8829,-0.0033863867,2024-06-21
0.8713,0.8713,0.8713,-0.0131385208,2024-06-28
0.8535,0.8535,0.8535,-0.0204292437,2024-07-05
0.8793,0.8793,0.8793,0.030228471,2024-07-12
0.8651,0.8651,0.8651,-0.0161492096,2024-07-19
0.852,0.852,0.852,-0.0151427581,2024-07-26
0.8744,0.8744,0.8744,0.0262910798,2024-07-31
0.8689,0.8689,0.8689,-0.0062900274,2024-08-02
0.8598,0.8598,0.8598,-0.0104730119,2024-08-09
0.8554,0.8554,0.8554,-0.0051174692,2024-08-16
0.8304,0.8304,0.8304,-0.0292260931,2024-08-23
0.8588,0.8588,0.8588,0.0342003854,2024-08-30
0.8541,0.8541,0.8541,-0.0054727527,2024-09-06
0.849,0.849,0.849,-0.0059711978,2024-09-13
0.8481,0.8481,0.8481,-0.0010600707,2024-09-20
0.9393,0.9393,0.9393,0.1075344889,2024-09-27
1.0355,1.0355,1.0355,0.1024166933,2024-09-30
1.0007,1.0007,1.0007,-0.0336069532,2024-10-11
1.0149,1.0149,1.0149,0.014190067,2024-10-18
1.057,1.057,1.057,0.0414819194,2024-10-25
1.0834,1.0834,1.0834,0.0249763482,2024-10-31
1.0531,1.0531,1.0531,-0.0279675097,2024-11-01
1.1392,1.1392,1.1392,0.0817586174,2024-11-08
1.0955,1.0955,1.0955,-0.0383602528,2024-11-15
1.0834,1.0834,1.0834,-0.0110451848,2024-11-22
1.1313,1.1313,1.1313,0.0442126638,2024-11-29
1.172,1.172,1.172,0.0359763104,2024-12-06
1.1946,1.1946,1.1946,0.0192832765,2024-12-13
1.1687,1.1687,1.1687,-0.0216808974,2024-12-20
1.1388,1.1388,1.1388,-0.0255839822,2024-12-27
1.1089,1.1089,1.1089,-0.0262557078,2024-12-31
1.0539,1.0539,1.0539,-0.0495987014,2025-01-03
1.0559,1.0559,1.0559,0.0018977133,2025-01-10
1.1234,1.1234,1.1234,0.0639265082,2025-01-17
1.145,1.145,1.145,0.0192273456,2025-01-24
1.1313,1.1313,1.1313,-0.0119650655,2025-01-27
1.1823,1.1823,1.1823,0.0450808804,2025-02-07
1.1967,1.1967,1.1967,0.0121796498,2025-02-14
1.231,1.231,1.231,0.0286621543,2025-02-21
1.1953,1.1953,1.1953,-0.0290008123,2025-02-28
1.2452,1.2452,1.2452,0.0417468418,2025-03-07
1.2602,1.2602,1.2602,0.0120462576,2025-03-14
1.2493,1.2493,1.2493,-0.0086494207,2025-03-21
1.2158,1.2158,1.2158,-0.0268150164,2025-03-28
1.2086,1.2086,1.2086,-0.0059220266,2025-03-31
