nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-12-06
1.0001,1.0001,1.0001,0.0001,2023-12-08
1.0002,1.0002,1.0002,9.999e-05,2023-12-15
1.0001,1.0001,1.0001,-9.998e-05,2023-12-22
1.0012,1.0012,1.0012,0.00109989,2023-12-29
0.9755,0.9755,0.9755,-0.025669197,2024-01-05
0.9656,0.9656,0.9656,-0.0101486417,2024-01-12
0.9278,0.9278,0.9278,-0.0391466446,2024-01-19
0.9341,0.9341,0.9341,0.0067902565,2024-01-26
0.8394,0.8394,0.8394,-0.1013810085,2024-02-02
0.8528,0.8528,0.8528,0.0159637837,2024-02-08
0.8779,0.8779,0.8779,0.0294324578,2024-02-23
0.8858,0.8858,0.8858,0.008998747,2024-03-01
0.8921,0.8921,0.8921,0.0071122149,2024-03-08
0.9096,0.9096,0.9096,0.0196166349,2024-03-15
0.9162,0.9162,0.9162,0.0072559367,2024-03-22
0.9111,0.9111,0.9111,-0.0055664702,2024-03-29
0.9308,0.9308,0.9308,0.0216222149,2024-04-03
0.9238,0.9238,0.9238,-0.0075204125,2024-04-12
0.9269,0.9269,0.9269,0.0033557047,2024-04-19
0.9212,0.9212,0.9212,-0.0061495307,2024-04-26
0.929,0.929,0.929,0.0084672167,2024-04-30
0.9526,0.9526,0.9526,0.0254036598,2024-05-10
0.9488,0.9488,0.9488,-0.0039890825,2024-05-17
0.9226,0.9226,0.9226,-0.027613828,2024-05-24
0.9263,0.9263,0.9263,0.0040104054,2024-05-31
0.9008,0.9008,0.9008,-0.0275288783,2024-06-07
0.9042,0.9042,0.9042,0.0037744227,2024-06-14
0.8975,0.8975,0.8975,-0.0074098651,2024-06-21
0.8852,0.8852,0.8852,-0.0137047354,2024-06-28
0.8739,0.8739,0.8739,-0.0127654767,2024-07-05
0.89,0.89,0.89,0.0184231605,2024-07-12
0.8681,0.8681,0.8681,-0.0246067416,2024-07-19
0.8416,0.8416,0.8416,-0.030526437,2024-07-26
1.6303,1.6303,1.6303,0.9371435361,2025-10-31
1.6331,1.6331,1.6331,0.0017174753,2025-11-07
1.6152,1.6152,1.6152,-0.0109607495,2025-11-14
1.5099,1.5099,1.5099,-0.0651931649,2025-11-21
1.5633,1.5633,1.5633,0.0353665806,2025-11-28
1.5709,1.5709,1.5709,0.0048615109,2025-12-05
1.5785,1.5785,1.5785,0.004837991,2025-12-12
1.5814,1.5814,1.5814,0.0018371872,2025-12-19
1.6323,1.6323,1.6323,0.03218667,2025-12-26
1.6218,1.6218,1.6218,-0.0064326411,2025-12-31
1.7115,1.7115,1.7115,0.055308916,2026-01-09
1.7432,1.7432,1.7432,0.0185217645,2026-01-16
1.8098,1.8098,1.8098,0.0382055989,2026-01-23
1.75,1.75,1.75,-0.0330423251,2026-01-30
1.7389,1.7389,1.7389,-0.0063428571,2026-02-06
1.766,1.766,1.766,0.015584565,2026-02-13
1.843,1.843,1.843,0.043601359,2026-02-27
1.7922,1.7922,1.7922,-0.0275637547,2026-03-06
1.7561,1.7561,1.7561,-0.0201428412,2026-03-13
1.6365,1.6365,1.6365,-0.068105461,2026-03-20
1.6318,1.6318,1.6318,-0.0028719829,2026-03-27
1.6094,1.6094,1.6094,-0.0137271724,2026-03-31
1.585,1.585,1.585,-0.0151609295,2026-04-03
1.7051,1.7051,1.7051,0.0757728707,2026-04-10
1.7789,1.7789,1.7789,0.0432819189,2026-04-17
1.7918,1.7918,1.7918,0.0072516724,2026-04-24
1.8319,1.8319,1.8319,0.0223797299,2026-04-30
1.9384,1.9384,1.9384,0.0581363612,2026-05-08
1.9503,1.9503,1.9503,0.0061390838,2026-05-15
1.9888,1.9888,1.9888,0.0197405527,2026-05-22
