nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-03-08
1.0001,1.0001,1.0001,0.0001,2024-03-15
1.0004,1.0004,1.0004,0.00029997,2024-03-22
0.9995,0.9995,0.9995,-0.0008996401,2024-03-29
1.0062,1.0062,1.0062,0.0067033517,2024-04-03
1.0082,1.0082,1.0082,0.0019876764,2024-04-12
1.0015,1.0015,1.0015,-0.0066455068,2024-04-19
1.001,1.001,1.001,-0.0004992511,2024-04-26
1.006,1.006,1.006,0.004995005,2024-04-30
1.0145,1.0145,1.0145,0.0084493042,2024-05-10
1.0197,1.0197,1.0197,0.0051256777,2024-05-17
1.0123,1.0123,1.0123,-0.0072570364,2024-05-24
1.0129,1.0129,1.0129,0.0005927097,2024-05-31
1.0171,1.0171,1.0171,0.00414651,2024-06-07
1.0084,1.0084,1.0084,-0.0085537312,2024-06-14
1.0113,1.0113,1.0113,0.0028758429,2024-06-21
1.0066,1.0066,1.0066,-0.0046474834,2024-06-28
1.0144,1.0144,1.0144,0.0077488575,2024-07-05
1.0174,1.0174,1.0174,0.0029574132,2024-07-12
1.0164,1.0164,1.0164,-0.0009828976,2024-07-19
0.9982,0.9982,0.9982,-0.0179063361,2024-07-26
1.0086,1.0086,1.0086,0.0104187538,2024-07-31
1.0063,1.0063,1.0063,-0.0022803887,2024-08-02
0.9911,0.9911,0.9911,-0.0151048395,2024-08-09
1.0066,1.0066,1.0066,0.0156391888,2024-08-16
1.0082,1.0082,1.0082,0.0015895092,2024-08-23
1.0111,1.0111,1.0111,0.0028764134,2024-08-30
1.0009,1.0009,1.0009,-0.0100880229,2024-09-06
1.0021,1.0021,1.0021,0.001198921,2024-09-13
1.0163,1.0163,1.0163,0.0141702425,2024-09-20
1.0379,1.0379,1.0379,0.0212535669,2024-09-27
1.0555,1.0555,1.0555,0.0169573177,2024-09-30
1.0629,1.0629,1.0629,0.0070108953,2024-10-11
1.0662,1.0662,1.0662,0.0031047135,2024-10-18
1.0698,1.0698,1.0698,0.0033764772,2024-10-25
1.0728,1.0728,1.0728,0.0028042625,2024-10-31
1.0702,1.0702,1.0702,-0.0024235645,2024-11-01
1.0873,1.0873,1.0873,0.0159783218,2024-11-08
1.0704,1.0704,1.0704,-0.0155430884,2024-11-15
1.0799,1.0799,1.0799,0.0088751868,2024-11-22
1.0813,1.0813,1.0813,0.0012964163,2024-11-29
1.094,1.094,1.094,0.0117451216,2024-12-06
1.1099,1.1099,1.1099,0.0145338208,2024-12-13
1.09,1.09,1.09,-0.0179295432,2024-12-20
1.099,1.099,1.099,0.0082568807,2024-12-27
1.0974,1.0974,1.0974,-0.001455869,2024-12-31
1.0964,1.0964,1.0964,-0.0009112448,2025-01-03
1.0982,1.0982,1.0982,0.0016417366,2025-01-10
1.1185,1.1185,1.1185,0.0184847933,2025-01-17
1.1377,1.1377,1.1377,0.0171658471,2025-01-24
1.1245,1.1245,1.1245,-0.0116023556,2025-01-27
1.1403,1.1403,1.1403,0.0140506892,2025-02-07
1.1489,1.1489,1.1489,0.0075418749,2025-02-14
1.1505,1.1505,1.1505,0.0013926364,2025-02-21
1.1362,1.1362,1.1362,-0.0124293785,2025-02-28
1.1397,1.1397,1.1397,0.0030804436,2025-03-07
1.1367,1.1367,1.1367,-0.0026322717,2025-03-14
1.1508,1.1508,1.1508,0.0124043283,2025-03-21
1.1485,1.1485,1.1485,-0.0019986097,2025-03-28
1.1512,1.1512,1.1512,0.0023508925,2025-04-03
1.1206,1.1206,1.1206,-0.026580959,2025-04-11
1.1449,1.1449,1.1449,0.0216848117,2025-04-18
1.1573,1.1573,1.1573,0.0108306402,2025-04-25
1.1589,1.1589,1.1589,0.0013825283,2025-04-30
1.1739,1.1739,1.1739,0.0129433083,2025-05-09
1.1667,1.1667,1.1667,-0.0061334015,2025-05-16
1.1762,1.1762,1.1762,0.0081426245,2025-05-23
1.1727,1.1727,1.1727,-0.0029756844,2025-05-30
1.1834,1.1834,1.1834,0.0091242432,2025-06-06
1.1927,1.1927,1.1927,0.0078587122,2025-06-13
1.188,1.188,1.188,-0.0039406389,2025-06-20
1.1974,1.1974,1.1974,0.0079124579,2025-06-27
1.1981,1.1981,1.1981,0.0005846,2025-06-30
1.2045,1.2045,1.2045,0.0053417912,2025-07-04
1.2097,1.2097,1.2097,0.004317144,2025-07-11
1.1074,1.2074,1.2074,-0.0019012978,2025-07-14
1.1114,1.2114,1.21176121,0.0036120643,2025-07-18
1.117,1.217,1.2178669,0.0050386899,2025-07-25
1.1152,1.2152,1.21590435,-0.0016114593,2025-07-31
1.1074,1.2074,1.2074,-0.0069942611,2025-08-01
1.1187,1.2187,1.21972041,0.0102040816,2025-08-08
1.1237,1.2237,1.22517192,0.0044694735,2025-08-15
1.1219,1.2219,1.22320937,-0.001601851,2025-08-22
1.1299,1.2299,1.23193179,0.0071307603,2025-08-29
1.1331,1.2331,1.23542075,0.002832109,2025-09-05
1.1461,1.2461,1.24959467,0.0114729503,2025-09-12
1.1457,1.2457,1.24915855,-0.0003490097,2025-09-19
1.1521,1.2521,1.25613648,0.0055861046,2025-09-26
1.1595,1.2595,1.26420471,0.0064230536,2025-09-30
1.1732,1.2732,1.27914185,0.0118154377,2025-10-10
1.1843,1.2843,1.29124419,0.0094613024,2025-10-17
1.1908,1.2908,1.29833115,0.0054884742,2025-10-24
1.1926,1.2926,1.3002937,0.0015115888,2025-10-31
1.1901,1.2901,1.29756794,-0.0020962603,2025-11-07
1.2052,1.3052,1.3140315,0.0126880094,2025-11-14
1.1708,1.2708,1.27652512,-0.0285429804,2025-11-21
1.1872,1.2872,1.29440607,0.0140075162,2025-11-28
1.1889,1.2889,1.29625958,0.0014319407,2025-12-05
1.1884,1.2884,1.29571443,-0.0004205568,2025-12-12
1.1876,1.2876,1.29484219,-0.000673174,2025-12-19
1.205,1.305,1.31381344,0.0146513978,2025-12-26
1.1924,1.2924,1.30007564,-0.0104564315,2025-12-31
1.2118,1.3118,1.32122749,0.0162697082,2026-01-09
1.2272,1.3272,1.33801813,0.0127083677,2026-01-16
1.2472,1.3472,1.35982416,0.0162972621,2026-01-23
1.2762,1.3762,1.39144291,0.0232520847,2026-01-30
1.2507,1.3507,1.36364022,-0.0199811942,2026-02-06
1.2716,1.3716,1.38642752,0.016710642,2026-02-13
1.2919,1.3919,1.40856065,0.0159641397,2026-02-27
1.2713,1.3713,1.38610043,-0.0159455066,2026-03-06
1.2565,1.3565,1.36996397,-0.0116416267,2026-03-13
1.2227,1.3227,1.33311178,-0.0269001194,2026-03-20
1.2177,1.3177,1.32766027,-0.0040893105,2026-03-27
1.2174,1.3174,1.32733318,-0.0002463661,2026-03-31
1.2205,1.3205,1.33071311,0.0025464104,2026-04-03
1.2416,1.3416,1.35371848,0.0172879967,2026-04-10
1.2579,1.3579,1.37149039,0.0131282216,2026-04-17
1.2534,1.3534,1.36658403,-0.0035773909,2026-04-24
1.2508,1.3508,1.36374925,-0.0020743577,2026-04-30
1.2674,1.3674,1.38184826,0.0132715062,2026-05-08
1.2564,1.3564,1.36985494,-0.0086791857,2026-05-15
1.2535,1.3535,1.36669306,-0.0023081821,2026-05-22
