nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2016-06-03
1.0,1.0,1.0,0.0,2016-07-13
1.0,1.0,1.0,0.0,2016-07-15
1.0,1.0,1.0,0.0,2016-07-22
1.0,1.0,1.0,0.0,2016-07-29
1.0,1.0,1.0,0.0,2016-08-05
0.998,0.998,0.998,-0.002,2016-08-12
0.999,0.999,0.999,0.001002004,2016-08-19
0.999,0.999,0.999,0.0,2016-08-26
0.999,0.999,0.999,0.0,2016-08-31
0.997,0.997,0.997,-0.002002002,2016-09-02
1.007,1.007,1.007,0.0100300903,2016-09-09
1.005,1.005,1.005,-0.0019860973,2016-09-14
1.011,1.011,1.011,0.0059701493,2016-09-23
1.01,1.01,1.01,-0.0009891197,2016-09-30
1.02,1.02,1.02,0.0099009901,2016-10-14
1.022,1.022,1.022,0.0019607843,2016-10-21
1.016,1.016,1.016,-0.0058708415,2016-10-28
1.018,1.018,1.018,0.0019685039,2016-10-31
1.017,1.017,1.017,-0.0009823183,2016-11-04
1.025,1.025,1.025,0.0078662734,2016-11-11
1.031,1.031,1.031,0.0058536585,2016-11-18
1.032,1.032,1.032,0.0009699321,2016-11-25
1.026,1.026,1.026,-0.0058139535,2016-11-30
1.03,1.03,1.03,0.0038986355,2016-12-02
1.029,1.029,1.029,-0.0009708738,2016-12-09
1.026,1.026,1.026,-0.0029154519,2016-12-16
1.028,1.028,1.028,0.0019493177,2016-12-23
1.024,1.024,1.024,-0.0038910506,2016-12-30
1.025,1.025,1.025,0.0009765625,2017-01-06
1.022,1.022,1.022,-0.0029268293,2017-01-13
1.026,1.026,1.026,0.0039138943,2017-01-20
1.032,1.032,1.032,0.0058479532,2017-01-26
1.032,1.032,1.032,0.0,2017-01-27
1.032,1.032,1.032,0.0,2017-02-03
1.037,1.037,1.037,0.0048449612,2017-02-10
1.042,1.042,1.042,0.0048216008,2017-02-17
1.048,1.048,1.048,0.0057581574,2017-02-24
1.047,1.047,1.047,-0.0009541985,2017-02-28
1.05,1.05,1.05,0.0028653295,2017-03-03
1.056,1.056,1.056,0.0057142857,2017-03-10
1.051,1.051,1.051,-0.0047348485,2017-03-17
1.052,1.052,1.052,0.0009514748,2017-03-24
1.052,1.052,1.052,0.0,2017-03-31
1.055,1.055,1.055,0.002851711,2017-04-07
1.051,1.051,1.051,-0.0037914692,2017-04-14
1.05,1.05,1.05,-0.0009514748,2017-04-21
1.048,1.048,1.048,-0.0019047619,2017-04-28
1.045,1.045,1.045,-0.0028625954,2017-05-05
1.034,1.034,1.034,-0.0105263158,2017-05-12
1.038,1.038,1.038,0.003868472,2017-05-19
1.017,1.017,1.017,-0.0202312139,2017-05-26
1.02,1.02,1.02,0.0029498525,2017-05-31
1.014,1.014,1.014,-0.0058823529,2017-06-01
1.01,1.01,1.01,-0.0039447732,2017-06-02
1.01,1.01,1.01,0.0,2017-06-05
1.006,1.006,1.006,-0.003960396,2017-06-09
1.005,1.005,1.005,-0.0009940358,2017-06-12
1.012,1.012,1.012,0.0069651741,2017-06-13
1.013,1.013,1.013,0.0009881423,2017-06-14
1.02,1.02,1.02,0.0069101678,2017-06-15
1.023,1.023,1.023,0.0029411765,2017-06-16
1.021,1.021,1.021,-0.0019550342,2017-06-19
1.017,1.017,1.017,-0.0039177277,2017-06-20
1.021,1.021,1.021,0.0039331367,2017-06-21
1.006,1.006,1.006,-0.0146914789,2017-06-22
1.005,1.005,1.005,-0.0009940358,2017-06-23
1.006,1.006,1.006,0.0009950249,2017-06-26
1.007,1.007,1.007,0.0009940358,2017-06-27
1.008,1.008,1.008,0.0009930487,2017-06-28
1.006,1.006,1.006,-0.001984127,2017-06-29
1.009,1.009,1.009,0.0029821074,2017-06-30
1.011,1.011,1.011,0.0019821606,2017-07-03
1.006,1.006,1.006,-0.0049455984,2017-07-04
1.008,1.008,1.008,0.0019880716,2017-07-05
1.013,1.013,1.013,0.0049603175,2017-07-06
1.013,1.013,1.013,0.0,2017-07-07
1.015,1.015,1.015,0.0019743337,2017-07-10
1.014,1.014,1.014,-0.0009852217,2017-07-11
1.008,1.008,1.008,-0.0059171598,2017-07-12
1.004,1.004,1.004,-0.003968254,2017-07-13
1.005,1.005,1.005,0.0009960159,2017-07-14
1.003,1.003,1.003,-0.0019900498,2017-07-17
1.008,1.008,1.008,0.0049850449,2017-07-18
1.017,1.017,1.017,0.0089285714,2017-07-19
1.019,1.019,1.019,0.0019665683,2017-07-20
1.017,1.017,1.017,-0.0019627085,2017-07-21
1.023,1.023,1.023,0.005899705,2017-07-24
1.017,1.017,1.017,-0.0058651026,2017-07-25
1.017,1.017,1.017,0.0,2017-07-26
1.019,1.019,1.019,0.0019665683,2017-07-27
1.019,1.019,1.019,0.0,2017-07-28
1.028,1.028,1.028,0.0088321884,2017-07-31
1.024,1.024,1.024,-0.0038910506,2017-08-01
1.021,1.021,1.021,-0.0029296875,2017-08-02
1.026,1.026,1.026,0.0048971596,2017-08-03
1.026,1.026,1.026,0.0,2017-08-04
1.029,1.029,1.029,0.0029239766,2017-08-07
1.029,1.029,1.029,0.0,2017-08-08
1.037,1.037,1.037,0.0077745384,2017-08-09
1.031,1.031,1.031,-0.0057859209,2017-08-10
1.022,1.022,1.022,-0.0087293889,2017-08-11
1.023,1.023,1.023,0.0009784736,2017-08-14
1.02,1.02,1.02,-0.0029325513,2017-08-15
1.018,1.018,1.018,-0.0019607843,2017-08-16
1.026,1.026,1.026,0.0078585462,2017-08-17
1.026,1.026,1.026,0.0,2017-08-18
1.034,1.034,1.034,0.007797271,2017-08-21
1.035,1.035,1.035,0.000967118,2017-08-22
1.035,1.035,1.035,0.0,2017-08-23
1.036,1.036,1.036,0.0009661836,2017-08-24
1.043,1.043,1.043,0.0067567568,2017-08-25
1.045,1.045,1.045,0.0019175455,2017-08-28
1.041,1.041,1.041,-0.0038277512,2017-08-29
1.039,1.039,1.039,-0.0019212296,2017-08-30
1.04,1.04,1.04,0.0009624639,2017-08-31
1.05,1.05,1.05,0.0096153846,2017-09-01
1.063,1.063,1.063,0.0123809524,2017-09-04
1.065,1.065,1.065,0.0018814675,2017-09-05
1.07,1.07,1.07,0.0046948357,2017-09-06
1.064,1.064,1.064,-0.0056074766,2017-09-07
1.051,1.051,1.051,-0.0122180451,2017-09-08
1.03,1.03,1.03,-0.0199809705,2017-09-11
1.04,1.04,1.04,0.0097087379,2017-09-12
1.045,1.045,1.045,0.0048076923,2017-09-13
1.035,1.035,1.035,-0.009569378,2017-09-14
1.006,1.006,1.006,-0.0280193237,2017-09-15
0.999,0.999,0.999,-0.0069582505,2017-09-18
0.997,0.997,0.997,-0.002002002,2017-09-19
1.0,1.0,1.0,0.0030090271,2017-09-20
0.998,0.998,0.998,-0.002,2017-09-21
1.0,1.0,1.0,0.002004008,2017-09-22
0.996,0.996,0.996,-0.004,2017-09-25
0.997,0.997,0.997,0.0010040161,2017-09-26
0.997,0.997,0.997,0.0,2017-09-27
0.997,0.997,0.997,0.0,2017-09-28
0.998,0.998,0.998,0.001003009,2017-09-29
1.005,1.005,1.005,0.0070140281,2017-10-09
1.01,1.01,1.01,0.0049751244,2017-10-10
1.009,1.009,1.009,-0.000990099,2017-10-11
1.008,1.008,1.008,-0.0009910803,2017-10-12
1.012,1.012,1.012,0.003968254,2017-10-13
1.009,1.009,1.009,-0.0029644269,2017-10-16
1.011,1.011,1.011,0.0019821606,2017-10-17
1.007,1.007,1.007,-0.0039564787,2017-10-18
1.008,1.008,1.008,0.0009930487,2017-10-19
1.012,1.012,1.012,0.003968254,2017-10-20
1.015,1.015,1.015,0.0029644269,2017-10-23
1.006,1.006,1.006,-0.0088669951,2017-10-24
1.011,1.011,1.011,0.0049701789,2017-10-25
1.011,1.011,1.011,0.0,2017-10-26
1.014,1.014,1.014,0.0029673591,2017-10-27
1.005,1.005,1.005,-0.0088757396,2017-10-30
1.006,1.006,1.006,0.0009950249,2017-10-31
1.007,1.007,1.007,0.0009940358,2017-11-01
1.006,1.006,1.006,-0.0009930487,2017-11-02
1.004,1.004,1.004,-0.0019880716,2017-11-03
1.005,1.005,1.005,0.0009960159,2017-11-06
1.006,1.006,1.006,0.0009950249,2017-11-07
1.001,1.001,1.001,-0.0049701789,2017-11-08
1.002,1.002,1.002,0.000999001,2017-11-09
0.999,0.999,0.999,-0.002994012,2017-11-10
0.998,0.998,0.998,-0.001001001,2017-11-13
0.999,0.999,0.999,0.001002004,2017-11-14
0.998,0.998,0.998,-0.001001001,2017-11-15
0.995,0.995,0.995,-0.003006012,2017-11-16
0.985,0.985,0.985,-0.0100502513,2017-11-17
0.986,0.986,0.986,0.0010152284,2017-11-20
0.98,0.98,0.98,-0.0060851927,2017-11-21
0.983,0.983,0.983,0.0030612245,2017-11-22
0.971,0.971,0.971,-0.012207528,2017-11-23
0.97,0.97,0.97,-0.0010298661,2017-11-24
0.967,0.967,0.967,-0.0030927835,2017-11-27
0.966,0.966,0.966,-0.0010341262,2017-11-28
0.964,0.964,0.964,-0.0020703934,2017-11-29
0.96,0.96,0.96,-0.0041493776,2017-11-30
0.958,0.958,0.958,-0.0020833333,2017-12-01
0.965,0.965,0.965,0.0073068894,2017-12-04
0.964,0.964,0.964,-0.0010362694,2017-12-05
0.961,0.961,0.961,-0.0031120332,2017-12-06
0.959,0.959,0.959,-0.0020811655,2017-12-07
0.962,0.962,0.962,0.0031282586,2017-12-08
0.965,0.965,0.965,0.0031185031,2017-12-11
0.964,0.964,0.964,-0.0010362694,2017-12-12
0.965,0.965,0.965,0.0010373444,2017-12-13
0.968,0.968,0.968,0.0031088083,2017-12-14
0.969,0.969,0.969,0.0010330579,2017-12-15
0.97,0.97,0.97,0.0010319917,2017-12-18
0.967,0.967,0.967,-0.0030927835,2017-12-19
0.969,0.969,0.969,0.0020682523,2017-12-20
0.967,0.967,0.967,-0.0020639835,2017-12-21
0.97,0.97,0.97,0.0031023785,2017-12-22
0.966,0.966,0.966,-0.0041237113,2017-12-25
0.965,0.965,0.965,-0.0010351967,2017-12-26
0.965,0.965,0.965,0.0,2017-12-27
0.968,0.968,0.968,0.0031088083,2017-12-28
0.972,0.972,0.972,0.0041322314,2017-12-29
0.974,0.974,0.974,0.0020576132,2018-01-02
0.978,0.978,0.978,0.0041067762,2018-01-03
0.982,0.982,0.982,0.0040899796,2018-01-04
0.982,0.982,0.982,0.0,2018-01-05
0.982,0.982,0.982,0.0,2018-01-08
0.986,0.986,0.986,0.0040733198,2018-01-09
0.983,0.983,0.983,-0.0030425963,2018-01-10
0.984,0.984,0.984,0.001017294,2018-01-11
0.987,0.987,0.987,0.0030487805,2018-01-12
0.983,0.983,0.983,-0.0040526849,2018-01-15
0.985,0.985,0.985,0.002034588,2018-01-16
0.975,0.975,0.975,-0.0101522843,2018-01-17
0.979,0.979,0.979,0.0041025641,2018-01-18
0.976,0.976,0.976,-0.0030643514,2018-01-19
1.004,1.004,1.004,0.0286885246,2018-01-26
0.997,0.997,0.997,-0.0069721116,2018-01-29
0.996,0.996,0.996,-0.001003009,2018-01-30
0.991,0.991,0.991,-0.0050200803,2018-01-31
0.975,0.975,0.975,-0.0161453078,2018-02-01
0.977,0.977,0.977,0.0020512821,2018-02-02
0.976,0.976,0.976,-0.0010235415,2018-02-05
0.956,0.956,0.956,-0.0204918033,2018-02-06
0.974,0.974,0.974,0.0188284519,2018-02-07
0.987,0.987,0.987,0.0133470226,2018-02-08
0.972,0.972,0.972,-0.0151975684,2018-02-09
0.999,0.999,0.999,0.0277777778,2018-02-12
1.008,1.008,1.008,0.009009009,2018-02-13
1.005,1.005,1.005,-0.0029761905,2018-02-14
1.021,1.021,1.021,0.015920398,2018-02-22
1.019,1.019,1.019,-0.0019588639,2018-02-23
1.028,1.028,1.028,0.0088321884,2018-02-26
1.021,1.021,1.021,-0.0068093385,2018-02-27
1.029,1.029,1.029,0.0078354554,2018-02-28
1.04,1.04,1.04,0.0106899903,2018-03-01
1.032,1.032,1.032,-0.0076923077,2018-03-02
1.033,1.033,1.033,0.0009689922,2018-03-05
1.04,1.04,1.04,0.0067763795,2018-03-06
1.037,1.037,1.037,-0.0028846154,2018-03-07
1.033,1.033,1.033,-0.0038572806,2018-03-08
1.036,1.036,1.036,0.0029041626,2018-03-09
1.044,1.044,1.044,0.0077220077,2018-03-12
1.048,1.048,1.048,0.0038314176,2018-03-13
1.04,1.04,1.04,-0.0076335878,2018-03-14
1.041,1.041,1.041,0.0009615385,2018-03-15
1.035,1.035,1.035,-0.0057636888,2018-03-16
1.039,1.039,1.039,0.0038647343,2018-03-19
1.035,1.035,1.035,-0.0038498556,2018-03-20
1.035,1.035,1.035,0.0,2018-03-21
1.041,1.041,1.041,0.0057971014,2018-03-22
0.966,0.966,0.966,-0.0720461095,2018-03-23
0.994,0.994,0.994,0.0289855072,2018-03-26
1.011,1.011,1.011,0.0171026157,2018-03-27
1.006,1.006,1.006,-0.0049455984,2018-03-28
1.007,1.007,1.007,0.0009940358,2018-03-29
1.02,1.02,1.02,0.0129096326,2018-03-30
1.019,1.019,1.019,-0.0009803922,2018-04-02
1.015,1.015,1.015,-0.0039254171,2018-04-03
1.003,1.003,1.003,-0.0118226601,2018-04-04
1.004,1.004,1.004,0.000997009,2018-04-09
1.003,1.003,1.003,-0.0009960159,2018-04-10
1.009,1.009,1.009,0.0059820538,2018-04-11
1.011,1.011,1.011,0.0019821606,2018-04-12
1.034,1.034,1.034,0.0227497527,2018-04-13
1.039,1.039,1.039,0.0048355899,2018-04-16
1.012,1.012,1.012,-0.0259865255,2018-04-17
1.029,1.029,1.029,0.016798419,2018-04-18
1.026,1.026,1.026,-0.0029154519,2018-04-19
1.023,1.023,1.023,-0.0029239766,2018-04-20
1.015,1.015,1.015,-0.0078201369,2018-04-23
1.015,1.015,1.015,0.0,2018-04-24
1.024,1.024,1.024,0.0088669951,2018-04-25
1.034,1.034,1.034,0.009765625,2018-04-26
1.024,1.024,1.024,-0.0096711799,2018-04-27
1.014,1.014,1.014,-0.009765625,2018-05-02
1.02,1.02,1.02,0.0059171598,2018-05-03
1.023,1.023,1.023,0.0029411765,2018-05-04
1.034,1.034,1.034,0.0107526882,2018-05-07
1.049,1.049,1.049,0.0145067698,2018-05-08
1.043,1.043,1.043,-0.0057197331,2018-05-09
1.046,1.046,1.046,0.0028763183,2018-05-10
1.04,1.04,1.04,-0.0057361377,2018-05-11
1.036,1.036,1.036,-0.0038461538,2018-05-14
1.053,1.053,1.053,0.0164092664,2018-05-15
1.037,1.037,1.037,-0.0151946819,2018-05-16
1.037,1.037,1.037,0.0,2018-05-17
1.038,1.038,1.038,0.0009643202,2018-05-18
1.054,1.054,1.054,0.0154142582,2018-05-21
1.064,1.064,1.064,0.009487666,2018-05-22
1.063,1.063,1.063,-0.0009398496,2018-05-23
1.06,1.06,1.06,-0.0028222013,2018-05-24
1.055,1.055,1.055,-0.0047169811,2018-05-25
1.043,1.043,1.043,-0.0113744076,2018-05-28
1.054,1.054,1.054,0.0105465005,2018-05-29
1.033,1.033,1.033,-0.0199240987,2018-05-30
1.037,1.037,1.037,0.0038722168,2018-05-31
