nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2015-04-28
1.0,1.0,1.0,0.0,2015-05-08
1.006,1.006,1.006,0.006,2015-05-15
1.05,1.05,1.05,0.0437375746,2015-05-22
1.092,1.092,1.092,0.04,2015-05-29
1.136,1.136,1.136,0.0402930403,2015-06-05
1.13,1.13,1.13,-0.0052816901,2015-06-12
1.099,1.099,1.099,-0.0274336283,2015-06-19
1.108,1.108,1.108,0.008189263,2015-06-26
1.126,1.126,1.126,0.0162454874,2015-07-03
1.21,1.21,1.21,0.0746003552,2015-07-10
1.316,1.316,1.316,0.0876033058,2015-07-17
1.343,1.343,1.343,0.0205167173,2015-07-24
1.306,1.306,1.306,-0.0275502606,2015-07-31
1.327,1.327,1.327,0.0160796325,2015-08-07
1.367,1.367,1.367,0.0301431801,2015-08-14
1.302,1.302,1.302,-0.0475493782,2015-08-21
1.333,1.333,1.333,0.0238095238,2015-08-28
1.305,1.305,1.305,-0.0210052513,2015-09-02
1.327,1.327,1.327,0.0168582375,2015-09-11
1.312,1.312,1.312,-0.0113036925,2015-09-18
1.339,1.339,1.339,0.0205792683,2015-09-30
1.396,1.396,1.396,0.0425690814,2015-10-09
1.466,1.466,1.466,0.0501432665,2015-10-16
1.412,1.515,1.515,0.0334242838,2015-10-26
1.401,1.504,1.50319759,-0.0077903683,2015-10-30
1.453,1.556,1.55899079,0.0371163455,2015-11-06
1.432,1.535,1.53645892,-0.0144528562,2015-11-13
1.434,1.537,1.53860482,0.001396648,2015-11-20
1.392,1.495,1.49354108,-0.0292887029,2015-11-27
1.465,1.568,1.57186615,0.0524425287,2015-12-04
1.448,1.551,1.55362606,-0.0116040956,2015-12-11
1.496,1.599,1.60512748,0.0331491713,2015-12-18
1.51,1.613,1.62014873,0.0093582888,2015-12-25
1.502,1.605,1.61156516,-0.0052980132,2015-12-31
1.416,1.519,1.51929178,-0.0572569907,2016-01-08
1.367,1.47,1.46671742,-0.0346045198,2016-01-15
1.379,1.482,1.47959278,0.0087783467,2016-01-22
1.368,1.471,1.46779037,-0.0079767948,2016-01-29
1.394,1.497,1.49568697,0.019005848,2016-02-05
1.432,1.535,1.53645892,0.0272596844,2016-02-19
1.394,1.497,1.49568697,-0.0265363128,2016-02-26
1.372,1.475,1.47208215,-0.0157819225,2016-03-04
1.371,1.474,1.47100921,-0.000728863,2016-03-11
1.429,1.532,1.53324008,0.0423048869,2016-03-18
1.373,1.476,1.4731551,-0.0391882435,2016-03-25
1.383,1.486,1.48388456,0.0072833212,2016-04-01
1.388,1.491,1.48924929,0.003615329,2016-04-08
1.433,1.536,1.53753187,0.0324207493,2016-04-15
1.39,1.493,1.49139518,-0.0300069784,2016-04-22
1.402,1.505,1.50427054,0.0086330935,2016-04-29
1.406,1.509,1.50856232,0.002853067,2016-05-06
1.373,1.476,1.4731551,-0.0234708393,2016-05-13
1.382,1.485,1.48281161,0.0065549891,2016-05-20
1.389,1.492,1.49032224,0.005065123,2016-05-27
1.477,1.58,1.5847415,0.0633549316,2016-06-03
1.472,1.575,1.57937677,-0.0033852404,2016-06-08
1.434,1.537,1.53860482,-0.0258152174,2016-06-17
1.422,1.525,1.52572946,-0.0083682008,2016-06-24
1.412,1.54,1.54182365,0.0105485232,2016-06-27
1.44,1.568,1.57239806,0.0198300283,2016-07-01
1.458,1.586,1.59205304,0.0125,2016-07-08
1.467,1.595,1.60188052,0.0061728395,2016-07-15
1.457,1.585,1.59096109,-0.0068166326,2016-07-22
1.446,1.583,1.58877721,-0.0013726836,2016-07-25
1.43,1.567,1.57119738,-0.0110650069,2016-07-29
1.465,1.602,1.60965326,0.0244755245,2016-08-05
1.482,1.619,1.62833183,0.0116040956,2016-08-12
1.505,1.642,1.65360283,0.0155195682,2016-08-19
1.446,1.615,1.62393687,-0.0179401993,2016-08-25
1.449,1.618,1.62730603,0.0020746888,2016-08-26
1.436,1.605,1.61270632,-0.0089717046,2016-09-02
1.459,1.628,1.63853658,0.0160167131,2016-09-09
1.432,1.601,1.60821411,-0.0185058259,2016-09-14
1.456,1.625,1.63516741,0.0167597765,2016-09-23
1.433,1.602,1.60933716,-0.0157967033,2016-09-30
1.442,1.611,1.61944465,0.0062805304,2016-10-14
1.443,1.612,1.62056771,0.0006934813,2016-10-21
1.46,1.633,1.64415185,0.0145530146,2016-10-25
1.436,1.609,1.6171247,-0.0164383562,2016-10-28
1.412,1.585,1.59009754,-0.0167130919,2016-11-04
1.426,1.599,1.60586338,0.0099150142,2016-11-11
1.432,1.605,1.61262017,0.0042075736,2016-11-18
1.48,1.659,1.67343127,0.0377094972,2016-11-25
1.479,1.658,1.67230057,-0.0006756757,2016-12-02
1.48,1.659,1.67343127,0.0006761325,2016-12-09
1.423,1.602,1.60898155,-0.0385135135,2016-12-16
1.383,1.562,1.56375368,-0.0281096275,2016-12-23
1.405,1.584,1.58862901,0.0159074476,2016-12-30
1.418,1.597,1.60332807,0.009252669,2017-01-06
1.455,1.634,1.64516385,0.0260930889,2017-01-13
1.478,1.657,1.67116987,0.0158075601,2017-01-20
1.516,1.695,1.71413635,0.0257104195,2017-01-26
1.584,1.763,1.79102373,0.0448548813,2017-02-10
1.63,1.809,1.84303579,0.029040404,2017-02-17
1.663,1.842,1.88034878,0.0202453988,2017-02-24
1.606,1.817,1.85208136,-0.0150330728,2017-02-27
1.607,1.818,1.85323459,0.000622665,2017-03-03
1.719,1.93,1.98239593,0.069695084,2017-03-10
1.707,1.918,1.96855721,-0.0069808028,2017-03-17
1.817,2.028,2.0954121,0.064440539,2017-03-24
1.744,1.989,2.05043628,-0.0214639516,2017-03-27
1.738,1.983,2.04338202,-0.003440367,2017-03-31
1.756,2.001,2.06454478,0.0103567319,2017-04-07
1.754,1.999,2.06219337,-0.0011389522,2017-04-14
1.785,2.03,2.09864034,0.0176738883,2017-04-21
1.718,1.971,2.02927352,-0.0330532213,2017-04-28
1.694,1.947,2.00092511,-0.0139697322,2017-05-05
1.751,2.004,2.06825258,0.03364817,2017-05-12
1.793,2.046,2.11786229,0.0239862935,2017-05-19
1.829,2.099,2.18046503,0.0295593977,2017-05-26
1.943,2.213,2.31637154,0.0623291416,2017-06-02
2.013,2.283,2.39982291,0.0360267627,2017-06-09
1.973,2.243,2.35213641,-0.0198708395,2017-06-16
2.051,2.321,2.44512508,0.039533705,2017-06-23
2.117,2.441,2.58818457,0.0585080449,2017-06-30
2.077,2.401,2.53928169,-0.0188946623,2017-07-07
2.199,2.523,2.68843546,0.0587385652,2017-07-14
2.319,2.643,2.83514408,0.0545702592,2017-07-21
2.224,2.589,2.7691252,-0.0232858991,2017-07-25
2.284,2.65,2.84507692,0.0274280576,2017-07-28
2.246,2.611,2.79649636,-0.0170753065,2017-08-04
2.197,2.562,2.73548642,-0.0218165628,2017-08-11
2.216,2.581,2.75914334,0.0086481566,2017-08-18
2.334,2.699,2.90606523,0.0532490975,2017-08-25
2.456,2.821,3.05796753,0.0522707798,2017-09-01
2.535,2.9,3.15633049,0.0321661238,2017-09-08
2.897,3.262,3.60705697,0.142800789,2017-09-15
2.983,3.348,3.71413564,0.0296858819,2017-09-22
2.732,3.222,3.55725294,-0.0422393564,2017-09-25
2.934,3.427,3.82417712,0.0750366032,2017-09-29
3.084,3.576,4.0183838,0.0507839127,2017-10-13
3.145,3.637,4.09786545,0.0197795071,2017-10-20
3.147,3.743,4.2359811,0.0337042925,2017-10-25
3.044,3.64,4.0973392,-0.0327295837,2017-10-27
2.949,3.545,3.96946561,-0.0312089356,2017-11-03
3.054,3.65,4.11079958,0.0356052899,2017-11-10
2.955,3.551,3.97754184,-0.0324165029,2017-11-17
3.078,3.674,4.14310449,0.0416243655,2017-11-24
2.892,3.488,3.89274145,-0.0604288499,2017-12-01
2.849,3.445,3.83486182,-0.014868603,2017-12-08
2.772,3.368,3.73121691,-0.027027027,2017-12-15
2.749,3.345,3.70025804,-0.0082972583,2017-12-22
2.809,3.405,3.78102031,0.0218261186,2017-12-29
3.037,3.633,4.08791694,0.0811676753,2018-01-05
3.008,3.604,4.04888184,-0.0095488969,2018-01-12
2.923,3.519,3.93446862,-0.0282579787,2018-01-19
3.082,3.678,4.14848864,0.0543961683,2018-01-26
2.937,3.533,3.95331315,-0.0470473718,2018-02-02
2.472,3.068,3.32740556,-0.1583248212,2018-02-09
2.625,3.221,3.53334935,0.0618932039,2018-02-14
2.766,3.362,3.72314068,0.0537142857,2018-02-23
2.646,3.242,3.56161614,-0.0433839479,2018-03-02
2.772,3.368,3.73121691,0.0476190476,2018-03-09
2.807,3.403,3.77832823,0.0126262626,2018-03-16
2.663,3.259,3.58449878,-0.0513003206,2018-03-23
2.7,3.296,3.63430218,0.0138941044,2018-03-30
2.592,3.188,3.4889301,-0.04,2018-04-04
2.898,3.494,3.90081768,0.1180555556,2018-04-13
2.706,3.302,3.64237841,-0.066252588,2018-04-20
2.792,3.388,3.75813767,0.0317812269,2018-04-27
2.779,3.375,3.74063917,-0.0046561605,2018-05-04
2.884,3.48,3.88197315,0.0377833753,2018-05-11
2.905,3.501,3.91023994,0.0072815534,2018-05-18
2.797,3.393,3.76486786,-0.0371772806,2018-05-25
2.738,3.334,3.68545162,-0.0210940293,2018-06-01
2.779,3.375,3.74063917,0.0149744339,2018-06-08
2.801,3.397,3.77025201,0.0079165167,2018-06-15
2.736,3.332,3.68275955,-0.0232059979,2018-06-22
2.608,3.204,3.5104667,-0.0467836257,2018-06-29
2.482,3.078,3.34086593,-0.0483128834,2018-07-06
2.627,3.223,3.53604142,0.0584206285,2018-07-13
2.528,3.124,3.40278368,-0.0376855729,2018-07-20
2.587,3.183,3.48219991,0.0233386076,2018-07-27
2.367,2.963,3.18607158,-0.0850405876,2018-08-03
2.556,3.152,3.44047274,0.0798479087,2018-08-10
2.356,2.952,3.17126517,-0.0782472613,2018-08-17
2.471,3.067,3.32605952,0.048811545,2018-08-24
2.503,3.099,3.36913273,0.0129502226,2018-08-31
2.417,3.013,3.25337347,-0.0343587695,2018-09-07
2.397,2.993,3.22645272,-0.0082747207,2018-09-14
2.582,3.178,3.47546972,0.0771798081,2018-09-21
2.439,3.035,3.28298631,-0.0553834237,2018-09-28
2.246,2.842,3.023201,-0.0791307913,2018-10-12
2.164,2.76,2.9128259,-0.03650935,2018-10-19
2.17,2.766,2.92090213,0.0027726433,2018-10-26
2.401,2.997,3.23183687,0.1064516129,2018-11-02
2.253,2.849,3.03262327,-0.0616409829,2018-11-09
2.395,2.991,3.22376064,0.063027075,2018-11-16
2.387,2.983,3.21299234,-0.0033402923,2018-11-23
2.49,3.086,3.35163424,0.043150398,2018-11-30
2.465,3.061,3.31798329,-0.0100401606,2018-12-07
2.53,3.126,3.40547575,0.0263691684,2018-12-14
2.416,3.012,3.25202744,-0.0450592885,2018-12-21
2.386,2.982,3.2116463,-0.0124172185,2018-12-28
2.352,2.948,3.16588101,-0.0142497904,2019-01-04
2.401,2.997,3.23183687,0.0208333333,2019-01-11
2.48,3.076,3.33817386,0.0329029571,2019-01-18
2.553,3.149,3.43643462,0.0294354839,2019-01-25
2.694,3.29,3.62622596,0.0552291422,2019-02-01
2.721,3.317,3.66256898,0.0100222717,2019-02-15
2.883,3.479,3.88062711,0.059536935,2019-02-22
2.929,3.525,3.94254485,0.0159556018,2019-03-01
2.908,3.504,3.91427806,-0.0071696825,2019-03-08
3.069,3.665,4.13099015,0.0553645117,2019-03-15
3.171,3.767,4.26828601,0.0332355816,2019-03-22
3.253,3.849,4.37866111,0.0258593504,2019-03-29
3.371,3.967,4.53749358,0.0362742084,2019-04-04
3.438,4.034,4.62767812,0.0198754079,2019-04-12
3.438,4.034,4.62767812,0.0,2019-04-19
3.283,3.913,4.46480754,-0.0351948807,2019-04-25
3.303,3.933,4.49200709,0.006091989,2019-04-26
3.286,3.916,4.46888747,-0.0051468362,2019-04-30
3.131,3.761,4.25809089,-0.0471698113,2019-05-10
3.022,3.652,4.1098533,-0.0348131587,2019-05-17
2.933,3.563,3.98881526,-0.0294506949,2019-05-24
3.005,3.635,4.08673367,0.0245482441,2019-05-31
2.964,3.594,4.03097458,-0.0136439268,2019-06-06
3.142,3.772,4.27305065,0.0600539811,2019-06-14
3.277,3.907,4.45664767,0.0429662635,2019-06-21
3.313,3.943,4.50560687,0.0109856576,2019-06-28
3.358,4.006,4.59128548,0.0190159976,2019-07-02
3.311,3.959,4.52702389,-0.0139964264,2019-07-05
3.228,3.876,4.41354066,-0.0250679553,2019-07-12
3.271,3.919,4.47233318,0.0133209418,2019-07-19
3.318,3.966,4.53659477,0.0143686946,2019-07-26
3.17,3.818,4.33423913,-0.0446051838,2019-08-02
3.042,3.69,4.15922884,-0.0403785489,2019-08-09
3.097,3.745,4.23442857,0.0180802104,2019-08-16
3.216,3.864,4.39713345,0.0384242816,2019-08-23
3.187,3.835,4.35748268,-0.0090174129,2019-08-30
3.217,3.865,4.39850071,0.0094132413,2019-09-06
3.236,3.884,4.4244788,0.0059061237,2019-09-12
3.197,3.845,4.37115536,-0.0120519159,2019-09-20
3.106,3.754,4.24673398,-0.0284641852,2019-09-27
3.105,3.752,4.24399945,-0.000643915,2019-09-30
3.264,3.912,4.46269185,0.0515297907,2019-10-11
3.335,3.983,4.55976633,0.021752451,2019-10-18
3.31,3.958,4.52558518,-0.0074962519,2019-10-25
3.38,4.028,4.62129242,0.0211480363,2019-11-01
3.416,4.064,4.67051328,0.0106508876,2019-11-08
3.267,3.915,4.46679359,-0.043618267,2019-11-15
3.311,3.959,4.52695242,0.0134680135,2019-11-22
3.376,4.029,4.62265966,0.021141649,2019-11-25
3.336,3.989,4.56788881,-0.0118483412,2019-11-29
3.474,4.127,4.75684824,0.0413669065,2019-12-06
3.577,4.23,4.89788318,0.0296488198,2019-12-13
3.608,4.261,4.94033059,0.0086664803,2019-12-20
3.695,4.348,5.05945719,0.024113082,2019-12-27
3.774,4.427,5.16762961,0.0213802436,2020-01-03
3.739,4.392,5.11970512,-0.0092739799,2020-01-10
3.803,4.456,5.20733848,0.0171168762,2020-01-17
3.571,4.224,4.88966755,-0.0610044702,2020-01-23
3.405,4.065,4.67195343,-0.044525343,2020-02-03
3.756,4.416,5.15355568,0.1030837004,2020-02-07
3.905,4.565,5.35799652,0.0396698616,2020-02-14
4.001,4.661,5.48971679,0.0245838668,2020-02-21
3.874,4.651,5.47599593,-0.0024993752,2020-02-25
3.762,4.539,5.31768112,-0.0289106866,2020-02-28
4.008,4.785,5.66540828,0.0653907496,2020-03-06
3.793,4.57,5.3615004,-0.0536427146,2020-03-13
3.569,4.346,5.0448708,-0.0590561561,2020-03-20
3.697,4.474,5.225802,0.0358643878,2020-03-27
3.716,4.493,5.25265897,0.0051393021,2020-04-03
3.795,4.572,5.36432745,0.0212594187,2020-04-10
3.883,4.66,5.48871765,0.0231884058,2020-04-17
3.887,4.664,5.49437175,0.0010301313,2020-04-24
3.947,4.742,5.6046267,0.0200668896,2020-04-27
3.959,4.754,5.62166636,0.0030402838,2020-04-30
4.041,4.836,5.73810401,0.0207123011,2020-05-08
4.139,4.934,5.87726119,0.0242514229,2020-05-15
4.008,4.803,5.69124495,-0.031650157,2020-05-22
4.067,4.892,5.8176224,0.0222055888,2020-05-25
4.142,4.967,5.92490582,0.0184411114,2020-05-29
4.265,5.09,6.10085063,0.0296957991,2020-06-05
4.366,5.191,6.24532564,0.0236811254,2020-06-12
4.518,5.343,6.46275338,0.0348144755,2020-06-19
4.625,5.45,6.61581106,0.0236830456,2020-06-24
4.486,5.416,6.56717591,-0.0073513514,2020-06-29
4.567,5.57,6.79262065,0.0343290236,2020-07-01
4.854,5.804,7.14065508,0.051237136,2020-07-03
5.246,6.196,7.71732108,0.0807581376,2020-07-10
5.039,5.989,7.41280612,-0.0394586352,2020-07-17
5.184,6.134,7.6261137,0.0287755507,2020-07-24
5.035,6.102,7.57903893,-0.0061728395,2020-07-27
5.262,6.329,7.92073542,0.0450844091,2020-07-31
5.404,6.471,8.13448388,0.0269859369,2020-08-07
5.343,6.41,8.04266236,-0.0112879349,2020-08-14
5.54,6.607,8.33920073,0.0368706719,2020-08-21
5.484,6.663,8.4234959,0.0101083032,2020-08-25
5.591,6.77,8.5878493,0.0195113056,2020-08-28
5.493,6.672,8.43732001,-0.0175281703,2020-09-04
5.259,6.438,8.07789295,-0.0425996723,2020-09-10
5.34,6.519,8.20231001,0.0154021677,2020-09-11
5.415,6.594,8.31751099,0.0140449438,2020-09-18
5.248,6.427,8.0609968,-0.0308402585,2020-09-25
5.303,6.482,8.14547752,0.0104801829,2020-09-30
5.44,6.619,8.35591132,0.0258344333,2020-10-09
5.492,6.671,8.435784,0.0095588235,2020-10-16
5.402,6.581,8.29754282,-0.0163874727,2020-10-23
5.403,6.582,8.29907883,0.0001851166,2020-10-30
5.732,6.911,8.80442715,0.060892097,2020-11-06
5.709,6.888,8.76909884,-0.0040125611,2020-11-13
5.814,6.993,8.93038022,0.0183920126,2020-11-20
5.686,6.915,8.8105712,-0.0134158927,2020-11-25
5.732,6.961,8.88184912,0.0080900457,2020-11-27
5.762,6.991,8.92833473,0.0052337753,2020-12-04
5.622,6.851,8.71140191,-0.0242971191,2020-12-11
5.728,6.957,8.87565104,0.0188545002,2020-12-18
5.731,6.972,8.89889384,0.0026187151,2020-12-25
5.964,7.205,9.26068799,0.040656081,2020-12-31
6.429,7.67,9.98272352,0.0779678068,2021-01-08
6.47,7.711,10.04638687,0.0063773526,2021-01-15
6.958,8.199,10.80413599,0.0754250386,2021-01-22
6.916,8.453,11.1985382,0.0365047427,2021-01-25
6.519,8.056,10.55570713,-0.0574031232,2021-01-29
6.956,8.493,11.26330707,0.0670348213,2021-02-05
7.533,9.07,12.19759807,0.0829499712,2021-02-10
7.573,9.11,12.26236694,0.0053099695,2021-02-19
7.094,8.675,11.55800544,-0.0574409085,2021-02-25
6.857,8.438,11.17186965,-0.0334085142,2021-02-26
6.742,8.323,10.98450419,-0.0167711827,2021-03-05
6.681,8.262,10.88511902,-0.0090477603,2021-03-12
6.605,8.186,10.76129489,-0.0113755426,2021-03-19
6.339,7.92,10.32791042,-0.0402725208,2021-03-26
6.603,8.184,10.75803636,0.0416469475,2021-04-02
6.46,8.041,10.52505147,-0.0216568227,2021-04-09
6.424,8.005,10.46639794,-0.0055727554,2021-04-16
6.606,8.187,10.76292415,0.0283312578,2021-04-23
6.539,8.12,10.6537634,-0.0101422949,2021-04-30
6.403,7.984,10.43218337,-0.0207982872,2021-05-07
6.131,7.712,9.98902331,-0.0424800875,2021-05-14
6.248,7.829,10.17964731,0.0190833469,2021-05-21
6.312,7.893,10.28392026,0.0102432778,2021-05-28
6.326,7.907,10.30672997,0.0022179975,2021-06-04
6.31,7.891,10.28066173,-0.0025292444,2021-06-11
6.19,7.771,10.08514994,-0.0190174326,2021-06-18
6.324,7.905,10.30347144,0.0216478191,2021-06-25
6.199,7.78,10.09981333,-0.0197659709,2021-07-02
6.099,7.68,9.93688683,-0.0161316341,2021-07-09
6.162,7.743,10.03953052,0.0103295622,2021-07-16
6.127,7.708,9.98250625,-0.005679974,2021-07-23
5.893,7.474,9.60125826,-0.0381916109,2021-07-30
