nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2017-03-13
1.0,1.0,1.0,0.0,2017-03-31
1.0,1.0,1.0,0.0,2017-04-07
1.0,1.0,1.0,0.0,2017-04-14
1.0,1.0,1.0,0.0,2017-04-21
1.0,1.0,1.0,0.0,2017-04-28
1.0,1.0,1.0,0.0,2017-05-05
1.0,1.0,1.0,0.0,2017-05-12
1.001,1.001,1.001,0.001,2017-05-19
1.001,1.001,1.001,0.0,2017-05-26
1.001,1.001,1.001,0.0,2017-06-02
1.001,1.001,1.001,0.0,2017-06-09
1.001,1.001,1.001,0.0,2017-06-16
1.001,1.001,1.001,0.0,2017-06-23
1.001,1.001,1.001,0.0,2017-06-30
1.001,1.001,1.001,0.0,2017-07-07
1.001,1.001,1.001,0.0,2017-07-14
1.006,1.006,1.006,0.004995005,2017-07-21
1.001,1.001,1.001,-0.0049701789,2017-07-28
1.006,1.006,1.006,0.004995005,2017-08-04
0.999,0.999,0.999,-0.0069582505,2017-08-11
1.002,1.002,1.002,0.003003003,2017-08-18
0.998,0.998,0.998,-0.003992016,2017-08-25
1.001,1.001,1.001,0.003006012,2017-09-01
1.008,1.008,1.008,0.006993007,2017-09-08
1.005,1.005,1.005,-0.0029761905,2017-09-15
1.011,1.011,1.011,0.0059701493,2017-09-22
1.014,1.014,1.014,0.0029673591,2017-09-29
1.013,1.013,1.013,-0.0009861933,2017-10-13
1.019,1.019,1.019,0.005923001,2017-10-20
1.021,1.021,1.021,0.0019627085,2017-10-27
1.026,1.026,1.026,0.0048971596,2017-11-03
1.026,1.026,1.026,0.0,2017-11-10
1.027,1.027,1.027,0.0009746589,2017-11-17
1.027,1.027,1.027,0.0,2017-11-24
1.034,1.034,1.034,0.0068159688,2017-12-01
1.039,1.039,1.039,0.0048355899,2017-12-08
1.044,1.044,1.044,0.0048123195,2017-12-15
1.034,1.034,1.034,-0.0095785441,2017-12-22
1.033,1.033,1.033,-0.000967118,2017-12-29
1.046,1.046,1.046,0.0125847047,2018-01-05
1.048,1.048,1.048,0.0019120459,2018-01-12
1.053,1.053,1.053,0.0047709924,2018-01-19
1.053,1.053,1.053,0.0,2018-01-26
1.063,1.063,1.063,0.0094966762,2018-02-02
1.057,1.057,1.057,-0.0056444026,2018-02-09
1.065,1.065,1.065,0.0075685904,2018-02-14
1.071,1.071,1.071,0.0056338028,2018-02-23
1.069,1.069,1.069,-0.0018674136,2018-03-02
1.075,1.075,1.075,0.0056127222,2018-03-09
1.076,1.076,1.076,0.0009302326,2018-03-16
1.079,1.079,1.079,0.0027881041,2018-03-23
1.091,1.091,1.091,0.0111214087,2018-03-30
1.096,1.096,1.096,0.0045829514,2018-04-04
1.097,1.097,1.097,0.0009124088,2018-04-13
1.095,1.095,1.095,-0.0018231541,2018-04-20
1.098,1.098,1.098,0.002739726,2018-04-27
1.102,1.102,1.102,0.0036429872,2018-05-04
1.112,1.112,1.112,0.0090744102,2018-05-11
1.122,1.122,1.122,0.0089928058,2018-05-18
1.122,1.122,1.122,0.0,2018-05-25
1.13,1.13,1.13,0.0071301248,2018-06-01
1.139,1.139,1.139,0.0079646018,2018-06-08
1.137,1.137,1.137,-0.0017559263,2018-06-15
1.148,1.148,1.148,0.0096745822,2018-06-22
1.138,1.138,1.138,-0.0087108014,2018-06-29
1.135,1.135,1.135,-0.0026362039,2018-07-06
1.135,1.135,1.135,0.0,2018-07-13
1.13,1.13,1.13,-0.0044052863,2018-07-20
1.118,1.118,1.118,-0.010619469,2018-07-27
1.124,1.124,1.124,0.0053667263,2018-08-03
1.126,1.126,1.126,0.0017793594,2018-08-10
1.116,1.116,1.116,-0.0088809947,2018-08-17
1.123,1.123,1.123,0.0062724014,2018-08-24
1.121,1.121,1.121,-0.0017809439,2018-08-31
1.122,1.122,1.122,0.0008920607,2018-09-07
1.122,1.122,1.122,0.0,2018-09-14
1.118,1.118,1.118,-0.0035650624,2018-09-21
1.121,1.121,1.121,0.0026833631,2018-09-28
1.133,1.133,1.133,0.0107047279,2018-10-12
1.127,1.127,1.127,-0.0052956752,2018-10-19
1.132,1.132,1.132,0.0044365572,2018-10-26
