nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-09-22
1.0,1.0,1.0,0.0,2025-09-26
0.9999,0.9999,0.9999,-0.0001,2025-09-30
0.9997,0.9997,0.9997,-0.00020002,2025-10-10
0.9996,0.9996,0.9996,-0.00010003,2025-10-17
0.9995,0.9995,0.9995,-0.00010004,2025-10-24
0.9994,0.9994,0.9994,-0.00010005,2025-10-31
0.9992,0.9992,0.9992,-0.0002001201,2025-11-07
0.9991,0.9991,0.9991,-0.0001000801,2025-11-14
0.9989,0.9989,0.9989,-0.0002001802,2025-11-21
0.9987,0.9987,0.9987,-0.0002002202,2025-11-28
0.9988,0.9988,0.9988,0.0001001302,2025-12-05
0.999,0.999,0.999,0.0002002403,2025-12-12
0.9993,0.9993,0.9993,0.0003003003,2025-12-19
1.0003,1.0003,1.0003,0.0010007005,2025-12-26
0.9961,0.9961,0.9961,-0.0041987404,2025-12-31
1.0387,1.0387,1.0387,0.0427667905,2026-01-09
1.0432,1.0432,1.0432,0.0043323385,2026-01-16
1.0663,1.0663,1.0663,0.0221434049,2026-01-23
1.068,1.068,1.068,0.001594298,2026-01-30
1.0541,1.0541,1.0541,-0.0130149813,2026-02-06
1.0692,1.0692,1.0692,0.0143250166,2026-02-13
1.0908,1.0908,1.0908,0.0202020202,2026-02-27
1.0769,1.0769,1.0769,-0.012742941,2026-03-06
1.0837,1.0837,1.0837,0.006314421,2026-03-13
1.0637,1.0637,1.0637,-0.0184552921,2026-03-20
1.0628,1.0628,1.0628,-0.0008461032,2026-03-27
1.0461,1.0461,1.0461,-0.0157132104,2026-03-31
1.0374,1.0374,1.0374,-0.0083166045,2026-04-03
1.0912,1.0912,1.0912,0.0518604203,2026-04-10
1.1214,1.1214,1.1214,0.0276759531,2026-04-17
1.1434,1.1434,1.1434,0.0196183342,2026-04-24
1.1611,1.1611,1.1611,0.0154801469,2026-04-30
1.2022,1.2022,1.2022,0.0353974679,2026-05-08
1.1976,1.1976,1.1976,-0.0038263184,2026-05-15
1.207,1.207,1.207,0.0078490314,2026-05-22
