nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-10-11
1.0,1.0,1.0,0.0,2022-10-14
1.0001,1.0001,1.0001,0.0001,2022-10-21
0.9997,0.9997,0.9997,-0.00039996,2022-10-28
0.9997,0.9997,0.9997,0.0,2022-11-04
0.9975,0.9975,0.9975,-0.0022006602,2022-11-11
0.9922,0.9922,0.9922,-0.0053132832,2022-11-18
0.9586,0.9586,0.9586,-0.0338641403,2022-11-25
0.9639,0.9639,0.9639,0.0055288963,2022-12-02
0.9399,0.9399,0.9399,-0.0248988484,2022-12-09
0.9334,0.9334,0.9334,-0.0069156293,2022-12-16
0.9302,0.9302,0.9302,-0.0034283265,2022-12-23
0.9298,0.9298,0.9298,-0.0004300151,2022-12-30
0.9386,0.9386,0.9386,0.0094644009,2023-01-06
0.9443,0.9443,0.9443,0.0060728745,2023-01-13
0.9526,0.9526,0.9526,0.0087895796,2023-01-20
0.9558,0.9558,0.9558,0.0033592274,2023-02-03
0.9455,0.9455,0.9455,-0.010776313,2023-02-10
0.9357,0.9357,0.9357,-0.0103648863,2023-02-17
0.9366,0.9366,0.9366,0.0009618467,2023-02-24
0.9353,0.9353,0.9353,-0.0013879991,2023-03-03
0.9243,0.9243,0.9243,-0.0117609323,2023-03-10
0.9219,0.9219,0.9219,-0.0025965596,2023-03-17
0.9308,0.9308,0.9308,0.0096539755,2023-03-24
0.927,0.927,0.927,-0.0040825097,2023-03-31
0.9302,0.9302,0.9302,0.0034519957,2023-04-07
0.9326,0.9326,0.9326,0.0025800903,2023-04-14
0.9153,0.9153,0.9153,-0.0185502895,2023-04-21
0.9221,0.9221,0.9221,0.0074292582,2023-04-28
0.9199,0.9199,0.9199,-0.0023858584,2023-05-05
0.9112,0.9112,0.9112,-0.0094575497,2023-05-12
0.9269,0.9269,0.9269,0.0172300263,2023-05-19
0.9186,0.9186,0.9186,-0.0089545798,2023-05-26
0.9381,0.9381,0.9381,0.0212279556,2023-06-02
0.9383,0.9383,0.9383,0.0002131969,2023-06-05
0.9285,0.9285,0.9285,-0.0104444208,2023-06-06
0.9279,0.9279,0.9279,-0.0006462036,2023-06-07
0.9278,0.9278,0.9278,-0.0001077702,2023-06-08
0.9286,0.9286,0.9286,0.0008622548,2023-06-09
0.9315,0.9315,0.9315,0.0031229808,2023-06-12
0.9556,0.9556,0.9556,0.0258722491,2023-06-16
0.9475,0.9475,0.9475,-0.0084763499,2023-06-21
0.9542,0.9542,0.9542,0.0070712401,2023-06-30
0.9476,0.9476,0.9476,-0.0069167889,2023-07-07
0.9431,0.9431,0.9431,-0.0047488392,2023-07-14
0.9321,0.9321,0.9321,-0.0116636624,2023-07-21
0.9385,0.9385,0.9385,0.0068662161,2023-07-28
0.9413,0.9413,0.9413,0.0029834843,2023-08-04
0.9298,0.9298,0.9298,-0.0122171465,2023-08-11
0.9301,0.9301,0.9301,0.00032265,2023-08-18
0.9196,0.9196,0.9196,-0.0112891087,2023-08-25
0.9417,0.9417,0.9417,0.0240321879,2023-09-01
0.9474,0.9474,0.9474,0.0060528831,2023-09-08
0.9341,0.9341,0.9341,-0.0140384209,2023-09-15
0.9371,0.9371,0.9371,0.0032116476,2023-09-22
0.941,0.941,0.941,0.0041617757,2023-09-28
0.942,0.942,0.942,0.0010626993,2023-10-13
0.9175,0.9175,0.9175,-0.0260084926,2023-10-20
0.9418,0.9418,0.9418,0.0264850136,2023-10-27
0.9535,0.9535,0.9535,0.0124230197,2023-11-03
0.9796,0.9796,0.9796,0.0273728369,2023-11-10
0.9937,0.9937,0.9937,0.0143936301,2023-11-17
0.9892,0.9892,0.9892,-0.0045285297,2023-11-24
0.9901,0.9901,0.9901,0.0009098261,2023-12-01
0.9763,0.9763,0.9763,-0.0139379861,2023-12-08
0.9633,0.9633,0.9633,-0.0133155792,2023-12-15
0.9464,0.9464,0.9464,-0.0175438596,2023-12-22
0.9695,0.9695,0.9695,0.024408284,2023-12-29
0.9449,0.9449,0.9449,-0.0253739041,2024-01-05
0.9384,0.9384,0.9384,-0.0068790348,2024-01-12
0.9197,0.9197,0.9197,-0.0199275362,2024-01-19
0.923,0.923,0.923,0.0035881266,2024-01-26
0.8806,0.8806,0.8806,-0.0459371614,2024-02-02
0.9525,0.9525,0.9525,0.0816488758,2024-02-08
1.0306,1.0306,1.0306,0.0819947507,2024-02-23
1.1035,1.1035,1.1035,0.0707354939,2024-03-01
1.0815,1.0815,1.0815,-0.0199365655,2024-03-08
1.0827,1.0827,1.0827,0.00110957,2024-03-15
1.0925,1.0925,1.0925,0.0090514455,2024-03-22
1.1045,1.1045,1.1045,0.0109839817,2024-03-29
1.0974,1.0974,1.0974,-0.0064282481,2024-04-03
1.0841,1.0841,1.0841,-0.0121195553,2024-04-12
1.067,1.067,1.067,-0.0157734526,2024-04-19
1.0944,1.0944,1.0944,0.0256794752,2024-04-26
1.115,1.115,1.115,0.0188230994,2024-04-30
1.123,1.123,1.123,0.0071748879,2024-05-10
1.1222,1.1222,1.1222,-0.0007123776,2024-05-17
1.1047,1.1047,1.1047,-0.0155943682,2024-05-24
1.0992,1.0992,1.0992,-0.0049787273,2024-05-31
1.0877,1.0877,1.0877,-0.0104621543,2024-06-07
1.0883,1.0883,1.0883,0.0005516227,2024-06-14
1.0793,1.0793,1.0793,-0.0082697786,2024-06-21
1.0793,1.0793,1.0793,0.0,2024-06-28
1.0587,1.0587,1.0587,-0.0190864449,2024-07-05
1.0755,1.0755,1.0755,0.015868518,2024-07-12
1.0626,1.0626,1.0626,-0.0119944212,2024-07-19
1.0593,1.0593,1.0593,-0.0031055901,2024-07-26
1.0977,1.0977,1.0977,0.036250354,2024-07-31
1.0802,1.0802,1.0802,-0.0159424251,2024-08-02
1.0493,1.0493,1.0493,-0.0286058137,2024-08-09
1.0488,1.0488,1.0488,-0.0004765081,2024-08-16
1.0327,1.0327,1.0327,-0.0153508772,2024-08-23
1.0562,1.0562,1.0562,0.0227558826,2024-08-30
1.0296,1.0296,1.0296,-0.0251846241,2024-09-06
1.0175,1.0175,1.0175,-0.0117521368,2024-09-13
1.0172,1.0172,1.0172,-0.0002948403,2024-09-20
1.1197,1.1197,1.1197,0.1007668109,2024-09-27
1.2328,1.2328,1.2328,0.1010091989,2024-09-30
1.3379,1.3379,1.3379,0.0852530824,2024-10-11
1.3765,1.3765,1.3765,0.0288511847,2024-10-18
0.9988,1.4248,1.4248,0.0350889938,2024-10-22
1.0151,1.4411,1.44805214,0.0163195835,2024-10-25
1.0227,1.4487,1.45889363,0.0074869471,2024-10-31
1.0023,1.4283,1.42979279,-0.0199471986,2024-11-01
1.0717,1.4977,1.52879271,0.0692407463,2024-11-08
1.0774,1.5034,1.53692383,0.0053186526,2024-11-15
1.0711,1.4971,1.5279368,-0.0058474104,2024-11-22
1.0862,1.5122,1.54947713,0.0140976566,2024-11-29
1.0939,1.5199,1.56046127,0.0070889339,2024-12-06
1.0851,1.5111,1.54790797,-0.008044611,2024-12-13
1.1046,1.5306,1.57572495,0.0179706939,2024-12-20
1.07,1.496,1.52636764,-0.031323556,2024-12-27
1.0423,1.4683,1.48685326,-0.0258878505,2024-12-31
1.0304,1.4564,1.46987777,-0.0114170584,2025-01-03
0.999,1.425,1.4250853,-0.0304736025,2025-01-10
1.0254,1.4514,1.46274521,0.0264264264,2025-01-17
1.0248,1.4508,1.46188931,-0.0005851375,2025-01-24
1.0187,1.4447,1.45318759,-0.005952381,2025-01-27
1.063,1.489,1.51638206,0.0434867969,2025-02-07
1.0703,1.4963,1.52679559,0.0068673565,2025-02-14
1.0929,1.5189,1.55903476,0.0211155751,2025-02-21
1.0825,1.5085,1.54419904,-0.0095159667,2025-02-28
1.0964,1.5224,1.56402755,0.0128406467,2025-03-07
1.0934,1.5194,1.55974802,-0.0027362277,2025-03-14
1.081,1.507,1.54205927,-0.0113407719,2025-03-21
1.0685,1.4945,1.52422787,-0.0115633673,2025-03-28
1.0653,1.4913,1.51966304,-0.0029948526,2025-03-31
1.0477,1.4737,1.49455643,-0.0165211677,2025-04-03
1.0239,1.4499,1.46060545,-0.0227164265,2025-04-11
1.0187,1.4447,1.45318759,-0.005078621,2025-04-18
1.0247,1.4507,1.46174666,0.0058898596,2025-04-25
1.0353,1.4613,1.47686768,0.0103444911,2025-04-30
1.0713,1.4973,1.52822211,0.0347725297,2025-05-09
1.0719,1.4979,1.52907801,0.0005600672,2025-05-16
1.0578,1.4838,1.5089642,-0.0131542121,2025-05-23
1.0503,1.4763,1.49826536,-0.0070901872,2025-05-30
1.0573,1.4833,1.50825094,0.0066647624,2025-06-06
1.0515,1.4775,1.49997717,-0.005485671,2025-06-13
1.0441,1.4701,1.48942099,-0.0070375654,2025-06-20
1.0812,1.5072,1.54234457,0.0355329949,2025-06-27
1.0935,1.5195,1.55989067,0.0113762486,2025-06-30
1.0784,1.5044,1.53835034,-0.0138088706,2025-07-04
1.0842,1.5102,1.54662411,0.0053783383,2025-07-11
1.0908,1.5168,1.55603909,0.0060874377,2025-07-18
1.1125,1.5385,1.58699439,0.019893656,2025-07-25
1.1115,1.5375,1.58556788,-0.0008988764,2025-07-31
1.1108,1.5368,1.58456932,-0.0006297796,2025-08-01
1.1366,1.5626,1.62137333,0.0232265034,2025-08-08
1.146,1.572,1.63478254,0.0082702798,2025-08-15
1.1738,1.5998,1.67443957,0.0242582897,2025-08-22
1.1766,1.6026,1.6784338,0.0023854149,2025-08-29
1.1808,1.6068,1.68442515,0.0035696073,2025-09-05
1.1888,1.6148,1.69583724,0.0067750678,2025-09-12
1.1859,1.6119,1.69170036,-0.0024394347,2025-09-19
1.1751,1.6011,1.67629403,-0.0091070073,2025-09-26
1.1839,1.6099,1.68884734,0.0074887244,2025-09-30
1.1862,1.6122,1.69212831,0.0019427316,2025-10-10
1.1845,1.6105,1.68970324,-0.0014331479,2025-10-17
1.1865,1.6125,1.69255627,0.0016884762,2025-10-24
1.1853,1.6113,1.69084445,-0.001011378,2025-10-31
1.0,1.6103,1.68941794,-0.0008436683,2025-11-03
1.0047,1.615,1.69735821,0.0047,2025-11-07
0.9934,1.6037,1.67826778,-0.0112471384,2025-11-14
0.9792,1.5895,1.65427805,-0.0142943427,2025-11-21
0.9825,1.5928,1.65985313,0.003370098,2025-11-28
0.9861,1.5964,1.66593503,0.0036641221,2025-12-05
0.9891,1.5994,1.67100329,0.0030422878,2025-12-12
0.9862,1.5965,1.66610397,-0.0029319583,2025-12-19
1.0105,1.6208,1.70715683,0.0246400324,2025-12-26
1.0171,1.6274,1.71830699,0.0065314201,2025-12-31
1.1077,1.718,1.87136825,0.0890767869,2026-01-09
1.1278,1.7381,1.90532555,0.0181457073,2026-01-16
1.1571,1.7674,1.9548255,0.0259797836,2026-01-23
1.1175,1.7278,1.88792455,-0.0342234898,2026-01-30
1.1123,1.7226,1.87913958,-0.0046532438,2026-02-06
