nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-02-05
0.9999,0.9999,0.9999,-0.0001,2021-02-10
1.0134,1.0134,1.0134,0.0135013501,2021-02-19
0.9609,0.9609,0.9609,-0.0518058022,2021-02-25
0.9414,0.9414,0.9414,-0.0202934749,2021-02-26
0.9275,0.9275,0.9275,-0.0147652433,2021-03-05
0.9154,0.9154,0.9154,-0.0130458221,2021-03-12
0.8897,0.8897,0.8897,-0.0280751584,2021-03-19
0.8703,0.8703,0.8703,-0.0218051028,2021-03-25
0.9037,0.9037,0.9037,0.038377571,2021-03-26
0.9513,0.9513,0.9513,0.052672347,2021-04-02
0.9238,0.9238,0.9238,-0.0289078104,2021-04-09
0.9106,0.9106,0.9106,-0.0142888071,2021-04-16
0.9642,0.9642,0.9642,0.0588622886,2021-04-23
0.9562,0.9562,0.9562,-0.0082970338,2021-04-26
0.9782,0.9782,0.9782,0.023007739,2021-04-30
0.9487,0.9487,0.9487,-0.030157432,2021-05-07
0.9649,0.9649,0.9649,0.0170759987,2021-05-14
0.9858,0.9858,0.9858,0.0216602757,2021-05-21
1.0151,1.0151,1.0151,0.0297220532,2021-05-25
1.0235,1.0235,1.0235,0.0082750468,2021-05-28
1.0304,1.0304,1.0304,0.006741573,2021-06-04
1.023,1.023,1.023,-0.007181677,2021-06-11
1.0045,1.0045,1.0045,-0.0180840665,2021-06-18
1.0412,1.0412,1.0412,0.0365355898,2021-06-25
1.0258,1.0258,1.0258,-0.0147906262,2021-07-02
1.0332,1.0332,1.0332,0.0072138818,2021-07-09
1.0624,1.0624,1.0624,0.0282617112,2021-07-16
1.0865,1.0865,1.0865,0.022684488,2021-07-23
1.0564,1.0564,1.0564,-0.0277036355,2021-07-26
1.0535,1.0535,1.0535,-0.0027451723,2021-07-30
1.1025,1.1025,1.1025,0.0465116279,2021-08-06
1.1446,1.1446,1.1446,0.038185941,2021-08-13
1.113,1.113,1.113,-0.027607898,2021-08-20
1.1908,1.1908,1.1908,0.069901168,2021-08-25
1.1827,1.1827,1.1827,-0.0068021498,2021-08-27
1.1614,1.1614,1.1614,-0.018009639,2021-09-03
1.2152,1.2152,1.2152,0.0463234028,2021-09-10
1.1901,1.1901,1.1901,-0.0206550362,2021-09-17
1.1839,1.1839,1.1839,-0.0052096462,2021-09-24
1.1361,1.1361,1.1361,-0.0403750317,2021-09-27
1.1201,1.1201,1.1201,-0.0140832673,2021-09-30
1.1005,1.1005,1.1005,-0.0174984376,2021-10-08
1.1038,1.1038,1.1038,0.002998637,2021-10-15
1.1273,1.1273,1.1273,0.0212900888,2021-10-22
1.1549,1.1549,1.1549,0.0244832786,2021-10-25
1.1358,1.1358,1.1358,-0.0165382284,2021-10-29
1.0783,1.0783,1.0783,-0.0506251101,2021-11-05
1.0984,1.0984,1.0984,0.0186404526,2021-11-12
1.0739,1.0739,1.0739,-0.0223051712,2021-11-19
1.0944,1.0944,1.0944,0.0190893007,2021-11-25
1.0983,1.0983,1.0983,0.0035635965,2021-11-26
1.118,1.118,1.118,0.0179368114,2021-12-03
1.095,1.095,1.095,-0.0205724508,2021-12-09
1.1056,1.1056,1.1056,0.0096803653,2021-12-10
1.059,1.059,1.059,-0.0421490593,2021-12-17
1.0,1.0,1.0,-0.0557129367,2021-12-24
0.9959,0.9959,0.9959,-0.0041,2021-12-27
1.0309,1.0309,1.0309,0.0351440908,2021-12-31
0.9743,0.9743,0.9743,-0.0549034824,2022-01-07
0.9683,0.9683,0.9683,-0.0061582675,2022-01-13
0.9665,0.9665,0.9665,-0.001858928,2022-01-14
0.956,0.956,0.956,-0.0108639421,2022-01-21
0.9423,0.9423,0.9423,-0.0143305439,2022-01-25
0.9203,0.9203,0.9203,-0.0233471294,2022-01-28
0.9278,0.9278,0.9278,0.0081495165,2022-02-11
0.9475,0.9475,0.9475,0.0212330244,2022-02-18
0.9475,0.9475,0.9475,0.0,2022-02-25
0.938,0.938,0.938,-0.0100263852,2022-03-04
0.9071,0.9071,0.9071,-0.0329424307,2022-03-11
0.8987,0.8987,0.8987,-0.00926028,2022-03-18
0.8932,0.8932,0.8932,-0.006119951,2022-03-25
0.9084,0.9084,0.9084,0.0170174653,2022-04-01
0.891,0.891,0.891,-0.0191545575,2022-04-08
0.8617,0.8617,0.8617,-0.0328843996,2022-04-15
0.816,0.816,0.816,-0.0530346989,2022-04-22
0.816,0.816,0.816,0.0,2022-04-25
0.816,0.816,0.816,0.0,2022-04-26
0.816,0.816,0.816,0.0,2022-04-27
0.816,0.816,0.816,0.0,2022-04-28
0.81,0.81,0.81,-0.0073529412,2022-04-29
0.81,0.81,0.81,0.0,2022-05-05
0.8099,0.8099,0.8099,-0.0001234568,2022-05-06
0.8099,0.8099,0.8099,0.0,2022-05-09
0.8099,0.8099,0.8099,0.0,2022-05-10
0.8099,0.8099,0.8099,0.0,2022-05-11
0.8099,0.8099,0.8099,0.0,2022-05-12
0.8694,0.8694,0.8694,0.07346586,2022-05-13
0.8694,0.8694,0.8694,0.0,2022-05-16
