nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-10-30
0.9999,0.9999,0.9999,-0.0001,2020-11-06
0.9999,0.9999,0.9999,0.0,2020-11-09
0.9998,0.9998,0.9998,-0.00010001,2020-11-13
1.0127,1.0127,1.0127,0.0129025805,2020-11-20
0.9848,0.9848,0.9848,-0.0275501136,2020-11-27
1.0297,1.0297,1.0297,0.0455930138,2020-12-04
1.0136,1.0136,1.0136,-0.015635622,2020-12-09
1.0064,1.0064,1.0064,-0.0071033938,2020-12-11
1.0335,1.0335,1.0335,0.026927663,2020-12-18
1.0375,1.0375,1.0375,0.0038703435,2020-12-25
1.0657,1.0657,1.0657,0.0271807229,2020-12-31
1.0683,1.0683,1.0683,0.002439711,2021-01-08
1.0541,1.0541,1.0541,-0.0132921464,2021-01-11
1.0746,1.0746,1.0746,0.0194478702,2021-01-15
1.1164,1.1164,1.1164,0.0388981947,2021-01-22
1.063,1.063,1.063,-0.0478323182,2021-01-29
1.0321,1.0321,1.0321,-0.0290686736,2021-02-05
1.0681,1.0681,1.0681,0.0348803411,2021-02-09
1.0797,1.0797,1.0797,0.0108604063,2021-02-10
1.1191,1.1191,1.1191,0.036491618,2021-02-19
1.0867,1.0867,1.0867,-0.0289518363,2021-02-26
1.0895,1.0895,1.0895,0.0025766081,2021-03-05
1.0134,1.0134,1.0134,-0.0698485544,2021-03-09
1.0633,1.0633,1.0633,0.0492401816,2021-03-12
1.0427,1.0427,1.0427,-0.0193736481,2021-03-19
1.0596,1.0596,1.0596,0.0162079217,2021-03-26
1.1063,1.1063,1.1063,0.0440732352,2021-04-02
1.0878,1.0878,1.0878,-0.016722408,2021-04-09
1.0755,1.0755,1.0755,-0.0113072256,2021-04-16
1.1242,1.1242,1.1242,0.0452812645,2021-04-23
1.1308,1.1308,1.1308,0.0058708415,2021-04-30
1.1018,1.1018,1.1018,-0.0256455607,2021-05-07
1.0974,1.0974,1.0974,-0.0039934652,2021-05-10
1.1164,1.1164,1.1164,0.0173136504,2021-05-14
1.1378,1.1378,1.1378,0.0191687567,2021-05-21
1.1756,1.1756,1.1756,0.0332220074,2021-05-28
1.1849,1.1849,1.1849,0.007910854,2021-06-04
1.18,1.18,1.18,-0.0041353701,2021-06-09
1.1812,1.1812,1.1812,0.0010169492,2021-06-11
1.1676,1.1676,1.1676,-0.0115137149,2021-06-18
1.2072,1.2072,1.2072,0.0339157246,2021-06-25
1.1939,1.1939,1.1939,-0.01101723,2021-07-02
1.2035,1.2035,1.2035,0.0080408744,2021-07-09
1.2304,1.2304,1.2304,0.0223514749,2021-07-16
1.2625,1.2625,1.2625,0.0260890767,2021-07-23
1.233,1.233,1.233,-0.0233663366,2021-07-30
1.2838,1.2838,1.2838,0.0412003244,2021-08-06
1.2896,1.2896,1.2896,0.0045178377,2021-08-09
1.3344,1.3344,1.3344,0.0347394541,2021-08-13
1.3024,1.3024,1.3024,-0.0239808153,2021-08-20
1.3826,1.3826,1.3826,0.0615786241,2021-08-27
1.3587,1.3587,1.3587,-0.0172862722,2021-09-03
1.404,1.404,1.404,0.0333406933,2021-09-09
1.4139,1.4139,1.4139,0.0070512821,2021-09-10
1.3803,1.3803,1.3803,-0.0237640569,2021-09-17
1.3741,1.3741,1.3741,-0.0044917771,2021-09-24
1.3055,1.3055,1.3055,-0.0499235863,2021-09-30
1.2942,1.2942,1.2942,-0.0086556875,2021-10-08
1.2867,1.2867,1.2867,-0.0057950858,2021-10-11
1.2865,1.2865,1.2865,-0.0001554364,2021-10-15
1.3071,1.3071,1.3071,0.0160124368,2021-10-22
1.3114,1.3114,1.3114,0.0032897253,2021-10-29
1.2586,1.2586,1.2586,-0.0402623151,2021-11-05
1.2892,1.2892,1.2892,0.0243127284,2021-11-09
1.2876,1.2876,1.2876,-0.0012410797,2021-11-12
1.266,1.266,1.266,-0.0167753961,2021-11-19
1.2931,1.2931,1.2931,0.0214060032,2021-11-26
1.3134,1.3134,1.3134,0.0156987085,2021-12-03
1.2824,1.2824,1.2824,-0.0236028628,2021-12-09
1.2943,1.2943,1.2943,0.009279476,2021-12-10
1.2532,1.2532,1.2532,-0.0317546164,2021-12-17
1.192,1.192,1.192,-0.0488349824,2021-12-24
1.2287,1.2287,1.2287,0.0307885906,2021-12-31
1.1669,1.1669,1.1669,-0.0502970619,2022-01-07
1.1693,1.1693,1.1693,0.0020567315,2022-01-10
1.1565,1.1565,1.1565,-0.0109467203,2022-01-14
1.1388,1.1388,1.1388,-0.015304799,2022-01-21
1.0904,1.0904,1.0904,-0.0425008781,2022-01-28
1.1176,1.1176,1.1176,0.0249449743,2022-02-09
1.0921,1.0921,1.0921,-0.0228167502,2022-02-11
1.0921,1.0921,1.0921,0.0,2022-02-18
1.1228,1.1228,1.1228,0.0281109788,2022-02-25
1.1125,1.1125,1.1125,-0.0091734948,2022-03-04
1.0505,1.0505,1.0505,-0.0557303371,2022-03-09
1.0812,1.0812,1.0812,0.029224179,2022-03-11
1.0683,1.0683,1.0683,-0.0119311876,2022-03-18
1.0844,1.0844,1.0844,0.015070673,2022-03-23
1.0632,1.0632,1.0632,-0.0195499816,2022-03-25
1.069,1.069,1.069,0.0054552295,2022-04-01
1.042,1.042,1.042,-0.0252572498,2022-04-08
1.0008,1.0008,1.0008,-0.0395393474,2022-04-11
1.001,1.001,1.001,0.0001998401,2022-04-15
0.947,0.947,0.947,-0.0539460539,2022-04-22
0.947,0.947,0.947,0.0,2022-04-25
0.947,0.947,0.947,0.0,2022-04-26
0.947,0.947,0.947,0.0,2022-04-27
0.947,0.947,0.947,0.0,2022-04-28
0.93,0.93,0.93,-0.0179514256,2022-04-29
0.93,0.93,0.93,0.0,2022-05-05
0.934,0.934,0.934,0.0043010753,2022-05-06
0.934,0.934,0.934,0.0,2022-05-09
0.934,0.934,0.934,0.0,2022-05-10
0.934,0.934,0.934,0.0,2022-05-11
0.934,0.934,0.934,0.0,2022-05-12
1.004,1.004,1.004,0.0749464668,2022-05-13
1.004,1.004,1.004,0.0,2022-05-16
