nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-05-19
1.0001,1.0001,1.0001,0.0001,2021-05-21
1.0004,1.0004,1.0004,0.00029997,2021-05-28
1.0006,1.0006,1.0006,0.00019992,2021-05-31
1.0007,1.0007,1.0007,9.994e-05,2021-06-04
1.001,1.001,1.001,0.0002997901,2021-06-11
0.9696,0.9696,0.9696,-0.0313686314,2021-06-18
0.892,0.892,0.892,-0.0800330033,2021-06-25
0.8839,0.8839,0.8839,-0.0090807175,2021-06-30
0.8829,0.8829,0.8829,-0.0011313497,2021-07-02
0.8637,0.8637,0.8637,-0.0217465172,2021-07-09
0.9226,0.9226,0.9226,0.0681949751,2021-07-16
0.9131,0.9131,0.9131,-0.0102969868,2021-07-23
0.9336,0.9336,0.9336,0.0224509911,2021-07-30
0.8063,0.8063,0.8063,-0.1363538989,2021-08-06
0.8982,0.8982,0.8982,0.1139774278,2021-08-13
0.8608,0.8608,0.8608,-0.0416388332,2021-08-20
0.9133,0.9133,0.9133,0.060989777,2021-08-27
0.94,0.94,0.94,0.0292346436,2021-08-31
0.9646,0.9646,0.9646,0.0261702128,2021-09-03
1.1458,1.1458,1.1458,0.187849886,2021-09-10
1.1447,1.1447,1.1447,-0.0009600279,2021-09-17
1.2128,1.2128,1.2128,0.0594915698,2021-09-24
1.3665,1.3665,1.3665,0.1267315303,2021-09-30
1.5126,1.5126,1.5126,0.1069154775,2021-10-08
1.5025,1.5025,1.5025,-0.0066772445,2021-10-15
1.3517,1.3517,1.3517,-0.1003660566,2021-10-22
1.2111,1.2111,1.2111,-0.1040171636,2021-10-29
1.2138,1.2138,1.2138,0.0022293783,2021-11-05
1.1691,1.1691,1.1691,-0.0368264953,2021-11-12
1.112,1.112,1.112,-0.0488409888,2021-11-19
1.0656,1.0656,1.0656,-0.0417266187,2021-11-26
1.0447,1.0447,1.0447,-0.0196133634,2021-11-30
1.012,1.012,1.012,-0.0313008519,2021-12-03
0.9759,0.9759,0.9759,-0.0356719368,2021-12-10
0.9547,0.9547,0.9547,-0.0217235372,2021-12-17
0.9684,0.9684,0.9684,0.0143500576,2021-12-24
0.9756,0.9756,0.9756,0.0074349442,2021-12-31
0.9778,0.9778,0.9778,0.0022550226,2022-01-07
1.0216,1.0216,1.0216,0.0447944365,2022-01-14
1.1311,1.1311,1.1311,0.1071848081,2022-01-21
1.154,1.154,1.154,0.0202457784,2022-01-28
1.2984,1.2984,1.2984,0.1251299827,2022-02-11
1.1942,1.1942,1.1942,-0.0802526186,2022-02-18
1.2812,1.2812,1.2812,0.0728521186,2022-02-25
1.1832,1.1832,1.1832,-0.0764907899,2022-02-28
1.3307,1.3307,1.3307,0.1246619337,2022-03-04
1.4773,1.4773,1.4773,0.110167581,2022-03-11
1.336,1.336,1.336,-0.095647465,2022-03-18
1.4407,1.4407,1.4407,0.0783682635,2022-03-25
1.347,1.347,1.347,-0.0650378288,2022-03-31
