nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.8989,0.9634,0.9634,0.0,2025-04-03
1.1295,1.194,1.21054656,0.2565357659,2025-08-22
1.1125,1.177,1.19232673,-0.0150509075,2025-08-29
1.1109,1.1754,1.19061193,-0.0014382022,2025-09-05
1.1323,1.1968,1.21354747,0.0192636601,2025-09-12
1.1207,1.1852,1.20111512,-0.0102446348,2025-09-19
1.1124,1.1769,1.19221956,-0.0074060855,2025-09-26
1.1274,1.1919,1.20829587,0.0134843581,2025-09-30
1.134,1.1985,1.21536945,0.0058541778,2025-10-10
1.0879,1.1524,1.16596158,-0.0406525573,2025-10-17
1.1412,1.2057,1.22308608,0.0489934737,2025-10-24
1.1497,1.2142,1.232196,0.0074483,2025-10-31
1.1716,1.2361,1.25566742,0.0190484474,2025-11-07
1.1907,1.2552,1.27613792,0.0163024923,2025-11-14
1.0962,1.1607,1.17485714,-0.0793650794,2025-11-21
1.1602,1.2247,1.24344942,0.0583835067,2025-11-28
1.1567,1.2212,1.23969828,-0.0030167213,2025-12-05
1.1381,1.2026,1.21976364,-0.0160802282,2025-12-12
1.1487,1.2132,1.23112424,0.0093137686,2025-12-19
1.0183,1.249,1.26949305,0.0311656655,2025-12-26
1.0161,1.2468,1.26675035,-0.0021604635,2025-12-31
1.0778,1.3085,1.34367044,0.0607223698,2026-01-09
1.088,1.3187,1.35638656,0.0094637224,2026-01-16
1.1403,1.371,1.42158786,0.0480698529,2026-01-23
1.1046,1.3353,1.37708143,-0.0313075506,2026-01-30
1.1047,1.3354,1.3772061,9.05305e-05,2026-02-06
1.116,1.3467,1.39129357,0.0102290215,2026-02-13
1.1654,1.3961,1.4528795,0.044265233,2026-02-27
1.1287,1.3594,1.40712639,-0.0314913334,2026-03-06
1.1193,1.35,1.39540761,-0.0083281651,2026-03-13
1.0535,1.2842,1.31337614,-0.0587867417,2026-03-20
1.0561,1.2868,1.31661751,0.0024679639,2026-03-27
1.0226,1.2533,1.27485377,-0.031720481,2026-04-03
1.0873,1.318,1.35551389,0.0632700958,2026-04-10
1.1205,1.3512,1.39690362,0.0305343511,2026-04-17
1.1159,1.3466,1.3911689,-0.0041053101,2026-04-24
1.1387,1.3694,1.41959318,0.0204319383,2026-04-30
1.1861,1.4168,1.47868575,0.0416264161,2026-05-08
1.1758,1.4065,1.46584496,-0.0086839221,2026-05-15
1.1809,1.4116,1.47220302,0.0043374724,2026-05-22
