nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-08-01
1.0001,1.0001,1.0001,0.0001,2023-08-04
1.0001,1.0001,1.0001,0.0,2023-08-11
0.9914,0.9914,0.9914,-0.0086991301,2023-08-18
0.98,0.98,0.98,-0.0114988905,2023-08-25
1.0219,1.0219,1.0219,0.042755102,2023-08-31
1.0038,1.0038,1.0038,-0.0177121049,2023-09-01
1.0524,1.0524,1.0524,0.0484160191,2023-09-08
1.0227,1.0227,1.0227,-0.0282212087,2023-09-15
1.0289,1.0289,1.0289,0.0060623839,2023-09-22
1.0482,1.0482,1.0482,0.0187578968,2023-09-28
1.0765,1.0765,1.0765,0.0269986644,2023-10-13
1.0267,1.0267,1.0267,-0.0462610311,2023-10-20
1.0871,1.0871,1.0871,0.0588292588,2023-10-27
1.147,1.147,1.147,0.0551007267,2023-10-31
1.1143,1.1143,1.1143,-0.0285091543,2023-11-03
1.2201,1.2201,1.2201,0.0949475007,2023-11-10
1.2705,1.2705,1.2705,0.0413080895,2023-11-17
1.2477,1.2477,1.2477,-0.0179456907,2023-11-24
1.2896,1.2896,1.2896,0.0335817905,2023-11-30
1.3124,1.3124,1.3124,0.0176799007,2023-12-01
1.3305,1.3305,1.3305,0.013791527,2023-12-08
1.3295,1.3295,1.3295,-0.0007515971,2023-12-15
1.2831,1.2831,1.2831,-0.0349003385,2023-12-22
1.334,1.334,1.334,0.0396695503,2023-12-29
1.2753,1.2753,1.2753,-0.0440029985,2024-01-05
1.1,1.2654,1.2654,-0.0077628793,2024-01-08
1.1071,1.2725,1.27356758,0.0064545455,2024-01-12
1.0908,1.2562,1.25481665,-0.0147231506,2024-01-19
1.0939,1.2593,1.25838278,0.0028419509,2024-01-26
1.049,1.2144,1.20673145,-0.0410457994,2024-01-31
1.0528,1.2182,1.21110284,0.0036224976,2024-02-02
1.0666,1.232,1.22697785,0.0131079027,2024-02-08
1.0871,1.2525,1.25056031,0.0192199512,2024-02-23
1.1144,1.2798,1.28196524,0.0251126851,2024-02-29
1.1264,1.2918,1.2957696,0.0107681263,2024-03-01
1.1419,1.3073,1.31360024,0.0137606534,2024-03-08
1.145,1.3104,1.31716636,0.0027147736,2024-03-15
1.1391,1.3045,1.31037922,-0.0051528384,2024-03-22
1.1608,1.3262,1.33534211,0.0190501273,2024-03-29
1.1715,1.3369,1.347651,0.0092177808,2024-04-03
1.1634,1.3288,1.33833305,-0.0069142125,2024-04-12
1.1309,1.2963,1.30094624,-0.0279353619,2024-04-19
1.1298,1.2952,1.29968084,-0.0009726766,2024-04-26
1.1463,1.3117,1.31866184,0.0146043548,2024-04-30
1.1296,1.295,1.29945076,-0.0145686121,2024-05-10
1.1122,1.2776,1.27943444,-0.0154036827,2024-05-17
1.0976,1.263,1.26263913,-0.0131271354,2024-05-24
1.1086,1.274,1.27529313,0.0100218659,2024-05-31
1.0818,1.2472,1.24446338,-0.0241746347,2024-06-07
1.1074,1.2728,1.27391269,0.0236642633,2024-06-14
1.134,1.2994,1.30451236,0.0240202276,2024-06-21
1.1473,1.3127,1.3198122,0.0117283951,2024-06-28
1.1217,1.2871,1.29036289,-0.0223132572,2024-07-05
1.1523,1.3177,1.32556402,0.0272800214,2024-07-12
1.1418,1.3072,1.3134852,-0.0091122104,2024-07-19
1.1187,1.2841,1.2869118,-0.0202312139,2024-07-26
1.1269,1.2923,1.29634478,0.0073299365,2024-07-31
1.1107,1.2761,1.27770889,-0.014375721,2024-08-02
1.0998,1.2652,1.26516993,-0.009813631,2024-08-09
1.0953,1.2607,1.25999329,-0.004091653,2024-08-16
1.0949,1.2603,1.25953315,-0.0003651967,2024-08-23
1.1092,1.2746,1.27598335,0.0130605535,2024-08-30
1.1083,1.2737,1.27494802,-0.0008113956,2024-09-06
1.1119,1.2773,1.27908933,0.003248218,2024-09-13
1.1469,1.3123,1.31935205,0.0314776509,2024-09-20
1.2781,1.4435,1.47027976,0.1143953265,2024-09-27
1.5071,1.6725,1.73371304,0.1791722087,2024-09-30
1.6109,1.7763,1.85312078,0.0688739964,2024-10-11
1.7166,1.882,1.97471422,0.0656154944,2024-10-18
1.7235,1.8889,1.98265173,0.0040195736,2024-10-25
1.732,1.8974,1.99242982,0.0049318248,2024-10-31
1.7138,1.8792,1.9714932,-0.0105080831,2024-11-01
1.8481,2.0135,2.12598704,0.0783638698,2024-11-08
1.8546,2.02,2.1334644,0.0035171257,2024-11-15
1.8985,2.0639,2.18396536,0.0236708724,2024-11-22
1.9546,2.12,2.24850076,0.0295496445,2024-11-29
1.9843,2.1497,2.28266656,0.0151949248,2024-12-06
1.9495,2.1149,2.24263391,-0.0175376707,2024-12-13
1.9478,2.1132,2.24067829,-0.0008720185,2024-12-20
1.916,2.0814,2.20409673,-0.0163261115,2024-12-27
1.9009,2.0663,2.18672624,-0.0078810021,2024-12-31
1.8675,2.0329,2.14830409,-0.0175706244,2025-01-03
1.8672,2.0326,2.14795898,-0.0001606426,2025-01-10
1.888,2.0534,2.17188655,0.0111396744,2025-01-17
1.8974,2.0628,2.18269996,0.0049788136,2025-01-24
1.8728,2.0382,2.15440102,-0.0129651102,2025-01-27
1.8724,2.0378,2.15394087,-0.0002135839,2025-02-07
1.947,2.1124,2.239758,0.0398419141,2025-02-14
1.9698,2.1352,2.26598629,0.0117103236,2025-02-21
1.9933,2.1587,2.29301984,0.0119301452,2025-02-28
1.1,2.2125,2.3549094,0.0269904179,2025-03-07
1.0803,2.1928,2.31273511,-0.0179090909,2025-03-14
1.0577,2.1702,2.26435243,-0.0209201148,2025-03-21
1.0384,2.1509,2.22303447,-0.01824714,2025-03-28
1.0363,2.1488,2.21853874,-0.0020223421,2025-03-31
1.0393,2.1518,2.22496122,0.0028949146,2025-04-03
1.0285,2.141,2.20184029,-0.0103916097,2025-04-11
1.0376,2.1501,2.22132181,0.0088478367,2025-04-18
1.0429,2.1554,2.23266819,0.0051079414,2025-04-25
1.0464,2.1589,2.24016109,0.0033560265,2025-04-30
1.0644,2.1769,2.27869597,0.0172018349,2025-05-09
1.0472,2.1597,2.24187375,-0.0161593386,2025-05-16
1.0448,2.1573,2.23673576,-0.0022918258,2025-05-23
1.0601,2.1726,2.26949041,0.014643951,2025-05-30
1.0605,2.173,2.27034674,0.0003773229,2025-06-06
1.0671,2.1796,2.2844762,0.0062234795,2025-06-13
1.0457,2.1582,2.23866251,-0.0200543529,2025-06-20
1.0758,2.1883,2.30310139,0.0287845462,2025-06-27
1.0964,2.2089,2.34720242,0.0191485406,2025-06-30
1.0975,2.21,2.34955733,0.0010032835,2025-07-04
1.1102,2.2227,2.37674583,0.011571754,2025-07-11
1.1451,2.2576,2.45146069,0.0314357773,2025-07-18
1.1923,2.3048,2.55250771,0.0412191075,2025-07-25
1.2225,2.335,2.61716067,0.0253291957,2025-07-31
1.2054,2.3179,2.58055254,-0.0139877301,2025-08-01
1.2442,2.3567,2.66361661,0.0321884852,2025-08-08
1.2977,2.4102,2.77815084,0.0429995178,2025-08-15
1.3319,2.4444,2.85136712,0.0263543192,2025-08-22
1.3824,2.4949,2.95947887,0.0379157594,2025-08-29
1.3617,2.4742,2.91516375,-0.0149739583,2025-09-05
1.4051,2.5176,3.00807563,0.0318719248,2025-09-12
1.3914,2.5039,2.97874631,-0.0097501957,2025-09-19
1.429,2.5415,3.05924139,0.0270231422,2025-09-26
1.4339,2.5464,3.06973144,0.0034289713,2025-09-30
1.4192,2.5317,3.03826129,-0.0102517609,2025-10-10
1.3795,2.492,2.95327047,-0.0279735062,2025-10-17
1.418,2.5305,3.0356923,0.0279086626,2025-10-24
1.4398,2.5523,3.08236232,0.0153737659,2025-10-31
1.4378,2.5503,3.07808067,-0.0013890818,2025-11-07
1.4243,2.5368,3.04917951,-0.0093893448,2025-11-14
1.3798,2.4923,2.95391272,-0.0312434178,2025-11-21
1.3879,2.5004,2.97125341,0.005870416,2025-11-28
1.3878,2.5003,2.97103933,-7.20513e-05,2025-12-05
1.4161,2.5286,3.03162473,0.0203919873,2025-12-12
1.3775,2.49,2.94898882,-0.027257962,2025-12-19
1.4585,2.571,3.12239578,0.0588021779,2025-12-26
1.4642,2.5767,3.13459849,0.0039081248,2025-12-31
1.6172,2.7297,3.46214498,0.1044939216,2026-01-09
1.6484,2.7609,3.52893878,0.0192926045,2026-01-16
1.1,2.7621,3.53150777,0.0007279786,2026-01-23
1.0609,2.723,3.40597872,-0.0355454545,2026-01-30
1.0383,2.7004,3.33342229,-0.0213026675,2026-02-06
1.0565,2.7186,3.39185269,0.0175286526,2026-02-13
1.0799,2.742,3.46697749,0.0221486039,2026-02-27
1.0662,2.7283,3.42299417,-0.0126863598,2026-03-06
1.0577,2.7198,3.39570524,-0.0079722379,2026-03-13
1.0506,2.7127,3.37291097,-0.0067126785,2026-03-20
1.0494,2.7115,3.36905841,-0.0011422045,2026-03-27
1.0499,2.712,3.37066364,0.0004764627,2026-04-03
1.1012,2.7633,3.53536032,0.0488617964,2026-04-10
1.2236,2.8857,3.92832082,0.1111514711,2026-04-17
1.2473,2.9094,4.00440876,0.0193690749,2026-04-24
1.2775,2.9396,4.1013647,0.0242122986,2026-04-30
1.3391,3.0012,4.29912914,0.0482191781,2026-05-08
1.3555,3.0176,4.35178071,0.0122470316,2026-05-15
1.3872,3.0493,4.45355234,0.0233862044,2026-05-22
