nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-04-01
1.0,1.0,1.0,0.0,2019-04-02
1.0,1.0,1.0,0.0,2019-04-03
1.0,1.0,1.0,0.0,2019-04-04
1.0,1.0,1.0,0.0,2019-04-08
1.0,1.0,1.0,0.0,2019-04-09
1.0,1.0,1.0,0.0,2019-04-10
1.0,1.0,1.0,0.0,2019-04-11
1.0,1.0,1.0,0.0,2019-04-12
1.0,1.0,1.0,0.0,2019-04-15
1.0,1.0,1.0,0.0,2019-04-16
0.999,0.999,0.999,-0.001,2019-04-17
0.999,0.999,0.999,0.0,2019-04-18
1.0,1.0,1.0,0.001001001,2019-04-19
0.999,0.999,0.999,-0.001,2019-04-22
0.999,0.999,0.999,0.0,2019-04-23
0.999,0.999,0.999,0.0,2019-04-24
0.996,0.996,0.996,-0.003003003,2019-04-25
0.994,0.994,0.994,-0.0020080321,2019-04-26
0.994,0.994,0.994,0.0,2019-04-29
0.997,0.997,0.997,0.0030181087,2019-04-30
0.991,0.991,0.991,-0.0060180542,2019-05-06
0.994,0.994,0.994,0.0030272452,2019-05-07
0.994,0.994,0.994,0.0,2019-05-08
0.992,0.992,0.992,-0.0020120724,2019-05-09
0.998,0.998,0.998,0.0060483871,2019-05-10
0.996,0.996,0.996,-0.002004008,2019-05-13
0.998,0.998,0.998,0.0020080321,2019-05-14
1.002,1.002,1.002,0.004008016,2019-05-15
1.004,1.004,1.004,0.001996008,2019-05-16
0.998,0.998,0.998,-0.0059760956,2019-05-17
0.996,0.996,0.996,-0.002004008,2019-05-20
0.999,0.999,0.999,0.0030120482,2019-05-21
0.999,0.999,0.999,0.0,2019-05-22
0.997,0.997,0.997,-0.002002002,2019-05-23
0.996,0.996,0.996,-0.001003009,2019-05-24
0.998,0.998,0.998,0.0020080321,2019-05-27
0.998,0.998,0.998,0.0,2019-05-28
0.998,0.998,0.998,0.0,2019-05-29
0.997,0.997,0.997,-0.001002004,2019-05-30
0.997,0.997,0.997,0.0,2019-05-31
0.996,0.996,0.996,-0.001003009,2019-06-03
0.993,0.993,0.993,-0.0030120482,2019-06-04
0.992,0.992,0.992,-0.0010070493,2019-06-05
0.989,0.989,0.989,-0.0030241935,2019-06-06
0.991,0.991,0.991,0.0020222447,2019-06-10
0.997,0.997,0.997,0.0060544904,2019-06-11
0.996,0.996,0.996,-0.001003009,2019-06-12
0.996,0.996,0.996,0.0,2019-06-13
0.994,0.994,0.994,-0.0020080321,2019-06-14
0.993,0.993,0.993,-0.0010060362,2019-06-17
0.992,0.992,0.992,-0.0010070493,2019-06-18
0.995,0.995,0.995,0.0030241935,2019-06-19
1.0,1.0,1.0,0.0050251256,2019-06-20
1.004,1.004,1.004,0.004,2019-06-21
1.004,1.004,1.004,0.0,2019-06-24
0.999,0.999,0.999,-0.0049800797,2019-06-25
1.0,1.0,1.0,0.001001001,2019-06-26
1.003,1.003,1.003,0.003,2019-06-27
1.003,1.003,1.003,0.0,2019-06-28
1.01,1.01,1.01,0.0069790628,2019-07-01
1.011,1.011,1.011,0.000990099,2019-07-02
1.01,1.01,1.01,-0.0009891197,2019-07-03
1.011,1.011,1.011,0.000990099,2019-07-04
1.011,1.011,1.011,0.0,2019-07-05
1.006,1.006,1.006,-0.0049455984,2019-07-08
1.006,1.006,1.006,0.0,2019-07-09
1.004,1.004,1.004,-0.0019880716,2019-07-10
1.004,1.004,1.004,0.0,2019-07-11
1.006,1.006,1.006,0.0019920319,2019-07-12
1.006,1.006,1.006,0.0,2019-07-15
1.007,1.007,1.007,0.0009940358,2019-07-16
1.009,1.009,1.009,0.0019860973,2019-07-17
1.01,1.01,1.01,0.0009910803,2019-07-18
1.007,1.007,1.007,-0.002970297,2019-07-19
1.004,1.004,1.004,-0.002979146,2019-07-22
1.006,1.006,1.006,0.0019920319,2019-07-23
1.007,1.007,1.007,0.0009940358,2019-07-24
1.009,1.009,1.009,0.0019860973,2019-07-25
1.011,1.011,1.011,0.0019821606,2019-07-26
1.011,1.011,1.011,0.0,2019-07-29
1.014,1.014,1.014,0.0029673591,2019-07-30
1.014,1.014,1.014,0.0,2019-07-31
1.011,1.011,1.011,-0.0029585799,2019-08-01
1.009,1.009,1.009,-0.0019782394,2019-08-02
1.006,1.006,1.006,-0.0029732408,2019-08-05
1.003,1.003,1.003,-0.0029821074,2019-08-06
1.005,1.005,1.005,0.0019940179,2019-08-07
1.006,1.006,1.006,0.0009950249,2019-08-08
1.004,1.004,1.004,-0.0019880716,2019-08-09
1.007,1.007,1.007,0.0029880478,2019-08-12
1.005,1.005,1.005,-0.0019860973,2019-08-13
1.005,1.005,1.005,0.0,2019-08-14
1.006,1.006,1.006,0.0009950249,2019-08-15
1.007,1.007,1.007,0.0009940358,2019-08-16
1.014,1.014,1.014,0.0069513406,2019-08-19
1.014,1.014,1.014,0.0,2019-08-20
1.014,1.014,1.014,0.0,2019-08-21
1.014,1.014,1.014,0.0,2019-08-22
1.016,1.016,1.016,0.0019723866,2019-08-23
1.014,1.014,1.014,-0.0019685039,2019-08-26
1.019,1.019,1.019,0.0049309665,2019-08-27
1.021,1.021,1.021,0.0019627085,2019-08-28
1.02,1.02,1.02,-0.0009794319,2019-08-29
1.021,1.021,1.021,0.0009803922,2019-08-30
1.025,1.025,1.025,0.0039177277,2019-09-02
1.027,1.027,1.027,0.0019512195,2019-09-03
1.03,1.03,1.03,0.0029211295,2019-09-04
1.033,1.033,1.033,0.0029126214,2019-09-05
1.034,1.034,1.034,0.0009680542,2019-09-06
1.04,1.04,1.04,0.0058027079,2019-09-09
1.039,1.039,1.039,-0.0009615385,2019-09-10
1.037,1.037,1.037,-0.0019249278,2019-09-11
1.038,1.038,1.038,0.0009643202,2019-09-12
1.038,1.038,1.038,0.0,2019-09-16
1.03,1.03,1.03,-0.0077071291,2019-09-17
1.03,1.03,1.03,0.0,2019-09-18
1.033,1.033,1.033,0.0029126214,2019-09-19
1.035,1.035,1.035,0.0019361084,2019-09-20
1.033,1.033,1.033,-0.0019323671,2019-09-23
1.034,1.034,1.034,0.0009680542,2019-09-24
1.031,1.031,1.031,-0.002901354,2019-09-25
1.027,1.027,1.027,-0.0038797284,2019-09-26
1.029,1.029,1.029,0.0019474197,2019-09-27
1.028,1.028,1.028,-0.0009718173,2019-09-30
1.03,1.03,1.03,0.0019455253,2019-10-08
1.033,1.033,1.033,0.0029126214,2019-10-09
1.036,1.036,1.036,0.0029041626,2019-10-10
1.039,1.039,1.039,0.0028957529,2019-10-11
1.043,1.043,1.043,0.0038498556,2019-10-14
1.04,1.04,1.04,-0.0028763183,2019-10-15
1.04,1.04,1.04,0.0,2019-10-16
1.039,1.039,1.039,-0.0009615385,2019-10-17
1.036,1.036,1.036,-0.0028873917,2019-10-18
1.036,1.036,1.036,0.0,2019-10-21
1.037,1.037,1.037,0.000965251,2019-10-22
1.036,1.036,1.036,-0.0009643202,2019-10-23
1.034,1.034,1.034,-0.0019305019,2019-10-24
1.036,1.036,1.036,0.001934236,2019-10-25
1.047,1.047,1.047,0.0106177606,2019-10-28
1.046,1.046,1.046,-0.0009551098,2019-10-29
1.042,1.042,1.042,-0.0038240918,2019-10-30
1.04,1.04,1.04,-0.0019193858,2019-10-31
1.046,1.046,1.046,0.0057692308,2019-11-01
1.048,1.048,1.048,0.0019120459,2019-11-04
1.051,1.051,1.051,0.0028625954,2019-11-05
1.05,1.05,1.05,-0.0009514748,2019-11-06
1.054,1.054,1.054,0.0038095238,2019-11-07
1.053,1.053,1.053,-0.0009487666,2019-11-08
1.047,1.047,1.047,-0.0056980057,2019-11-11
1.047,1.047,1.047,0.0,2019-11-12
1.046,1.046,1.046,-0.0009551098,2019-11-13
1.046,1.046,1.046,0.0,2019-11-14
1.043,1.043,1.043,-0.0028680688,2019-11-15
1.045,1.045,1.045,0.0019175455,2019-11-18
1.05,1.05,1.05,0.004784689,2019-11-19
1.049,1.049,1.049,-0.000952381,2019-11-20
1.046,1.046,1.046,-0.0028598665,2019-11-21
1.044,1.044,1.044,-0.0019120459,2019-11-22
1.045,1.045,1.045,0.0009578544,2019-11-25
1.046,1.046,1.046,0.0009569378,2019-11-26
1.045,1.045,1.045,-0.0009560229,2019-11-27
1.042,1.042,1.042,-0.0028708134,2019-11-28
1.041,1.041,1.041,-0.0009596929,2019-11-29
1.041,1.041,1.041,0.0,2019-12-02
1.043,1.043,1.043,0.0019212296,2019-12-03
1.043,1.043,1.043,0.0,2019-12-04
1.047,1.047,1.047,0.0038350911,2019-12-05
1.049,1.049,1.049,0.0019102197,2019-12-06
1.05,1.05,1.05,0.0009532888,2019-12-09
1.052,1.052,1.052,0.0019047619,2019-12-10
1.053,1.053,1.053,0.0009505703,2019-12-11
1.053,1.053,1.053,0.0,2019-12-12
1.059,1.059,1.059,0.0056980057,2019-12-13
1.064,1.064,1.064,0.0047214353,2019-12-16
1.07,1.07,1.07,0.0056390977,2019-12-17
1.071,1.071,1.071,0.0009345794,2019-12-18
1.071,1.071,1.071,0.0,2019-12-19
