nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-02-10
1.0,1.0,1.0,0.0,2021-02-18
1.0,1.0,1.0,0.0,2021-02-19
1.0,1.0,1.0,0.0,2021-02-22
1.0,1.0,1.0,0.0,2021-02-23
1.0,1.0,1.0,0.0,2021-02-24
1.0,1.0,1.0,0.0,2021-02-25
1.0,1.0,1.0,0.0,2021-02-26
1.0,1.0,1.0,0.0,2021-03-01
1.0,1.0,1.0,0.0,2021-03-02
1.0,1.0,1.0,0.0,2021-03-03
1.0,1.0,1.0,0.0,2021-03-04
0.999,0.999,0.999,-0.001,2021-03-05
0.999,0.999,0.999,0.0,2021-03-08
0.999,0.999,0.999,0.0,2021-03-09
0.997,0.997,0.997,-0.002002002,2021-03-10
0.997,0.997,0.997,0.0,2021-03-11
0.999,0.999,0.999,0.0020060181,2021-03-12
0.999,0.999,0.999,0.0,2021-03-15
0.999,0.999,0.999,0.0,2021-03-16
0.999,0.999,0.999,0.0,2021-03-17
0.999,0.999,0.999,0.0,2021-03-18
0.997,0.997,0.997,-0.002002002,2021-03-19
0.998,0.998,0.998,0.001003009,2021-03-22
0.998,0.998,0.998,0.0,2021-03-23
0.998,0.998,0.998,0.0,2021-03-24
0.998,0.998,0.998,0.0,2021-03-25
0.998,0.998,0.998,0.0,2021-03-26
0.998,0.998,0.998,0.0,2021-03-29
0.998,0.998,0.998,0.0,2021-03-30
0.997,0.997,0.997,-0.001002004,2021-03-31
0.998,0.998,0.998,0.001003009,2021-04-01
0.999,0.999,0.999,0.001002004,2021-04-02
0.999,0.999,0.999,0.0,2021-04-06
1.001,1.001,1.001,0.002002002,2021-04-07
1.001,1.001,1.001,0.0,2021-04-08
0.999,0.999,0.999,-0.001998002,2021-04-09
0.999,0.999,0.999,0.0,2021-04-12
1.0,1.0,1.0,0.001001001,2021-04-13
0.999,0.999,0.999,-0.001,2021-04-14
0.999,0.999,0.999,0.0,2021-04-15
0.999,0.999,0.999,0.0,2021-04-16
0.999,0.999,0.999,0.0,2021-04-19
1.0,1.0,1.0,0.001001001,2021-04-20
1.0,1.0,1.0,0.0,2021-04-21
1.0,1.0,1.0,0.0,2021-04-22
1.001,1.001,1.001,0.001,2021-04-23
1.001,1.001,1.001,0.0,2021-04-26
1.001,1.001,1.001,0.0,2021-04-27
1.0,1.0,1.0,-0.000999001,2021-04-28
1.001,1.001,1.001,0.001,2021-04-29
1.001,1.001,1.001,0.0,2021-04-30
1.004,1.004,1.004,0.002997003,2021-05-06
1.004,1.004,1.004,0.0,2021-05-07
1.004,1.004,1.004,0.0,2021-05-10
1.005,1.005,1.005,0.0009960159,2021-05-11
1.006,1.006,1.006,0.0009950249,2021-05-12
1.006,1.006,1.006,0.0,2021-05-13
1.006,1.006,1.006,0.0,2021-05-14
1.006,1.006,1.006,0.0,2021-05-17
1.006,1.006,1.006,0.0,2021-05-18
1.008,1.008,1.008,0.0019880716,2021-05-19
1.009,1.009,1.009,0.0009920635,2021-05-20
1.007,1.007,1.007,-0.0019821606,2021-05-21
1.008,1.008,1.008,0.0009930487,2021-05-24
1.008,1.008,1.008,0.0,2021-05-25
1.01,1.01,1.01,0.001984127,2021-05-26
1.01,1.01,1.01,0.0,2021-05-27
1.011,1.011,1.011,0.000990099,2021-05-28
1.011,1.011,1.011,0.0,2021-05-31
1.011,1.011,1.011,0.0,2021-06-01
1.011,1.011,1.011,0.0,2021-06-02
1.011,1.011,1.011,0.0,2021-06-03
1.011,1.011,1.011,0.0,2021-06-04
1.011,1.011,1.011,0.0,2021-06-07
1.011,1.011,1.011,0.0,2021-06-08
1.01,1.01,1.01,-0.0009891197,2021-06-09
1.01,1.01,1.01,0.0,2021-06-10
1.01,1.01,1.01,0.0,2021-06-11
1.01,1.01,1.01,0.0,2021-06-15
1.007,1.007,1.007,-0.002970297,2021-06-16
1.007,1.007,1.007,0.0,2021-06-17
1.008,1.008,1.008,0.0009930487,2021-06-18
1.008,1.008,1.008,0.0,2021-06-21
1.009,1.009,1.009,0.0009920635,2021-06-22
1.009,1.009,1.009,0.0,2021-06-23
1.01,1.01,1.01,0.0009910803,2021-06-24
1.011,1.011,1.011,0.000990099,2021-06-25
1.011,1.011,1.011,0.0,2021-06-28
1.011,1.011,1.011,0.0,2021-06-29
1.012,1.012,1.012,0.0009891197,2021-06-30
1.012,1.012,1.012,0.0,2021-07-01
1.009,1.009,1.009,-0.0029644269,2021-07-02
1.009,1.009,1.009,0.0,2021-07-05
1.01,1.01,1.01,0.0009910803,2021-07-06
1.012,1.012,1.012,0.001980198,2021-07-07
1.013,1.013,1.013,0.0009881423,2021-07-08
1.014,1.014,1.014,0.0009871668,2021-07-09
1.013,1.013,1.013,-0.0009861933,2021-07-12
1.015,1.015,1.015,0.0019743337,2021-07-13
1.017,1.017,1.017,0.0019704433,2021-07-14
1.017,1.017,1.017,0.0,2021-07-15
1.018,1.018,1.018,0.0009832842,2021-07-16
1.018,1.018,1.018,0.0,2021-07-19
1.018,1.018,1.018,0.0,2021-07-20
1.021,1.021,1.021,0.0029469548,2021-07-21
1.022,1.022,1.022,0.0009794319,2021-07-22
1.022,1.022,1.022,0.0,2021-07-23
1.023,1.023,1.023,0.0009784736,2021-07-26
1.024,1.024,1.024,0.0009775171,2021-07-27
1.016,1.016,1.016,-0.0078125,2021-07-28
1.016,1.016,1.016,0.0,2021-07-29
1.019,1.019,1.019,0.0029527559,2021-07-30
1.021,1.021,1.021,0.0019627085,2021-08-02
1.022,1.022,1.022,0.0009794319,2021-08-03
1.023,1.023,1.023,0.0009784736,2021-08-04
1.024,1.024,1.024,0.0009775171,2021-08-05
1.025,1.025,1.025,0.0009765625,2021-08-06
1.025,1.025,1.025,0.0,2021-08-09
1.024,1.024,1.024,-0.0009756098,2021-08-10
1.026,1.026,1.026,0.001953125,2021-08-11
1.026,1.026,1.026,0.0,2021-08-12
1.027,1.027,1.027,0.0009746589,2021-08-13
1.027,1.027,1.027,0.0,2021-08-16
1.027,1.027,1.027,0.0,2021-08-17
1.024,1.024,1.024,-0.0029211295,2021-08-18
1.025,1.025,1.025,0.0009765625,2021-08-19
1.024,1.024,1.024,-0.0009756098,2021-08-20
1.024,1.024,1.024,0.0,2021-08-23
1.024,1.024,1.024,0.0,2021-08-24
1.028,1.028,1.028,0.00390625,2021-08-25
1.029,1.029,1.029,0.0009727626,2021-08-26
1.027,1.027,1.027,-0.0019436346,2021-08-27
1.028,1.028,1.028,0.0009737098,2021-08-30
1.028,1.028,1.028,0.0,2021-08-31
1.028,1.028,1.028,0.0,2021-09-01
1.029,1.029,1.029,0.0009727626,2021-09-02
1.029,1.029,1.029,0.0,2021-09-03
1.031,1.031,1.031,0.0019436346,2021-09-06
1.033,1.033,1.033,0.0019398642,2021-09-07
1.034,1.034,1.034,0.0009680542,2021-09-08
1.035,1.035,1.035,0.000967118,2021-09-09
1.035,1.035,1.035,0.0,2021-09-10
1.035,1.035,1.035,0.0,2021-09-13
1.032,1.032,1.032,-0.0028985507,2021-09-14
1.032,1.032,1.032,0.0,2021-09-15
1.031,1.031,1.031,-0.0009689922,2021-09-16
1.03,1.03,1.03,-0.0009699321,2021-09-17
1.03,1.03,1.03,0.0,2021-09-22
1.032,1.032,1.032,0.0019417476,2021-09-23
1.032,1.032,1.032,0.0,2021-09-24
1.031,1.031,1.031,-0.0009689922,2021-09-27
1.031,1.031,1.031,0.0,2021-09-28
1.03,1.03,1.03,-0.0009699321,2021-09-29
1.032,1.032,1.032,0.0019417476,2021-10-08
1.033,1.033,1.033,0.0009689922,2021-10-11
1.033,1.033,1.033,0.0,2021-10-12
1.033,1.033,1.033,0.0,2021-10-13
1.033,1.033,1.033,0.0,2021-10-14
1.033,1.033,1.033,0.0,2021-10-15
1.033,1.033,1.033,0.0,2021-10-18
1.033,1.033,1.033,0.0,2021-10-19
1.032,1.032,1.032,-0.0009680542,2021-10-20
1.033,1.033,1.033,0.0009689922,2021-10-21
1.033,1.033,1.033,0.0,2021-10-22
1.033,1.033,1.033,0.0,2021-10-25
1.033,1.033,1.033,0.0,2021-10-26
1.033,1.033,1.033,0.0,2021-10-27
1.033,1.033,1.033,0.0,2021-10-28
1.034,1.034,1.034,0.0009680542,2021-10-29
1.035,1.035,1.035,0.000967118,2021-11-01
1.036,1.036,1.036,0.0009661836,2021-11-02
1.036,1.036,1.036,0.0,2021-11-03
1.036,1.036,1.036,0.0,2021-11-04
1.037,1.037,1.037,0.000965251,2021-11-05
1.038,1.038,1.038,0.0009643202,2021-11-08
1.039,1.039,1.039,0.0009633911,2021-11-09
1.038,1.038,1.038,-0.0009624639,2021-11-10
1.039,1.039,1.039,0.0009633911,2021-11-11
1.039,1.039,1.039,0.0,2021-11-12
1.039,1.039,1.039,0.0,2021-11-15
1.039,1.039,1.039,0.0,2021-11-16
1.039,1.039,1.039,0.0,2021-11-17
1.039,1.039,1.039,0.0,2021-11-18
1.04,1.04,1.04,0.0009624639,2021-11-19
1.041,1.041,1.041,0.0009615385,2021-11-22
1.041,1.041,1.041,0.0,2021-11-23
1.041,1.041,1.041,0.0,2021-11-24
1.041,1.041,1.041,0.0,2021-11-25
1.04,1.04,1.04,-0.0009606148,2021-11-26
1.042,1.042,1.042,0.0019230769,2021-11-29
1.043,1.043,1.043,0.0009596929,2021-11-30
1.043,1.043,1.043,0.0,2021-12-01
1.042,1.042,1.042,-0.0009587728,2021-12-02
1.043,1.043,1.043,0.0009596929,2021-12-03
1.041,1.041,1.041,-0.0019175455,2021-12-06
1.04,1.04,1.04,-0.0009606148,2021-12-07
1.041,1.041,1.041,0.0009615385,2021-12-08
1.041,1.041,1.041,0.0,2021-12-09
1.042,1.042,1.042,0.0009606148,2021-12-10
1.042,1.042,1.042,0.0,2021-12-13
1.043,1.043,1.043,0.0009596929,2021-12-14
1.042,1.042,1.042,-0.0009587728,2021-12-15
1.044,1.044,1.044,0.0019193858,2021-12-16
1.042,1.042,1.042,-0.0019157088,2021-12-17
1.04,1.04,1.04,-0.0019193858,2021-12-20
1.041,1.041,1.041,0.0009615385,2021-12-21
1.041,1.041,1.041,0.0,2021-12-22
1.042,1.042,1.042,0.0009606148,2021-12-23
1.043,1.043,1.043,0.0009596929,2021-12-24
1.042,1.042,1.042,-0.0009587728,2021-12-27
1.043,1.043,1.043,0.0009596929,2021-12-28
1.043,1.043,1.043,0.0,2021-12-29
1.044,1.044,1.044,0.0009587728,2021-12-30
1.045,1.045,1.045,0.0009578544,2021-12-31
1.046,1.046,1.046,0.0009569378,2022-01-04
1.045,1.045,1.045,-0.0009560229,2022-01-05
1.044,1.044,1.044,-0.0009569378,2022-01-06
1.043,1.043,1.043,-0.0009578544,2022-01-07
1.044,1.044,1.044,0.0009587728,2022-01-10
1.044,1.044,1.044,0.0,2022-01-11
1.045,1.045,1.045,0.0009578544,2022-01-12
1.045,1.045,1.045,0.0,2022-01-13
1.044,1.044,1.044,-0.0009569378,2022-01-14
1.044,1.044,1.044,0.0,2022-01-17
1.045,1.045,1.045,0.0009578544,2022-01-18
1.046,1.046,1.046,0.0009569378,2022-01-19
1.047,1.047,1.047,0.0009560229,2022-01-20
1.045,1.045,1.045,-0.0019102197,2022-01-21
1.046,1.046,1.046,0.0009569378,2022-01-24
1.044,1.044,1.044,-0.0019120459,2022-01-25
1.043,1.043,1.043,-0.0009578544,2022-01-26
1.042,1.042,1.042,-0.0009587728,2022-01-27
1.04,1.04,1.04,-0.0019193858,2022-01-28
1.043,1.043,1.043,0.0028846154,2022-02-07
1.045,1.045,1.045,0.0019175455,2022-02-08
