nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-09-07
1.0,1.0,1.0,0.0,2022-09-09
1.0,1.0,1.0,0.0,2022-09-16
0.996,0.996,0.996,-0.004,2022-09-23
0.937,0.937,0.937,-0.0592369478,2022-09-30
0.945,0.945,0.945,0.0085378869,2022-10-14
0.96,0.96,0.96,0.0158730159,2022-10-21
0.934,0.934,0.934,-0.0270833333,2022-10-28
0.897,0.897,0.897,-0.039614561,2022-10-31
0.935,0.935,0.935,0.0423634337,2022-11-04
0.955,0.955,0.955,0.0213903743,2022-11-11
0.954,0.954,0.954,-0.0010471204,2022-11-18
0.983,0.983,0.983,0.0303983229,2022-11-25
1.001,1.001,1.001,0.018311292,2022-11-30
0.995,0.995,0.995,-0.005994006,2022-12-02
0.989,0.989,0.989,-0.0060301508,2022-12-09
0.995,0.995,0.995,0.0060667341,2022-12-16
0.971,0.971,0.971,-0.024120603,2022-12-23
0.987,0.987,0.987,0.0164778579,2022-12-30
0.998,0.998,0.998,0.0111448835,2023-01-06
1.028,1.028,1.028,0.0300601202,2023-01-13
1.066,1.066,1.066,0.0369649805,2023-01-20
1.073,1.073,1.073,0.0065666041,2023-01-31
1.056,1.056,1.056,-0.0158434296,2023-02-03
1.048,1.048,1.048,-0.0075757576,2023-02-10
1.038,1.038,1.038,-0.0095419847,2023-02-17
1.05,1.05,1.05,0.0115606936,2023-02-24
1.043,1.043,1.043,-0.0066666667,2023-02-28
1.106,1.106,1.106,0.0604026846,2023-03-03
1.077,1.077,1.077,-0.0262206148,2023-03-10
1.093,1.093,1.093,0.0148560817,2023-03-17
1.068,1.068,1.068,-0.0228728271,2023-03-24
1.129,1.129,1.129,0.0571161049,2023-03-31
1.167,1.167,1.167,0.0336581045,2023-04-07
1.247,1.247,1.247,0.0685518423,2023-04-14
1.292,1.292,1.292,0.0360866079,2023-04-21
1.383,1.383,1.383,0.0704334365,2023-04-28
1.425,1.425,1.425,0.0303687636,2023-05-05
1.379,1.379,1.379,-0.0322807018,2023-05-12
1.399,1.399,1.399,0.0145032632,2023-05-19
1.327,1.327,1.327,-0.0514653324,2023-05-26
1.319,1.319,1.319,-0.006028636,2023-05-31
1.374,1.374,1.374,0.0416982563,2023-06-02
1.441,1.441,1.441,0.0487627365,2023-06-09
1.44,1.44,1.44,-0.0006939625,2023-06-16
1.416,1.416,1.416,-0.0166666667,2023-06-21
1.419,1.419,1.419,0.0021186441,2023-06-30
1.434,1.434,1.434,0.0105708245,2023-07-07
1.53,1.53,1.53,0.0669456067,2023-07-14
1.511,1.511,1.511,-0.0124183007,2023-07-21
1.566,1.566,1.566,0.0363997353,2023-07-28
1.586,1.586,1.586,0.0127713921,2023-07-31
1.537,1.537,1.537,-0.0308953342,2023-08-04
1.521,1.521,1.521,-0.0104098894,2023-08-11
1.475,1.475,1.475,-0.030243261,2023-08-18
1.474,1.474,1.474,-0.0006779661,2023-08-25
1.492,1.492,1.492,0.0122116689,2023-08-31
1.498,1.498,1.498,0.0040214477,2023-09-01
1.553,1.553,1.553,0.0367156208,2023-09-08
1.58,1.58,1.58,0.0173857051,2023-09-15
1.58,1.58,1.58,0.0,2023-09-22
1.578,1.578,1.578,-0.0012658228,2023-09-28
1.515,1.515,1.515,-0.0399239544,2023-10-13
1.504,1.504,1.504,-0.0072607261,2023-10-20
1.471,1.471,1.471,-0.0219414894,2023-10-27
1.434,1.434,1.434,-0.0251529572,2023-10-31
1.455,1.455,1.455,0.0146443515,2023-11-03
1.394,1.394,1.394,-0.0419243986,2023-11-10
1.403,1.403,1.403,0.006456241,2023-11-17
1.386,1.386,1.386,-0.0121168924,2023-11-24
1.403,1.403,1.403,0.0122655123,2023-11-30
1.4,1.4,1.4,-0.0021382751,2023-12-01
1.376,1.376,1.376,-0.0171428571,2023-12-08
1.39,1.39,1.39,0.0101744186,2023-12-15
1.414,1.414,1.414,0.0172661871,2023-12-22
1.455,1.455,1.455,0.0289957567,2023-12-29
1.521,1.521,1.521,0.0453608247,2024-01-05
1.506,1.506,1.506,-0.0098619329,2024-01-12
1.468,1.468,1.468,-0.0252324037,2024-01-19
1.606,1.606,1.606,0.0940054496,2024-01-26
1.591,1.591,1.591,-0.0093399751,2024-01-31
1.591,1.591,1.591,0.0,2024-02-02
1.605,1.605,1.605,0.0087994972,2024-02-08
1.75,1.75,1.75,0.0903426791,2024-02-23
1.741,1.741,1.741,-0.0051428571,2024-02-29
1.73,1.73,1.73,-0.0063182079,2024-03-01
1.803,1.803,1.803,0.0421965318,2024-03-08
1.794,1.794,1.794,-0.0049916805,2024-03-15
1.792,1.792,1.792,-0.0011148272,2024-03-22
1.866,1.866,1.866,0.0412946429,2024-03-29
1.963,1.963,1.963,0.051982851,2024-04-03
1.991,1.991,1.991,0.0142638818,2024-04-12
2.031,2.031,2.031,0.0200904068,2024-04-19
2.02,2.02,2.02,-0.0054160512,2024-04-26
1.993,1.993,1.993,-0.0133663366,2024-04-30
2.051,2.051,2.051,0.0291018565,2024-05-10
2.039,2.039,2.039,-0.0058508045,2024-05-17
2.066,2.066,2.066,0.0132417852,2024-05-24
2.116,2.116,2.116,0.0242013553,2024-05-31
2.123,2.123,2.123,0.0033081285,2024-06-07
2.089,2.089,2.089,-0.016015073,2024-06-14
2.166,2.166,2.166,0.0368597415,2024-06-21
2.22,2.22,2.22,0.0249307479,2024-06-28
2.3,2.3,2.3,0.036036036,2024-07-05
2.256,2.256,2.256,-0.0191304348,2024-07-12
2.104,2.104,2.104,-0.0673758865,2024-07-19
2.001,2.001,2.001,-0.0489543726,2024-07-26
2.034,2.034,2.034,0.0164917541,2024-07-31
2.029,2.029,2.029,-0.0024582104,2024-08-02
1.95,1.95,1.95,-0.0389354362,2024-08-09
2.009,2.009,2.009,0.0302564103,2024-08-16
1.971,1.971,1.971,-0.018914883,2024-08-23
2.017,2.017,2.017,0.0233384069,2024-08-30
1.85,1.85,1.85,-0.082796232,2024-09-06
1.818,1.818,1.818,-0.0172972973,2024-09-13
1.825,1.825,1.825,0.003850385,2024-09-20
1.966,1.966,1.966,0.077260274,2024-09-27
