nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.9876,0.9876,0.9876,0.0,2025-06-17
0.9566,0.9566,0.9566,-0.0313892264,2025-06-20
0.9893,0.9893,0.9893,0.0341835668,2025-06-27
0.9846,0.9846,0.9846,-0.0047508339,2025-06-30
0.9882,0.9882,0.9882,0.0036563071,2025-07-04
1.0133,1.0133,1.0133,0.0253997167,2025-07-11
1.0315,1.0315,1.0315,0.0179611171,2025-07-18
1.0928,1.0928,1.0928,0.0594280175,2025-07-25
1.0503,1.0503,1.0503,-0.0388909224,2025-07-31
1.0488,1.0488,1.0488,-0.0014281634,2025-08-01
1.0865,1.0865,1.0865,0.0359458429,2025-08-08
1.127,1.127,1.127,0.0372756558,2025-08-15
1.1355,1.1355,1.1355,0.0075421473,2025-08-22
1.1131,1.1131,1.1131,-0.0197269925,2025-08-29
1.1446,1.1446,1.1446,0.0282993442,2025-09-05
1.1945,1.1945,1.1945,0.0435960161,2025-09-12
1.1439,1.1439,1.1439,-0.0423608204,2025-09-19
1.2024,1.2024,1.2024,0.051140834,2025-09-26
1.2997,1.2997,1.2997,0.0809214904,2025-09-30
1.0,1.3325,1.3325,0.0252365931,2025-10-10
1.1122,1.4447,1.4820065,0.1122,2025-10-17
1.0941,1.4266,1.45788825,-0.0162740514,2025-10-24
1.0692,1.4017,1.424709,-0.0227584316,2025-10-31
1.06,1.3925,1.41245,-0.0086045642,2025-11-07
1.0967,1.4292,1.46135275,0.0346226415,2025-11-14
1.0377,1.3702,1.38273525,-0.0537977569,2025-11-21
1.0576,1.3901,1.409252,0.0191770261,2025-11-28
1.1162,1.4487,1.4873365,0.055408472,2025-12-05
1.1617,1.4942,1.54796525,0.0407633041,2025-12-12
1.175,1.5075,1.5656875,0.0114487389,2025-12-19
1.4078,1.7403,1.8758935,0.1981276596,2025-12-26
1.3186,1.6511,1.7570345,-0.0633612729,2025-12-31
1.3842,1.7167,1.8444465,0.0497497346,2026-01-09
1.577,1.9095,2.1013525,0.1392862303,2026-01-16
1.578,1.9105,2.102685,0.0006341154,2026-01-23
1.785,2.1175,2.3785125,0.1311787072,2026-01-30
1.7198,2.0523,2.2916335,-0.0365266106,2026-02-06
1.715,2.0475,2.2852375,-0.0027910222,2026-02-13
1.7058,2.0383,2.2729785,-0.0053644315,2026-02-27
1.6653,1.9978,2.21901225,-0.0237425255,2026-03-06
1.6741,2.0066,2.23073825,0.0052843332,2026-03-13
1.6366,1.9691,2.1807695,-0.0224000956,2026-03-20
1.6381,1.9706,2.18276825,0.0009165343,2026-03-27
1.5986,1.9311,2.1301345,-0.024113302,2026-04-03
1.0,1.9444,2.14785675,0.0083197798,2026-04-10
1.0124,1.9568,2.17449017,0.0124,2026-04-17
1.0078,1.9522,2.16461003,-0.0045436586,2026-04-24
0.9952,1.9396,2.13754704,-0.0125024807,2026-04-30
1.0141,1.9585,2.17814153,0.0189911576,2026-05-08
1.0124,1.9568,2.17449017,-0.0016763633,2026-05-15
0.9954,1.9398,2.13797661,-0.0167917819,2026-05-22
