nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-07-18
0.9999,0.9999,0.9999,-0.0001,2022-07-22
0.9997,0.9997,0.9997,-0.00020002,2022-07-29
0.9982,0.9982,0.9982,-0.0015004501,2022-08-05
0.9942,0.9942,0.9942,-0.004007213,2022-08-12
1.0004,1.0004,1.0004,0.0062361698,2022-08-19
0.9794,0.9794,0.9794,-0.0209916034,2022-08-26
0.957,0.957,0.957,-0.0228711456,2022-08-31
0.9513,0.9513,0.9513,-0.0059561129,2022-09-02
0.9516,0.9516,0.9516,0.0003153579,2022-09-09
0.9439,0.9439,0.9439,-0.0080916351,2022-09-16
0.9446,0.9446,0.9446,0.000741604,2022-09-23
0.9454,0.9454,0.9454,0.0008469193,2022-09-30
0.9409,0.9409,0.9409,-0.00475989,2022-10-14
0.9398,0.9398,0.9398,-0.0011690934,2022-10-21
0.9309,0.9309,0.9309,-0.0094701,2022-10-28
0.9279,0.9279,0.9279,-0.0032226877,2022-10-31
0.9315,0.9315,0.9315,0.0038797284,2022-11-04
0.9265,0.9265,0.9265,-0.0053676865,2022-11-11
0.9224,0.9224,0.9224,-0.0044252563,2022-11-18
0.9277,0.9277,0.9277,0.0057458803,2022-11-25
0.9226,0.9226,0.9226,-0.0054974669,2022-11-30
0.9249,0.9249,0.9249,0.0024929547,2022-12-02
0.9282,0.9282,0.9282,0.0035679533,2022-12-09
0.9249,0.9249,0.9249,-0.0035552683,2022-12-16
0.9203,0.9203,0.9203,-0.0049735106,2022-12-23
0.9174,0.9174,0.9174,-0.0031511464,2022-12-30
0.9203,0.9203,0.9203,0.0031611075,2023-01-06
0.9213,0.9213,0.9213,0.0010866022,2023-01-13
0.9298,0.9298,0.9298,0.0092260936,2023-01-20
0.936,0.936,0.936,0.0066681007,2023-01-31
0.9504,0.9504,0.9504,0.0153846154,2023-02-03
0.9407,0.9407,0.9407,-0.010206229,2023-02-10
0.9281,0.9281,0.9281,-0.0133942809,2023-02-17
0.9247,0.9247,0.9247,-0.0036633983,2023-02-24
0.9219,0.9219,0.9219,-0.0030280091,2023-02-28
0.9189,0.9189,0.9189,-0.003254149,2023-03-03
0.9182,0.9182,0.9182,-0.0007617804,2023-03-10
0.9336,0.9336,0.9336,0.0167719451,2023-03-17
0.9365,0.9365,0.9365,0.0031062554,2023-03-24
0.9444,0.9444,0.9444,0.0084356647,2023-03-31
0.9519,0.9519,0.9519,0.0079415502,2023-04-07
0.9495,0.9495,0.9495,-0.0025212732,2023-04-14
0.936,0.936,0.936,-0.0142180095,2023-04-21
0.9416,0.9416,0.9416,0.005982906,2023-04-28
0.9374,0.9374,0.9374,-0.0044604928,2023-05-05
0.9503,0.9503,0.9503,0.0137614679,2023-05-12
0.988,0.988,0.988,0.0396716826,2023-05-19
0.9908,0.9908,0.9908,0.0028340081,2023-05-26
1.0208,1.0208,1.0208,0.0302785628,2023-05-31
1.0287,1.0287,1.0287,0.0077390282,2023-06-02
1.0355,1.0355,1.0355,0.0066102848,2023-06-09
1.0848,1.0848,1.0848,0.0476098503,2023-06-16
1.0698,1.0698,1.0698,-0.0138274336,2023-06-21
1.0601,1.0601,1.0601,-0.0090671153,2023-06-30
1.0564,1.0564,1.0564,-0.0034902368,2023-07-07
1.0,1.0562,1.0562,-0.0001893222,2023-07-14
0.9779,1.0341,1.03285798,-0.0221,2023-07-21
0.9889,1.0451,1.04447618,0.0112485939,2023-07-28
0.9901,1.0463,1.04574362,0.0012134695,2023-07-31
0.9813,1.0375,1.03644906,-0.0088879911,2023-08-04
0.9753,1.0315,1.03011186,-0.0061143381,2023-08-11
0.9706,1.0268,1.02514772,-0.00481903,2023-08-18
0.9741,1.0303,1.02884442,0.0036060169,2023-08-25
0.991,1.0472,1.0466942,0.0173493481,2023-08-31
0.9883,1.0445,1.04384246,-0.0027245207,2023-09-01
0.9802,1.0364,1.03528724,-0.0081958919,2023-09-08
0.9766,1.0328,1.03148492,-0.0036727199,2023-09-15
0.9628,1.019,1.01690936,-0.0141306574,2023-09-22
0.9598,1.016,1.01374076,-0.0031159119,2023-09-28
0.9674,1.0236,1.02176788,0.0079183163,2023-10-13
0.9586,1.0148,1.01247332,-0.0090965474,2023-10-20
0.9372,0.9934,0.98987064,-0.0223242228,2023-10-27
0.9377,0.9939,0.99039874,0.0005335041,2023-10-31
0.9388,0.995,0.99156056,0.0011730831,2023-11-03
0.9401,0.9963,0.99293362,0.0013847465,2023-11-10
0.945,1.0012,0.998109,0.0052122115,2023-11-17
0.9406,0.9968,0.99346172,-0.0046560847,2023-11-24
0.9403,0.9965,0.99314486,-0.0003189454,2023-11-30
0.9366,0.9928,0.98923692,-0.0039349144,2023-12-01
0.934,0.9902,0.9864908,-0.0027759983,2023-12-08
0.9439,1.0001,0.99694718,0.0105995717,2023-12-15
0.9546,1.0108,1.00824852,0.0113359466,2023-12-22
0.9608,1.017,1.01479696,0.006494867,2023-12-29
0.9411,0.9973,0.99398982,-0.0205037469,2024-01-05
0.9498,1.006,1.00317876,0.0092445011,2024-01-12
0.9739,1.0301,1.02863318,0.0253737629,2024-01-19
0.9915,1.0477,1.0472223,0.0180716706,2024-01-26
0.9985,1.0547,1.0546157,0.0070600101,2024-01-31
0.9951,1.0513,1.05102462,-0.0034051077,2024-02-02
1.0342,1.0904,1.09232204,0.0392925334,2024-02-08
1.0856,1.1418,1.14661072,0.0497002514,2024-02-23
1.0854,1.1416,1.14639948,-0.0001842299,2024-02-29
1.1165,1.1727,1.1792473,0.0286530311,2024-03-01
1.1253,1.1815,1.18854186,0.0078817734,2024-03-08
1.0933,1.1495,1.15474346,-0.0284368613,2024-03-15
1.08,1.1362,1.140696,-0.012165005,2024-03-22
1.0699,1.1261,1.13002838,-0.0093518519,2024-03-29
1.0676,1.1238,1.12759912,-0.0021497336,2024-04-03
1.0741,1.1303,1.13446442,0.0060884226,2024-04-12
1.0734,1.1296,1.13372508,-0.0006517084,2024-04-19
1.0528,1.109,1.11196736,-0.0191913546,2024-04-26
1.056,1.1122,1.1153472,0.0030395137,2024-04-30
1.0589,1.1151,1.11841018,0.0027462121,2024-05-10
1.0545,1.1107,1.1137629,-0.0041552555,2024-05-17
1.1117,1.1679,1.17417754,0.0542437174,2024-05-24
1.1367,1.1929,1.20058254,0.0224880813,2024-05-31
1.1563,1.2125,1.22128406,0.0172428961,2024-06-07
1.1533,1.2095,1.21811546,-0.0025944824,2024-06-14
1.1642,1.2204,1.22962804,0.0094511402,2024-06-21
1.168,1.2242,1.2336416,0.003264044,2024-06-28
1.1734,1.2296,1.23934508,0.0046232877,2024-07-05
1.0,1.217,1.22603696,-0.0107380262,2024-07-12
0.9796,1.1966,1.20102581,-0.0204,2024-07-19
0.9861,1.2031,1.20899505,0.0066353614,2024-07-26
0.9763,1.1933,1.19697988,-0.0099381401,2024-07-31
0.9467,1.1637,1.16068919,-0.0303185496,2024-08-02
0.9421,1.1591,1.15504942,-0.0048589838,2024-08-09
0.9735,1.1905,1.19354698,0.0333297951,2024-08-16
0.9745,1.1915,1.19477302,0.0010272214,2024-08-23
0.9624,1.1794,1.17993797,-0.0124166239,2024-08-30
0.9527,1.1697,1.16804541,-0.0100789692,2024-09-06
0.951,1.168,1.16596115,-0.0017844022,2024-09-13
0.9394,1.1564,1.15173912,-0.0121976866,2024-09-20
1.0002,1.2172,1.22628217,0.0647221631,2024-09-27
1.0783,1.2953,1.32203565,0.0780843831,2024-09-30
1.1528,1.3698,1.41337541,0.0690902346,2024-10-11
1.1761,1.3931,1.44194207,0.0202116586,2024-10-18
1.1845,1.4015,1.45224078,0.0071422498,2024-10-25
1.195,1.412,1.46511417,0.0088644998,2024-10-31
1.1487,1.3657,1.40834866,-0.0387447699,2024-11-01
1.2305,1.4475,1.50863848,0.0712109341,2024-11-08
1.1934,1.4104,1.46315251,-0.0301503454,2024-11-15
1.174,1.391,1.43936739,-0.0162560751,2024-11-22
1.1544,1.3714,1.41533707,-0.0166950596,2024-11-29
1.1917,1.4087,1.46106825,0.0323111573,2024-12-06
1.2061,1.4231,1.47872318,0.0120835781,2024-12-13
1.1994,1.4164,1.47050873,-0.0055550949,2024-12-20
1.2019,1.4189,1.47357382,0.0020843755,2024-12-27
1.1847,1.4017,1.45248599,-0.0143106748,2024-12-31
1.2115,1.4285,1.48534378,0.0226217608,2025-01-03
1.2144,1.4314,1.48889928,0.0023937268,2025-01-10
1.1986,1.4156,1.4695279,-0.0130105402,2025-01-17
1.295,1.512,1.58771786,0.080427165,2025-01-24
1.1706,1.3876,1.43519887,-0.0960617761,2025-01-27
1.2244,1.4414,1.50115965,0.0459593371,2025-02-07
1.3458,1.5628,1.65000054,0.0991506044,2025-02-14
1.0846,1.6016,1.69757077,0.0288304354,2025-02-18
1.0863,1.6033,1.70023154,0.0015673981,2025-02-21
1.0805,1.5975,1.69115363,-0.0053392249,2025-02-28
1.074,1.591,1.6809801,-0.0060157335,2025-03-07
1.0744,1.5914,1.68160616,0.0003724395,2025-03-14
1.0387,1.5557,1.62573001,-0.0332278481,2025-03-21
1.0209,1.5379,1.59787019,-0.0171368056,2025-03-28
0.9927,1.5097,1.55373272,-0.0276226859,2025-03-31
0.9944,1.5114,1.55639349,0.0017125013,2025-04-03
0.9578,1.4748,1.49910869,-0.0368061142,2025-04-11
0.9675,1.4845,1.51429073,0.0101273752,2025-04-18
0.9593,1.4763,1.50145643,-0.0084754522,2025-04-25
0.9566,1.4736,1.4972305,-0.0028145523,2025-04-30
0.9587,1.4757,1.50051734,0.0021952749,2025-05-09
0.9503,1.4673,1.48737,-0.008761865,2025-05-16
0.9462,1.4632,1.48095286,-0.004314427,2025-05-23
0.9423,1.4593,1.47484874,-0.0041217502,2025-05-30
0.9429,1.4599,1.47578783,0.0006367399,2025-06-06
0.9477,1.4647,1.48330059,0.0050906777,2025-06-13
0.9399,1.4569,1.47109236,-0.0082304527,2025-06-20
0.9712,1.4882,1.52008181,0.033301415,2025-06-27
0.9747,1.4917,1.52555987,0.0036037891,2025-06-30
0.969,1.486,1.51663847,-0.0058479532,2025-07-04
0.9833,1.5003,1.53902023,0.0147574819,2025-07-11
0.9928,1.5098,1.55388924,0.0096613445,2025-07-18
0.9901,1.5071,1.54966331,-0.002719581,2025-07-25
1.0105,1.5275,1.58159254,0.0206039794,2025-07-31
0.9923,1.5093,1.55310666,-0.0180108857,2025-08-01
0.9977,1.5147,1.56155851,0.0054419027,2025-08-08
1.0151,1.5321,1.58879227,0.0174401123,2025-08-15
1.0825,1.5995,1.69428394,0.0663973993,2025-08-22
1.0,1.6455,1.76628123,0.0424942263,2025-08-26
1.0021,1.6476,1.76999042,0.0021,2025-08-29
1.0253,1.6708,1.81096814,0.0231513821,2025-09-05
1.0616,1.7071,1.87508415,0.0354042719,2025-09-12
1.0515,1.697,1.85724471,-0.0095139412,2025-09-19
1.0638,1.7093,1.87896997,0.0116975749,2025-09-26
1.0944,1.7399,1.93301818,0.0287648054,2025-09-30
1.063,1.7085,1.87755694,-0.0286915205,2025-10-10
1.0365,1.682,1.83075049,-0.024929445,2025-10-17
1.044,1.6895,1.8439976,0.00723589,2025-10-24
1.0597,1.7052,1.87172822,0.0150383142,2025-10-31
1.071,1.7165,1.89168719,0.0106633953,2025-11-07
1.0647,1.7102,1.88055962,-0.0058823529,2025-11-14
1.0476,1.6931,1.85035621,-0.0160608622,2025-11-21
1.0479,1.6934,1.8508861,0.0002863688,2025-11-28
1.0358,1.6813,1.8295141,-0.0115469033,2025-12-05
1.0169,1.6624,1.79613138,-0.0182467658,2025-12-12
1.0473,1.6928,1.84982633,0.0298947782,2025-12-19
1.0791,1.7246,1.90599407,0.0303637926,2025-12-26
1.0559,1.7014,1.86501635,-0.0214993976,2025-12-31
1.1516,1.7971,2.03404946,0.0906335827,2026-01-09
1.1904,1.8359,2.10258117,0.0336922543,2026-01-16
1.2392,1.8847,2.1887757,0.0409946237,2026-01-23
1.1907,1.8362,2.10311106,-0.0391381536,2026-01-30
1.1371,1.7826,2.00843838,-0.0450155371,2026-02-06
1.1117,1.7572,1.96357484,-0.0223375253,2026-02-13
1.1339,1.7794,2.00278628,0.0199694162,2026-02-27
1.0905,1.736,1.92612968,-0.0382749802,2026-03-06
1.0718,1.7173,1.89310022,-0.0171480972,2026-03-13
1.0552,1.7007,1.86377995,-0.0154879642,2026-03-20
1.0495,1.695,1.85371215,-0.0054018196,2026-03-27
1.0369,1.6824,1.831457,-0.012005717,2026-04-03
1.0592,1.7047,1.87084508,0.0215064133,2026-04-10
1.0921,1.7376,1.92895573,0.0310611782,2026-04-17
1.1218,1.7673,1.98141428,0.0271953118,2026-04-24
1.1413,1.7868,2.01585676,0.0173827777,2026-04-30
1.2106,1.8561,2.13826005,0.0607202313,2026-05-08
1.2135,1.859,2.14338227,0.0023955064,2026-05-15
1.2197,1.8652,2.15433321,0.0051091883,2026-05-22
