nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-11-18
1.0,1.0,1.0,0.0,2021-11-19
0.9997,0.9997,0.9997,-0.0003,2021-11-26
0.9998,0.9998,0.9998,0.00010003,2021-12-03
1.0033,1.0033,1.0033,0.0035007001,2021-12-10
1.002,1.002,1.002,-0.0012957241,2021-12-15
0.9916,0.9916,0.9916,-0.0103792415,2021-12-17
0.9772,0.9772,0.9772,-0.0145219847,2021-12-24
1.0013,1.0013,1.0013,0.0246623005,2021-12-31
0.9317,0.9317,0.9317,-0.0695096375,2022-01-07
0.9198,0.9198,0.9198,-0.0127723516,2022-01-14
0.9287,0.9287,0.9287,0.0096760165,2022-01-17
0.9085,0.9085,0.9085,-0.0217508345,2022-01-21
0.8909,0.8909,0.8909,-0.0193725922,2022-01-28
0.8774,0.8774,0.8774,-0.0151532158,2022-02-11
0.887,0.887,0.887,0.0109414178,2022-02-15
0.892,0.892,0.892,0.0056369786,2022-02-18
0.8964,0.8964,0.8964,0.0049327354,2022-02-25
0.8911,0.8911,0.8911,-0.005912539,2022-03-04
0.8723,0.8723,0.8723,-0.0210975199,2022-03-11
0.8344,0.8344,0.8344,-0.0434483549,2022-03-15
0.8557,0.8557,0.8557,0.025527325,2022-03-18
0.8426,0.8426,0.8426,-0.0153091037,2022-03-25
0.8437,0.8437,0.8437,0.001305483,2022-04-01
0.8226,0.8226,0.8226,-0.0250088894,2022-04-08
0.81,0.81,0.81,-0.0153172867,2022-04-15
0.7976,0.7976,0.7976,-0.015308642,2022-04-22
0.801,0.801,0.801,0.0042627884,2022-04-29
0.7963,0.7963,0.7963,-0.0058676654,2022-05-06
0.7989,0.7989,0.7989,0.0032651011,2022-05-13
0.7995,0.7995,0.7995,0.0007510327,2022-05-16
0.8049,0.8049,0.8049,0.0067542214,2022-05-20
0.8029,0.8029,0.8029,-0.0024847807,2022-05-27
0.8089,0.8089,0.8089,0.0074729107,2022-06-02
0.8217,0.8217,0.8217,0.0158239585,2022-06-10
0.8133,0.8133,0.8133,-0.010222709,2022-06-15
0.8154,0.8154,0.8154,0.002582073,2022-06-17
0.8308,0.8308,0.8308,0.0188864361,2022-06-24
0.8384,0.8384,0.8384,0.0091478093,2022-07-01
0.8283,0.8283,0.8283,-0.0120467557,2022-07-08
0.8163,0.8163,0.8163,-0.0144875045,2022-07-15
0.8195,0.8195,0.8195,0.0039201274,2022-07-22
0.8217,0.8217,0.8217,0.0026845638,2022-07-29
0.8199,0.8199,0.8199,-0.0021905805,2022-08-05
0.8219,0.8219,0.8219,0.0024393219,2022-08-12
0.8294,0.8294,0.8294,0.0091251977,2022-08-15
0.8212,0.8212,0.8212,-0.0098866651,2022-08-19
0.8041,0.8041,0.8041,-0.0208231856,2022-08-26
0.7909,0.7909,0.7909,-0.0164158687,2022-09-02
0.8012,0.8012,0.8012,0.0130231382,2022-09-09
