nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-03-10
1.0,1.0,1.0,0.0,2022-03-11
1.0,1.0,1.0,0.0,2022-03-18
1.0,1.0,1.0,0.0,2022-03-25
1.001,1.001,1.001,0.001,2022-03-31
1.001,1.001,1.001,0.0,2022-04-01
1.001,1.001,1.001,0.0,2022-04-08
1.008,1.008,1.008,0.006993007,2022-04-15
1.003,1.003,1.003,-0.0049603175,2022-04-22
0.96,0.96,0.96,-0.0428713858,2022-04-29
0.951,0.951,0.951,-0.009375,2022-05-06
0.962,0.962,0.962,0.0115667718,2022-05-13
0.96,0.96,0.96,-0.0020790021,2022-05-20
0.954,0.954,0.954,-0.00625,2022-05-27
0.955,0.955,0.955,0.001048218,2022-05-31
0.957,0.957,0.957,0.0020942408,2022-06-02
0.957,0.957,0.957,0.0,2022-06-10
0.958,0.958,0.958,0.0010449321,2022-06-17
0.958,0.958,0.958,0.0,2022-06-24
0.956,0.956,0.956,-0.0020876827,2022-06-30
0.96,0.96,0.96,0.0041841004,2022-07-01
0.979,0.979,0.979,0.0197916667,2022-07-08
0.987,0.987,0.987,0.0081716037,2022-07-15
0.987,0.987,0.987,0.0,2022-07-22
0.985,0.985,0.985,-0.0020263425,2022-07-29
0.995,0.995,0.995,0.0101522843,2022-08-05
1.008,1.008,1.008,0.0130653266,2022-08-12
1.037,1.037,1.037,0.0287698413,2022-08-19
1.039,1.039,1.039,0.0019286403,2022-08-26
1.04,1.04,1.04,0.0009624639,2022-08-31
1.038,1.038,1.038,-0.0019230769,2022-09-02
1.06,1.06,1.06,0.021194605,2022-09-09
1.016,1.016,1.016,-0.041509434,2022-09-16
1.017,1.017,1.017,0.000984252,2022-09-23
1.022,1.022,1.022,0.0049164208,2022-09-30
1.015,1.015,1.015,-0.0068493151,2022-10-14
1.014,1.014,1.014,-0.0009852217,2022-10-21
1.014,1.014,1.014,0.0,2022-10-28
1.014,1.014,1.014,0.0,2022-10-31
1.012,1.012,1.012,-0.0019723866,2022-11-04
1.007,1.007,1.007,-0.0049407115,2022-11-11
1.003,1.003,1.003,-0.0039721946,2022-11-18
1.006,1.006,1.006,0.0029910269,2022-11-25
0.998,0.998,0.998,-0.0079522863,2022-11-30
1.003,1.003,1.003,0.00501002,2022-12-02
1.013,1.013,1.013,0.0099700897,2022-12-09
1.035,1.035,1.035,0.0217176703,2022-12-16
1.034,1.034,1.034,-0.0009661836,2022-12-23
1.043,1.043,1.043,0.0087040619,2022-12-30
1.041,1.041,1.041,-0.0019175455,2023-01-06
1.052,1.052,1.052,0.0105667627,2023-01-13
1.013,1.013,1.013,-0.0370722433,2023-01-20
1.015,1.015,1.015,0.0019743337,2023-01-31
1.007,1.007,1.007,-0.0078817734,2023-02-03
1.02,1.02,1.02,0.0129096326,2023-02-10
1.029,1.029,1.029,0.0088235294,2023-02-17
1.03,1.03,1.03,0.0009718173,2023-02-24
1.032,1.032,1.032,0.0019417476,2023-02-28
1.035,1.035,1.035,0.0029069767,2023-03-03
1.032,1.032,1.032,-0.0028985507,2023-03-10
1.033,1.033,1.033,0.0009689922,2023-03-17
1.034,1.034,1.034,0.0009680542,2023-03-24
1.035,1.035,1.035,0.000967118,2023-03-31
1.038,1.038,1.038,0.0028985507,2023-04-07
1.056,1.056,1.056,0.0173410405,2023-04-14
1.055,1.055,1.055,-0.0009469697,2023-04-21
1.059,1.059,1.059,0.0037914692,2023-04-28
1.061,1.061,1.061,0.0018885741,2023-05-05
1.06,1.06,1.06,-0.0009425071,2023-05-12
1.064,1.064,1.064,0.0037735849,2023-05-19
1.062,1.062,1.062,-0.0018796992,2023-05-26
1.06,1.06,1.06,-0.0018832392,2023-05-31
1.066,1.066,1.066,0.0056603774,2023-06-02
1.069,1.069,1.069,0.0028142589,2023-06-09
1.078,1.078,1.078,0.0084190833,2023-06-16
1.081,1.081,1.081,0.0027829314,2023-06-21
1.086,1.086,1.086,0.0046253469,2023-06-30
1.082,1.082,1.082,-0.0036832413,2023-07-07
1.1,1.1,1.1,0.0166358595,2023-07-14
1.113,1.113,1.113,0.0118181818,2023-07-21
0.997,1.109,1.10865955,-0.0038997736,2023-07-28
0.992,1.104,1.10309957,-0.0050150451,2023-07-31
0.996,1.109,1.10865955,0.0050403226,2023-08-04
0.995,1.108,1.10754312,-0.0010070071,2023-08-11
0.991,1.104,1.10308734,-0.0040231246,2023-08-18
0.985,1.098,1.09641432,-0.0060493992,2023-08-25
0.991,1.104,1.10309299,0.0060913706,2023-08-31
0.996,1.108,1.10754543,0.0040363269,2023-09-01
0.996,1.109,1.10865855,0.0010050251,2023-09-08
0.995,1.107,1.10643232,-0.0020080321,2023-09-15
0.993,1.106,1.1053181,-0.0010070453,2023-09-22
1.002,1.114,1.11421963,0.0080533706,2023-09-28
1.03,1.143,1.14648172,0.0289548729,2023-10-13
1.021,1.133,1.13535841,-0.0097021232,2023-10-20
1.024,1.137,1.13981189,0.0039225336,2023-10-27
1.025,1.138,1.14092173,0.0009736987,2023-10-31
1.031,1.144,1.14760029,0.0058536585,2023-11-03
1.03,1.143,1.14648067,-0.0009756208,2023-11-10
1.035,1.148,1.15204288,0.0048515494,2023-11-17
1.036,1.148,1.15204288,0.0,2023-11-24
1.037,1.149,1.15315597,0.0009661854,2023-11-30
1.036,1.149,1.15315597,0.0,2023-12-01
1.032,1.144,1.14759703,-0.0048206319,2023-12-08
1.033,1.145,1.1487123,0.0009718338,2023-12-15
1.032,1.144,1.14760028,-0.0009680542,2023-12-22
1.029,1.142,1.14537194,-0.0019417385,2023-12-29
1.024,1.137,1.13980971,-0.0048562724,2024-01-05
1.023,1.136,1.13869114,-0.0009813619,2024-01-12
1.001,1.114,1.11423552,-0.0214769601,2024-01-19
1.001,1.114,1.11423552,0.0,2024-01-26
0.962,1.075,1.07086385,-0.0389250389,2024-01-31
0.951,1.063,1.05751861,-0.0124621263,2024-02-02
0.943,1.056,1.04973457,-0.007360673,2024-02-08
0.942,1.054,1.04750819,-0.0021208908,2024-02-23
0.944,1.057,1.05084539,0.0031858391,2024-02-29
0.945,1.057,1.05084539,0.0,2024-03-01
0.963,1.076,1.07198993,0.0201214595,2024-03-08
0.966,1.079,1.07532369,0.0031098788,2024-03-15
0.968,1.081,1.07754773,0.0020682523,2024-03-22
0.97,1.083,1.07977407,0.0020661157,2024-03-29
0.973,1.086,1.08311013,0.0030895984,2024-04-03
0.982,1.094,1.09201546,0.0082219938,2024-04-12
0.979,1.091,1.08867936,-0.0030549898,2024-04-19
0.98,1.093,1.09090456,0.0020439443,2024-04-26
0.979,1.092,1.08978683,-0.0010245902,2024-04-30
0.989,1.102,1.10091395,0.0102103608,2024-05-10
0.998,1.111,1.11092564,0.0090939793,2024-05-17
0.997,1.11,1.10981249,-0.001002004,2024-05-24
1.001,1.114,1.11426398,0.0040110301,2024-05-31
0.995,1.107,1.1064719,-0.006993023,2024-06-07
1.01,1.123,1.12426888,0.0160844381,2024-06-14
1.019,1.132,1.13428164,0.0089060138,2024-06-21
1.02,1.132,1.13427836,-2.8911e-06,2024-06-28
1.022,1.134,1.13649811,0.0019569696,2024-07-05
1.025,1.138,1.1409506,0.0039177277,2024-07-12
1.025,1.137,1.13983747,-0.0009756098,2024-07-19
1.024,1.137,1.13983747,0.0,2024-07-26
1.013,1.125,1.12649411,-0.0117063764,2024-07-31
1.012,1.125,1.12649191,-1.9471e-06,2024-08-02
1.014,1.127,1.12870587,0.0019653517,2024-08-09
1.028,1.14,1.14317645,0.0128205128,2024-08-16
1.026,1.138,1.14095238,-0.0019455253,2024-08-23
1.024,1.137,1.13984034,-0.0009746589,2024-08-30
1.02,1.133,1.13538455,-0.0039091279,2024-09-06
1.025,1.138,1.1409469,0.0048990857,2024-09-13
1.027,1.14,1.14317314,0.0019512195,2024-09-20
1.025,1.138,1.14095234,-0.0019426605,2024-09-27
1.051,1.163,1.16878045,0.0243902439,2024-09-30
1.025,1.137,1.13985199,-0.0247509807,2024-10-11
1.033,1.146,1.14985828,0.0087785879,2024-10-18
1.037,1.15,1.15430756,0.0038694163,2024-10-25
1.036,1.148,1.15208131,-0.0019286403,2024-10-31
1.034,1.146,1.14985722,-0.0019305019,2024-11-01
1.045,1.158,1.16321471,0.0116166505,2024-11-08
1.072,1.185,1.19325131,0.0258220591,2024-11-15
1.073,1.186,1.19436338,0.0009319664,2024-11-22
1.076,1.188,1.19658959,0.0018639329,2024-11-29
1.086,1.198,1.20771549,0.0092980069,2024-12-06
1.094,1.207,1.2177211,0.0082847422,2024-12-13
1.105,1.218,1.22996002,0.0100506784,2024-12-20
1.111,1.223,1.23552343,0.004523243,2024-12-27
1.109,1.221,1.23329927,-0.00180018,2024-12-31
1.091,1.204,1.21439387,-0.0153291253,2025-01-03
1.098,1.211,1.2221805,0.0064119505,2025-01-10
1.099,1.212,1.22329055,0.0009082562,2025-01-17
1.104,1.216,1.2277409,0.003638015,2025-01-24
1.107,1.22,1.23218924,0.0036231884,2025-01-27
1.114,1.227,1.23998086,0.0063233966,2025-02-07
1.131,1.243,1.25778429,0.0143578268,2025-02-14
1.134,1.247,1.26223269,0.0035366932,2025-02-21
1.132,1.245,1.26000555,-0.0017644433,2025-02-28
1.139,1.252,1.26779515,0.006182193,2025-03-07
1.114,1.226,1.23886188,-0.022821722,2025-03-14
1.11,1.223,1.23551767,-0.0026994216,2025-03-21
1.113,1.225,1.23774383,0.0018018018,2025-03-28
1.11,1.222,1.23440759,-0.0026954178,2025-03-31
1.112,1.225,1.23774483,0.0027035136,2025-04-03
0.967,1.079,1.07523516,-0.131294964,2025-04-11
0.967,1.08,1.07634709,0.0010341262,2025-04-18
0.968,1.081,1.07746017,0.0010341262,2025-04-25
0.969,1.082,1.0785744,0.0010341218,2025-04-30
0.991,1.104,1.10305878,0.022700688,2025-05-09
0.997,1.11,1.10974172,0.0060585511,2025-05-16
0.996,1.108,1.10751667,-0.002005012,2025-05-23
1.0,1.112,1.11196788,0.0040190884,2025-05-30
1.008,1.121,1.12198225,0.009005988,2025-06-06
1.012,1.125,1.12643236,0.0039662953,2025-06-13
1.022,1.135,1.13755876,0.0098775611,2025-06-20
1.024,1.137,1.13978491,0.0019569472,2025-06-27
1.026,1.139,1.14201105,0.001953125,2025-06-30
1.033,1.145,1.14868623,0.0058451089,2025-07-04
1.048,1.16,1.16537681,0.0145301483,2025-07-11
1.059,1.172,1.17872294,0.0114522043,2025-07-18
1.06,1.173,1.17983495,0.0009433962,2025-07-25
1.063,1.175,1.18206105,0.0018867925,2025-07-31
1.066,1.179,1.18650907,0.0037629351,2025-08-01
1.079,1.192,1.20097245,0.0121898585,2025-08-08
1.071,1.184,1.19206394,-0.0074177436,2025-08-15
1.071,1.184,1.19206394,0.0,2025-08-22
1.071,1.184,1.19206498,8.751e-07,2025-08-29
1.069,1.182,1.18986011,-0.0018496284,2025-09-05
1.08,1.193,1.20209858,0.0102856437,2025-09-12
1.085,1.198,1.20766385,0.0046296296,2025-09-19
1.088,1.201,1.21100302,0.002764977,2025-09-26
1.095,1.208,1.21879032,0.0064304568,2025-09-30
