nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-12-02
1.0,1.0,1.0,0.0,2022-12-09
0.992,0.992,0.992,-0.008,2022-12-16
0.992,0.992,0.992,0.0,2022-12-23
0.993,0.993,0.993,0.0010080645,2022-12-30
0.993,0.993,0.993,0.0,2023-01-06
1.004,1.004,1.004,0.0110775428,2023-01-13
0.997,0.997,0.997,-0.0069721116,2023-01-20
1.007,1.007,1.007,0.0100300903,2023-01-31
1.011,1.011,1.011,0.0039721946,2023-02-03
1.016,1.016,1.016,0.0049455984,2023-02-10
1.011,1.011,1.011,-0.0049212598,2023-02-17
1.009,1.009,1.009,-0.0019782394,2023-02-24
1.013,1.013,1.013,0.0039643211,2023-02-28
1.025,1.025,1.025,0.011846002,2023-03-03
1.055,1.055,1.055,0.0292682927,2023-03-10
1.066,1.066,1.066,0.0104265403,2023-03-17
1.034,1.034,1.034,-0.0300187617,2023-03-24
0.998,0.998,0.998,-0.0348162476,2023-03-31
1.008,1.008,1.008,0.0100200401,2023-04-07
1.008,1.008,1.008,0.0,2023-04-14
0.998,0.998,0.998,-0.0099206349,2023-04-21
1.0,1.0,1.0,0.002004008,2023-04-28
1.001,1.001,1.001,0.001,2023-05-05
0.99,0.99,0.99,-0.010989011,2023-05-12
0.813,0.813,0.813,-0.1787878788,2023-05-19
0.745,0.745,0.745,-0.0836408364,2023-05-26
0.694,0.694,0.694,-0.0684563758,2023-05-31
0.723,0.723,0.723,0.0417867435,2023-06-02
0.83,0.83,0.83,0.1479944675,2023-06-09
0.859,0.859,0.859,0.034939759,2023-06-16
0.783,0.783,0.783,-0.0884749709,2023-06-21
0.672,0.672,0.672,-0.1417624521,2023-06-30
0.6,0.6,0.6,-0.1071428571,2023-07-07
0.62,0.62,0.62,0.0333333333,2023-07-14
0.503,0.503,0.503,-0.1887096774,2023-07-21
0.46,0.46,0.46,-0.0854870775,2023-07-28
0.453,0.453,0.453,-0.0152173913,2023-07-31
0.513,0.513,0.513,0.1324503311,2023-08-04
0.501,0.501,0.501,-0.0233918129,2023-08-11
0.426,0.426,0.426,-0.1497005988,2023-08-18
0.406,0.406,0.406,-0.0469483568,2023-08-25
0.351,0.351,0.351,-0.1354679803,2023-08-31
0.365,0.365,0.365,0.0398860399,2023-09-01
0.446,0.446,0.446,0.2219178082,2023-09-08
0.48,0.48,0.48,0.0762331839,2023-09-15
0.471,0.471,0.471,-0.01875,2023-09-22
0.471,0.471,0.471,0.0,2023-09-28
0.467,0.467,0.467,-0.008492569,2023-10-13
0.444,0.444,0.444,-0.0492505353,2023-10-20
0.459,0.459,0.459,0.0337837838,2023-10-27
0.462,0.462,0.462,0.0065359477,2023-10-31
0.465,0.465,0.465,0.0064935065,2023-11-03
0.467,0.467,0.467,0.0043010753,2023-11-10
0.481,0.481,0.481,0.0299785867,2023-11-17
0.485,0.485,0.485,0.0083160083,2023-11-24
0.487,0.487,0.487,0.0041237113,2023-11-30
0.502,0.502,0.502,0.0308008214,2023-12-01
0.462,0.462,0.462,-0.0796812749,2023-12-08
0.456,0.456,0.456,-0.012987013,2023-12-15
