nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-11-19
1.0,1.0,1.0,0.0,2025-11-21
0.9999,0.9999,0.9999,-0.0001,2025-11-28
0.9998,0.9998,0.9998,-0.00010001,2025-12-05
0.9997,0.9997,0.9997,-0.00010002,2025-12-12
0.9996,0.9996,0.9996,-0.00010003,2025-12-19
0.9994,0.9994,0.9994,-0.00020008,2025-12-26
1.0009,1.0009,1.0009,0.0015009005,2025-12-31
1.0039,1.0039,1.0039,0.0029973024,2026-01-09
1.0295,1.0295,1.0295,0.0255005479,2026-01-16
1.1218,1.1218,1.1218,0.0896551724,2026-01-23
1.1907,1.1907,1.1907,0.0614191478,2026-01-30
1.1299,1.1299,1.1299,-0.0510624003,2026-02-06
1.1572,1.1572,1.1572,0.0241614302,2026-02-13
1.2029,1.2029,1.2029,0.0394918769,2026-02-27
1.0855,1.0855,1.0855,-0.0975974728,2026-03-06
1.1244,1.1244,1.1244,0.0358360203,2026-03-13
1.1732,1.1732,1.1732,0.0434009249,2026-03-20
1.0706,1.0706,1.0706,-0.0874531197,2026-03-27
1.0252,1.0252,1.0252,-0.0424061274,2026-03-31
1.0742,1.0742,1.0742,0.0477955521,2026-04-03
1.2571,1.2571,1.2571,0.1702662446,2026-04-10
1.3806,1.3806,1.3806,0.0982419855,2026-04-17
1.4342,1.4342,1.4342,0.0388236998,2026-04-24
1.4752,1.4752,1.4752,0.0285873658,2026-04-30
1.7963,1.7963,1.7963,0.2176654013,2026-05-08
1.8428,1.8428,1.8428,0.0258865446,2026-05-15
1.9374,1.9374,1.9374,0.0513349251,2026-05-22
