nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2015-04-30
1.013,1.013,1.013,0.013,2015-05-29
1.038,1.038,1.038,0.0246791708,2015-06-03
1.036,1.036,1.036,-0.0019267823,2015-06-10
1.049,1.049,1.049,0.0125482625,2015-06-19
1.003,1.003,1.003,-0.0438512869,2015-06-24
0.989,0.989,0.989,-0.0139581256,2015-06-26
0.98,0.98,0.98,-0.0091001011,2015-06-30
0.98,0.98,0.98,0.0,2015-07-01
0.977,0.977,0.977,-0.0030612245,2015-07-08
0.955,0.955,0.955,-0.022517912,2015-07-10
0.953,0.953,0.953,-0.0020942408,2015-07-17
0.965,0.965,0.965,0.0125918153,2015-07-22
0.962,0.962,0.962,-0.0031088083,2015-07-29
0.948,0.948,0.948,-0.0145530146,2015-07-31
0.943,0.943,0.943,-0.0052742616,2015-08-05
0.95,0.95,0.95,0.0074231177,2015-08-12
0.936,0.936,0.936,-0.0147368421,2015-08-19
0.908,0.908,0.908,-0.0299145299,2015-08-26
0.906,0.906,0.906,-0.0022026432,2015-08-31
0.903,0.903,0.903,-0.0033112583,2015-09-02
0.902,0.902,0.902,-0.0011074197,2015-09-09
0.907,0.907,0.907,0.0055432373,2015-09-16
0.905,0.905,0.905,-0.0022050717,2015-09-23
0.904,0.904,0.904,-0.0011049724,2015-09-30
0.921,0.921,0.921,0.0188053097,2015-10-14
0.928,0.928,0.928,0.0076004343,2015-10-21
0.928,0.928,0.928,0.0,2015-10-28
0.928,0.928,0.928,0.0,2015-10-30
0.932,0.932,0.932,0.0043103448,2015-11-04
0.95,0.95,0.95,0.0193133047,2015-11-11
0.949,0.949,0.949,-0.0010526316,2015-11-18
0.964,0.964,0.964,0.0158061117,2015-11-25
0.948,0.948,0.948,-0.0165975104,2015-11-30
0.926,0.926,0.926,-0.0232067511,2015-12-02
0.936,0.936,0.936,0.0107991361,2015-12-09
0.943,0.943,0.943,0.0074786325,2015-12-16
0.954,0.954,0.954,0.0116648993,2015-12-23
0.956,0.956,0.956,0.0020964361,2015-12-30
0.943,0.943,0.943,-0.0135983264,2015-12-31
0.927,0.927,0.927,-0.0169671262,2016-01-06
0.866,0.866,0.866,-0.0658036677,2016-01-13
