nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-12-20
1.0,1.0,1.0,0.0,2018-12-21
1.0,1.0,1.0,0.0,2018-12-28
1.002,1.002,1.002,0.002,2019-01-04
1.003,1.003,1.003,0.000998004,2019-01-11
1.0,1.0,1.0,-0.0029910269,2019-01-18
1.001,1.001,1.001,0.001,2019-01-25
0.999,0.999,0.999,-0.001998002,2019-01-31
1.002,1.002,1.002,0.003003003,2019-02-01
1.013,1.013,1.013,0.0109780439,2019-02-15
1.045,1.045,1.045,0.0315893386,2019-02-22
1.066,1.066,1.066,0.0200956938,2019-02-28
1.073,1.073,1.073,0.0065666041,2019-03-01
1.066,1.066,1.066,-0.0065237651,2019-03-08
1.071,1.071,1.071,0.0046904315,2019-03-15
1.081,1.081,1.081,0.0093370682,2019-03-22
1.075,1.075,1.075,-0.0055504163,2019-03-29
1.076,1.076,1.076,0.0009302326,2019-04-04
1.082,1.082,1.082,0.0055762082,2019-04-12
1.082,1.082,1.082,0.0,2019-04-19
1.093,1.093,1.093,0.0101663586,2019-04-26
1.102,1.102,1.102,0.0082342177,2019-04-30
1.1,1.1,1.1,-0.001814882,2019-05-10
1.113,1.113,1.113,0.0118181818,2019-05-17
1.11,1.11,1.11,-0.0026954178,2019-05-24
1.119,1.119,1.119,0.0081081081,2019-05-31
1.128,1.128,1.128,0.0080428954,2019-06-06
1.138,1.138,1.138,0.0088652482,2019-06-14
1.147,1.147,1.147,0.0079086116,2019-06-21
1.179,1.179,1.179,0.0278988666,2019-06-28
1.164,1.164,1.164,-0.0127226463,2019-07-05
1.202,1.202,1.202,0.0326460481,2019-07-12
1.197,1.197,1.197,-0.0041597338,2019-07-19
1.194,1.194,1.194,-0.0025062657,2019-07-26
1.197,1.197,1.197,0.0025125628,2019-07-31
1.201,1.201,1.201,0.0033416876,2019-08-02
1.173,1.173,1.173,-0.0233139051,2019-08-09
1.191,1.191,1.191,0.0153452685,2019-08-16
1.196,1.196,1.196,0.0041981528,2019-08-23
1.183,1.183,1.183,-0.0108695652,2019-08-30
1.185,1.185,1.185,0.0016906171,2019-09-06
1.186,1.186,1.186,0.0008438819,2019-09-12
1.172,1.172,1.172,-0.0118043845,2019-09-20
1.175,1.175,1.175,0.002559727,2019-09-27
1.173,1.173,1.173,-0.0017021277,2019-09-30
1.169,1.169,1.169,-0.0034100597,2019-10-11
1.173,1.173,1.173,0.003421728,2019-10-18
1.182,1.182,1.182,0.0076726343,2019-10-25
1.177,1.177,1.177,-0.0042301184,2019-10-31
