nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-08-04
1.0,1.0,1.0,0.0,2025-08-08
0.9999,0.9999,0.9999,-0.0001,2025-08-15
0.9999,0.9999,0.9999,0.0,2025-08-22
1.0016,1.0016,1.0016,0.00170017,2025-08-29
1.0008,1.0008,1.0008,-0.000798722,2025-09-05
1.0198,1.0198,1.0198,0.0189848122,2025-09-12
1.0247,1.0247,1.0247,0.0048048637,2025-09-19
1.0444,1.0444,1.0444,0.0192251391,2025-09-26
1.0643,1.0643,1.0643,0.0190540023,2025-09-30
1.0804,1.0804,1.0804,0.0151273137,2025-10-10
1.0781,1.0781,1.0781,-0.0021288412,2025-10-17
1.0861,1.0861,1.0861,0.0074204619,2025-10-24
1.1002,1.1002,1.1002,0.01298223,2025-10-31
1.0956,1.0956,1.0956,-0.004181058,2025-11-07
1.1063,1.1063,1.1063,0.0097663381,2025-11-14
1.0685,1.0685,1.0685,-0.0341679472,2025-11-21
1.0738,1.0738,1.0738,0.0049602246,2025-11-28
1.0708,1.0708,1.0708,-0.0027938164,2025-12-05
1.0672,1.0672,1.0672,-0.0033619724,2025-12-12
1.0639,1.0639,1.0639,-0.0030922039,2025-12-19
1.0982,1.0982,1.0982,0.0322398722,2025-12-26
1.0812,1.0812,1.0812,-0.0154798762,2025-12-31
1.1204,1.1204,1.1204,0.0362560118,2026-01-09
1.1413,1.1413,1.1413,0.0186540521,2026-01-16
1.165,1.165,1.165,0.0207657934,2026-01-23
1.184,1.184,1.184,0.0163090129,2026-01-30
1.1536,1.1536,1.1536,-0.0256756757,2026-02-06
1.1674,1.1674,1.1674,0.011962552,2026-02-13
1.1704,1.1704,1.1704,0.0025698133,2026-02-27
1.1646,1.1646,1.1646,-0.0049555707,2026-03-06
1.1685,1.1685,1.1685,0.0033487893,2026-03-13
1.0963,1.0963,1.0963,-0.0617886179,2026-03-20
1.0851,1.0851,1.0851,-0.0102161817,2026-03-27
1.0831,1.0831,1.0831,-0.0018431481,2026-04-03
1.1244,1.1244,1.1244,0.0381312898,2026-04-10
1.1405,1.1405,1.1405,0.0143187478,2026-04-17
1.1344,1.1344,1.1344,-0.0053485313,2026-04-24
1.1353,1.1353,1.1353,0.0007933709,2026-04-30
1.1527,1.1527,1.1527,0.0153263455,2026-05-08
1.145,1.145,1.145,-0.0066799688,2026-05-15
1.1401,1.1401,1.1401,-0.004279476,2026-05-22
