nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-02-09
1.0001,1.0001,1.0001,0.0001,2021-02-10
1.0004,1.0004,1.0004,0.00029997,2021-02-19
1.0007,1.0007,1.0007,0.00029988,2021-02-26
1.0005,1.0005,1.0005,-0.0001998601,2021-03-05
0.9995,0.9995,0.9995,-0.0009995002,2021-03-12
0.9959,0.9959,0.9959,-0.0036018009,2021-03-19
1.0065,1.0065,1.0065,0.0106436389,2021-03-26
1.008,1.008,1.008,0.001490313,2021-03-31
1.024,1.024,1.024,0.0158730159,2021-04-02
1.0326,1.0326,1.0326,0.0083984375,2021-04-09
1.0281,1.0281,1.0281,-0.0043579314,2021-04-16
1.0639,1.0639,1.0639,0.0348215154,2021-04-23
1.0736,1.0736,1.0736,0.0091173983,2021-04-30
1.0623,1.0623,1.0623,-0.0105253353,2021-05-07
1.088,1.088,1.088,0.0241927892,2021-05-14
1.1019,1.1019,1.1019,0.0127757353,2021-05-21
1.1347,1.1347,1.1347,0.0297667665,2021-05-28
1.1546,1.1546,1.1546,0.0175376752,2021-05-31
1.1609,1.1609,1.1609,0.0054564351,2021-06-04
1.1604,1.1604,1.1604,-0.0004307003,2021-06-11
1.1798,1.1798,1.1798,0.016718373,2021-06-18
1.2126,1.2126,1.2126,0.0278013223,2021-06-24
1.23,1.23,1.23,0.014349332,2021-06-25
1.2636,1.2636,1.2636,0.0273170732,2021-06-30
1.2482,1.2482,1.2482,-0.0121874011,2021-07-02
1.2835,1.2835,1.2835,0.0282807242,2021-07-09
1.312,1.312,1.312,0.0222049085,2021-07-16
1.3549,1.3549,1.3549,0.0326981707,2021-07-23
1.3285,1.3285,1.3285,-0.0194848328,2021-07-30
1.3738,1.3738,1.3738,0.0340986075,2021-08-06
1.385,1.385,1.385,0.0081525695,2021-08-13
1.3565,1.3565,1.3565,-0.0205776173,2021-08-20
1.4218,1.4218,1.4218,0.048138592,2021-08-27
1.459,1.459,1.459,0.0261640174,2021-08-31
1.4616,1.4616,1.4616,0.0017820425,2021-09-03
1.5498,1.5498,1.5498,0.0603448276,2021-09-10
1.5322,1.5322,1.5322,-0.011356304,2021-09-17
1.5229,1.5229,1.5229,-0.0060697037,2021-09-24
1.4467,1.4467,1.4467,-0.0500361153,2021-09-30
1.4479,1.4479,1.4479,0.000829474,2021-10-08
1.4212,1.4212,1.4212,-0.0184405,2021-10-15
1.4382,1.4382,1.4382,0.0119617225,2021-10-22
1.4455,1.4455,1.4455,0.0050757892,2021-10-29
1.4421,1.4421,1.4421,-0.0023521273,2021-11-05
1.5055,1.5055,1.5055,0.0439636641,2021-11-12
1.5185,1.5185,1.5185,0.008635005,2021-11-19
1.5297,1.5297,1.5297,0.0073756997,2021-11-26
1.5405,1.5405,1.5405,0.0070602079,2021-11-30
1.5454,1.5454,1.5454,0.0031807855,2021-12-03
1.542,1.542,1.542,-0.0022000776,2021-12-10
1.5443,1.5443,1.5443,0.0014915694,2021-12-17
1.5325,1.5325,1.5325,-0.0076410024,2021-12-24
1.5639,1.5639,1.5639,0.0204893964,2021-12-31
1.5201,1.5201,1.5201,-0.0280069058,2022-01-07
1.5006,1.5006,1.5006,-0.0128281034,2022-01-14
1.4721,1.4721,1.4721,-0.018992403,2022-01-21
1.3956,1.3956,1.3956,-0.0519665784,2022-01-28
1.4263,1.4263,1.4263,0.0219977071,2022-02-11
1.4578,1.4578,1.4578,0.0220851153,2022-02-18
1.4556,1.4556,1.4556,-0.0015091233,2022-02-25
1.4648,1.4648,1.4648,0.0063204177,2022-02-28
1.4462,1.4462,1.4462,-0.0126979792,2022-03-04
1.393,1.393,1.393,-0.03678606,2022-03-11
1.3677,1.3677,1.3677,-0.0181622398,2022-03-18
1.3624,1.3624,1.3624,-0.0038751188,2022-03-25
1.3656,1.3656,1.3656,0.0023487962,2022-03-31
1.3704,1.3704,1.3704,0.0035149385,2022-04-01
1.3418,1.3418,1.3418,-0.020869819,2022-04-08
1.3025,1.3025,1.3025,-0.0292890148,2022-04-15
1.221,1.221,1.221,-0.062571977,2022-04-22
1.1923,1.1923,1.1923,-0.0235053235,2022-04-29
1.1843,1.1843,1.1843,-0.0067097207,2022-05-06
1.2264,1.2264,1.2264,0.0355484252,2022-05-13
1.2646,1.2646,1.2646,0.0311480757,2022-05-20
1.2606,1.2606,1.2606,-0.0031630555,2022-05-27
1.282,1.282,1.282,0.0169760432,2022-05-31
1.2948,1.2948,1.2948,0.0099843994,2022-06-02
1.3524,1.3524,1.3524,0.0444856348,2022-06-10
1.3794,1.3794,1.3794,0.0199645075,2022-06-17
1.4034,1.4034,1.4034,0.0173988691,2022-06-24
1.4305,1.4305,1.4305,0.0193102465,2022-06-30
1.4323,1.4323,1.4323,0.0012583013,2022-07-01
1.4313,1.4313,1.4313,-0.0006981778,2022-07-08
1.4008,1.4008,1.4008,-0.0213092992,2022-07-15
1.4223,1.4223,1.4223,0.0153483724,2022-07-22
1.4297,1.4297,1.4297,0.0052028405,2022-07-29
1.4139,1.4139,1.4139,-0.0110512695,2022-08-05
1.4544,1.4544,1.4544,0.0286441757,2022-08-12
1.4615,1.4615,1.4615,0.0048817382,2022-08-19
1.4274,1.4274,1.4274,-0.023332193,2022-08-26
1.3857,1.3857,1.3857,-0.0292139554,2022-08-31
1.3925,1.3925,1.3925,0.0049072671,2022-09-02
1.4287,1.4287,1.4287,0.0259964093,2022-09-09
1.3353,1.3353,1.3353,-0.0653741163,2022-09-16
1.3298,1.3298,1.3298,-0.0041189246,2022-09-23
1.2862,1.2862,1.2862,-0.0327868852,2022-09-30
1.3431,1.3431,1.3431,0.0442388431,2022-10-14
1.3429,1.3429,1.3429,-0.0001489092,2022-10-21
1.295,1.295,1.295,-0.0356690744,2022-10-28
1.2976,1.2976,1.2976,0.002007722,2022-10-31
1.3915,1.3915,1.3915,0.072364365,2022-11-04
1.3974,1.3974,1.3974,0.0042400287,2022-11-11
1.4047,1.4047,1.4047,0.0052239874,2022-11-18
1.3939,1.3939,1.3939,-0.0076884744,2022-11-25
1.4112,1.4112,1.4112,0.0124112203,2022-11-30
1.4247,1.4247,1.4247,0.0095663265,2022-12-02
1.431,1.431,1.431,0.0044219836,2022-12-09
1.4121,1.4121,1.4121,-0.0132075472,2022-12-16
1.3487,1.3487,1.3487,-0.0448976701,2022-12-23
1.3658,1.3658,1.3658,0.012678876,2022-12-30
1.4065,1.4065,1.4065,0.029799385,2023-01-06
1.4179,1.4179,1.4179,0.0081052257,2023-01-13
1.4577,1.4577,1.4577,0.0280696805,2023-01-20
1.4692,1.4692,1.4692,0.0078891404,2023-01-31
1.4862,1.4862,1.4862,0.011570923,2023-02-03
1.486,1.486,1.486,-0.0001345714,2023-02-10
1.4646,1.4646,1.4646,-0.0144010767,2023-02-17
1.4886,1.4886,1.4886,0.0163867268,2023-02-24
1.4923,1.4923,1.4923,0.0024855569,2023-02-28
1.5031,1.5031,1.5031,0.0072371507,2023-03-03
1.4553,1.4553,1.4553,-0.0318009447,2023-03-10
