nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-03-28
1.0,1.0,1.0,0.0,2024-03-29
0.9999,0.9999,0.9999,-0.0001,2024-04-03
0.9912,0.9912,0.9912,-0.0087008701,2024-04-12
1.0071,1.0071,1.0071,0.0160411622,2024-04-19
1.0399,1.0399,1.0399,0.0325687618,2024-04-26
1.0405,1.0405,1.0405,0.0005769786,2024-04-30
1.0793,1.0793,1.0793,0.0372897645,2024-05-10
1.1007,1.1007,1.1007,0.0198276661,2024-05-17
1.0695,1.0695,1.0695,-0.0283455983,2024-05-24
1.051,1.051,1.051,-0.0172978027,2024-05-31
1.0656,1.0656,1.0656,0.0138915319,2024-06-07
1.0637,1.0637,1.0637,-0.001783033,2024-06-14
1.0694,1.0694,1.0694,0.0053586538,2024-06-21
1.059,1.059,1.059,-0.0097250795,2024-06-28
1.0721,1.0721,1.0721,0.0123701605,2024-07-05
1.0775,1.0775,1.0775,0.0050368436,2024-07-12
1.0299,1.0299,1.0299,-0.0441763341,2024-07-19
0.9898,0.9898,0.9898,-0.038935819,2024-07-26
1.0133,1.0133,1.0133,0.0237421701,2024-07-31
1.0033,1.0033,1.0033,-0.0098687457,2024-08-02
1.0008,1.0008,1.0008,-0.0024917771,2024-08-09
1.013,1.013,1.013,0.0121902478,2024-08-16
1.0074,1.0074,1.0074,-0.0055281343,2024-08-23
1.0233,1.0233,1.0233,0.0157832043,2024-08-30
0.9882,0.9882,0.9882,-0.0343007916,2024-09-06
0.9668,0.9668,0.9668,-0.0216555353,2024-09-13
0.9811,0.9811,0.9811,0.0147910633,2024-09-20
1.1337,1.1337,1.1337,0.1555397003,2024-09-27
1.201,1.201,1.201,0.0593631472,2024-09-30
1.1917,1.1917,1.1917,-0.007743547,2024-10-11
1.176,1.176,1.176,-0.0131744567,2024-10-18
1.1638,1.1638,1.1638,-0.0103741497,2024-10-25
1.1415,1.1415,1.1415,-0.0191613679,2024-10-31
1.1596,1.1596,1.1596,0.0158563294,2024-11-01
1.1995,1.1995,1.1995,0.0344084167,2024-11-08
1.1443,1.1443,1.1443,-0.0460191747,2024-11-15
1.1276,1.1276,1.1276,-0.014594075,2024-11-22
1.132,1.132,1.132,0.0039020929,2024-11-29
1.1727,1.1727,1.1727,0.0359540636,2024-12-06
1.1693,1.1693,1.1693,-0.0028992922,2024-12-13
1.1824,1.1824,1.1824,0.011203284,2024-12-20
1.1983,1.1983,1.1983,0.013447226,2024-12-27
1.201,1.201,1.201,0.002253192,2024-12-31
1.1696,1.1696,1.1696,-0.0261448793,2025-01-03
1.1179,1.1179,1.1179,-0.0442031464,2025-01-10
1.1433,1.1433,1.1433,0.0227211736,2025-01-17
1.1519,1.1519,1.1519,0.0075220852,2025-01-24
1.1539,1.1539,1.1539,0.0017362618,2025-01-27
1.1936,1.1936,1.1936,0.0344050611,2025-02-07
1.2434,1.2434,1.2434,0.0417225201,2025-02-14
1.3054,1.3054,1.3054,0.0498632781,2025-02-21
1.2571,1.2571,1.2571,-0.0370001532,2025-02-28
1.3223,1.3223,1.3223,0.0518654045,2025-03-07
1.3495,1.3495,1.3495,0.0205702186,2025-03-14
1.3191,1.3191,1.3191,-0.0225268618,2025-03-21
1.3058,1.3058,1.3058,-0.0100826321,2025-03-28
1.2812,1.2812,1.2812,-0.0188390259,2025-03-31
1.2847,1.2847,1.2847,0.0027318139,2025-04-03
1.1921,1.1921,1.1921,-0.0720790846,2025-04-11
1.2022,1.2022,1.2022,0.0084724436,2025-04-18
1.2232,1.2232,1.2232,0.0174679754,2025-04-25
1.2211,1.2211,1.2211,-0.0017168084,2025-04-30
1.2582,1.2582,1.2582,0.0303824421,2025-05-09
1.2899,1.2899,1.2899,0.0251947226,2025-05-16
1.3118,1.3118,1.3118,0.0169780603,2025-05-23
1.3113,1.3113,1.3113,-0.0003811557,2025-05-30
1.3394,1.3394,1.3394,0.0214291161,2025-06-06
1.369,1.369,1.369,0.0220994475,2025-06-13
1.3435,1.3435,1.3435,-0.0186267348,2025-06-20
1.4076,1.4076,1.4076,0.0477112021,2025-06-27
1.396,1.396,1.396,-0.0082409776,2025-06-30
1.4047,1.4047,1.4047,0.0062320917,2025-07-04
1.463,1.463,1.463,0.0415035239,2025-07-11
1.5056,1.5056,1.5056,0.0291182502,2025-07-18
1.0,1.534,1.534,0.0188629118,2025-07-21
1.0483,1.5823,1.6080922,0.0483,2025-07-25
1.0337,1.5677,1.5856958,-0.0139273109,2025-07-31
1.0155,1.5495,1.557777,-0.0176066557,2025-08-01
