nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-01-20
1.0,1.0,1.0,0.0,2020-01-23
1.0,1.0,1.0,0.0,2020-02-07
1.0,1.0,1.0,0.0,2020-02-14
1.012,1.012,1.012,0.012,2020-02-21
0.986,0.986,0.986,-0.0256916996,2020-02-28
1.034,1.034,1.034,0.0486815416,2020-03-06
1.022,1.022,1.022,-0.0116054159,2020-03-13
1.07,1.07,1.07,0.0469667319,2020-03-20
1.081,1.081,1.081,0.0102803738,2020-03-27
1.08,1.08,1.08,-0.0009250694,2020-04-03
1.071,1.071,1.071,-0.0083333333,2020-04-10
1.074,1.074,1.074,0.0028011204,2020-04-17
1.078,1.078,1.078,0.0037243948,2020-04-24
1.071,1.071,1.071,-0.0064935065,2020-04-30
1.086,1.086,1.086,0.0140056022,2020-05-08
1.068,1.068,1.068,-0.0165745856,2020-05-15
1.041,1.041,1.041,-0.0252808989,2020-05-22
1.051,1.051,1.051,0.0096061479,2020-05-29
1.079,1.079,1.079,0.026641294,2020-06-05
1.084,1.084,1.084,0.0046339203,2020-06-12
1.106,1.106,1.106,0.020295203,2020-06-19
1.107,1.107,1.107,0.0009041591,2020-06-24
1.191,1.191,1.191,0.0758807588,2020-07-03
1.333,1.333,1.333,0.1192275399,2020-07-10
1.294,1.294,1.294,-0.0292573143,2020-07-17
1.278,1.278,1.278,-0.0123647604,2020-07-24
1.337,1.337,1.337,0.0461658842,2020-07-31
1.355,1.355,1.355,0.0134629768,2020-08-07
1.368,1.368,1.368,0.0095940959,2020-08-14
1.388,1.388,1.388,0.014619883,2020-08-21
1.412,1.412,1.412,0.0172910663,2020-08-28
1.424,1.424,1.424,0.0084985836,2020-09-04
1.376,1.376,1.376,-0.0337078652,2020-09-11
1.409,1.409,1.409,0.0239825581,2020-09-18
1.36,1.36,1.36,-0.0347764372,2020-09-25
1.356,1.356,1.356,-0.0029411765,2020-09-30
1.387,1.387,1.387,0.0228613569,2020-10-09
1.422,1.422,1.422,0.0252343187,2020-10-16
1.406,1.406,1.406,-0.0112517581,2020-10-23
1.384,1.384,1.384,-0.0156472262,2020-10-30
1.434,1.434,1.434,0.0361271676,2020-11-06
1.431,1.431,1.431,-0.0020920502,2020-11-13
1.467,1.467,1.467,0.0251572327,2020-11-20
