nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2016-10-25
1.0,1.0,1.0,0.0,2016-10-28
1.0,1.0,1.0,0.0,2016-10-31
1.0,1.0,1.0,0.0,2016-11-01
1.0,1.0,1.0,0.0,2016-11-03
1.0,1.0,1.0,0.0,2016-11-04
1.0,1.0,1.0,0.0,2016-11-10
1.0,1.0,1.0,0.0,2016-11-11
1.0,1.0,1.0,0.0,2016-11-18
1.015,1.015,1.015,0.015,2016-11-25
1.014,1.014,1.014,-0.0009852217,2016-11-30
1.014,1.014,1.014,0.0,2016-12-02
1.023,1.023,1.023,0.0088757396,2016-12-09
1.0,1.0,1.0,-0.0224828935,2016-12-16
0.988,0.988,0.988,-0.012,2016-12-23
0.989,0.989,0.989,0.0010121457,2016-12-30
0.996,0.996,0.996,0.0070778564,2017-01-06
1.0,1.0,1.0,0.0040160643,2017-01-13
1.01,1.01,1.01,0.01,2017-01-20
1.02,1.02,1.02,0.0099009901,2017-01-26
1.02,1.02,1.02,0.0,2017-01-31
1.017,1.017,1.017,-0.0029411765,2017-02-03
1.018,1.018,1.018,0.0009832842,2017-02-10
1.025,1.025,1.025,0.0068762279,2017-02-17
1.044,1.044,1.044,0.0185365854,2017-02-24
1.034,1.034,1.034,-0.0095785441,2017-02-28
1.024,1.024,1.024,-0.0096711799,2017-03-03
1.027,1.027,1.027,0.0029296875,2017-03-10
1.026,1.026,1.026,-0.0009737098,2017-03-17
1.035,1.035,1.035,0.0087719298,2017-03-24
1.043,1.043,1.043,0.0077294686,2017-03-31
1.046,1.046,1.046,0.0028763183,2017-04-07
1.031,1.031,1.031,-0.0143403442,2017-04-14
1.035,1.035,1.035,0.0038797284,2017-04-21
1.038,1.038,1.038,0.0028985507,2017-04-28
1.028,1.028,1.028,-0.0096339114,2017-05-05
1.058,1.058,1.058,0.0291828794,2017-05-12
1.065,1.065,1.065,0.0066162571,2017-05-19
1.095,1.095,1.095,0.0281690141,2017-05-26
1.097,1.097,1.097,0.001826484,2017-05-31
1.099,1.099,1.099,0.0018231541,2017-06-02
1.101,1.101,1.101,0.0018198362,2017-06-09
1.074,1.074,1.074,-0.0245231608,2017-06-16
1.108,1.108,1.108,0.0316573557,2017-06-23
1.12,1.12,1.12,0.0108303249,2017-06-30
1.107,1.107,1.107,-0.0116071429,2017-07-07
1.135,1.135,1.135,0.0252935863,2017-07-14
1.144,1.144,1.144,0.0079295154,2017-07-21
1.152,1.152,1.152,0.006993007,2017-07-28
1.15,1.15,1.15,-0.0017361111,2017-07-31
1.15,1.15,1.15,0.0,2017-08-04
1.136,1.136,1.136,-0.012173913,2017-08-11
1.159,1.159,1.159,0.0202464789,2017-08-18
1.195,1.195,1.195,0.0310612597,2017-08-25
1.185,1.185,1.185,-0.0083682008,2017-08-31
1.18,1.18,1.18,-0.0042194093,2017-09-01
1.188,1.188,1.188,0.006779661,2017-09-08
1.175,1.175,1.175,-0.0109427609,2017-09-15
1.182,1.182,1.182,0.0059574468,2017-09-22
1.185,1.185,1.185,0.0025380711,2017-09-29
1.21,1.21,1.21,0.0210970464,2017-10-13
1.218,1.218,1.218,0.0066115702,2017-10-20
1.23,1.23,1.23,0.0098522167,2017-10-27
1.232,1.232,1.232,0.0016260163,2017-10-31
1.228,1.228,1.228,-0.0032467532,2017-11-03
1.244,1.244,1.244,0.013029316,2017-11-10
1.271,1.271,1.271,0.0217041801,2017-11-17
1.291,1.291,1.291,0.0157356412,2017-11-24
1.242,1.242,1.242,-0.0379550736,2017-11-30
1.235,1.235,1.235,-0.0056360709,2017-12-01
1.233,1.233,1.233,-0.0016194332,2017-12-08
1.222,1.222,1.222,-0.0089213301,2017-12-15
1.242,1.242,1.242,0.0163666121,2017-12-22
1.25,1.25,1.25,0.0064412238,2017-12-29
1.279,1.279,1.279,0.0232,2018-01-05
1.288,1.288,1.288,0.0070367475,2018-01-12
1.315,1.315,1.315,0.0209627329,2018-01-19
1.333,1.333,1.333,0.0136882129,2018-01-26
1.326,1.326,1.326,-0.0052513128,2018-01-31
1.339,1.339,1.339,0.0098039216,2018-02-02
1.21,1.21,1.21,-0.0963405527,2018-02-09
1.243,1.243,1.243,0.0272727273,2018-02-14
1.266,1.266,1.266,0.0185036203,2018-02-23
1.242,1.242,1.242,-0.018957346,2018-02-28
1.243,1.243,1.243,0.000805153,2018-03-02
1.26,1.26,1.26,0.0136765889,2018-03-09
1.245,1.245,1.245,-0.0119047619,2018-03-16
1.214,1.214,1.214,-0.0248995984,2018-03-23
1.199,1.199,1.199,-0.0123558484,2018-03-26
1.203,1.203,1.203,0.0033361134,2018-03-30
1.201,1.201,1.201,-0.0016625104,2018-04-04
1.225,1.225,1.225,0.0199833472,2018-04-13
1.202,1.202,1.202,-0.0187755102,2018-04-20
1.208,1.208,1.208,0.0049916805,2018-04-23
1.228,1.228,1.228,0.0165562914,2018-04-24
1.222,1.222,1.222,-0.0048859935,2018-04-25
1.211,1.211,1.211,-0.0090016367,2018-04-26
1.225,1.225,1.225,0.0115606936,2018-04-27
1.231,1.231,1.231,0.0048979592,2018-05-04
1.269,1.269,1.269,0.030869212,2018-05-11
1.282,1.282,1.282,0.0102442868,2018-05-18
1.286,1.286,1.286,0.0031201248,2018-05-25
1.307,1.307,1.307,0.0163297045,2018-05-31
1.295,1.295,1.295,-0.0091813313,2018-06-01
1.301,1.301,1.301,0.0046332046,2018-06-08
1.286,1.286,1.286,-0.0115295926,2018-06-15
1.258,1.258,1.258,-0.0217729393,2018-06-22
1.234,1.234,1.234,-0.0190779014,2018-06-25
1.207,1.207,1.207,-0.0218800648,2018-06-29
1.16,1.16,1.16,-0.0389395195,2018-07-06
1.215,1.215,1.215,0.0474137931,2018-07-13
1.228,1.228,1.228,0.0106995885,2018-07-20
1.238,1.238,1.238,0.0081433225,2018-07-25
1.231,1.231,1.231,-0.0056542811,2018-07-27
1.232,1.232,1.232,0.0008123477,2018-07-31
1.186,1.186,1.186,-0.0373376623,2018-08-03
1.17,1.17,1.17,-0.0134907251,2018-08-06
1.195,1.195,1.195,0.0213675214,2018-08-10
1.143,1.143,1.143,-0.0435146444,2018-08-17
1.182,1.182,1.182,0.0341207349,2018-08-24
1.202,1.202,1.202,0.0169204738,2018-08-27
1.195,1.195,1.195,-0.0058236273,2018-08-31
1.179,1.179,1.179,-0.0133891213,2018-09-07
1.177,1.177,1.177,-0.0016963528,2018-09-14
1.238,1.238,1.238,0.051826678,2018-09-21
1.221,1.221,1.221,-0.0137318255,2018-09-25
1.253,1.253,1.253,0.0262080262,2018-09-28
1.173,1.173,1.173,-0.0638467678,2018-10-12
1.145,1.145,1.145,-0.0238704177,2018-10-19
1.15,1.15,1.15,0.0043668122,2018-10-25
1.145,1.145,1.145,-0.0043478261,2018-10-26
1.164,1.164,1.164,0.0165938865,2018-10-31
1.205,1.205,1.205,0.0352233677,2018-11-02
1.169,1.169,1.169,-0.0298755187,2018-11-09
1.205,1.205,1.205,0.0307955518,2018-11-16
1.157,1.157,1.157,-0.0398340249,2018-11-23
1.158,1.158,1.158,0.0008643042,2018-11-26
1.171,1.171,1.171,0.0112262522,2018-11-30
1.197,1.197,1.197,0.0222032451,2018-12-05
1.175,1.175,1.175,-0.0183792815,2018-12-07
1.168,1.168,1.168,-0.0059574468,2018-12-14
1.124,1.124,1.124,-0.0376712329,2018-12-21
1.134,1.134,1.134,0.0088967972,2018-12-25
1.138,1.138,1.138,0.0035273369,2018-12-28
1.141,1.141,1.141,0.0026362039,2019-01-04
1.132,1.132,1.132,-0.0078878177,2019-01-10
1.147,1.147,1.147,0.0132508834,2019-01-11
1.17,1.17,1.17,0.0200523104,2019-01-18
1.198,1.198,1.198,0.0239316239,2019-01-25
1.195,1.195,1.195,-0.0025041736,2019-01-31
1.209,1.209,1.209,0.0117154812,2019-02-01
1.215,1.215,1.215,0.0049627792,2019-02-15
1.239,1.239,1.239,0.0197530864,2019-02-22
1.296,1.296,1.296,0.0460048426,2019-02-25
1.287,1.287,1.287,-0.0069444444,2019-02-28
1.31,1.31,1.31,0.0178710179,2019-03-01
1.279,1.279,1.279,-0.0236641221,2019-03-08
1.302,1.302,1.302,0.0179827991,2019-03-15
1.355,1.355,1.355,0.0407066052,2019-03-22
1.332,1.332,1.332,-0.0169741697,2019-03-25
1.384,1.384,1.384,0.039039039,2019-03-29
1.445,1.445,1.445,0.0440751445,2019-04-04
1.399,1.399,1.399,-0.03183391,2019-04-12
1.402,1.402,1.402,0.0021443888,2019-04-19
1.362,1.362,1.362,-0.0285306705,2019-04-25
1.34,1.34,1.34,-0.0161527166,2019-04-26
1.369,1.369,1.369,0.021641791,2019-04-30
1.331,1.331,1.331,-0.0277574872,2019-05-10
1.354,1.354,1.354,0.0172802404,2019-05-17
1.351,1.351,1.351,-0.0022156573,2019-05-24
1.364,1.364,1.364,0.0096225019,2019-05-27
1.381,1.381,1.381,0.0124633431,2019-05-31
1.36,1.36,1.36,-0.0152063722,2019-06-06
1.393,1.393,1.393,0.0242647059,2019-06-14
1.443,1.443,1.443,0.0358937545,2019-06-21
1.412,1.412,1.412,-0.0214830215,2019-06-25
1.416,1.416,1.416,0.0028328612,2019-06-28
1.431,1.431,1.431,0.0105932203,2019-07-05
1.395,1.395,1.395,-0.0251572327,2019-07-12
1.397,1.397,1.397,0.0014336918,2019-07-19
1.405,1.405,1.405,0.0057265569,2019-07-25
1.415,1.415,1.415,0.0071174377,2019-07-26
1.402,1.402,1.402,-0.0091872792,2019-07-31
1.38,1.38,1.38,-0.0156918688,2019-08-02
1.358,1.358,1.358,-0.015942029,2019-08-09
1.372,1.372,1.372,0.0103092784,2019-08-16
1.377,1.377,1.377,0.0036443149,2019-08-23
1.377,1.377,1.377,0.0,2019-08-26
1.374,1.374,1.374,-0.0021786492,2019-08-30
1.394,1.394,1.394,0.0145560408,2019-09-06
1.396,1.396,1.396,0.0014347202,2019-09-12
1.397,1.397,1.397,0.0007163324,2019-09-18
1.395,1.395,1.395,-0.0014316392,2019-09-20
1.379,1.379,1.379,-0.0114695341,2019-09-27
1.362,1.362,1.362,-0.0123277737,2019-09-30
1.401,1.401,1.401,0.0286343612,2019-10-11
1.418,1.418,1.418,0.0121341899,2019-10-18
1.419,1.419,1.419,0.0007052186,2019-10-25
1.412,1.412,1.412,-0.0049330514,2019-10-31
1.432,1.432,1.432,0.0141643059,2019-11-01
1.444,1.444,1.444,0.0083798883,2019-11-08
1.429,1.429,1.429,-0.0103878116,2019-11-15
1.408,1.408,1.408,-0.0146955913,2019-11-22
1.39,1.39,1.39,-0.0127840909,2019-11-29
1.404,1.404,1.404,0.0100719424,2019-12-06
1.431,1.431,1.431,0.0192307692,2019-12-13
1.48,1.48,1.48,0.034241789,2019-12-20
1.466,1.466,1.466,-0.0094594595,2019-12-27
1.483,1.483,1.483,0.0115961801,2019-12-31
1.494,1.494,1.494,0.0074173972,2020-01-03
1.511,1.511,1.511,0.0113788487,2020-01-10
1.493,1.493,1.493,-0.0119126406,2020-01-17
1.414,1.414,1.414,-0.0529135968,2020-01-23
1.421,1.421,1.421,0.004950495,2020-02-07
1.412,1.412,1.412,-0.0063335679,2020-02-14
1.461,1.461,1.461,0.0347025496,2020-02-21
1.462,1.462,1.462,0.0006844627,2020-02-28
1.502,1.502,1.502,0.0273597811,2020-03-06
1.435,1.435,1.435,-0.0446071904,2020-03-13
1.377,1.377,1.377,-0.0404181185,2020-03-20
1.407,1.407,1.407,0.0217864924,2020-03-27
1.407,1.407,1.407,0.0,2020-04-03
1.441,1.441,1.441,0.0241648898,2020-04-10
1.454,1.454,1.454,0.0090215128,2020-04-17
1.44,1.44,1.44,-0.0096286107,2020-04-24
1.493,1.493,1.493,0.0368055556,2020-04-30
1.493,1.493,1.493,0.0,2020-05-08
1.502,1.502,1.502,0.0060281313,2020-05-12
1.511,1.511,1.511,0.0059920107,2020-05-15
1.504,1.504,1.504,-0.0046326936,2020-05-22
1.505,1.505,1.505,0.0006648936,2020-05-25
1.551,1.551,1.551,0.0305647841,2020-05-29
1.566,1.566,1.566,0.0096711799,2020-06-04
1.57,1.57,1.57,0.0025542784,2020-06-05
1.559,1.559,1.559,-0.0070063694,2020-06-12
1.568,1.568,1.568,0.0057729314,2020-06-19
1.557,1.557,1.557,-0.0070153061,2020-06-24
1.541,1.541,1.541,-0.0102761721,2020-06-29
1.556,1.556,1.556,0.009733939,2020-06-30
1.662,1.662,1.662,0.0681233933,2020-07-03
1.76,1.76,1.76,0.0589651023,2020-07-10
1.732,1.732,1.732,-0.0159090909,2020-07-17
1.699,1.699,1.699,-0.0190531178,2020-07-24
1.678,1.678,1.678,-0.0123602119,2020-07-27
1.707,1.707,1.707,0.0172824791,2020-07-31
1.709,1.709,1.709,0.0011716462,2020-08-07
1.817,1.817,1.817,0.0631948508,2020-08-14
1.912,1.912,1.912,0.0522839846,2020-08-21
1.854,1.854,1.854,-0.030334728,2020-08-25
1.898,1.898,1.898,0.0237324703,2020-08-28
1.894,1.894,1.894,-0.0021074816,2020-08-31
1.881,1.881,1.881,-0.0068637804,2020-09-04
1.822,1.822,1.822,-0.0313662945,2020-09-11
1.866,1.866,1.866,0.0241492865,2020-09-18
1.803,1.803,1.803,-0.0337620579,2020-09-25
1.83,1.83,1.83,0.0149750416,2020-09-30
1.842,1.842,1.842,0.006557377,2020-10-09
1.909,1.909,1.909,0.0363735071,2020-10-16
1.866,1.866,1.866,-0.0225248821,2020-10-23
1.862,1.862,1.862,-0.0021436227,2020-10-26
1.847,1.847,1.847,-0.0080558539,2020-10-30
1.897,1.897,1.897,0.0270709258,2020-11-06
1.872,1.872,1.872,-0.0131787032,2020-11-13
1.938,1.938,1.938,0.0352564103,2020-11-20
1.901,1.901,1.901,-0.0190918473,2020-11-25
1.918,1.918,1.918,0.0089426618,2020-11-27
1.909,1.909,1.909,-0.0046923879,2020-11-30
1.948,1.948,1.948,0.0204295443,2020-12-04
1.87,1.87,1.87,-0.0400410678,2020-12-11
1.914,1.914,1.914,0.0235294118,2020-12-18
1.861,1.861,1.861,-0.0276907001,2020-12-25
1.931,1.931,1.931,0.0376141859,2020-12-31
1.929,1.929,1.929,-0.0010357328,2021-01-08
1.978,1.978,1.978,0.0254017626,2021-01-15
1.954,1.954,1.954,-0.0121334681,2021-01-20
1.982,1.982,1.982,0.0143295803,2021-01-21
1.991,1.991,1.991,0.0045408678,2021-01-22
1.995,1.995,1.995,0.0020090407,2021-01-25
2.002,2.002,2.002,0.0035087719,2021-01-29
2.132,2.132,2.132,0.0649350649,2021-02-05
2.115,2.115,2.115,-0.0079737336,2021-02-09
2.114,2.114,2.114,-0.0004728132,2021-02-10
2.148,2.148,2.148,0.0160832545,2021-02-19
2.104,2.104,2.104,-0.0204841713,2021-02-25
2.029,2.029,2.029,-0.0356463878,2021-02-26
2.005,2.005,2.005,-0.0118284869,2021-03-05
1.962,1.962,1.962,-0.021446384,2021-03-12
1.957,1.957,1.957,-0.00254842,2021-03-19
1.936,1.936,1.936,-0.0107307103,2021-03-25
1.964,1.964,1.964,0.0144628099,2021-03-26
1.977,1.977,1.977,0.0066191446,2021-03-31
1.979,1.979,1.979,0.0010116338,2021-04-02
1.948,1.948,1.948,-0.015664477,2021-04-09
1.921,1.921,1.921,-0.0138603696,2021-04-15
1.948,1.948,1.948,0.0140551796,2021-04-16
1.963,1.963,1.963,0.0077002053,2021-04-23
1.964,1.964,1.964,0.0005094244,2021-04-26
1.983,1.983,1.983,0.0096741344,2021-04-30
1.973,1.973,1.973,-0.0050428643,2021-05-07
1.974,1.974,1.974,0.0005068424,2021-05-14
1.942,1.942,1.942,-0.0162107396,2021-05-21
2.012,2.012,2.012,0.0360453141,2021-05-25
2.026,2.026,2.026,0.0069582505,2021-05-28
1.995,1.995,1.995,-0.0153010859,2021-05-31
1.964,1.964,1.964,-0.0155388471,2021-06-04
1.918,1.918,1.918,-0.0234215886,2021-06-11
1.871,1.871,1.871,-0.0245046924,2021-06-18
1.867,1.867,1.867,-0.0021378942,2021-06-25
1.863,1.863,1.863,-0.0021424746,2021-06-30
1.864,1.864,1.864,0.0005367687,2021-07-02
1.803,1.803,1.803,-0.0327253219,2021-07-09
1.814,1.814,1.814,0.0061009429,2021-07-16
1.759,1.759,1.759,-0.0303197354,2021-07-23
1.705,1.705,1.705,-0.0306992609,2021-07-26
1.654,1.654,1.654,-0.0299120235,2021-07-30
1.667,1.667,1.667,0.007859734,2021-08-06
1.714,1.714,1.714,0.0281943611,2021-08-13
1.701,1.701,1.701,-0.0075845974,2021-08-20
1.759,1.759,1.759,0.0340975897,2021-08-25
1.716,1.716,1.716,-0.0244457078,2021-08-27
1.723,1.723,1.723,0.0040792541,2021-08-31
1.797,1.797,1.797,0.0429483459,2021-09-03
1.836,1.836,1.836,0.0217028381,2021-09-10
1.812,1.812,1.812,-0.0130718954,2021-09-13
1.777,1.777,1.777,-0.0193156733,2021-09-17
1.762,1.762,1.762,-0.008441193,2021-09-24
1.767,1.767,1.767,0.0028376844,2021-09-27
1.763,1.763,1.763,-0.0022637238,2021-09-30
1.807,1.807,1.807,0.0249574589,2021-10-08
1.863,1.863,1.863,0.0309905921,2021-10-15
1.842,1.842,1.842,-0.0112721417,2021-10-22
1.873,1.873,1.873,0.0168295331,2021-10-25
1.885,1.885,1.885,0.006406834,2021-10-29
1.897,1.897,1.897,0.0063660477,2021-11-05
1.944,1.944,1.944,0.024775962,2021-11-12
1.946,1.946,1.946,0.0010288066,2021-11-19
1.888,1.888,1.888,-0.0298047276,2021-11-25
1.89,1.89,1.89,0.001059322,2021-11-26
1.88,1.88,1.88,-0.0052910053,2021-11-30
1.886,1.886,1.886,0.0031914894,2021-12-03
1.873,1.873,1.873,-0.006892895,2021-12-06
1.904,1.904,1.904,0.0165509877,2021-12-10
1.859,1.859,1.859,-0.0236344538,2021-12-17
1.933,1.933,1.933,0.0398063475,2021-12-24
1.955,1.955,1.955,0.0113812726,2021-12-27
1.948,1.948,1.948,-0.0035805627,2021-12-28
1.954,1.954,1.954,0.0030800821,2021-12-31
1.974,1.974,1.974,0.0102354145,2022-01-06
1.998,1.998,1.998,0.0121580547,2022-01-07
1.978,1.978,1.978,-0.01001001,2022-01-14
1.948,1.948,1.948,-0.0151668352,2022-01-21
1.918,1.918,1.918,-0.0154004107,2022-01-25
1.905,1.905,1.905,-0.0067778936,2022-01-28
1.975,1.975,1.975,0.0367454068,2022-02-11
1.954,1.954,1.954,-0.0106329114,2022-02-18
1.867,1.867,1.867,-0.0445240532,2022-02-25
1.854,1.854,1.854,-0.0069630423,2022-02-28
1.852,1.852,1.852,-0.0010787487,2022-03-04
1.782,1.782,1.782,-0.0377969762,2022-03-11
1.759,1.759,1.759,-0.0129068462,2022-03-18
1.712,1.712,1.712,-0.0267197271,2022-03-25
1.737,1.737,1.737,0.0146028037,2022-03-31
1.77,1.77,1.77,0.0189982729,2022-04-01
1.746,1.746,1.746,-0.013559322,2022-04-08
1.813,1.813,1.813,0.038373425,2022-04-15
1.848,1.848,1.848,0.0193050193,2022-04-22
1.784,1.784,1.784,-0.0346320346,2022-04-25
1.791,1.791,1.791,0.0039237668,2022-04-27
1.822,1.822,1.822,0.0173087661,2022-04-29
1.808,1.808,1.808,-0.0076838639,2022-05-06
1.816,1.816,1.816,0.0044247788,2022-05-13
1.825,1.825,1.825,0.0049559471,2022-05-20
1.811,1.811,1.811,-0.0076712329,2022-05-25
1.829,1.829,1.829,0.0099392601,2022-05-27
1.837,1.837,1.837,0.0043739748,2022-05-31
1.81,1.81,1.81,-0.014697877,2022-06-02
1.827,1.827,1.827,0.0093922652,2022-06-10
1.853,1.853,1.853,0.0142309797,2022-06-17
1.875,1.875,1.875,0.011872639,2022-06-24
1.907,1.907,1.907,0.0170666667,2022-06-27
1.963,1.963,1.963,0.0293654955,2022-06-30
1.954,1.954,1.954,-0.0045848192,2022-07-01
1.934,1.934,1.934,-0.0102354145,2022-07-08
1.829,1.829,1.829,-0.0542916236,2022-07-15
1.849,1.849,1.849,0.0109349371,2022-07-22
1.836,1.836,1.836,-0.0070308275,2022-07-25
1.81,1.81,1.81,-0.01416122,2022-07-29
1.81,1.81,1.81,0.0,2022-08-05
1.824,1.824,1.824,0.0077348066,2022-08-12
1.798,1.798,1.798,-0.014254386,2022-08-19
1.787,1.787,1.787,-0.0061179088,2022-08-25
1.793,1.793,1.793,0.0033575825,2022-08-26
1.787,1.787,1.787,-0.0033463469,2022-08-31
1.763,1.763,1.763,-0.0134303302,2022-09-02
1.767,1.767,1.767,0.0022688599,2022-09-09
1.73,1.73,1.73,-0.0209394454,2022-09-16
1.726,1.726,1.726,-0.0023121387,2022-09-23
1.738,1.738,1.738,0.0069524913,2022-09-26
1.757,1.757,1.757,0.0109321059,2022-09-30
1.792,1.792,1.792,0.0199203187,2022-10-14
1.784,1.784,1.784,-0.0044642857,2022-10-19
1.775,1.775,1.775,-0.005044843,2022-10-21
1.727,1.727,1.727,-0.0270422535,2022-10-25
1.699,1.699,1.699,-0.0162130863,2022-10-28
1.671,1.671,1.671,-0.0164802825,2022-10-31
1.743,1.743,1.743,0.0430879713,2022-11-03
1.777,1.777,1.777,0.0195065978,2022-11-04
1.779,1.779,1.779,0.0011254924,2022-11-07
1.785,1.785,1.785,0.0033726813,2022-11-11
1.799,1.799,1.799,0.0078431373,2022-11-14
1.8,1.8,1.8,0.0005558644,2022-11-18
