nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-09-29
1.0,1.0,1.0,0.0,2022-09-30
0.9995,0.9995,0.9995,-0.0005,2022-10-10
0.9995,0.9995,0.9995,0.0,2022-10-11
0.9995,0.9995,0.9995,0.0,2022-10-12
0.9994,0.9994,0.9994,-0.00010005,2022-10-13
0.9994,0.9994,0.9994,0.0,2022-10-14
0.9992,0.9992,0.9992,-0.0002001201,2022-10-17
0.9979,0.9979,0.9979,-0.0013010408,2022-10-18
0.9983,0.9983,0.9983,0.0004008418,2022-10-19
0.9998,0.9998,0.9998,0.0015025543,2022-10-20
0.9992,0.9992,0.9992,-0.00060012,2022-10-21
0.9967,0.9967,0.9967,-0.0025020016,2022-10-24
0.9991,0.9991,0.9991,0.0024079462,2022-10-25
0.9927,0.9927,0.9927,-0.0064057652,2022-10-26
1.0014,1.0014,1.0014,0.008763977,2022-10-27
1.0229,1.0229,1.0229,0.0214699421,2022-10-28
1.041,1.041,1.041,0.0176947893,2022-10-31
1.0187,1.0187,1.0187,-0.0214217099,2022-11-01
0.9938,0.9938,0.9938,-0.0244429174,2022-11-02
0.9847,0.9847,0.9847,-0.009156772,2022-11-03
0.9849,0.9849,0.9849,0.0002031075,2022-11-04
0.9802,0.9802,0.9802,-0.0047720581,2022-11-07
0.98,0.98,0.98,-0.00020404,2022-11-08
0.9831,0.9831,0.9831,0.0031632653,2022-11-09
0.9829,0.9829,0.9829,-0.0002034381,2022-11-10
0.9878,0.9878,0.9878,0.0049852477,2022-11-11
0.9834,0.9834,0.9834,-0.004454343,2022-11-14
0.9982,0.9982,0.9982,0.0150498271,2022-11-15
1.0056,1.0056,1.0056,0.007413344,2022-11-16
0.9907,0.9907,0.9907,-0.0148170247,2022-11-17
0.9921,0.9921,0.9921,0.0014131422,2022-11-18
0.9839,0.9839,0.9839,-0.0082652958,2022-11-21
0.9774,0.9774,0.9774,-0.0066063624,2022-11-22
0.981,0.981,0.981,0.0036832413,2022-11-23
0.9868,0.9868,0.9868,0.0059123344,2022-11-24
0.9886,0.9886,0.9886,0.0018240778,2022-11-25
0.9823,0.9823,0.9823,-0.0063726482,2022-11-28
0.997,0.997,0.997,0.0149648783,2022-11-29
0.9937,0.9937,0.9937,-0.0033099298,2022-11-30
0.9886,0.9886,0.9886,-0.0051323337,2022-12-01
0.9832,0.9832,0.9832,-0.0054622699,2022-12-02
0.9944,0.9944,0.9944,0.0113913751,2022-12-05
0.992,0.992,0.992,-0.0024135157,2022-12-06
1.0015,1.0015,1.0015,0.0095766129,2022-12-07
1.0153,1.0153,1.0153,0.013779331,2022-12-08
1.0623,1.0623,1.0623,0.0462917364,2022-12-09
1.0818,1.0818,1.0818,0.0183563965,2022-12-12
1.0729,1.0729,1.0729,-0.008227029,2022-12-13
1.0725,1.0725,1.0725,-0.0003728213,2022-12-14
1.0944,1.0944,1.0944,0.0204195804,2022-12-15
1.102,1.102,1.102,0.0069444444,2022-12-16
1.065,1.065,1.065,-0.0335753176,2022-12-19
1.0606,1.0606,1.0606,-0.0041314554,2022-12-20
1.0654,1.0654,1.0654,0.0045257401,2022-12-21
1.0622,1.0622,1.0622,-0.0030035667,2022-12-22
1.0485,1.0485,1.0485,-0.0128977594,2022-12-23
1.0483,1.0483,1.0483,-0.0001907487,2022-12-26
1.0509,1.0509,1.0509,0.002480206,2022-12-27
1.063,1.063,1.063,0.0115139404,2022-12-28
1.0648,1.0648,1.0648,0.0016933208,2022-12-29
1.0816,1.0816,1.0816,0.0157776108,2022-12-30
1.0818,1.0818,1.0818,0.0001849112,2023-01-03
1.0786,1.0786,1.0786,-0.0029580329,2023-01-04
1.0669,1.0669,1.0669,-0.0108473948,2023-01-05
1.0775,1.0775,1.0775,0.0099353266,2023-01-06
1.077,1.077,1.077,-0.0004640371,2023-01-09
1.0674,1.0674,1.0674,-0.008913649,2023-01-10
1.0293,1.0293,1.0293,-0.0356942102,2023-01-11
1.0213,1.0213,1.0213,-0.0077722724,2023-01-12
1.0374,1.0374,1.0374,0.0157642221,2023-01-13
1.0454,1.0454,1.0454,0.0077115867,2023-01-16
1.0514,1.0514,1.0514,0.0057394299,2023-01-17
1.0578,1.0578,1.0578,0.0060871219,2023-01-18
1.0711,1.0711,1.0711,0.0125732653,2023-01-19
1.086,1.086,1.086,0.0139109327,2023-01-20
1.0821,1.0821,1.0821,-0.0035911602,2023-01-30
1.0778,1.0778,1.0778,-0.0039737547,2023-01-31
1.0824,1.0824,1.0824,0.0042679532,2023-02-01
1.0773,1.0773,1.0773,-0.0047117517,2023-02-02
1.088,1.088,1.088,0.009932238,2023-02-03
1.0825,1.0825,1.0825,-0.0050551471,2023-02-06
1.0955,1.0955,1.0955,0.0120092379,2023-02-07
1.0891,1.0891,1.0891,-0.0058420812,2023-02-08
1.0907,1.0907,1.0907,0.0014691029,2023-02-09
1.0933,1.0933,1.0933,0.0023837902,2023-02-10
1.1108,1.1108,1.1108,0.0160065856,2023-02-13
1.1099,1.1099,1.1099,-0.0008102269,2023-02-14
1.1104,1.1104,1.1104,0.000450491,2023-02-15
1.0977,1.0977,1.0977,-0.0114373199,2023-02-16
1.084,1.084,1.084,-0.0124806413,2023-02-17
1.0915,1.0915,1.0915,0.0069188192,2023-02-20
1.0797,1.0797,1.0797,-0.0108108108,2023-02-21
1.0808,1.0808,1.0808,0.0010188015,2023-02-22
1.0933,1.0933,1.0933,0.011565507,2023-02-23
1.0877,1.0877,1.0877,-0.0051221074,2023-02-24
1.0931,1.0931,1.0931,0.0049646042,2023-02-27
1.0834,1.0834,1.0834,-0.008873845,2023-02-28
1.0662,1.0662,1.0662,-0.0158759461,2023-03-01
1.0704,1.0704,1.0704,0.0039392234,2023-03-02
1.0669,1.0669,1.0669,-0.0032698057,2023-03-03
1.0703,1.0703,1.0703,0.0031868029,2023-03-06
1.0598,1.0598,1.0598,-0.0098103336,2023-03-07
1.0771,1.0771,1.0771,0.0163238347,2023-03-08
1.0858,1.0858,1.0858,0.0080772445,2023-03-09
1.0913,1.0913,1.0913,0.0050653896,2023-03-10
1.1038,1.1038,1.1038,0.0114542289,2023-03-13
1.1001,1.1001,1.1001,-0.0033520565,2023-03-14
1.1058,1.1058,1.1058,0.0051813472,2023-03-15
1.0828,1.0828,1.0828,-0.0207994212,2023-03-16
1.0929,1.0929,1.0929,0.009327669,2023-03-17
1.066,1.066,1.066,-0.0246134139,2023-03-20
1.0829,1.0829,1.0829,0.0158536585,2023-03-21
1.0905,1.0905,1.0905,0.0070181919,2023-03-22
1.1076,1.1076,1.1076,0.0156808803,2023-03-23
1.0773,1.0773,1.0773,-0.0273564464,2023-03-24
1.086,1.086,1.086,0.0080757449,2023-03-27
1.0936,1.0936,1.0936,0.0069981584,2023-03-28
1.0956,1.0956,1.0956,0.0018288222,2023-03-29
1.0916,1.0916,1.0916,-0.0036509675,2023-03-30
1.0959,1.0959,1.0959,0.0039391719,2023-03-31
1.0964,1.0964,1.0964,0.000456246,2023-04-03
1.1165,1.1165,1.1165,0.0183327253,2023-04-04
1.1128,1.1128,1.1128,-0.0033139275,2023-04-06
1.1131,1.1131,1.1131,0.0002695902,2023-04-07
1.1097,1.1097,1.1097,-0.0030545324,2023-04-10
1.1237,1.1237,1.1237,0.0126160223,2023-04-11
1.1286,1.1286,1.1286,0.0043605945,2023-04-12
1.132,1.132,1.132,0.003012582,2023-04-13
1.1346,1.1346,1.1346,0.0022968198,2023-04-14
1.1443,1.1443,1.1443,0.0085492685,2023-04-17
1.1554,1.1554,1.1554,0.0097002534,2023-04-18
1.1563,1.1563,1.1563,0.000778951,2023-04-19
1.1538,1.1538,1.1538,-0.0021620687,2023-04-20
1.143,1.143,1.143,-0.0093603744,2023-04-21
1.1265,1.1265,1.1265,-0.0144356955,2023-04-24
1.1378,1.1378,1.1378,0.0100310697,2023-04-25
1.1168,1.1168,1.1168,-0.0184566708,2023-04-26
1.1117,1.1117,1.1117,-0.0045666189,2023-04-27
1.1131,1.1131,1.1131,0.0012593326,2023-04-28
1.1426,1.1426,1.1426,0.0265025604,2023-05-04
1.149,1.149,1.149,0.0056012603,2023-05-05
1.1156,1.1156,1.1156,-0.0290687554,2023-05-08
1.1178,1.1178,1.1178,0.001972033,2023-05-09
1.1255,1.1255,1.1255,0.006888531,2023-05-10
1.1249,1.1249,1.1249,-0.0005330964,2023-05-11
1.1139,1.1139,1.1139,-0.009778647,2023-05-12
1.1206,1.1206,1.1206,0.0060149026,2023-05-15
1.1245,1.1245,1.1245,0.0034802784,2023-05-16
1.1307,1.1307,1.1307,0.0055135616,2023-05-17
1.1312,1.1312,1.1312,0.0004422039,2023-05-18
1.1453,1.1453,1.1453,0.0124646393,2023-05-19
1.1494,1.1494,1.1494,0.0035798481,2023-05-22
1.1576,1.1576,1.1576,0.007134157,2023-05-23
1.1607,1.1607,1.1607,0.0026779544,2023-05-24
1.1654,1.1654,1.1654,0.0040492806,2023-05-25
1.1559,1.1559,1.1559,-0.0081517076,2023-05-26
1.1532,1.1532,1.1532,-0.0023358422,2023-05-29
1.151,1.151,1.151,-0.001907735,2023-05-30
1.1447,1.1447,1.1447,-0.0054735013,2023-05-31
1.1478,1.1478,1.1478,0.0027081331,2023-06-01
1.1347,1.1347,1.1347,-0.0114131382,2023-06-02
1.1374,1.1374,1.1374,0.0023794836,2023-06-05
1.1375,1.1375,1.1375,8.79198e-05,2023-06-06
1.1381,1.1381,1.1381,0.0005274725,2023-06-07
1.1388,1.1388,1.1388,0.0006150602,2023-06-08
1.1354,1.1354,1.1354,-0.0029855989,2023-06-09
1.1352,1.1352,1.1352,-0.0001761494,2023-06-12
1.1323,1.1323,1.1323,-0.0025546159,2023-06-13
1.1362,1.1362,1.1362,0.0034443169,2023-06-14
1.1471,1.1471,1.1471,0.0095933814,2023-06-15
1.1721,1.1721,1.1721,0.0217940894,2023-06-16
1.1697,1.1697,1.1697,-0.0020476069,2023-06-19
1.1677,1.1677,1.1677,-0.0017098401,2023-06-20
1.1551,1.1551,1.1551,-0.0107904428,2023-06-21
1.1235,1.1235,1.1235,-0.0273569388,2023-06-26
1.1271,1.1271,1.1271,0.0032042724,2023-06-27
1.1276,1.1276,1.1276,0.0004436164,2023-06-28
1.1348,1.1348,1.1348,0.006385243,2023-06-29
1.1475,1.1475,1.1475,0.0111913994,2023-06-30
1.1981,1.1981,1.1981,0.0440958606,2023-07-03
1.194,1.194,1.194,-0.003422085,2023-07-04
1.19,1.19,1.19,-0.0033500838,2023-07-05
1.1951,1.1951,1.1951,0.0042857143,2023-07-06
1.1963,1.1963,1.1963,0.0010041001,2023-07-07
1.1916,1.1916,1.1916,-0.0039287804,2023-07-10
1.215,1.215,1.215,0.0196374622,2023-07-11
1.231,1.231,1.231,0.0131687243,2023-07-12
1.2346,1.2346,1.2346,0.0029244517,2023-07-13
1.2625,1.2625,1.2625,0.0225984124,2023-07-14
1.2392,1.2392,1.2392,-0.0184554455,2023-07-17
1.2374,1.2374,1.2374,-0.00145255,2023-07-18
1.2508,1.2508,1.2508,0.0108291579,2023-07-19
1.2678,1.2678,1.2678,0.0135913016,2023-07-20
1.2618,1.2618,1.2618,-0.0047326077,2023-07-21
1.2489,1.2489,1.2489,-0.0102234903,2023-07-24
1.2686,1.2686,1.2686,0.015773881,2023-07-25
1.2943,1.2943,1.2943,0.0202585527,2023-07-26
1.2995,1.2995,1.2995,0.0040176157,2023-07-27
1.2999,1.2999,1.2999,0.0003078107,2023-07-28
1.3032,1.3032,1.3032,0.0025386568,2023-07-31
1.3111,1.3111,1.3111,0.0060620012,2023-08-01
1.3129,1.3129,1.3129,0.001372893,2023-08-02
1.2854,1.2854,1.2854,-0.0209459974,2023-08-03
1.2884,1.2884,1.2884,0.0023339038,2023-08-04
1.2799,1.2799,1.2799,-0.00659733,2023-08-07
1.2726,1.2726,1.2726,-0.0057035706,2023-08-08
1.2581,1.2581,1.2581,-0.0113939965,2023-08-09
1.2617,1.2617,1.2617,0.0028614578,2023-08-10
1.2501,1.2501,1.2501,-0.0091939447,2023-08-11
1.2105,1.2105,1.2105,-0.0316774658,2023-08-14
1.2139,1.2139,1.2139,0.0028087567,2023-08-15
1.2045,1.2045,1.2045,-0.0077436362,2023-08-16
1.1998,1.1998,1.1998,-0.003902034,2023-08-17
1.2062,1.2062,1.2062,0.0053342224,2023-08-18
1.2244,1.2244,1.2244,0.0150887083,2023-08-21
1.2201,1.2201,1.2201,-0.0035119242,2023-08-22
1.2242,1.2242,1.2242,0.0033603803,2023-08-23
1.233,1.233,1.233,0.0071883679,2023-08-24
1.2424,1.2424,1.2424,0.0076236821,2023-08-25
1.2329,1.2329,1.2329,-0.0076464907,2023-08-28
1.2228,1.2228,1.2228,-0.0081920675,2023-08-29
1.213,1.213,1.213,-0.0080143932,2023-08-30
1.246,1.246,1.246,0.0272052762,2023-08-31
1.2817,1.2817,1.2817,0.0286516854,2023-09-01
1.2782,1.2782,1.2782,-0.0027307482,2023-09-04
1.2721,1.2721,1.2721,-0.0047723361,2023-09-05
1.2887,1.2887,1.2887,0.0130492886,2023-09-06
1.2796,1.2796,1.2796,-0.0070613797,2023-09-07
1.2498,1.2498,1.2498,-0.0232885277,2023-09-08
1.2584,1.2584,1.2584,0.006881101,2023-09-11
1.2683,1.2683,1.2683,0.0078671329,2023-09-12
1.2653,1.2653,1.2653,-0.002365371,2023-09-13
1.2775,1.2775,1.2775,0.0096419821,2023-09-14
1.2934,1.2934,1.2934,0.012446184,2023-09-15
1.2919,1.2919,1.2919,-0.001159734,2023-09-18
1.3062,1.3062,1.3062,0.0110689682,2023-09-19
1.3099,1.3099,1.3099,0.0028326443,2023-09-20
1.2929,1.2929,1.2929,-0.0129780899,2023-09-21
1.2954,1.2954,1.2954,0.0019336376,2023-09-22
1.2795,1.2795,1.2795,-0.012274201,2023-09-25
1.2682,1.2682,1.2682,-0.0088315748,2023-09-26
1.2717,1.2717,1.2717,0.0027598171,2023-09-27
1.2717,1.2717,1.2717,0.0,2023-09-28
1.2651,1.2651,1.2651,-0.0051899033,2023-10-09
1.2442,1.2442,1.2442,-0.0165204332,2023-10-10
1.2595,1.2595,1.2595,0.0122970584,2023-10-11
1.2652,1.2652,1.2652,0.0045256054,2023-10-12
1.2564,1.2564,1.2564,-0.0069554221,2023-10-13
1.2324,1.2324,1.2324,-0.0191021968,2023-10-16
1.2291,1.2291,1.2291,-0.002677702,2023-10-17
1.2288,1.2288,1.2288,-0.000244081,2023-10-18
1.2287,1.2287,1.2287,-8.13802e-05,2023-10-19
1.2179,1.2179,1.2179,-0.0087897778,2023-10-20
1.2383,1.2383,1.2383,0.0167501437,2023-10-23
1.2339,1.2339,1.2339,-0.0035532585,2023-10-24
1.2133,1.2133,1.2133,-0.016695032,2023-10-25
1.2187,1.2187,1.2187,0.0044506717,2023-10-26
1.2176,1.2176,1.2176,-0.0009026011,2023-10-27
1.1944,1.1944,1.1944,-0.0190538765,2023-10-30
1.2106,1.2106,1.2106,0.0135632954,2023-10-31
1.22,1.22,1.22,0.0077647448,2023-11-01
1.2071,1.2071,1.2071,-0.0105737705,2023-11-02
1.194,1.194,1.194,-0.0108524563,2023-11-03
1.1856,1.1856,1.1856,-0.0070351759,2023-11-06
1.1934,1.1934,1.1934,0.0065789474,2023-11-07
1.1978,1.1978,1.1978,0.0036869449,2023-11-08
1.2081,1.2081,1.2081,0.0085990983,2023-11-09
1.2127,1.2127,1.2127,0.0038076318,2023-11-10
1.2118,1.2118,1.2118,-0.0007421456,2023-11-13
1.1895,1.1895,1.1895,-0.0184023766,2023-11-14
1.2085,1.2085,1.2085,0.0159730979,2023-11-15
1.2089,1.2089,1.2089,0.0003309888,2023-11-16
1.2323,1.2323,1.2323,0.0193564397,2023-11-17
1.2326,1.2326,1.2326,0.0002434472,2023-11-20
1.2342,1.2342,1.2342,0.0012980691,2023-11-21
1.2371,1.2371,1.2371,0.0023497002,2023-11-22
1.2499,1.2499,1.2499,0.0103467788,2023-11-23
1.2452,1.2452,1.2452,-0.0037603008,2023-11-24
1.2778,1.2778,1.2778,0.0261805332,2023-11-27
1.2906,1.2906,1.2906,0.0100172171,2023-11-28
1.2784,1.2784,1.2784,-0.0094529676,2023-11-29
1.2648,1.2648,1.2648,-0.0106382979,2023-11-30
1.2801,1.2801,1.2801,0.0120967742,2023-12-01
1.277,1.277,1.277,-0.0024216858,2023-12-04
1.2872,1.2872,1.2872,0.0079874706,2023-12-05
1.2866,1.2866,1.2866,-0.000466128,2023-12-06
1.3038,1.3038,1.3038,0.0133685683,2023-12-07
1.2649,1.2649,1.2649,-0.0298358644,2023-12-08
1.2558,1.2558,1.2558,-0.0071942446,2023-12-11
1.2686,1.2686,1.2686,0.0101927058,2023-12-12
1.2575,1.2575,1.2575,-0.0087498029,2023-12-13
1.2534,1.2534,1.2534,-0.0032604374,2023-12-14
1.2435,1.2435,1.2435,-0.007898516,2023-12-15
1.2337,1.2337,1.2337,-0.0078809811,2023-12-18
1.2241,1.2241,1.2241,-0.0077814704,2023-12-19
1.2196,1.2196,1.2196,-0.0036761702,2023-12-20
1.216,1.216,1.216,-0.0029517875,2023-12-21
1.2123,1.2123,1.2123,-0.0030427632,2023-12-22
1.2147,1.2147,1.2147,0.001979708,2023-12-25
1.2138,1.2138,1.2138,-0.0007409237,2023-12-26
1.2062,1.2062,1.2062,-0.0062613281,2023-12-27
1.2077,1.2077,1.2077,0.0012435749,2023-12-28
1.1992,1.1992,1.1992,-0.0070381717,2023-12-29
1.1955,1.1955,1.1955,-0.0030853903,2024-01-02
1.1894,1.1894,1.1894,-0.0051024676,2024-01-03
