nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-02-08
1.0,1.0,1.0,0.0,2022-02-11
1.0,1.0,1.0,0.0,2022-02-15
1.0,1.0,1.0,0.0,2022-02-18
1.0,1.0,1.0,0.0,2022-02-25
0.994,0.994,0.994,-0.006,2022-03-04
0.971,0.971,0.971,-0.023138833,2022-03-11
0.911,0.911,0.911,-0.061791967,2022-03-15
0.959,0.959,0.959,0.0526893524,2022-03-18
0.943,0.943,0.943,-0.0166840459,2022-03-25
0.953,0.953,0.953,0.0106044539,2022-04-01
0.942,0.942,0.942,-0.0115424974,2022-04-08
0.927,0.927,0.927,-0.0159235669,2022-04-15
0.906,0.906,0.906,-0.0226537217,2022-04-22
0.927,0.927,0.927,0.0231788079,2022-04-29
0.901,0.901,0.901,-0.0280474649,2022-05-06
0.953,0.953,0.953,0.0577136515,2022-05-13
0.95,0.95,0.95,-0.0031479538,2022-05-16
0.99,0.99,0.99,0.0421052632,2022-05-20
0.969,0.969,0.969,-0.0212121212,2022-05-27
1.012,1.012,1.012,0.044375645,2022-06-02
1.067,1.067,1.067,0.0543478261,2022-06-10
1.073,1.073,1.073,0.0056232427,2022-06-15
1.08,1.08,1.08,0.0065237651,2022-06-17
1.109,1.109,1.109,0.0268518519,2022-06-24
1.124,1.124,1.124,0.0135256988,2022-07-01
1.102,1.102,1.102,-0.0195729537,2022-07-08
1.048,1.048,1.048,-0.0490018149,2022-07-15
1.059,1.059,1.059,0.0104961832,2022-07-22
1.039,1.039,1.039,-0.0188857413,2022-07-29
1.036,1.036,1.036,-0.0028873917,2022-08-05
1.031,1.031,1.031,-0.0048262548,2022-08-12
1.03,1.03,1.03,-0.0009699321,2022-08-15
1.025,1.025,1.025,-0.0048543689,2022-08-19
1.001,1.001,1.001,-0.0234146341,2022-08-26
0.963,0.963,0.963,-0.037962038,2022-09-02
0.974,0.974,0.974,0.0114226376,2022-09-09
0.959,0.959,0.959,-0.0154004107,2022-09-15
0.938,0.938,0.938,-0.0218978102,2022-09-16
0.916,0.916,0.916,-0.0234541578,2022-09-23
0.897,0.897,0.897,-0.0207423581,2022-09-30
0.894,0.894,0.894,-0.0033444816,2022-10-14
0.892,0.892,0.892,-0.0022371365,2022-10-17
0.884,0.884,0.884,-0.0089686099,2022-10-21
0.849,0.849,0.849,-0.0395927602,2022-10-28
0.908,0.908,0.908,0.0694935218,2022-11-04
0.909,0.909,0.909,0.0011013216,2022-11-11
0.912,0.912,0.912,0.00330033,2022-11-15
0.887,0.887,0.887,-0.0274122807,2022-11-18
0.879,0.879,0.879,-0.0090191657,2022-11-25
0.933,0.933,0.933,0.0614334471,2022-12-02
0.981,0.981,0.981,0.0514469453,2022-12-09
0.96,0.96,0.96,-0.0214067278,2022-12-15
0.955,0.955,0.955,-0.0052083333,2022-12-16
0.928,0.928,0.928,-0.0282722513,2022-12-23
0.926,0.926,0.926,-0.0021551724,2022-12-30
0.96,0.96,0.96,0.0367170626,2023-01-06
0.963,0.963,0.963,0.003125,2023-01-13
0.958,0.958,0.958,-0.005192108,2023-01-16
0.959,0.959,0.959,0.0010438413,2023-01-20
0.986,0.986,0.986,0.0281543274,2023-02-03
0.954,0.954,0.954,-0.0324543611,2023-02-10
0.958,0.958,0.958,0.0041928721,2023-02-15
0.943,0.943,0.943,-0.01565762,2023-02-17
