nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2026-03-12
1.0,1.0,1.0,0.0,2026-03-13
0.9999,0.9999,0.9999,-0.0001,2026-03-16
1.0,1.0,1.0,0.00010001,2026-03-17
1.0,1.0,1.0,0.0,2026-03-18
1.0,1.0,1.0,0.0,2026-03-19
1.0,1.0,1.0,0.0,2026-03-20
1.0,1.0,1.0,0.0,2026-03-23
1.0001,1.0001,1.0001,0.0001,2026-03-24
1.0001,1.0001,1.0001,0.0,2026-03-25
1.0001,1.0001,1.0001,0.0,2026-03-26
1.0001,1.0001,1.0001,0.0,2026-03-27
1.0,1.0,1.0,-9.999e-05,2026-03-30
1.0001,1.0001,1.0001,0.0001,2026-03-31
1.0001,1.0001,1.0001,0.0,2026-04-01
1.0001,1.0001,1.0001,0.0,2026-04-02
1.0001,1.0001,1.0001,0.0,2026-04-03
1.0001,1.0001,1.0001,0.0,2026-04-07
1.0002,1.0002,1.0002,9.999e-05,2026-04-08
1.0001,1.0001,1.0001,-9.998e-05,2026-04-09
0.9991,0.9991,0.9991,-0.0009999,2026-04-10
1.0009,1.0009,1.0009,0.0018016215,2026-04-13
1.0063,1.0063,1.0063,0.0053951444,2026-04-14
1.0167,1.0167,1.0167,0.0103348902,2026-04-15
1.0248,1.0248,1.0248,0.0079669519,2026-04-16
1.0301,1.0301,1.0301,0.0051717408,2026-04-17
1.035,1.035,1.035,0.0047568197,2026-04-20
1.0246,1.0246,1.0246,-0.0100483092,2026-04-21
1.0334,1.0334,1.0334,0.0085887175,2026-04-22
1.0339,1.0339,1.0339,0.0004838398,2026-04-23
1.0255,1.0255,1.0255,-0.0081245768,2026-04-24
1.0207,1.0207,1.0207,-0.0046806436,2026-04-27
1.0188,1.0188,1.0188,-0.0018614676,2026-04-28
1.0302,1.0302,1.0302,0.0111896349,2026-04-29
1.0268,1.0268,1.0268,-0.00330033,2026-04-30
1.0421,1.0421,1.0421,0.0149006623,2026-05-06
1.0566,1.0566,1.0566,0.0139142117,2026-05-07
1.06,1.06,1.06,0.0032178686,2026-05-08
1.069,1.069,1.069,0.008490566,2026-05-11
1.0662,1.0662,1.0662,-0.0026192703,2026-05-12
1.0738,1.0738,1.0738,0.0071281186,2026-05-13
1.0698,1.0698,1.0698,-0.0037250885,2026-05-14
1.0682,1.0682,1.0682,-0.0014956067,2026-05-15
1.0629,1.0629,1.0629,-0.0049616177,2026-05-18
1.0618,1.0618,1.0618,-0.0010349045,2026-05-19
1.0544,1.0544,1.0544,-0.0069692974,2026-05-20
1.0538,1.0538,1.0538,-0.000569044,2026-05-21
1.0535,1.0535,1.0535,-0.000284684,2026-05-22
1.0597,1.0597,1.0597,0.0058851448,2026-05-25
1.0575,1.0575,1.0575,-0.0020760593,2026-05-26
1.0594,1.0594,1.0594,0.0017966903,2026-05-27
